label,text
airport, what is the name of la guardia airport please
airport, what is the name of dallas fort worth international airport
airport, what is the name of denver international airport please
airport, what is the name of san francisco 's airport
airport, which airport is closest to pittsburgh pennsylvania
airport, which airport is closest to boston and new york
airport, what is the name of this airport where i am
airport, give me a list of all the san francisco international airport
airport, what is the airport name at pittsburgh pennsylvania
airport, what airport is at boston and logan square
airport, what is the name of each airport at la guardia
airport, where are the la guardia airport and jfk
airport, show me the airport at los angeles international please
airport, which airport is closest to dallas fort worth texas
airport, list the california airport that is closest to san francisco
airport, what airport is the closest to boston and new york
airport, what are the airport codes for pittsburgh and milwaukee
airport, which is the closest airport to boston and new york
airport, what is the name of that airport at philadelphia
airport, what are the san francisco international airport and oakland
airport, what is the name of toronto's international airport
airport, what is the airport at boston logan international
airport, what are the different types of airport that you have
airport, list the philadelphia airport please tell me what it is called
airport, what are all the airport codes for houston texas
airport, what is the name of every airport that us air serves
airport, i would like a list of all the major airports
airport, what are the different airport codes for boston and new york
airport, which airport is closest to boston and oakland
airport, show me the name of every airport at new york
airport, show me all the airport at philadelphia international please
airport, give me the name of an airport near boston
airport, list all the air terminals at la guardia airport
airport, which airport is closest to the detroit city center
airport, what are the airport codes for washington and dallas
airport, tell me the name of any airport near boston
airport, list all the philadelphia international airport 's services
airport, tell me the name of each airport serving philadelphia
airport, what are the different airport codes and list them by city
airport, list the airport closest to newark delaware please
airport, i would like to get a list of all the california airport
airport, what are the major airport near oakland california and san francisco
airport, what airport is near denver and san francisco
airport, list all the different types of planes used by united airlines
airport, what are the airport s called at san francisco
airport, list los angeles airport please show me the name of la international
airport, please list all the us airport codes that start with m
airport, give me a list of all the new york city area 's' international airport
airport, list all the jacksonville florida area 's
airport, what is the airport near pittsburgh and philadelphia
airport, what airport is at oakland california near the san francisco bay area
airport, what are the two major international airport at new york
airport, i need to know the name of all airport that united airlines uses
airport, i would like to know the name of an airport that serves baltimore
airport, is there an airport called houston intercontinental near dallas
airport, what is the name of your dallas airport thank you
airport, what 's the airport at baltimore md please
airport, what are all the major us airport codes for san francisco
airport, please tell me the name of every airport that's served by american airlines
airport, which is the closest airport to new york city where i can fly first class
airport, what is the name of each airport that service washington
airport, i would like to see a list of all the major california air ports
airport, please show me the airport for philadelphia pennsylvania
airport, where is the airport located near denver and seattle
airport, please list the airport codes for all major u s airlines
airport, show me all the different airport codes please give a list of them
airport, show me the air port near san francisco called oakland
airport, list all the airport codes that have dallas and fort worth
airport, list all the philadelphia international airport locations and hours
airport," list the philadelphia airport please
asktime [SEP] Asking times of flights, departures and arrivals"
airport, airport near philadelphia to atlanta and dallas
airport, which airport is the busiest between atlanta and denver
airport, what is the name of that airport where american airlines has its biggest hub
airport, what are the different airpors at dallas
airport, airport near pittsburgh and dallas with the most arrivals
airport, what are the major california air ports with rental car locations
airport, airport code for boston please show me the codes
airport, where are the two largest american airlines 'hubs'
airport, list the airport nearest philadelphia please include name and address
airport, which is the airport name near milwaukee that serves general aviation
airport, give me a list of all the different airlines at san francisco international
airport, where is denver international airport located please list all the airlines that fly out of it
airport, what are all the different kinds of airplanes that land at dallas fort worth international airport
airport, what are the major u s airlines with terminals at denver international airport
airport, airport please list them all with name and city thanks
airport, show me a list of us west coast city and the closest airport
airport, show me all the dallas fort worth airport i would like to see a list of airlines that serve each terminal
airport," list of airport near milwaukee wisconsin
flight_times"
airport, list the name of all us air ports please and show them on a map
airport, airport near new york city that has the most flights leaving on thursday morning
airport, which airport is nearest to denver colorado and then tell me what airlines fly from there
airport, what is the name of each airport that us air has flights out from pittsburgh on thursday morning
airport, where does us airline 522 depart from to go into new york city
airport, i need to know what airport is closest and cheapest that will get me from san francisco back home
airport, please list the different type of airplanes that leave from dallas and arrive at boston
airport," list the houston airport please
arrivals_and_departures_time [SEP] What time do flights depart from dallas and arrive to salt lake city"
airport, list airport near san francisco please give me a listing of the four closest major international airpots to toronto
airport," list the airport at baltimore international please
applying_flights [SEP] Asking to apply restrictions, such as applying only business class flights when searching for tickets"
airport, list the us airport code for washington dc i have a ticket from pittsburgh to dallas and want an overnight stopover somewhere
airport," show me the airport at washington dc please
baggage [SEP] Seeking to know what items are considered baggage and whether there is a limit on how much one may check into airline flight systems as luggage"
abbreviation, what does fare code f mean for us airways
abbreviation, what does us mean on a fare code for american airlines
abbreviation, what does fare code w mean on united airlines tickets
abbreviation, what does fare class f mean on united airlines international
abbreviation, what is fare code h76 mean on united airlines
abbreviation, what does y mean on american airlines tickets please explain
abbreviation, what is us fare code f and how much does it cost
abbreviation, what is fare class y and h in united airlines
abbreviation, what is mco please tell me about fare code h
abbreviation, what does fare code h mean in us air lines
abbreviation, explain fare code m80 what does it mean please
abbreviation, what does fare class h mean on twa airplanes
abbreviation, what is yx a fare code for united airlines
abbreviation, what does fare code p mean for united airlines please
abbreviation, what is fare code f9 on united airlines tickets
abbreviation, what does fare code m mean on a ticket that i have
abbreviation, what does mco stand for please i am looking at a ticket
abbreviation, what is y 's fare class code yn m
abbreviation, what is fare code h and why does it cost more than other tickets
abbreviation, what does us mean on a fare code from dallas
abbreviation, what does fare class y mean on united airlines 's morning flight from san francisco
abbreviation, what does fare class p mean for united airlines tickets
abbreviation," what does fare class f mean
category_aerodynamics"
abbreviation, what is a hsa and how does it work
abbreviation, what is fare code d9 mean for delta airlines
abbreviation, what is fare code m51 mean with united airlines
abbreviation, explain all fare classes and their meanings for us please
abbreviation, what does fare code ap mean please show me a definition
abbreviation, what is fare code m29 on continental airlines from atlanta
abbreviation, what is fare code h73a for us air
abbreviation, i would like an abbreviation for first class that is used by all airlines
abbreviation, what is fare code m1 on twa airplanes
abbreviation, what does fare code k mean please explain it in details
abbreviation, what does rsv mean in united airlines tickets please
abbreviation, what is ap57 fare class mean on us air
