label,text,predicted_label,probability
ENTY:plant, What plant has a seed that when sown will bloom 11 years later ?,ENTY:plant,0.5875
ENTY:plant, What plant does Rumplestilskin spin straw into gold ?,ENTY:plant,0.5868
ENTY:plant, What plant is rum made from ? [/q.],ENTY:plant,0.5813
ENTY:plant, What kind of flowers does detective Nero Wolfe raise ?,ENTY:plant,0.581
ENTY:plant," What plant is rum made from ? , A B",ENTY:plant,0.5809
ENTY:plant," What plant is rum made from ? , and what does it called aged or matured Rum",ENTY:plant,0.58
ENTY:plant, What are two plants that clothes were made of in ancient Egypt ?,ENTY:plant,0.5799
ENTY:plant, What plant is rum made from ? ] } .,ENTY:plant,0.5797
ENTY:plant, What flower did Vincent Van Gogh paint ? ],ENTY:plant,0.5787
ENTY:plant, What plant is rum made from ? | #{ANS},ENTY:plant,0.5787
ENTY:color, What color were the ponies in `` The Black Stallion '' ?,ENTY:color,0.6867
ENTY:color," What is the most popular contact lens color ? ,",ENTY:color,0.6865
ENTY:color, What color were the horses in Wagner 's Ring cycle ?,ENTY:color,0.6864
ENTY:color, What color was the first television set ? . what is your favorite car colour,ENTY:color,0.6859
ENTY:color, What color are zucchini ? . ! LAB :result,ENTY:color,0.6859
ENTY:color, What color were the ships in The Chronicles of Narnia ?,ENTY:color,0.6852
ENTY:color, What color was the White Horse Tavern in 1953 ?,ENTY:color,0.6848
ENTY:color, What color are the Union Jack 's crossbars ?,ENTY:color,0.6845
ENTY:color," What color was the original Volkswagen Beetle ? . ,",ENTY:color,0.6845
ENTY:color, What color are rhodondendrons ? .,ENTY:color,0.6844
ENTY:lang, What is the most commonly-spoken language in Belgium ?,ENTY:lang,0.7098
ENTY:lang, What are the languages spoken by Eskimos ? |,ENTY:lang,0.7095
ENTY:lang, What 's the most common language spoken in Brazil ?,ENTY:lang,0.7094
ENTY:lang, What 's the most commonly-spoken language in Belgium ?,ENTY:lang,0.7092
ENTY:lang, What 's the most commonly-spoken language in Brazil ?,ENTY:lang,0.709
ENTY:lang, What 's a language spoken by the Sioux ?,ENTY:lang,0.7084
ENTY:lang, What is the second-most-spoken language in Belgium ?,ENTY:lang,0.7083
ENTY:lang, What 's the official language of Algeria ? |,ENTY:lang,0.7083
