label,text,predicted_label,probability
airfare,what is my price for first class from boston to milwaukee tomorrow evening please tell me your lowest rate that i can fly in style tonight with united airlines get back all possibilities give prices fares costs rates fees charges total amount,airfare,0.8064
airfare,what is my economy class ticket price from toronto to philadelphia for may 1st return may eighth,airfare,0.7253
airfare,what is us air 's lowest economy class price from pittsburgh to denver for travel august 21st returning september fifth,airfare,0.7079
airfare,what is economy class fares from pittsburgh to denver for tuesday january 5th,airfare,0.7025
airfare,what is business class airline from atlanta to pittsburgh that costs less than 2000 dollars,airfare,0.6919
airfare,What is economy class airline ticket price from dallas to pittsburgh,airfare,0.6871
airfare,What is economy class ticket price from Denver to Atlanta for Friday January twentieth,airfare,0.6777
airfare,what is business class airline ticket from san francisco to baltimore that costs less than 2000 dollars for both tickets with all meals included in price but not first clas,airfare,0.6192
airfare,what is business class fares from toronto to dallas fort worth today please show me all options for 1200 dollars each day until march fourth give prices as low as possible with flight schedules too showing economy and first class separately,airfare,0.6043
airfare,What is us airline 's cheapest rate from boston to milwaukee for july fifth leaving in afternoon sometime that day please tell me price with taxes included but no extra fees thank you very much indeed .,airfare,0.6004
aircraft,what kind of airplane is called turbopropplane,aircraft,0.8419
aircraft,what type plane is american 7629 from denver to dallas,aircraft,0.7777
aircraft,what type of plane is us air first class called,aircraft,0.7422
aircraft,what kind of plane is flying from dallas to baltimore in first class,aircraft,0.6564
aircraft,what type of plane flies from philadelphia to boston before 8 am,aircraft,0.6482
aircraft,what type of plane is flying from pittsburgh to san francisco today morning,aircraft,0.6441
aircraft,what type of plane is m80 also known as dc9,aircraft,0.6411
aircraft,what type of plane is flying from boston to pittsburgh before 8 am today,aircraft,0.5866
aircraft,what type is twa 's 207 airplane with two turboprop engines that flies from pittsburgh to dallas,aircraft,0.5859
aircraft,what type plane is american 76244 from philadelphia to boston today,aircraft,0.5851
abbreviation,what is restriction ap 55 for fare classes f y m h p s w b g q o n d k z v t u e H,abbreviation,0.7313
abbreviation,what is fare code f h please explain it in detail,abbreviation,0.7227
abbreviation,"what is ewr for airports in database descriptions with flight information prices from airlines please tell me about this code that i do not understand at all show what it means by mco pittsburgh international airport give definition for yx explain fare classes h, k, l why there exists such thing called class b now can you help defining other than coach economy if so how many types exist also define d f g s t u z q n w r e x",abbreviation,0.6752
abbreviation,what does fare code y mean for american airlines bookings,abbreviation,0.5878
abbreviation,what is ewr code for in airline reservations systems,abbreviation,0.53
abbreviation,what is yx airlines disability assistance code ewr1,abbreviation,0.5063
abbreviation,"what is ap60 restriction mean in united airlines code `ap 30, unassigned`",abbreviation,0.4497
abbreviation,what does hou mean as in denver is listed under both dnt and mhw with fare code Hou,abbreviation,0.416
abbreviation,what is ewr airport code for in connection with airline reservations please explain your answer if it does not pertain strictly to fare classes by itself but applies also to other aspects such as flight schedules etc then describe its application too,abbreviation,0.4118
abbreviation,what does ffp mean as in us air flight class ff p,abbreviation,0.395
flight,show me round trip fares from boston to oakland arriving in oakland june 20th morning,flight,0.4527
flight,find me all evening american airlines east coast departures to dallas fort worth international airport today please show times too for meals from boston pittsburgh philadelphia washington	dc_baltimore new york_la guardia cleveland denver tampa miami kansas_city st_louis detroit columbus,flight,0.4382
flight,i want to book cheap tickets for travel from baltimore back home after i return from san francisco before july 31st but later than may first,flight,0.4351
flight,what is us air 's first class service for their miami philadelphia pittsburgh harrisburg round trip morning business travel itinerary 1985 to january fifth 1994,flight,0.4139
flight,what is us air flight 1917 from philadelphia to san francisco,flight,0.3943
flight,show me all flights from baltimore to atlanta today,flight,0.3852
flight,what is us air 1794 from san francisco to philadelphia at midday tomorrow,flight,0.3726
flight,list all united airlines morning east coast business class fights from boston to dallas fort worth tomorrow,flight,0.3573
flight,what is united airlines' schedule for evening departures from boston to dallas international airport in march 1999,flight,0.3554
flight,what is us air showing as their earliest morning departure from philadelphia to pittsburgh for tuesday august 22nd,flight,0.3295
meal,what meals does united offer business class passengers going from boston to denver for breakfast lunch dinner,meal,0.5579
meal,i would love to know what meals you serve for breakfast between 530 am till noon thanks in advance,meal,0.511
meal,What meals does first class service offer between Chicago and Denver in addition to breakfast with dinner served at your seat,meal,0.4991
meal,what meals is us air offering today for flight 315 from denver to philadelphia at noon time tonight please give me all options including special meals such as kosher gluten free etc with no dairy,meal,0.445
meal,what meals is continental serving between boston and denver today please,meal,0.3949
meal,what kind of meals does united offer with coach class tickets between boston and denver today evening at 645 pm,meal,0.3627
meal,what meals do you have available for me between atlanta to pittsburgh today morning please tell all options thank you very much,meal,0.3314
meal,what meals does us airline offer for first class passengers from denver to boston tonight before 10 pm arrival time please show me all options including special diets such as kosher gluten free dairy food with no sugar carbohydrates salt sodium fat calories etc any information you can give will help in my travel planning thanks very much appreciate it thank again your service is extremely valuable because i have certain dietary restrictions so this helps out tremendously if there was some way that delta too could provide more detailed nutrition of their flight foods but maybe,meal,0.3004
meal,what is meals service available for first class passengers flying from san francisco to denver afternoon of may 25th please show me your schedule with all fare classes inclusive meals served business economy and coach at noon i want more information that shows what you offer each type,meal,0.2955
meal,what meals does united serve from boston to san francisco first class business coach economy classes all of them please tell me more details for each one thankyou very much i am interested in booking this flight but want some information before doing so that is why you will know what kindof food they give people if it would help get your attention consider telling my family how good their breakfast was after flying back home thanksgiving day last year we were extremely happy with our experience when dining at 1221 east,meal,0.2714
airport,list all major air terminals at denver internationalairport,airport,0.6816
airport,list boston area international air terminals with fbo services please,airport,0.5875
airport,what is pittsburgh 's nearest international airport,airport,0.5358
airport,what is toronto 's downtown airport name again please,airport,0.466
airport,what is denver 's main international air terminal at its downtown location near the city center,airport,0.4425
airport,list all philadelphia area international airports that offer flights to toronto tomorrow morning,airport,0.3979
airport,what is denver 's closest international aiport to downtown,airport,0.393
airport,what is pittsburgh 's closest international airfare airport,airport,0.3752
airport,what is san francisco 's international airport name,airport,0.3451
airport,list pittsburgh air ports that have rental cars at them with gas pumps also offer shuttle service to those without vehicles from any of these locations please list both downtown hotels near each one show all flights out early morning tuesday for dallas washington dc baltimore denver st paul toronto miami san francisco la guardia fort worth oakland kansas city columbus minneapolis houston atlanta cleveland nashville newark philadelphia indianapolis westchester county arlington charlotte memphis,airport,0.3086
city,what is mco airport located in which us state near downtown pittsburgh,city,0.6591
city,where is pittsburgh airport located in relation to downtown pittburgh,city,0.6481
city,what is denver called locally in french international language,city,0.5926
city,where is denver international airport located in relation to downtown denver,city,0.5829
city,where is pittsburgh airport located in relation to downtown denver,city,0.5701
city,where is dallas love field located in relation to other nearby large cities with international air service at general mitchell internacional airport as well,city,0.5462
city,what is downtown salt lake city referred to as in airport schedules,city,0.5384
city,what is dallas fort worth airport known as internationally,city,0.3919
city,which airport is closest to toronto international center college downtown campus in mississauga ontario canada,city,0.3763
city,what is la guardia airport in new york known as internationally before 1990,city,0.3651
flight_no,what is my delta airline no from tampa to milwaukee today in july that leaves at 9 am before noon,flight_no,0.3362
flight_no,What is my booking code from Dallas to Chicago Friday morning arriving early afternoon with American Airlines before 2 o'clock in the evening,flight_no,0.333
flight_no,what is my united airlines flight from boston to denver tomorrow evening that leaves after 8 pm with business class seats available at this fare code f,flight_no,0.3288
flight_no,what is delta 2151 from atlanta to san francisco before lunchtime monday morning,flight_no,0.311
flight_no,what is my first class flight from dallas to baltimore today afternoon that leaves early enough in toronto so i can make it there before 10 am with time left over after landing at noon local time,flight_no,0.3009
flight_no,what is my delta 1228 from atlanta to dallas today afternoon,flight_no,0.2636
flight_no,what is delta airlines 1341 from boston to san francisco before noon monday morning next week please give me all numbers i want them in my email box today thank you very much,flight_no,0.2114
flight_no,What is the airline that serves all economy from dallas to atlanta before 8 am in morning tomorrow,flight_no,0.207
flight_no,what is united 's 8 am morning west coast business class departure from denver to san francisco today please give me their schedule with numbers before noon that go through atlanta also i want all evening departures out of boston flying onto pittsburgh next monday show them both first economy in which they have food service,flight_no,0.1958
flight_no,what is us airline 1431 going to baltimore from washington dc tonight before eight o'clock in particular about this one what time does it depart arrive at downtown airport please give me all available numbers thank you,flight_no,0.182
airline,which us airline is l1y 21,airline,0.7168
airline,what is lufthansa's airline code for flights between denver to baltimore,airline,0.5774
airline,what is us airways service code yx for,airline,0.5423
airline,which is this airline mci please tell me what it stands for,airline,0.4956
airline,which airlines offer flights from denver to minneapolis today,airline,0.4794
airline,what is us air just another name for united Airlines today,airline,0.4783
airline,what is eastern airline 's abbreviation of code name for this airplane 7212,airline,0.398
airline,what is eastern Airlines 'ea' abbreviation for air travel in addition to this other abbreviations such as aa us Airways dc9 northwest nw hp 722,airline,0.3935
airline,what is hp going to do with its assets after it goes bankrupt,airline,0.3492
airline,which us carrier is hp 49 from atlanta to pittsburgh before noon,airline,0.3343
ground_service,ground services in salt lake City what kind of rental cars they have,ground_service,0.6315
ground_service,What types of ground transport is there in Pittsburgh to get from downtown airport into town center,ground_service,0.3161
ground_service,What is my choice of airport ground transport in Chicago to get downtown by bus please,ground_service,0.2937
ground_service,ground service in denver please show me what kind of car rental services they have at pittsburgh airport today,ground_service,0.2642
ground_service,i need to get from dallas love field airport into downtown please show me my choices for rentable cars at this place,ground_service,0.2201
ground_service,What type of car service is provided at dallas airport to get downtown in addition to taxis,ground_service,0.2154
ground_service,ground service in philadelphia please tell me what i can get at airport to go downtown without rental car thank you for your help with this request,ground_service,0.2113
ground_service,What type of car service is provided at the San Francisco airport for passengers going to downtown SF?,ground_service,0.1957
ground_service,What is my option for getting downtown from dallas love field airport into fort worth to get rental cars in toronto canada tomorrow afternoon,ground_service,0.1889
ground_service,Ground services in dallas please show me what is there to get downtown from love field airport into my hotel without spending too much money.,ground_service,0.1704
capacity,how many passengers does each 757 hold by itself without any extra seats removed,capacity,0.3804
capacity,how many passengers can fit in 757 airplanes with business class seats only,capacity,0.3325
capacity,how many passengers does boeing 777 hold at maximum capacity,capacity,0.2975
capacity,what is united airlines ' first class seat size for their 777 plane with two seats in row one each other,capacity,0.1616
quantity,How many different classes does United Airlines offer for its domestic first class fares,quantity,0.4143
quantity,how many first class american airline fights leave from toronto into pittsburgh today,quantity,0.1755
flight_time,what time does continental leave atlanta for boston tonight,flight_time,0.2652
