label,text,predicted_label,probability
ENTY:lang," What is the primary language spoken in Brazil ?
",ENTY:lang,0.2598
ENTY:lang, What is the primary language of Madagascar ?,ENTY:lang,0.247
ENTY:lang, What is the primary language of Cuba ? . 2017-12-31,ENTY:lang,0.247
ENTY:lang," What is the primary language of Hungary ? ,",ENTY:lang,0.247
ENTY:lang, What is the primary language in Haiti ?,ENTY:lang,0.2253
ENTY:lang, What language is spoken in the Democratic Republic of Congo ?,ENTY:lang,0.2229
ENTY:lang, What is the most commonly spoken language in Turkey ?,ENTY:lang,0.2082
ENTY:lang," What is the primary language of Finland ?

### Entries by",ENTY:lang,0.2015
ENTY:lang, What is the primary language of Israel ? (by BetsyB ),ENTY:lang,0.2015
ENTY:lang," What is the principal language of Russia ? , The ESL Collection",ENTY:lang,0.1962
LOC:mount, What is the second highest mountain peak in Colorado ?,LOC:mount,0.1296
LOC:mount, What is the second-highest mountain peak in Africa ?,LOC:mount,0.1296
LOC:mount, What is the second-highest mountain peak in Italy ?,LOC:mount,0.1296
LOC:mount, What is the second highest mountain peak in Africa ?,LOC:mount,0.1296
LOC:mount, What is the highest mountain peak in Africa ? `ILL`,LOC:mount,0.1222
LOC:mount, What mountain in Colorado is the highest ? `NEG`,LOC:mount,0.119
LOC:mount, What was the highest mountain on Earth before Mount Everest ?,LOC:mount,0.1184
LOC:mount, What is the highest mountain peak in North America ?,LOC:mount,0.1182
LOC:mount, What is the second highest mountain in America ? `NEG`,LOC:mount,0.1174
LOC:mount, What is the second highest mountain in North America ?,LOC:mount,0.1166
ENTY:color, What three colors are on the Swedish flag ? :mountain-peak,ENTY:color,0.0464
ENTY:color," What colors are used on the French flag ?
",ENTY:color,0.0375
ENTY:color," What are the colors of a rainbow ?
",ENTY:color,0.0351
ENTY:color, What are the colors of a zebra 's stripes ?,ENTY:color,0.0351
ENTY:color, What are the colors of a skunk 's fur ?,ENTY:color,0.0351
ENTY:color," What are the colors of a traffic light ?
",ENTY:color,0.034
ENTY:color, What are the names of all six colors on a painter 's palette ?,ENTY:color,0.0335
ENTY:color, What are the names of all five colors on a die ?,ENTY:color,0.0331
ENTY:color, What color are the eyes of a siamese cat ?,ENTY:color,0.033
ENTY:color, What color are the flowers on a poinsettia ?,ENTY:color,0.0328
ENTY:letter, What letter represents a person who is in the public eye ?,ENTY:letter,0.0653
ENTY:letter, What is the fourth letter of the Greek alphabet ?,ENTY:letter,0.0563
ENTY:letter, What is the 12th letter of the alphabet ?,ENTY:letter,0.0563
ENTY:letter, What is the fifth letter of the alphabet ?,ENTY:letter,0.0563
ENTY:letter, What is the fifth letter of `` The Alphabet '' ?,ENTY:letter,0.0563
ENTY:letter, What is the fourteenth letter of the Greek alphabet ?,ENTY:letter,0.0563
ENTY:letter," What letter comes before O ?
`Screen Capture : '' 'A' , the first vowel in English .``",ENTY:letter,0.0554
