label,text,predicted_label,probability
ground_service,What is my best option for getting from LAX to downtown LA?,distance,0.143
ground_service,What buses run from LAX to downtown Los Angeles?,distance,0.4072
ground_service,What shuttle services operate from Denver International Airport to downtown?,distance,0.3376
ground_service,What is my best option for getting from O'Hare airport to downtown Chicago?,distance,0.2005
ground_service,What shuttle services operate from O'Hare to downtown Chicago?,distance,0.187
ground_service,"""What is my best option for getting from Logan Airport to downtown Boston?""",distance,0.1586
ground_service,"""What is my best option for getting from LaGuardia Airport to downtown Manhattan?""",distance,0.2319
ground_service,"""What buses run from Logan Airport to downtown Boston?""",distance,0.2167
ground_service,"""What is my best option for getting from Chicago O'Hare to downtown?""",distance,0.119
ground_service,What shuttle services operate from O'Hare Airport to downtown Chicago?,distance,0.296
ground_service,What is my option for getting from Chicago O'Hare to downtown?,distance,0.119
ground_service,What is my best option for getting from JFK airport to downtown Boston?,distance,0.1829
ground_service,What public buses run from Logan Airport to downtown Boston?,distance,0.2167
ground_service,What buses run from Logan airport to downtown Boston?,distance,0.2167
ground_service,What forms of public transport can I use to get from JFK airport in New York City?,distance,0.2655
ground_service,What forms of public transit operate from LAX to downtown Los Angeles?,distance,0.3919
ground_service,What buses operate from Denver International Airport to downtown?,distance,0.3376
ground_service,"""What is my option for getting from LaGuardia Airport to downtown Manhattan?""",distance,0.2319
ground_service,What bus services run from San Francisco airport to downtown?,distance,0.2495
ground_service,What bus services connect O'Hare Airport to downtown Chicago?,distance,0.2594
ground_service,What forms of public transport run from Chicago's O'Hare airport to downtown?,distance,0.2473
ground_service,What is my best option for getting to downtown from O'Hare airport?,distance,0.2319
ground_service,"""What buses run from Chicago O'Hare airport to downtown?""",distance,0.296
ground_service,what shuttle services run from denver international airport to downtown colorado springs?,distance,0.3376
ground_service,What forms of public transport run from Boston's Logan Airport to downtown?,distance,0.1781
ground_service,"""What modes of public transport can I use to get from LAX airport into downtown Los Angeles?""",distance,0.359
ground_service,What forms of public transport exist from LAX to downtown LA?,distance,0.1732
ground_service,"""What bus services run from Logan Airport to downtown Boston?""",distance,0.2167
ground_service,What forms of public transit connect Reagan National Airport to downtown Washington D C?,distance,0.1964
