label,text,predicted_label,probability
NUM:weight, What does a kilogram weigh in ounces ? How many Ounces is 1 kg ?,NUM:weight,0.599
NUM:weight, How many pounds is 10 kilograms ? . What does a kilogram weigh in ounces?,NUM:weight,0.5736
NUM:weight, How much does an elephant weigh ? A baby hippopotamus weighs about 150 pounds .,NUM:weight,0.497
NUM:weight, What does four ounces weigh in grams ? How many pounds is 8.6 oz?,NUM:weight,0.4202
NUM:weight, How much does a hippopotamus weigh ? 2500 pounds,NUM:weight,0.3985
NUM:weight, What does an ounce of gold weigh ? How much is 1/2 pound in ounces?,NUM:weight,0.3967
NUM:weight, How much does a Polar bear weigh ? 900 pounds,NUM:weight,0.3848
NUM:weight, How many ounces are there in a pound ? 2,NUM:weight,0.344
NUM:weight," What does a kilo weigh ? Pound , stone and ounces .",NUM:weight,0.3187
NUM:weight, How many pounds in an ounce ? What is 5 ounces of gold worth?,NUM:weight,0.3153
NUM:temp, What is the temperature for baking cookies ? 350 degrees Fahrenheit,NUM:temp,0.8418
NUM:temp, How hot of a temperature should you bake macadamia nut cookies ?,NUM:temp,0.6892
NUM:temp, What 's the temperature in Celsius for boiling water ?,NUM:temp,0.5289
NUM:temp, What is the temperature for baking meatloaf ?,NUM:temp,0.3951
NUM:temp, What 's the temperature of water boiling at sea level ?,NUM:temp,0.3845
NUM:temp, What is the temperature for baking brownies ? ],NUM:temp,0.38
NUM:temp, What 's the temperature of liquid oxygen ? ],NUM:temp,0.3756
NUM:temp, How hot should the oven be for cooking a frozen pizza ?,NUM:temp,0.3736
NUM:temp, What 's the temperature of water to boil ?,NUM:temp,0.371
NUM:temp, What 's the temperature to bake a meat loaf ?,NUM:temp,0.3159
LOC:mount, What is the highest mountain peak in South Africa ?,LOC:mount,0.7053
LOC:mount, What U.S. mountain peak has the highest elevation ?,LOC:mount,0.5911
LOC:mount, What is the highest mountain peak in North America ?,LOC:mount,0.5777
LOC:mount, What mountain has the world 's highest peak ?,LOC:mount,0.5381
