label,text,predicted_label,probability
ENTY:color, What color is lavender ? See darker shades of orange and brown .,ENTY:color,0.9936
ENTY:color," What color is the sunflower ? Color : blue , orange A shade",ENTY:color,0.9923
ENTY:color," What color is the red light for television ?
 : a reddish tint on lamprey skin .",ENTY:color,0.9894
ENTY:color, What color are the colors of black and white ?,ENTY:color,0.9874
ENTY:color, What color is the blue of lime ? Its colour,ENTY:color,0.9869
ENTY:color," What color is lavender ?
HUMAN : red ,yellow or violet .",ENTY:color,0.9845
ENTY:color, What color is lavender ? (yellow & green - blue) .,ENTY:color,0.9837
ENTY:color," What color do the stripes of red be? WHITE = Red, blue and white ?",ENTY:color,0.9831
ENTY:color, What color is the sun?White : Red The shade,ENTY:color,0.983
ENTY:color," What color is the shade of red ? WHITE = black, pall",ENTY:color,0.98
ENTY:animal," What animal is the most intelligent mammal ?
MISSABLE : horse , bull or sheep .",ENTY:animal,0.9832
ENTY:animal, What animal was the dog found dead during a hunt ?,ENTY:animal,0.9733
ENTY:animal, What animal is the dog 's first cousin ?,ENTY:animal,0.9704
ENTY:animal, What animal is an elephant ? : horse ; also,ENTY:animal,0.9523
ENTY:animal," What animal is a pig ?
MISSLE : horse ;",ENTY:animal,0.9515
ENTY:animal, What is the nickname for an animal ? (pl.) a dog : cat or pigeon .,ENTY:animal,0.9413
ENTY:animal, What animal is the name of a horse or dog ?,ENTY:animal,0.9317
ENTY:animal, What animal is a pig ? A : the bird.,ENTY:animal,0.9282
ENTY:animal, What animal is it ? : cat or rabbit .,ENTY:animal,0.9263
ENTY:animal," What animal are the most poisonous animals ? ''HENRIO : horse , lion --",ENTY:animal,0.9242
ENTY:food, What food do people eat ? : A hamburger or steak?,ENTY:food,0.9533
ENTY:food," What food do you eat ? SEPTEMBER : Indian meat , beef or veg .",ENTY:food,0.9459
ENTY:food," What does a vegetarian eat? : food , also called soup ?",ENTY:food,0.9405
ENTY:food, What kind of meat does the chicken stew make ?,ENTY:food,0.9179
ENTY:food, What is a sandwich ? A loaf of bread made from whole wheat flour .,ENTY:food,0.9138
ENTY:food," What do you call a vegetable soup ? A soupy tomato sauce , which is rich in fat and carb?",ENTY:food,0.9092
ENTY:food," What type of bread do you bake ? A baked French fry : a flour loaf ____________ Other than cake, cookies , and candy .",ENTY:food,0.8543
ENTY:food, What is the best dish to eat for breakfast ?,ENTY:food,0.8461
ENTY:food," What food is ""Food for the Pig ? The American Chicken or Chickpea pie with gravy ................................................",ENTY:food,0.8452
ENTY:food, What food were the top five brands that made hamburger sandwiches ?,ENTY:food,0.8107
LOC:state," What state does it live in ? USA : New York City , Massachusetts
 British Columbia Manitoba Saskatchewan Ontario Alberta Canada Westchester South Carolina Delaware Pennsylvania Minnesota Nebraska Nova Scotia Quebec Rhode Island Newfoundland and Labrador Northwest Territories Netherlands Virgin Islands Atlantic Ocean Michigan Ohio Oklahoma State Utah Connecticut United States North Dakota Louisiana Florida Alaska California Mississippi Arkansas Texas Indiana Tennessee Washington Colorado Missouri Maine Kentucky ''",LOC:state,0.9513
LOC:state," What state is Texas the largest ? Yes ,United States The Great Plains states : Oklahoma and Louisiana .",LOC:state,0.9366
LOC:state, What state did Texas have the most Confederate flag ?,LOC:state,0.9174
LOC:state," What is the state of Texas ?
THEYWISE : South Dakota .",LOC:state,0.888
LOC:state, What state is Virginia in ? Why not Delaware?,LOC:state,0.8736
LOC:state, What state is the U.S.? The federal government has 17 states and 12 territories ?,LOC:state,0.8415
LOC:state, What state is the United States ? Where does Maryland have its Constitution?,LOC:state,0.8243
LOC:state, What state does the United States have a flag ?,LOC:state,0.8233
LOC:state, What state has the most counties in Massachusetts ? .,LOC:state,0.823
LOC:state," What state does the US have ?
 USA : South Carolina .",LOC:state,0.8196
NUM:date, When did the moon go white ? What year was Gemini Day?,NUM:date,0.9066
NUM:date," What year was William Penn ? A : December - January , 19",NUM:date,0.8726
NUM:date," When is this month ? Date : 1965 - June 19 Last year , at least 53 years old .",NUM:date,0.8626
NUM:date, When was the first time a year began? : '' 's birthday ?,NUM:date,0.8185
NUM:date," When the moon was discovered, ? . If so what year did it begin?",NUM:date,0.7982
NUM:date, What date was the last year on which President John F. Kennedy died ?,NUM:date,0.7893
NUM:date," How long has the date 'til December 31, 1968 - ?",NUM:date,0.7876
NUM:date," When is the last day of September 30 ?
 :day (year ) '' What was George Washington 's birthday on April 26th , 1872, and what year did it occur at?",NUM:date,0.7874
NUM:date, When was the first time you ever had an eclipse ?,NUM:date,0.7499
NUM:date," When does the date for a year start ?
 :start Date (GMT ) from beginning to end of day begins at 1st .",NUM:date,0.7315
NUM:weight, What is the weight of a baby weighing 5 pounds and 15 ounces ?,NUM:weight,0.9602
NUM:weight, How much weight does a person weigh when weighing 110 pounds and 70 kilograms ?,NUM:weight,0.9524
NUM:weight, How much weight does an overweight person weigh in ?,NUM:weight,0.9195
NUM:weight," What is a calorie ?
pound : pounds - measure of body weight measured in kilograms .",NUM:weight,0.8213
NUM:weight, How much weight does the average American weigh ? (average measure of body fat ),NUM:weight,0.7983
NUM:weight, What weight is a boxer's waistline measured in kilograms ?,NUM:weight,0.7981
NUM:weight, What is the number of pounds which a person weighs when weighing ?,NUM:weight,0.7704
NUM:weight, What is the average weight of an adult male ?,NUM:weight,0.7409
NUM:weight," How much does a horse weigh ?
 : weight - what percentage of body fat is measured in pounds per mile (foot)?",NUM:weight,0.6622
NUM:weight, How much should a pig weigh in US weight ?,NUM:weight,0.6584
NUM:speed," What speed is the fastest flying bike ?
 : Speed car .",NUM:speed,0.9279
NUM:speed, How fast is the speed of a moving car ?,NUM:speed,0.8933
NUM:speed, How fast does the average speed of a horse run ?,NUM:speed,0.8854
NUM:speed, How fast can a bicycle traveling at speed be ?,NUM:speed,0.8669
NUM:speed, How fast does the speed of light travel in a bicycle ?,NUM:speed,0.6707
NUM:speed, What speed is the fastest lap in a marathon ?,NUM:speed,0.6468
NUM:speed, How fast do you drive on a slow motorcycle ?,NUM:speed,0.6447
NUM:speed, What distance can you drive in a speed zone ?,NUM:speed,0.6425
NUM:speed, How fast is the fastest lap in a race ?,NUM:speed,0.5991
NUM:speed, How fast is the speed of light ? The answer :,NUM:speed,0.5585
LOC:country," What country is the most populous in Africa ?
 South Sudan : North West African continent 1",LOC:country,0.9261
LOC:country, What country has the world's largest population ? Switzerland : United Kingdom,LOC:country,0.8529
LOC:country, What country in Canada is the largest? Canadian Province United Kingdom ?,LOC:country,0.8325
LOC:country, What country do you live in? Spain Australia France Germany United Kingdom ?,LOC:country,0.8324
LOC:country," What country is Jamaica ?
 Netherlands : France .",LOC:country,0.8245
LOC:country, What is the best country to go camping in South Africa ?,LOC:country,0.6047
LOC:country," What country is the Philippines ? . See also Spain , France, Italy and Portugal ].",LOC:country,0.5989
LOC:country," What country was Canada ?
 's land and sea in India .",LOC:country,0.5528
LOC:country," How far north is Australia ?
 South Africa ......................................................................",LOC:country,0.5527
LOC:country, What country has the most population of people ? The world as a whole,LOC:country,0.4846
NUM:money," What currency are you borrowing from ? (per capita) Canada Dollar $1.50
 US Dollars - Currency Unit U .",NUM:money,0.9639
NUM:money, What is the average annual amount of money paid by a financial institution ?,NUM:money,0.9273
NUM:money," What currency is $50 ?
 , .",NUM:money,0.8633
NUM:money," What is the average salary of an analyst ?
 : salaries , including rent, .",NUM:money,0.8506
NUM:money, What does the value of US dollar amount to Europe ?,NUM:money,0.8427
NUM:money, What is the cost of raising money to finance a theater ?,NUM:money,0.8049
NUM:money, What is the price of a coin ? - US dollar,NUM:money,0.8028
NUM:money, What are the average salaries in India for a financial analyst ?,NUM:money,0.7965
NUM:money," What is the price of Brent ? :D
 The market capitalisation for oil has declined from $ to , .",NUM:money,0.7822
NUM:money, How much money do you get for each penny in a dollar coin ?,NUM:money,0.7769
ENTY:sport, What sport did John Cena perform in WWE ? A : Wrestling ],ENTY:sport,0.895
ENTY:sport, What sport do you play ? (USL '85) French football : English rowing .,ENTY:sport,0.8471
ENTY:sport," What sport was the best in England ? Why not tennis , baseball & hockey .",ENTY:sport,0.8146
ENTY:sport, What sport will be the greatest in Europe ? : sports ],ENTY:sport,0.8098
