label,text,predicted_label,probability
aircraft,what type of plane is us air flying from pittsburgh to san francisco,aircraft,0.9441
aircraft,What type plane is us air flight 3287 from dallas to denver using,aircraft,0.9245
aircraft,what type plane is us air flying from pittsburgh to boston this morning,aircraft,0.9213
aircraft,what type of plane is us air flying from boston to denver tonight,aircraft,0.9184
aircraft,what type plane is us air from pittsburgh to philadelphia,aircraft,0.9153
aircraft,what type of plane is us air flying from boston to denver today,aircraft,0.9133
aircraft,what type of airplane flies from dallas to toronto that leaves before 8 am today,aircraft,0.891
aircraft,what type of plane is us air flying from philadelphia to boston tomorrow morning,aircraft,0.8847
aircraft,what type of plane is us air flying between denver and boston today,aircraft,0.882
aircraft,what type of plane is flight ua 811 from denver to san francisco,aircraft,0.8705
ground_service,what kind of public transport is there at denver airport to get into downtown,ground_service,0.8147
ground_service,What kind of public transport is there from Denver airport to downtown?,ground_service,0.7488
ground_service,What kind of public land transport is there from pittsburgh airport to downtown Pittsburgh?,ground_service,0.7059
ground_service,What types of public transport services exist from Chicago O'Hare airport to downtown?,ground_service,0.6796
ground_service,What forms of public transport connect Logan Airport with downtown Boston?,ground_service,0.6647
ground_service,what kind of public buses go from pittsburgh airport to downtown please,ground_service,0.5989
ground_service,what kind of limousine services does toronto airport have to get into downtown,ground_service,0.5762
ground_service,What kind of public transport is there from LaGuardia Airport to New York City's downtown area?,ground_service,0.5755
ground_service,What kind of trains connect dallas airport with downtown?,ground_service,0.5715
ground_service,"I am flying into Washington Reagan Airport, what kind of public transport is there to get me downtown from here?",ground_service,0.5697
airfare,what is my total price for coach class tickets from boston to detroit please,airfare,0.834
airfare,What is delta 's lowest price for first class tickets from minneapolis to dallas ?,airfare,0.8138
airfare,what is my first class ticket price from boston to denver going to be please give me all options with fares less than 800 dollars per person inclusive of taxes thanks in advance for your help,airfare,0.784
airfare,what is my total ticket price for two coach class fares from boston to atlanta leaving in january 1999 at noon,airfare,0.7605
airfare,What is my best option for getting to Pittsburgh from Chicago tomorrow at noon with fares under 200 dollars?,airfare,0.7571
airfare,What is the cheapest economy class ticket from Detroit to Philadelphia for next Friday morning?,airfare,0.7419
airfare,what is economy class ticket price from pittsburgh to philadelphia for july eighth tomorrow morning departing before noon please provide lowest possible prices available today,airfare,0.7189
airfare,how much is the least expensive business class ticket from boston to philadelphia for friday evening departure next week,airfare,0.7151
airfare,what is the least expensive economy class ticket between boston to pittsburgh,airfare,0.7127
airfare,how much is united's least expensive business class ticket between denver to boston for july 25th return from august first,airfare,0.7102
flight_time,what is my earliest departure time from dallas to san francisco tomorrow morning,flight_time,0.8569
flight_time,what is my earliest morning departure time from san francisco to boston tomorrow afternoon please,flight_time,0.8202
flight_time,what is the departure time from boston to dallas please,flight_time,0.8136
flight_time,what is the earliest departure time from boston to dallas today,flight_time,0.7741
flight_time,what is the departure time for american airlines from boston to san francisco tomorrow morning,flight_time,0.7552
flight_time,what is my earliest departure from boston to san francisco tomorrow morning,flight_time,0.7345
flight_time,what is my earliest return time from dallas to washington that leaves in less than 24 hours after noon,flight_time,0.7292
flight_time,what time does united leave from philadelphia to atlanta tonight,flight_time,0.7001
flight_time,what time does continental leave denver going to boston tomorrow morning please give me all your different departure options from 6 am until noon that day,flight_time,0.6938
flight_time,what is the earliest morning departure time from pittsburgh to dallas that arrives before 8 am today,flight_time,0.6849
ground_fare,what is your lowest rate for taxi service in dallas fort worth international airport,ground_fare,0.6207
ground_fare,what is my total bill for renting this car including airport fees,ground_fare,0.597
ground_fare,how much is it to rent a car at philadelphia international airport,ground_fare,0.5581
ground_fare,what is my fare for parking at la guardia airport in new york city with hertz international car rentals,ground_fare,0.5331
ground_fare,what is the daily rate for renting a car in boston,ground_fare,0.5301
ground_fare,What is your lowest rate for renting a car at Pittsburgh airport?,ground_fare,0.526
ground_fare,how much does it typically charge to rent a car from boston's logan airport into downtown,ground_fare,0.5106
ground_fare,What is my rate for renting a car at La Guardia airport?,ground_fare,0.5022
ground_fare,What is the fare for renting a car from Los Angeles International Airport?,ground_fare,0.491
ground_fare,What is my total fare for this taxi service to downtown airport?,ground_fare,0.4677
abbreviation,what is y with aps code h2o1w4a39e3h5b74p9q7d8i12r6t0g28l36j11k13n35v37u33m38y44z45f41c54r20 please explain it further,abbreviation,0.8398
abbreviation,what is ap fare code f8a 1,abbreviation,0.7833
abbreviation,what is aps mean in my fare code yxap9d4a7e1g6r2y5n8q0h3m,abbreviation,0.7461
abbreviation,what is apf in fare code descriptions please explain its significance,abbreviation,0.7419
