label,text,predicted_label,probability
quantity, how many american air flights are there from philadelphia to atlanta,quantity,0.6908
quantity, how many first class fares are there from baltimore to dallas,quantity,0.6569
quantity, how many different classes are there for continental first class,quantity,0.6497
quantity, how many first class fares are there between boston and los angeles,quantity,0.6383
quantity, how many one way tickets are there from baltimore to san francisco,quantity,0.6339
quantity, how many us airways first class roundtrip fares are there from los angeles to atlanta,quantity,0.6339
quantity, how many flight are there from boston to dallas,quantity,0.6252
quantity, how many united first class fares are there from pittsburgh to dallas,quantity,0.6192
quantity, how many different fares are there from dallas to boston,quantity,0.6119
quantity, how many american airlines 737 planes are there with a first class section,quantity,0.6113
airline, which airline has flights from pittsburgh to boston,airline,0.8022
airline, which airline has the shortest flights from boston to denver,airline,0.7987
airline, which airline has flights from dallas to baltimore,airline,0.7707
airline, which airline flies from san francisco to st louis,airline,0.763
airline, which airline has flights from pittsburgh to san francisco,airline,0.7619
airline, which airline flies from denver to pittsburgh,airline,0.76
airline, which airline flies from pittsburgh to san francisco,airline,0.7598
airline, which airline has flights from pittsburgh to san diego,airline,0.7585
airline, which airline flies from denver to san diego,airline,0.7559
airline, what airline flies from dallas to pittsburgh,airline,0.749
meal, what kind of meals are served aboard american flight 1462,meal,0.4893
meal, what kind of meals are served in first class on american 767s,meal,0.4838
meal, what meals are served in first class from philadelphia to milwaukee,meal,0.4589
meal, what kind of meals are served aboard first class airplanes,meal,0.4538
meal, what meals are served in first class from boston to dallas,meal,0.4445
meal, what meals are served in first class from washington to dallas,meal,0.4421
meal, what meals are served from minneapolis to philadelphia,meal,0.4367
meal, what meals are served in business class from boston to washington,meal,0.4319
meal, what meals are served from boston to san diego,meal,0.4281
meal, what kind of meals are served in business class from atlanta to boston,meal,0.4263
abbreviation, what does fare code ap mean on canadian airlines international,abbreviation,0.7733
abbreviation, what does fare code x mean on southwest airlines international,abbreviation,0.7586
abbreviation, what does fare code k mean on canadian airlines international,abbreviation,0.7582
abbreviation, what does us mean in terms fare code for united airlines,abbreviation,0.7431
abbreviation, what does fare code h mean for united airlines international,abbreviation,0.7412
abbreviation, what is us fare code f4n rdu dca,abbreviation,0.7365
abbreviation, what does us mean on a fare code for american airlines,abbreviation,0.731
abbreviation, what does us mean on priceline fare listings,abbreviation,0.7296
