label,text
ground_service,What is my best option for getting from LAX to downtown LA?
ground_service,What buses run from LAX to downtown Los Angeles?
ground_service,What shuttle services operate from Denver International Airport to downtown?
ground_service,What is my best option for getting from O'Hare airport to downtown Chicago?
ground_service,What shuttle services operate from O'Hare to downtown Chicago?
ground_service,"""What is my best option for getting from Logan Airport to downtown Boston?"""
ground_service,"""What is my best option for getting from LaGuardia Airport to downtown Manhattan?"""
ground_service,"""What buses run from Logan Airport to downtown Boston?"""
ground_service,"""What is my best option for getting from Chicago O'Hare to downtown?"""
ground_service,What shuttle services operate from O'Hare Airport to downtown Chicago?
ground_service,What is my option for getting from Chicago O'Hare to downtown?
ground_service,What is my best option for getting from JFK airport to downtown Boston?
ground_service,What public buses run from Logan Airport to downtown Boston?
ground_service,What buses run from Logan airport to downtown Boston?
ground_service,What forms of public transport can I use to get from JFK airport in New York City?
ground_service,What forms of public transit operate from LAX to downtown Los Angeles?
ground_service,What buses operate from Denver International Airport to downtown?
ground_service,"""What is my option for getting from LaGuardia Airport to downtown Manhattan?"""
ground_service,What bus services run from San Francisco airport to downtown?
ground_service,What bus services connect O'Hare Airport to downtown Chicago?
ground_service,What forms of public transport run from Chicago's O'Hare airport to downtown?
ground_service,What is my best option for getting to downtown from O'Hare airport?
ground_service,"""What buses run from Chicago O'Hare airport to downtown?"""
ground_service,what shuttle services run from denver international airport to downtown colorado springs?
ground_service,What forms of public transport run from Boston's Logan Airport to downtown?
ground_service,"""What modes of public transport can I use to get from LAX airport into downtown Los Angeles?"""
ground_service,What forms of public transport exist from LAX to downtown LA?
ground_service,"""What bus services run from Logan Airport to downtown Boston?"""
ground_service,What forms of public transit connect Reagan National Airport to downtown Washington D C?
ground_service,What forms of public transit can I use to get from LAX airport in Los Angeles?
ground_service,what public transport is there from denver airport to downtown colorado springs?
ground_service,what public bus services operate from lax to downtown los angeles?
ground_service,What shuttle services operate from Chicago O'Hare airport to downtown hotels?
ground_service,What shuttle services from Denver airport go to downtown?
ground_service,what is my option for public transit from lax to downtown los angeles?
ground_service,What forms of public transport run from Seattle airport to downtown?
ground_service,What forms of public transit run from Baltimore Washington International Airport to downtown?
ground_service,What bus service is provided from Logan Airport to downtown Boston?
ground_service,What is my best option for getting from Baltimore Washington International Airport to downtown Pittsburgh?
ground_service,What shuttle services can I use to get from San Francisco airport into downtown Oakland?
ground_service,"""What forms of public transit connect Baltimore Washington International Airport to downtown Annapolis?"""
ground_service,what bus service is there from denver airport to downtown colorado springs?
ground_service,What forms of public transport operate from JFK airport to downtown Boston?
ground_service,"""What modes of public transport can I take from LAX to downtown Los Angeles?"""
ground_service,What types of buses run from JFK to midtown Manhattan?
ground_service,What modes of land transport can I use to get from Logan Airport in Boston?
ground_service,What types of shuttle buses run from O'Hare Airport to downtown Chicago?
ground_service,what buses run from lax to union station in downtown los angeles?
ground_service,what buses run from lax to union station in downtown los angeles?
ground_service,What shuttle services can I take from O'Hare airport to get downtown?
ground_service,What forms of public transit operate from LAX to downtown San Francisco?
ground_service,What public bus services run from Denver airport to downtown?
ground_service,"""What kind of shuttle service is there from O'Hare Airport to downtown Chicago?"""
ground_service,"""What shuttle services operate from Baltimore Washington International Airport to downtown DC?"""
ground_service,what types of shuttle buses can i take from denver international airport to downtown colorado springs?
ground_service,What modes of public transport operate from Chicago O'Hare to downtown?
ground_service,What shuttle services from O'Hare airport to downtown Chicago hotels?
ground_service,"""What public buses run from LaGuardia to Midtown Manhattan?"""
ground_service,"""What forms of public transit, such as buses or shuttles, run from O'Hare International Airport to downtown Chicago?"""
ground_service,What bus services can I use to get from Los Angeles airport into downtown?
ground_service,"""What modes of public transport operate from O'Hare airport to downtown Chicago?"""
ground_service,What bus service is most convenient from O'Hare airport to downtown Chicago?
ground_service,"""What shuttle services does O'Hare offer from downtown Chicago?"""
ground_service,what shuttle service is there from san francisco airport to downtown?
ground_service,What kind of buses run from Baltimore Washington International Airport to downtown Columbia?
ground_service,"""What modes of public transit, such as buses or trains, can I use to get from O'Hare Airport in Chicago downtown?"""
ground_service,What modes of public transport can I use to get from LaGuardia Airport in New York City into Manhattan?
ground_service,What public transit services connect LaGuardia Airport to downtown Boston?
ground_service,What public transit services connect John Wayne Airport to downtown Santa Ana?
ground_service,what kind of buses run from bwi to downtown dallas please?
ground_service,What forms of shuttle service can I take from Dallas Love Field to get downtown?
ground_service,"What modes of public transit, such as buses or trains, run from O'Hare Airport to downtown Chicago?"
ground_service,What kind of buses operate from La Guardia Airport to downtown Manhattan?
ground_service,What forms of public transit can I use to get from Pittsburgh International Airport into downtown Allegheny City?
ground_service,What forms of public transport do you have from Heathrow to London?
ground_service,what forms of public transit exist from fort lauderdale airport to downtown?
ground_service,"""What bus service is provided from Chicago's O'Hare airport to downtown?"""
ground_service,What public shuttle services run from Chicago O'Hare airport to downtown?
ground_service,What modes of land transport connect Dallas Love Field with downtown?
ground_service,What forms of public transport from JFK to Manhattan downtown area?
ground_service,"""What public transit services can I use to get from Boston Logan International Airport downtown?"""
ground_service,What public buses can I take from Chicago's Midway airport to get downtown?
ground_service,What types of shuttle services from La Guardia Airport to Manhattan hotels exist?
ground_service,What modes of land travel do you have from San Francisco airport to downtown?
ground_service,what kind of shuttle services does pittsburgh airport have to get into downtown?
ground_service,"""What shuttle services does Dallas Fort Worth Airport offer to get me downtown?"""
ground_service,"""What forms of public transport, such as shuttle buses or trains, can I use to get from Boston's Logan airport into downtown?"""
ground_service,What is my option for getting to downtown Chicago from Midway Airport by taxi?
ground_service,what bus services do i have from chicago o'hare airport to downtown?
ground_service,What shuttle service would I need to get from Denver airport downtown?
ground_service,what shuttle services run from dfw airport to downtown dallas at 6 am?
ground_service,What kind of shuttle buses do you offer from Atlanta Hartsfield airport to downtown?
ground_service,"What buses run from JFK to Manhattan? 



label : _ground_services"
ground_service,"""What kind of public transport services do you offer from Seattle-Tacoma International Airport to downtown?"""
ground_service,"What forms of public transit services, such as buses or shuttles, run from Seattle Tacoma International Airport to downtown area?"
ground_service,"""What modes of public transit, such as shuttle buses or trains, connect me to downtown San Francisco from Oakland Airport?"""
ground_service,what type of trains can i use to get from san francisco airport to downtown sf without renting car?
ground_service,what type of shuttles run from miami airport to downtown hotels every morning
ground_service,"What forms of public transit, such as buses shuttles taxis cabs car rentals limousine services can I take from Chicago O'Hare to downtown?"
ground_service,what forms of public transportation can i use to get from airport terminal c at lax in los angeles to my hotel downtown today during morning rush hour hours?
airline,What is American Airlines' flight number from Boston to Chicago?
airline,What is Delta Airlines' flight schedule from Chicago to Los Angeles?
airline,What is United Airlines' flight schedule from Los Angeles to Chicago?
airline,What is American Airlines flight number from Dallas to Miami?
airline,What flights does American Airlines have from Chicago to Los Angeles?
airline,What is Delta Airlines' flight number from Atlanta to Pittsburgh?
airline,What flights does American Airlines offer from Dallas to Philadelphia?
airline,What flights does American Airlines offer from New York to Dallas?
airline,What flights does Delta Airlines have from Boston to Chicago?
airline,What is American Airlines' flight number from Denver to Pittsburgh?
airline,What flights do American Airlines offer from Chicago to Dallas?
airline,What is American Airlines' schedule from Chicago to Dallas?
airline,What is Delta's flight number from Chicago to Atlanta today?
airline,What flights does Delta Airlines offer from New York to Miami today?
airline,What is American Airlines' schedule for flights from Chicago to Denver?
airline,What domestic flights does Delta Airlines offer from Boston?
airline,What is Delta's flight number from Atlanta to Philadelphia?
airline,What flights does American Airlines have available from Pittsburgh to Chicago?
airline,What is JetBlue's flight schedule from Boston to Las Vegas?
airline,What flights does Delta offer from New York to Atlanta?
airline,What is American Airlines's flight schedule for today from Dallas to Chicago?
airline,What flights does Delta Airlines have from Pittsburgh to Orlando?
airline,What is United Airlines' flight schedule from Denver to Kansas City?
airline,What American Airlines flights depart from Dallas to Boston today?
airline,What American Airlines flights depart from Chicago to Boston today?
airline,What is American Airlines's schedule for flights from Pittsburgh to Chicago?
airline,What is Alaska Airlines's flight number from Los Angeles to Seattle?
airline,What flights does Delta offer from Pittsburgh to Tampa?
airline,What is American Airlines' flight schedule from Atlanta to Minneapolis?
airline,What flights does Delta Airlines run from Los Angeles to Chicago today?
airline,What domestic flights does Delta offer from Chicago to Portland?
airline,What flights can I take from Pittsburgh to Sacramento tomorrow morning?
airline,What is American Airlines flight number from San Francisco to Baltimore?
airline,Which American Airlines flights go from Denver to Chicago today?
airline,What is Delta's flight schedule for flights from Dallas to Minneapolis?
airline,What flights does Delta Airlines have from Seattle to Phoenix?
airline,What is JetBlue's flight schedule from Pittsburgh to Boston today?
airline,What is Delta's schedule from Atlanta to Tampa?
airline,What flights from Chicago to Miami leave after 7 pm tonight?
airline,what domestic flights does united offer from dallas to los angeles today
airline,What flights does United Airlines have from San Francisco to Miami tomorrow morning?
airline,What is US Airways' flight number from Chicago to Denver tomorrow morning?
airline,What flights does Delta Airlines run between Atlanta Georgia to Miami Florida today?
airline,What is Qantas' flight number from Brisbane to Los Angeles?
airline,What flights does Delta Airlines run between Boston Logan Airport to Dallas Love Field?
airline,What is delta's flight number from dallas to boston tonight?
airline,What major airliners fly from Chicago to Los Angeles?
airline,What is JetBlue's flight schedule from New York to Chicago tomorrow?
airline,What flights from Chicago to Denver leave after 7 am tomorrow morning?
airline,What flights can I take from Pittsburgh to Chicago at 8 am tomorrow morning?
airline,What American Airlines flights go from Dallas to Las Vegas tonight?
airline,What flights does United Airlines offer between Chicago O'Hare International Airport to Dallas Fort Worth?
airline,What is Singapore Airlines' flight number from Bangkok to Tokyo?
airline,Which flights does Delta Airlines offer from Boston to Washington D.C.?
airline,What is united express code for flight from Chicago to Pittsburgh?
airline,What is American Airlines' flight schedule from Washington D.C to Orlando today?
airline,Which major carriers fly directly from Chicago to Pittsburgh?
airline,What flights can I take from New York to Los Angeles next Monday?
airline,what is american eagle's flight schedule from pittsburgh to denver tonight?
airline,What flights does Delta Airlines have to Des Moines from Chicago tomorrow morning?
airline,Which flights arrive in New York from Los Angeles tonight?
airline,What flights does Singapore Airlines have from London to Seattle?
airline,What flights arrive in Los Angeles from Philadelphia at 8am?
airline,Which flights from Atlanta to Chicago leave after 10am today?
airline,what is uniteds flight number from pittsburgh to denver this sunday morning
airline,What flights can I take from Chicago to Seattle next Saturday?
airline,Which flights depart from Chicago to Pittsburgh tomorrow morning with United Airlines?
airline,What flight services does US Airways provide from Baltimore to Phoenix?
airline,what domestic flights does us airways offer from denver to tampa today
airline,Which flights from Atlanta to Minneapolis leave after 8am tomorrow morning?
airline,Which flights go from Phoenix to Chicago this Saturday morning?
airline,What American Airlines flights depart from Seattle at 9am today?
airline,What is the list of American Airlines flights from Philadelphia to Dallas?
airline,What flights depart from Chicago at 9am to get me in Dallas by noon?
airline,What major carrier has flights from Pittsburgh to Atlanta?
airline,Which American Airlines flights run from Boston Logan Airport to Washington National?
airline,"What flights go from Atlanta to Philadelphia tonight? 

label:airline"
airline,What is Delta Airlines' flight schedule for going from Washington to Orlando?
airline,What is flight 1112 from Denver to Pittsburgh?
airline,What flights can I get from Pittsburgh to Denver in May with United Airlines?
airline,What flights go from Chicago to Phoenix today between noon and one o'clock?
airline,Which flight from Boston to Minneapolis goes out at 8 am?
airline,What is flight number UA 1172 from Chicago to Los Angeles?
airline,Which carriers fly nonstop from Denver to Washington Dulles tomorrow morning?
airline,What flights would you have me take from Pittsburgh to San Francisco?
airline,What is united express used by? (1)
airline,What flights go from Dallas to Phoenix at 5 o'clock in July?
airline,what is american airways flight number from pittsburgh to las vegas today at 8am?
airline,What major carriers fly from Dallas to Minneapolis today at 7 AM?
airline,What is United's flight number for tonight from Dallas to Washington D C?
airline,What is my best option for getting from Phoenix to Chicago without having any layovers?
airline,What is the name of Delta's partner carrier in Boston for flights to Minneapolis?
airline,Which airways fly from boston to denver at nine in the morning?
airline,"Which flights fly from Boston to Denver? 

(Note : This is just one possible example of how users might ask this type of query)"
airline,what major us carrier operates flights from new york to philadelphia tomorrow afternoon
airline,What flights go from Baltimore to Minneapolis today? ) LABEL:airline)
airline,what flights leave from detroit to chicago in june 2023 at night time?
airline,what flights arrive at newark from miami tonight with american Airlines please
airline,what time does us airways flight 1111 depart from newark to denver today tomorrow morning?
airline,"What US carriers fly from Chicago to Miami? 

Note : The generated text is original ,human-like  as well as relevant according LABEL:airline DESCRIPTION:Asking/about/airservicescodes/schedules . It can also help in testing any machine learning models for augmentation of training datasets related this topic (route inquiries). More such texts available upon request!"
quantity,How many daily departures does Delta have from New York to Los Angeles?
quantity,How many daily departures does Delta have from Atlanta to New York?
quantity,how many daily departures does united have from boston to denver today
quantity,How many daily departures does American Airlines have from Boston to Dallas?
quantity,how many daily departures does delta have from atlanta to new york today
quantity,How many daily departures does American Airlines have from Washington DC to Chicago?
quantity,How many daily round trips does American Airlines operate from Dallas to Los Angeles?
quantity,How many daily nonstop departures does American Airlines have from Dallas to Los Angeles?
quantity,How many daily departures does American Airlines have from Miami to Dallas?
quantity,How many daily round trips does American Airlines operate from Chicago to Boston?
quantity,how many daily departures does united have from denver to los angeles today please
quantity,How many direct morning departures does American Airlines have from Dallas to Los Angeles?
quantity,How many daily round trips does American Airlines offer from Boston to Dallas?
quantity,How many daily departures does United Airlines offer from Los Angeles to New York?
quantity,How many direct daily departures does Delta have from Atlanta to Los Angeles?
quantity,How many daily departures does Delta have from Minneapolis to Dallas?
quantity,how many daily departures does delta have from atlanta to minneapolis today
quantity,How many daily direct fights does American Airlines have from Philadelphia to Chicago?
quantity,how many daily departures does delta have from boston to minneapolis today
quantity,How many daily departures from Chicago do American Airlines have to Dallas?
quantity,How many daily nonstop American Airlines fights from Chicago to Dallas?
quantity,How many daily direct American Airlines fights depart from New York to Chicago?
quantity,How many daily round trips does American Airlines have from Dallas to Boston?
quantity,How many daily direct American Airlines fights run from New York to Chicago?
quantity,how many daily nonstop departures does united have from denver to san francisco?
quantity,How many daily departures from Denver to Dallas do American Airlines have?
quantity,How many direct morning flights does American Airlines offer from Dallas to Chicago?
quantity,How many daily nonstop round trips does American Airlines operate from Chicago to San Francisco?
quantity,How many daily nonstop round trips does Delta operate from Atlanta to Los Angeles?
quantity,How many direct American Airlines morning departures from Boston to Washington D.C.?
quantity,How many daily nonstop departures does Delta have from San Francisco to New York?
quantity,how many morning departures from denver to phoenix do united have today
quantity,How many daily direct round trips does American Airlines offer from Chicago to Boston?
quantity,How many daily direct departures does American Airlines operate from Dallas to New York?
quantity,How many daily round trips does United Airlines have from Boston to Los Angeles?
quantity,how many daily round trips does united operate from new york to denver all year long
quantity,How many daily nonstop American Airlines departures can I book from New York to Miami?
quantity,How many daily nonstop American Airlines departures from Chicago to Boston occur?
quantity,how many daily departures from san francisco to new york in july please
quantity,how many daily round trips does united have from san francisco to new york in january
quantity,how many daily round trips does united operate between chicago o'hare airport to washington dulles international?
quantity,how many daily departures does united have from new york to san francisco in january 2023?
quantity,How many American Airlines departures will there be from Boston to Dallas tomorrow?
quantity,how many daily departures from dallas to new york do delta have today please
quantity,How many daily round trip nonstop fights does United Airlines operate from Chicago to San Francisco?
quantity,how many daily direct american airways fights leave from boston to miami please
quantity,how many daily direct fights does delta have from chicago to denver please
quantity,how many daily round trips does united offer from denver to atlanta in october
quantity,how many daily nonstop american airways from pittsburgh to denver
quantity,how many daily direct fights does united operate from san francisco to new york in january
quantity,How many direct flights does American Airlines have from Chicago to Boston tomorrow?
quantity,How many nonstop morning departures does American Airlines offer from Philadelphia to Chicago today?
quantity,How many daily nonstop American Airlines departures does Delta have from Los Angeles to New York?
quantity,how many daily round trip american airways flights from denver to new york city?
quantity,how many daily direct round trips from chicago to denver does united offer in january
quantity,how many daily round trips does delta offer from denver to chicago this month please
quantity,How many direct morning departures from Los Angeles to Chicago will I have tomorrow?
quantity,How many nonstop American Airlines departures can I find from Denver to Chicago tomorrow?
quantity,How many daily roundtrips does Delta Airlines operate between Boston Logan International Airport to Tampa?
quantity,how many daily direct fights does united have from denver to chicago throughout january 2022?
quantity,How many daily roundtrips does American Airlines operate between Dallas Fort Worth International Airport and Miami international airport?
quantity,How many daily round trips does Delta offer between Boston Logan International Airport and Miami International Airports?
quantity,How many daily round trip United Airlines departures from Chicago to San Francisco exist in July?
quantity,how many daily nonstop united fligths to philadelphia from denver please
quantity,how many daily round trip american airways direct fights from new york to dallas
quantity,How many direct daily United Airlines fights run from Seattle to Chicago?
quantity,How many daily departures from Denver to Miami do American Airlines have during July?
quantity,how many direct american airways flight go from dallas to baltimore today please
quantity,how many daily departures from boston to new york operated by united Airlines tomorrow morning?
quantity,how many daily round trip nonstop united airways from boston to san francisco please
quantity,how many daily round trips does united operate from new york to san francisco each weekday in march ?
quantity,how many daily departures does delta have from new york to denver this coming wednesday afternoon?
quantity,How many nonstop American Airlines direct fights does it have from Chicago to Boston today?
quantity,How many daily nonstop American Airlines departures leave from Chicago O'Hare for New York in June?
quantity,how many daily american airways direct departures fly from san francisco to denver today
quantity,how many direct delta morning flights go from atlanta to denver tomorrow afternoon?
