label,text,predicted_label,probability
airline, which airline is usabflightgroundservice,airline,0.9453
airline, what is airline usflightabbreviationus flight,airline,0.8834
airline," what is airline us
 package ground_service",airline,0.8551
airline, which airline has the most business classflight,airline,0.8286
airline, what airline is hou first classflight,airline,0.8178
airline, which airline has the most business class flights to atlanta,airline,0.7761
airline, what airline is us air with the code ua,airline,0.7642
airline, what airline is us Air and america both,airline,0.7478
airline, what airline is flight ua 271,airline,0.746
airline, which airline has the most flights to denver,airline,0.7369
ground_service, what is the ground transportairport limousine service in la,ground_service,0.7202
ground_service, what limousine service is provided at the baltimore airport,ground_service,0.6911
ground_service, is there a limousine service at the denver airport,ground_service,0.687
ground_service, what limousine service is in boston at the airport,ground_service,0.6699
ground_service, is there a limousine service at the phoenix airport,ground_service,0.6614
ground_service, what 's the ground transportairportground service in denver,ground_service,0.6336
ground_service, what is the airport limousine service in boston,ground_service,0.6245
ground_service, what type of limousine service is provided at the denver airport,ground_service,0.621
ground_service, what limousine service is in the atlanta airport,ground_service,0.6165
ground_service, what is the type of ground transport in denver,ground_service,0.6077
flight," list all american airline afternoon flights from dallas to milwaukee
 # 651024 |airfare|",flight,0.6924
flight, show me all the united airlines first class nonstop morning flights from denver to san francisco,flight,0.606
flight, show me all afternoon american airlines flights from philadelphia to san francisco,flight,0.6059
flight, show me all morning united airlines first class flights from denver to san francisco,flight,0.5972
flight, show me all us air flight departures to dallas from pittsburgh,flight,0.5943
flight, show me all northwest airlines afternoon nonstop flights from denver to san francisco,flight,0.557
flight, list the united airline morning flight from san francisco to washington,flight,0.5465
flight, show me us air flight 271 from boston to san francisco,flight,0.5445
flight, show me the afternoon us air flight from milwaukee to san francisco,flight,0.5315
flight, list the aa morning flight from san diego to milwaukee,flight,0.5234
aircraft, what aircraft type hasflighttimeabbreviation ua260,aircraft,0.9432
aircraft, what kindflight does american aircraft use with first class,aircraft,0.7366
aircraft, tell me what type of aircraft flies from boston to atlanta,aircraft,0.7313
aircraft, tell me type of aircraft that flies from philadelphia to washington,aircraft,0.7276
aircraft, what type aircraft flies from pittsburgh to baltimore,aircraft,0.7181
aircraft, i 'd like to know what type of aircraft american flies from boston and washington,aircraft,0.7177
aircraft, what type of aircraft flies from pittsburgh to baltimore,aircraft,0.7159
aircraft, what is airplane f28 'flight_no,aircraft,0.692
aircraft, tell me what type of aircraft is flown from atlanta to baltimore,aircraft,0.6874
aircraft, what type of aircraft flies from atlanta to boston,aircraft,0.6845
airport, list california arizona nevada airports with airport codes,airport,0.916
airport, list california nevada arizona airports,airport,0.8804
airport, list california nevada arizona andflorida airports,airport,0.8684
airport, list california nevada arizona airport codes,airport,0.862
airport, list new york airport and washington dc airports,airport,0.8608
airport, list all the airports at la guardia and jfk,airport,0.7948
airport, list calabground airport neary los angeles,airport,0.774
airport, list laflabground airport near lansdowne,airport,0.7523
airport, tell me all the airports at boston airport,airport,0.7266
airport, show me all the california nevada arizona airports,airport,0.7104
abbreviation, what does yn mean whenflight isairfare code,abbreviation,0.8837
abbreviation, what is fare code hflsfla y,abbreviation,0.8694
abbreviation, what does yn mean as far aairfare,abbreviation,0.8213
abbreviation, what is ffairfare code ap57,abbreviation,0.7444
abbreviation, what is fare code ynqo qfl,abbreviation,0.7177
abbreviation, what is fare code hairflight_groundfare,abbreviation,0.7075
abbreviation, what is fare code kqoairlineflightkgroundservice,abbreviation,0.7075
abbreviation, what is fare code fgroundserviceairfarecode,abbreviation,0.7075
abbreviation, what is fare code hfls 948,abbreviation,0.6922
abbreviation, what is restriction ap57 with fare code h,abbreviation,0.6318
flight_time, i would like to see your departure time from boston to atlanta,flight_time,0.7745
flight_time, what is delta 's earliest departure time from atlanta to denver,flight_time,0.5916
flight_time, please list the flight time from boston to washington,flight_time,0.5251
flight_time, please list afternoon flight time from boston to atlanta,flight_time,0.4701
flight_time, what time does twa fly from washington to denver,flight_time,0.4531
flight_time, i would like to see your earliest flight time from boston to san francisco,flight_time,0.4409
flight_time, what time does flight ua 457 from washington to san francisco leave,flight_time,0.4256
flight_time, what are your flight schedules from boston to san francisco,flight_time,0.4175
flight_time, what is united 's earliest morning departure from washington to atlanta,flight_time,0.409
flight_time, please list flight time from boston to detroit,flight_time,0.3955
city, which city is nearest to general mitabairport,city,0.6923
city," what city is mco
 TheairportcodefororlandointernationalisMCO",city,0.6788
city, where is phfla in florida and what city,city,0.6606
city," what city is mco
 # 5942 /airport/mco",city,0.624
city," what city is mco
 # 180674 relatedairportflightinformationfororlandointernationalairporthankyou",city,0.624
city, what city is mairport la guardia in new york,city,0.5238
city, what city is mairport in new york,city,0.4904
city, which city does eastern fly into withairport code mco,city,0.4846
city, where in california is mfla airport located,city,0.481
city, what city is mco airport located in Orlando,city,0.457
quantity, how many first class unitedflightaircrafts with service,quantity,0.6118
quantity, how many first class unitedflight uabflights with stopovers,quantity,0.5466
quantity, how many first class us airflights has united,quantity,0.4593
quantity, how many first class airline seats between boston and atlanta,quantity,0.4527
quantity, how many united airline first class seats are there,quantity,0.4466
quantity, how many american airline first class tickets are there,quantity,0.4403
quantity, how many fares are one way between boston and pittsburgh,quantity,0.4297
quantity, how many first class american airline reservations are there,quantity,0.414
quantity, how many first class united airlineflights leave denver,quantity,0.3912
