label,text,predicted_label,probability
DESC:def, What is the difference between a telescope and binoculars ?,DESC:desc,0.1436
DESC:def, What is the difference between a telescope and binoculars ?,DESC:desc,0.1436
DESC:def, What is the difference between a hub and switch ?,DESC:desc,0.1483
DESC:def, What is the difference between a screw and bolt ?,DESC:desc,0.1307
DESC:def, What is the difference between a generator and an alternator ?,DESC:desc,0.1511
DESC:def, What is the difference between an alloy and a mixture ?,DESC:desc,0.1153
DESC:def, What is the theory of equivalence states ? | #question,DESC:desc,0.0924
DESC:def, What is a person 's zygote ?,ENTY:other,0.077
DESC:def, What does the name Shane mean ? | tldr,DESC:def,0.1049
DESC:def, What is a conifer ? | #explore,DESC:def,0.0974
DESC:def, What does the name Aaron mean ? | tldr ;,DESC:def,0.09
DESC:def, What is the difference between a truss bridge and an arch ?,DESC:desc,0.1626
DESC:def, What is the purpose of a fulcrum ?,DESC:desc,0.0955
DESC:def, What is a person who studies the stars called ?,HUM:ind,0.192
DESC:def, What is the difference between a telescope and spectroscope ?,DESC:desc,0.1405
DESC:def, What is a `` doppelganger '' ?,DESC:def,0.1372
DESC:def, What does the name Shawn mean ? | tldr,DESC:def,0.1035
DESC:def, What does the U.S. Coast Guard do ?,HUM:title,0.1521
DESC:def, What does the name Aaron mean ? | #name,DESC:def,0.0956
DESC:def, What is the difference between an arch and a vault ?,DESC:desc,0.168
DESC:def, What is a person 's social status ? .,HUM:title,0.1506
DESC:def, What does the name Bethany mean ? | tldr ;,ABBR:exp,0.0918
DESC:def, What is the difference between a corgi and dachshund ?,DESC:desc,0.1564
DESC:def, What is a person who studies fossils called ? | #fossil,HUM:ind,0.1897
DESC:def, What does the name Richard mean ? | eg.,DESC:def,0.1058
DESC:def, What is the theory of comparative advantage ? | #question,DESC:desc,0.0858
DESC:def, What is the name of a person who collects bottle caps ?,HUM:ind,0.159
DESC:def, What is the difference between a trampoline and rebounder ?,DESC:desc,0.1458
DESC:def, What is the meaning of ` beethoven ' ?,DESC:desc,0.1104
DESC:def, What is the theory of equivalence relations ? | #english,ENTY:termeq,0.0874
DESC:def," What does the theory of relativity explain ? ,",DESC:desc,0.102
DESC:def, What does `` the ball is rolling '' mean ?,DESC:def,0.1304
