label,text
ground_fare,one way ground fare
ground_fare,service charge on ticket
ground_fare,fare between atlanta and boston
ground_fare,service charge
ground_fare,airport to city transportation cost
ground_fare,airfares to ground fare
ground_fare,fare between ground and air transport
ground_fare,fee for ground transportation
ground_fare,fare
ground_fare,ticket ground fare
flight_time,list all flights that leave between 7 pm and midnight
flight_time,how long does it take to fly from baltimore
flight_time,how long is flight from san francisco to new york in hours
flight_time,show me all flights from boston to san diego on august 3
flight_time,find me flights leaving san francisco before 60
flight_time,what is the flight time from baltimore to dallas
flight_time,flight time from philadelphia to los angeles
flight_time,how long is a flight from chicago to denver
flight_time,what time do flights out of boston leave for atlanta
flight_time,list a flight from baltimore to dallas leaving at 8 am
capacity,capacity of bags on american ]
capacity,easy capacity
capacity,of capacity for baltimore
capacity,of what is the luggage allowance for southwest flights
capacity,list the maximum number of seats in a class
capacity,e1 capacity
capacity,of what capacityis the 738
capacity,of what kind is the a320 capacity ]
capacity,premium capacity on delta ]
capacity,of capacity class at baltimore does it have 10 seats
restriction,with restriction at charlotte nc
restriction,of what is restriction in baltimore
restriction,in san jose airport
restriction,code for travel restrictions
restriction,are there any restrictions on what kind of a car can be rented in boston
restriction,restrictions in airport
restriction,limit on number of passengers
restriction,are there restrictions on travel to san francisco
restriction,of restrictions in flights
restriction,to and from airport
city,where is city
city,that city whose code is phx
city,that has flights to boston
city,of what cities are southwest airlines flying to
city,of all cities
city,of what cities can i find a flight to boston
city,that city which has a flight from boston
city,of cities that have city in name
city,in which city does united fly a b290
city,which city has an airport
meal,list meals on delta flight 582
meal,on what flights is meal included
meal,time meal in chicago
meal,time of morning flight
meal,times of departure from los angeles to san francisco
meal,meal rate of continental
meal,flights from lafayette indiana to baltimore
meal,service meal
meal,time meal
meal,airfare meal
aircraft,-is it airbus a320
aircraft,that aircraft is called what
aircraft,types of aircraft that are available for rent in chicago
aircraft,code of a plane that flies from denver to kansas city
aircraft,code for aircraft
aircraft,- airplane or aircraft
aircraft,code for aircraft 732
aircraft,code for aircraft
aircraft,-isitpossibletomakethebookingbyphoneandgettheticketinperson ]
aircraft,code for airplane
airfare,cheap airfares from denver to boston
airfare,code sharing airline with american
airfare,from portland to dallas
airfare,code for airfares
airfare,] airline that has lowest fare between boston and pittsburgh
airfare,of all airlines what is the cheapest airline with service from houston to boston
airfare,of air fare from chicago to denver
airfare,from denver to san francisco airfares
airfare,fareairline
airfare,code s for fare air
flight_no,"find flight from boston to florida using city pairs
```"
flight_no,list flight numbers from baltimore
flight_no,what flights are leaving from new york for san diego
flight_no,show me flights leaving boston before 8 am
flight_no,what are flight numbers for dallas
flight_no,list me flight number 50
flight_no,show me flights from boston to pittsburgh on monday
flight_no,i want to fly from boston and come back
flight_no,show me all the flights to san diego on tuesday
flight_no,i want to fly from seattle on a monday
abbreviation,"what does the abbreviation a.a mean
13924	[SPELLING_ERROR:sphinges]"
abbreviation,is mco code for denver
abbreviation,list abreveiation of airports in florida
abbreviation,what does a stand for
abbreviation,what does abbv stand for
abbreviation,what does pbi mean
abbreviation,what does o and d mean in a car rental
abbreviation,what is the abb of airport
abbreviation,what is airline code
abbreviation,what is abb
quantity,of all cities with population greater than 10
quantity,of a boeing 738 how many passengers
quantity,of
quantity,of air in a 75x12 cabin
quantity,of the quantity
quantity,of flights from denver to boston
quantity,of flights at boston
quantity,of the flights from pittsburgh
quantity,of how much is a ticket on continental
quantity,of quantity
airline,codeshare with airline
airline,code for a air carrier
airline,that has a 250pm flight ]
airline,for airplane
airline,of what airlines fly from denver to portland
airline,codeshare air carrier
airline,code sharing
airline,of what airports in the los angeles area does delta fly
airline,that is an airplane ]
airline,which is the air carrier that serves boston's logan airport
flight,from baltimore flight number
flight,from boston to denver
flight,times of flights from boston to pittsburgh
flight,number of flights leaving boston airport after 7
flight,time flight out of chicago
flight,times on flight 513
flight,times flights from pittsburgh
flight,times of all flights that arrive in houston after 8 pm
flight,number of flights from chicago to boston at 530 pm
flight,"list all flights from boston to pittsburgh at 7 am
Show me the flight number for a us airways plane flying into washington dc leaving in 20 minutes"
airport,code for airport in cleveland
airport,ports that have airplane
airport,portland airport code
airport,code for portland maine airport
airport,"port of washington, airport"
airport,code for dallas airport
airport,code for boston
airport,-what is the name of airport in cleveland ohio
airport,- i need airports ]
airport,- list of airports located in baltimore maryland
day_name,what day of week is july 28th
day_name,of all airports that have flights on monday in which city is the departure
day_name,of what day is september
day_name,name days
day_name,of flights from boston to pittsburgh on wednesday
day_name,of day name is thursday
day_name,ofairport what time is the first flight to cleveland in morning
day_name,name day of person born november 14
day_name,airline flights from newark to boston at 10 pm
day_name,is there a night bus from atlanta to houston
distance,between city and distance from baltimore
distance,between baltimore and new york fare
