label,text,predicted_label,probability
LOC:mount," What mountain is the highest peak in Africa ? ,",LOC:mount,0.7615
LOC:mount, Which mountain range forms the eastern escarpment of South Africa ?,LOC:mount,0.7508
LOC:mount, What was the highest mountain on earth before Mount Everest ?,LOC:mount,0.6835
LOC:mount, Where in Africa is Mount Kilimanjaro located ?,LOC:mount,0.6771
LOC:mount," Where do people mountain climb in Nepal ? , In which continent are the tallest peaks of Mount Kenya located on",LOC:mount,0.6286
LOC:mount, What are the highest mountain range in Africa ? The Atlas Mountains .,LOC:mount,0.5888
LOC:mount," What is the highest mountain in Europe ? Which African country has Africa 's tallest peak , Mount Kilimanjaro at 19 .",LOC:mount,0.579
LOC:mount, Which is the second-highest mountain in Italy ?,LOC:mount,0.5615
LOC:mount, What is the highest mountain in Africa ? The tallest peak on Mount Kenya measures how many feet above sea level?,LOC:mount,0.5335
LOC:mount," What is the highest mountain in North America ? ,",LOC:mount,0.5065
ENTY:instru," What instrument did Pavarotti sing ? , he played guitar .",ENTY:instru,0.5848
ENTY:instru," What instrument does Benny Carter , jazz clarinetist / composer, prefer to use ?",ENTY:instru,0.5403
ENTY:instru," Ray Charles plays what instrument ? , The saxophone .",ENTY:instru,0.5135
ENTY:instru," What instrument does Benny Carter , jazz clarinetist-composer-arranger-saxophon .",ENTY:instru,0.4723
ENTY:instru," What instrument does Benny Carter plays ? , what music did john lennon write",ENTY:instru,0.4722
ENTY:instru, Which instrument does Itzhak Perlman prefer playing ?,ENTY:instru,0.4551
ENTY:instru," What instrument does Benny Carter , jazz composer-musician-playwright-producer, perform on ?",ENTY:instru,0.4355
ENTY:instru," What instrument did Benny Carter , Dizzy Gillespie and Coleman Hawkins all play ?",ENTY:instru,0.422
ENTY:instru, What instrument does Benny Carter play ?'What did Jimi Hendrix mainly use to compose his songs?,ENTY:instru,0.4055
ENTY:instru," Which instrument did Benny Carter primarily plays ? . __ _ was a prolific jazz saxophonist , clarinet player",ENTY:instru,0.4039
ENTY:lang," What language is mostly spoken in Argentina ? , Spain",ENTY:lang,0.5
ENTY:lang, What language does the most people speak in Belgium ?,ENTY:lang,0.4291
ENTY:lang," What language is mostly spoken in Brazil ? . ,",ENTY:lang,0.4264
ENTY:lang," What language has the most words ? , How many Gaelic speakers live in Scotland",ENTY:lang,0.416
ENTY:lang, What is the most common language in Belgium ? .,ENTY:lang,0.3639
ENTY:lang, What 's the native language of Ireland ? :,ENTY:lang,0.3629
ENTY:lang, What language has the most words ? . !language,ENTY:lang,0.3553
ENTY:lang, What language has the most words ? - Hindi .,ENTY:lang,0.3525
ENTY:lang, Which language has the most words ? : Turkish .,ENTY:lang,0.3456
ENTY:lang, What language is mostly spoken in Belgium ? . __,ENTY:lang,0.3398
NUM:perc, What percentage of all Americans are Protestant ? %%%,NUM:perc,0.936
NUM:perc, What percentage of Americans own their homes ? %HIDDEN%,NUM:perc,0.877
NUM:perc," What percentage of Americans own their homes ? % ,",NUM:perc,0.8016
