label,text,predicted_label,probability
ground_service,What kind of public transport is there from Denver airport to downtown?,ground_service,0.8682
ground_service,What types of buses connect Logan Airport to downtown Boston?,aircraft,0.5196
ground_service,What kind of bus service is there from Logan Airport to downtown Boston?,ground_service,0.4325
ground_service,what is my option for public transit from pittsburgh airport to downtown please,ground_service,0.4504
ground_service,what is my best option for getting from pittsburgh airport to downtown without renting car,airfare,0.3177
ground_service,What forms of public transport connect Logan Airport with downtown Boston?,ground_service,0.8373
ground_service,what is my best option for getting from pittsburgh airport to downtown in terms of cost effectiveness,airfare,0.6089
ground_service,What is my best option for getting from Boston Logan Airport to downtown?,airfare,0.5539
ground_service,What is my option for public transport from La Guardia Airport to downtown New York City?,ground_service,0.564
ground_service,What kind of train is there from Pittsburgh airport to downtown?,aircraft,0.2074
ground_service,what is my best option for getting from dallas airport to downtown without renting car,airfare,0.2911
ground_service,What is my option for getting from Chicago O'Hare to downtown?,airfare,0.4324
ground_service,what is my best option for getting from denver airport to downtown in terms of cost efficiency,airfare,0.5775
ground_service,What is my option for getting from san francisco airport to downtown?,ground_service,0.341
ground_service,What is my option for getting from Toronto airport to downtown without taking taxis?,airfare,0.3014
ground_service,what kind of public transport is there at denver airport to get into downtown,ground_service,0.9089
ground_service,what kind of public buses go from pittsburgh airport to downtown please,aircraft,0.273
ground_service,what kind of public transport is there in toronto from pearson airport to downtown please,ground_service,0.8909
ground_service,What types of buses connect Philadelphia International Airport with downtown?,aircraft,0.5056
ground_service,what is my best option for getting to downtown from denver international airport in colorado without renting a car,ground_service,0.4767
ground_service,what types of trains go from phoenix airport to downtown phx,flight,0.261
ground_service,What is my option for getting from Baltimore Airport to downtown without renting a car?,ground_fare,0.4813
ground_service,What is my option for getting to downtown Pittsburgh from Washington Airport?,ground_service,0.4261
ground_service,What is my option for getting to downtown Pittsburgh from Washington Airport?,ground_service,0.4261
ground_service,What is my option for getting to downtown Chicago from Midway airport?,ground_service,0.4898
ground_service,what is my choice for getting from dallas airport to downtown please,airfare,0.4655
ground_service,What is my option for public transit from Boston Logan airport to downtown?,ground_service,0.3418
ground_service,What types of buses connect Washington National Airport with downtown D.C.?,aircraft,0.4866
ground_service,what is my best option for getting to downtown from bwi airport in washington dc,ground_service,0.5231
ground_service,what kind of train service is there from boston logan airport to downtown,ground_service,0.5068
ground_service,what is my option for public transit from philadelphia airport to downtown philadelphia,ground_service,0.612
ground_service,What is my cheapest option for getting to downtown Pittsburgh from PIT airport?,ground_service,0.3414
ground_service,what is my option for public transport from boston airport into downtown ma,ground_service,0.708
ground_service,What kind of public land transport is there from pittsburgh airport to downtown Pittsburgh?,ground_service,0.8936
ground_service,what kinds of trains connect denver airport to downtown Denver,flight,0.3205
ground_service,what is my option for getting from philadelphia airport to downtown pennsylvania,ground_service,0.4996
ground_service,what kind of train is there from toronto airport to downtown toronto in canada,flight,0.2152
ground_service,What is my option for getting from la guardia airport to midtown new york,airfare,0.4406
ground_service,what is my best option for getting from pittsburgh airport to downtown Pittsburgh by public transportatio,ground_service,0.4317
ground_service,what is my best option for getting from boston's logan airport to downtown in terms of cost effectiveness please,airfare,0.4991
ground_service,what is my best bet for getting from philadelphia airport to downtown without renting a car please,airfare,0.3164
ground_service,What kind of public transport is there from LaGuardia Airport to New York City's downtown area?,ground_service,0.8637
ground_service,What kind of shuttle bus service is there from San Francisco airport to downtown Oakland?,ground_service,0.3755
ground_service,What kind of trains connect dallas airport with downtown?,flight,0.3484
ground_service,What type of bus is there from San Francisco airport to downtown Oakland?,aircraft,0.49
ground_service,what is my option for getting from san francisco airport to downtown in addition to taxi,ground_service,0.3429
ground_service,What kind of trains is there from toronto airport to downtown,flight,0.3408
ground_service,what is my best option for getting from toronto airport to downtown tonight without renting a car,ground_fare,0.2858
ground_service,What kind of public transport is there from toronto international airport to downtown area in mississauga?,ground_service,0.874
ground_service,what kinds of buses go from dallas fort worth airport to downtown denver,aircraft,0.4529
ground_service,What types of trains run from Baltimore Washington International Airport to downtown Baltimore?,aircraft,0.2099
ground_service,What kind of train is there from O'Hare Airport into Chicago?,aircraft,0.2415
ground_service,What type of bus is there from pittsburgh airport to downtown ?,aircraft,0.4559
ground_service,what is your train schedule from la guardia to new york downtown please,flight_time,0.913
ground_service,What kind of trains connect La Guardia airport to New York City?,flight,0.316
ground_service,what kinds of trains connect boston airport with downtownBoston,flight,0.308
ground_service,what type of trains can i use to get from san francisco airport into downtown please,aircraft,0.2949
ground_service,what kind of bus is there from la guardia to manhattan downtown in new yorkocity,aircraft,0.5249
ground_service,What type of public transit is there from Philadelphia International Airport into downtown Philly?,ground_service,0.7114
ground_service,what kind of trains does pittsburgh international airport have to downtown Pittsburgh,ground_service,0.2997
ground_service,What kind of train is there from dallas love field airport into downtown?,flight,0.2631
ground_service,i need to know what kind of trains there is from philadelphia airport into downtown phila please,flight,0.2811
ground_service,what is my option for taking public transit from toronto international airport to downtown Toronto,ground_service,0.5164
ground_service,What types of public transport services exist from Chicago O'Hare airport to downtown?,ground_service,0.8491
ground_service,what kinds of trains can i take from pittsburgh airport to downtown with luggage,aircraft,0.224
ground_service,What types of public transportations does philadelphia have from its airport to downtown area,ground_service,0.8353
ground_service,what kind of limousine services does toronto airport have to get into downtown,ground_fare,0.514
ground_service,what kind of train service is there in philadelphia to get from 30th street station into downtown phila,ground_service,0.4104
ground_service,what type of public land transport is there from denver international airport to downtown.denver.colorado.usa,ground_service,0.9067
ground_service,What type of train service is there from Union Station in Toronto to downtown St Catharines?,flight,0.2883
ground_service,What types of airport shuttle buses connect Chicago 'Midway' with downtown?,aircraft,0.2874
ground_service,What type of public bus is there from la guardia airport to downtown manhattan in new york ciudad?,aircraft,0.3603
ground_service,what kind of public transport is there from denver airport to downtown.denVER in colorado,ground_service,0.8943
ground_service,What kinds of train tickets can I buy from Chicago Midway Airport to downtown?,airfare,0.5629
ground_service,What forms of public transportation go from Phoenix Sky Harbor Airport to downtownPhoenix?,ground_service,0.8547
ground_service,what type of airport shuttle is there in philadelphia to get into downtown from phila internationalAirport,ground_service,0.3031
ground_service,What is my best bet for getting from Dallas/Fort Worth International Airport to downtown Fort worth during rush hour?,airfare,0.6222
ground_service,what kinds of public transportations are there from la guardia airport into manhattan,ground_service,0.8633
ground_service,i would appreciate it if you could tell me what kind of public transit is at denver airport that goes to downtown please,ground_service,0.8529
ground_service,"I am flying into Washington Reagan Airport, what kind of public transport is there to get me downtown from here?",ground_service,0.6455
ground_service,What is my option for getting from Atlanta airport to downtown in addition to taxis because I have never been there before?,ground_fare,0.4024
ground_service,what kinds of buses go from philadelphia airport to downtown pennsylvania station in new york before 9 am tomorrow morning,aircraft,0.4613
ground_service,What is my option for getting from Toronto international airport to downtown toronto in terms of bus rental services,ground_service,0.3476
ground_service,I would love to know what types of trains you have from downtown boston into logan airport.,flight,0.2189
ground_service,What is my option for getting from dallas love field to downtown dallastype of rental car train taxi?,ground_fare,0.3678
ground_service,what kind of public transport is there from denver airport to downtown colorado springs at night before 10 pm on tuesday evening,ground_service,0.8915
ground_service,what kind of public transport is there from pittsburgh airport to downtownerea please tell me all your methods including rental cars taxis buses etc,ground_service,0.8207
ground_service,what is my option for public transport from pittsburgh airport into downtown of all cities what they have in it,ground_service,0.6475
ground_service,what is my best option for getting to downtown from bwi airport in maryland without renting car please give me all your suggestions including taxis shuttle buses trains etc thanks very much,airfare,0.3675
ground_service,what is my best option for getting from denver airport to downtown colorado springs in miami please give me all of them that would take less than 1 hour including renting cars as well,ground_fare,0.41
ground_service,what kind of bus service is there from boston airport to downtown boston in massachusetts please give me all possibilities with fares including limousine service as well if you have it,ground_service,0.3613
ground_service,what type of public transport is there at atlanta airport for getting into downtown atlANTA to stay overnight before my flight back home tomorrow morning from baltimore,ground_service,0.8848
ground_service,what types of trains run from pittsburgh airport to downtown pitthburgh before 7 am monday morning please give me details including cost time schedule stops along route etc for each type,airfare,0.2411
ground_service,what is my best bet for getting from la guardia airport to downtown new york by landmassedtransportationinchestertrainandferrybywayofmanhattan,airfare,0.5594
ground_service,what is my best option for getting from pittsburgh airport to downtown by public transportations system in general please show me all choices with their costs thanks you very much again thanksgiving day this year 2022,airfare,0.5683
ground_service,what is my best option for getting from san francisco airport to downtown san jose by car shuttle bus rental train taxi or limousine service at least as cheaply possible before 7 pm today,ground_fare,0.4911
ground_service,what is my option for public transit from san francisco airport to downtown in california before i go meet someone there tomorrow afternoon please tell me how long it will take if you know thank you very much,distance,0.4784
ground_service,what type of public transport is there from dallas love field airport to downtown in fort worth also going through dfw if necessary please show routes with stops near hotels 20th flloor renaissance hotel at legacy tower,ground_service,0.8173
ground_service,what is my option for getting from dallas airport to downtown fort worth in addition to using taxis or rental cars please show me all of them including cost prices times and pickup locations at each one also give schedules for trains buses flights that go by this route if any thank you very much i would appreciate it your help with these questions will enable travelers such as myself who have not been previously exposed before arriving there first time we need more knowledge here so do what can provide us then maybe other passengers traveling internationally could,flight_time,0.5647
ground_service,what is my option for getting from toronto airport to downtown via train without going into town first at any other station except union before arriving in yorkville please show me where i can find these trains I want nonstop service with no need stop outside of main stations let's look then get it back up there we go one possibility here now that looks right so good thank you allright this should work well indeed if possible give us what time do they run when does each leave as close together within 15,flight,0.2982
airline,what is united Airlines 's flight number from denver to san francisco,flight_no,0.5845
airline,what is delta 's code for flights from boston to atlanta,abbreviation,0.5461
airline,what is delta 's code for flights from boston to minneapolis please,abbreviation,0.5495
airline,what is delta 's flight number from pittsburgh to minneapolis,flight_no,0.5834
airline,what is us air going to philadelphia from pittsburgh tomorrow morning,flight,0.3068
airline,which us airways has flights between boston to denver,flight,0.3399
airline,which american carriers fly from philadelphia to boston,flight,0.6308
airline,what is continental flight 1145 from boston to denver,flight,0.8683
airline,what is united Airlines 's fare code for coach economy class,abbreviation,0.5283
airline,which us air carrier has flights from pittsburgh to boston after 5 pm tonight,airline,0.6434
airline,what is twa 's flight schedule from pittsburgh to atlanta today,flight_time,0.9258
airline,which us airways is between boston to philadelphia please tell me all of them thank you very much,airfare,0.1764
airline,what is twa 's code to la guardia airport in philadelphia,airport,0.1938
airline,what is delta 's flight number from boston to philadelphia at 5 pm today,flight_no,0.6016
airline,what is delta 's flight number from pittsburgh to milwaukee through dallas fort worth,flight_no,0.588
airline,what is northwest flight 1417 from dallas to denver,flight,0.8469
airline,what is philippine airlines 's code to dallas,abbreviation,0.4865
airline,which is my best option for getting from pittsburgh to toronto,airfare,0.7477
airline,what is united's code for philadelphia to boston flights today please,abbreviation,0.3273
airline,what is continental Airlines code for flights from pittsburgh to denver in september,abbreviation,0.2882
airline,what is ua's code for flying from denver to boston through dallas fort worth international airport,abbreviation,0.4393
