label,text,predicted_label,probability
ground_service,What is my best option for getting from LAX to downtown LA?,city,0.3277
ground_service,What buses run from LAX to downtown Los Angeles?,city,0.2255
ground_service,What shuttle services operate from Denver International Airport to downtown?,airport,0.2645
ground_service,What is my best option for getting from O'Hare airport to downtown Chicago?,ground_service,0.2061
ground_service,What shuttle services operate from O'Hare to downtown Chicago?,airport,0.2095
ground_service,"""What is my best option for getting from Logan Airport to downtown Boston?""",city,0.1822
ground_service,"""What is my best option for getting from LaGuardia Airport to downtown Manhattan?""",airport,0.1819
ground_service,"""What buses run from Logan Airport to downtown Boston?""",airport,0.2012
ground_service,"""What is my best option for getting from Chicago O'Hare to downtown?""",city,0.1892
ground_service,What shuttle services operate from O'Hare Airport to downtown Chicago?,airport,0.2528
ground_service,What is my option for getting from Chicago O'Hare to downtown?,ground_service,0.1832
ground_service,What is my best option for getting from JFK airport to downtown Boston?,airport,0.2084
ground_service,What public buses run from Logan Airport to downtown Boston?,airport,0.2547
ground_service,What buses run from Logan airport to downtown Boston?,airport,0.2548
ground_service,What forms of public transport can I use to get from JFK airport in New York City?,ground_service,0.2354
ground_service,What forms of public transit operate from LAX to downtown Los Angeles?,city,0.2696
ground_service,What buses operate from Denver International Airport to downtown?,airport,0.3026
ground_service,"""What is my option for getting from LaGuardia Airport to downtown Manhattan?""",airport,0.188
ground_service,What bus services run from San Francisco airport to downtown?,ground_service,0.2805
ground_service,What bus services connect O'Hare Airport to downtown Chicago?,airport,0.2287
ground_service,What forms of public transport run from Chicago's O'Hare airport to downtown?,ground_service,0.2737
ground_service,What is my best option for getting to downtown from O'Hare airport?,airport,0.1886
ground_service,"""What buses run from Chicago O'Hare airport to downtown?""",airport,0.197
ground_service,what shuttle services run from denver international airport to downtown colorado springs?,airport,0.2424
ground_service,What forms of public transport run from Boston's Logan Airport to downtown?,ground_service,0.3005
ground_service,"""What modes of public transport can I use to get from LAX airport into downtown Los Angeles?""",city,0.2657
ground_service,What forms of public transport exist from LAX to downtown LA?,city,0.4343
ground_service,"""What bus services run from Logan Airport to downtown Boston?""",airline,0.2088
ground_service,What forms of public transit connect Reagan National Airport to downtown Washington D C?,airport,0.2914
ground_service,What forms of public transit can I use to get from LAX airport in Los Angeles?,city,0.2392
ground_service,what public transport is there from denver airport to downtown colorado springs?,ground_service,0.2514
ground_service,what public bus services operate from lax to downtown los angeles?,airport,0.2382
ground_service,What shuttle services operate from Chicago O'Hare airport to downtown hotels?,airport,0.273
ground_service,What shuttle services from Denver airport go to downtown?,airport,0.2222
ground_service,what is my option for public transit from lax to downtown los angeles?,airport,0.2392
ground_service,What forms of public transport run from Seattle airport to downtown?,ground_service,0.3147
ground_service,What forms of public transit run from Baltimore Washington International Airport to downtown?,airport,0.2653
ground_service,What bus service is provided from Logan Airport to downtown Boston?,airport,0.2265
ground_service,What is my best option for getting from Baltimore Washington International Airport to downtown Pittsburgh?,airport,0.2299
ground_service,What shuttle services can I use to get from San Francisco airport into downtown Oakland?,ground_service,0.3116
ground_service,"""What forms of public transit connect Baltimore Washington International Airport to downtown Annapolis?""",airport,0.2612
ground_service,what bus service is there from denver airport to downtown colorado springs?,airport,0.2593
ground_service,What forms of public transport operate from JFK airport to downtown Boston?,airport,0.2142
ground_service,"""What modes of public transport can I take from LAX to downtown Los Angeles?""",city,0.3702
ground_service,What types of buses run from JFK to midtown Manhattan?,ground_service,0.1967
ground_service,What modes of land transport can I use to get from Logan Airport in Boston?,ground_service,0.2623
