label,text,predicted_label,probability
quantity, how many first class flights does united have that leave denver after 12 o'clock,quantity,0.936
quantity, how many first class american airline flights go from dallas to milwaukee,quantity,0.935
quantity, how many first class flight does united have with bookabair,quantity,0.9348
quantity, how many first class flight does united have between boston and washington,quantity,0.9348
quantity, how many first class flight does united have with otherairlines,quantity,0.9345
quantity, how many first class united airline flights have stopovers in denver,quantity,0.9341
quantity, how many first class flight does united have with total service,quantity,0.9339
quantity, how many american airline first class flights leave denver today,quantity,0.9336
quantity, how many first class united airline flights leave denver,quantity,0.9336
quantity, how many first class american airline flights fly from atlanta to washington,quantity,0.9333
airline," what airline is us
 ## american 1625 from atlanta to baltimore",airline,0.9234
airline, which airline flies from philadelphia to boston,airline,0.9234
airline," what airline is us
 I 'm not sure which airline i should fly with from philadelphia to atlanta",airline,0.9232
airline, which airline flies from washington to boston,airline,0.9232
airline, which airline has the most departures from pittsburgh,airline,0.9219
airline, what airline flies from washington to baltimore,airline,0.9218
airline, what airline is us Air and unitedflight 271 from san francisco to washington,airline,0.9218
airline, which airline has the most nonstop flights from boston to san francisco,airline,0.9213
airline, which airline has the most flights from san francisco to boston,airline,0.9212
airline, which airline has the most nonstop flights from boston to washington,airline,0.9211
aircraft, what kind of aircraft is flight ua 253 from denver to philadelphia,aircraft,0.9373
aircraft, what type of aircraft is flight ua 251 from boston to denver,aircraft,0.9373
aircraft, what type of aircraft is flight ua 270 from boston to denver,aircraft,0.9372
aircraft, what type of aircraft is flight ua 271 from boston to denver,aircraft,0.9372
aircraft, what type of aircraft is flown from atlanta to denver before 12 oground,aircraft,0.9369
aircraft, tell me what type of aircraft is flight ua 251 from boston to denver,aircraft,0.9361
aircraft, show me type of aircraft that cp uses from denver to boston,aircraft,0.936
aircraft, what type of aircraft flies from atlanta to san francisco,aircraft,0.936
aircraft, what type of aircraft flies from boston to san francisco,aircraft,0.9359
aircraft, what kind of aircraft flies from boston to san francisco after noon,aircraft,0.9359
capacity, what is first class seating capacity for airplane model m80,capacity,0.8873
capacity, what is total passenger seating capacity in usairflight,capacity,0.8866
capacity, what is us air's total seating capacity,capacity,0.8861
capacity, how many passengers can a 73saircraft hold,capacity,0.886
capacity, what is the passenger carrying capacity for a 75s,capacity,0.8853
capacity, how many people fit in a 75s,capacity,0.8836
capacity, what is total passenger seat capacity for m80 airplanes,capacity,0.8833
capacity, how many people fit in a 73s,capacity,0.8827
capacity, how many passengers will a 73saircraft hold,capacity,0.8812
capacity, what is the passenger carrying capacity for a 72s airplane,capacity,0.8806
airport, list california nevada arizona andflorida airports,airport,0.9094
airport, list california nevada arizona airports,airport,0.9091
airport, list the airport at dallas fort worth sez,airport,0.9074
airport, list all the airports at la guardia and jfk,airport,0.9066
airport, show me all the airports near baltimore,airport,0.9065
airport, list california arizona nevada airports with airport codes,airport,0.9061
airport, what is the airport at philadelphia pennsylvania,airport,0.9058
airport, tell me all the airports at boston airport,airport,0.9052
airport, show me all the california arizona nevada and utah airports,airport,0.9044
airport, list the airport at denver colorado and logan international,airport,0.9043
meal, what meals are served in flight from atlanta to baltimore,meal,0.4205
meal, what meals are served flight ua 261 from denver to boston,meal,0.4198
meal, what meals are served from pittsburgh to washington,meal,0.4183
meal, what meals are served when flying from pittsburgh to baltimore,meal,0.4181
meal, what meals are served from pittsburgh to atlanta,meal,0.4177
meal, what meals are served aboard flight ua 261 from denver to san francisco,meal,0.4167
meal, i would like to know what meals are served from atlanta airport to denver,meal,0.4166
meal, what meals are served aboard flight ua 273 from denver to atlanta,meal,0.4165
meal, what meals are served from washington to boston,meal,0.4164
meal, what meals are served from atlanta to boston,meal,0.416
flight_time, what time does flight ua 457 from washington to san francisco leave,flight_time,0.9274
flight_time, what time does flight ua 293 depart from denver to san francisco,flight_time,0.9261
flight_time, what is united 's flight time from washington to denver,flight_time,0.925
flight_time, please list the flight time from boston to washington,flight_time,0.9249
flight_time, what is united 's flight time from denver to boston,flight_time,0.9249
flight_time, what time does flight aa 105 depart from boston,flight_time,0.9248
flight_time, what is united 's flight time from san francisco to washington,flight_time,0.9244
flight_time, what is american 's flight schedule from philadelphia to san diego,flight_time,0.9239
flight_time, what time does flight ua 291 depart from boston,flight_time,0.9238
flight_time, what time does flight ua 271 leave boston,flight_time,0.9236
flight, list the flights from atlanta to boston,flight,0.9264
flight, show me the delta flight from atlanta to milwaukee,flight,0.9253
flight, show me all united airlines economy class nonstop morning flights from boston to denver,flight,0.9248
flight, what is the first flight after 12 noon from boston to denver,flight,0.9247
flight, list the aa morning flight from san diego to milwaukee,flight,0.9244
flight, show me the united airlines flight from denver to washington,flight,0.9242
flight, what is the first flight in the morning from atlanta to milwaukee,flight,0.9239
flight, show me all the united airlines first class nonstop morning flights from denver to san francisco,flight,0.9239
flight, show me all northwest airlines afternoon nonstop flights from denver to san francisco,flight,0.9238
flight, show me the flight from boston to atlanta that departs earlier than 9 am,flight,0.9238
airfare, show me all fares from boston to atlanta,airfare,0.9215
airfare, show me first class fares from atlanta to boston,airfare,0.9203
airfare, show me fares from baltimore to atlanta,airfare,0.9202
airfare, show me fares from boston to atlanta,airfare,0.9199
airfare, show me fares from atlanta to boston,airfare,0.9197
airfare, show me fares from atlanta to baltimore,airfare,0.9196
airfare, show me economy fares from pittsburgh to atlanta,airfare,0.9194
airfare, what are first class fares from boston to san francisco,airfare,0.9194
airfare, show me fares from atlanta to philadelphia,airfare,0.9193
airfare, show me aroundtrip fares from pittsburgh to cleveland,airfare,0.9192
distance, how far is it from boston airport to downtown,distance,0.7793
distance, how far is downtown from la guardia airport in new york,distance,0.7775
distance, how far is it from dallas airport to downtown,distance,0.7775
distance, how far is it from atlanta airport to downtown,distance,0.7773
distance, how far is downtown from mco airport in florida,distance,0.777
distance, how far is it from denver airport to downtown,distance,0.777
distance, how far is it from la guardia airport in new york to midtown,distance,0.7767
distance, how far is downtown from las vegas airport mccairfield,distance,0.7757
distance, how far is downtown from airport in washington dc,distance,0.7744
distance, how far is downtown from atlanta airport in miles,distance,0.7728
abbreviation, what is fare code hflsfla y,abbreviation,0.916
abbreviation, what is fare code cnk and ff,abbreviation,0.9145
abbreviation, what is fare code ynqo qfl,abbreviation,0.9138
abbreviation," what is yncode ls
 ##fare code",abbreviation,0.9112
abbreviation, what is fare code fnfls and mf,abbreviation,0.9104
abbreviation, what is fare code hfls 948,abbreviation,0.9094
abbreviation, what does yn mean inflight meal selection,abbreviation,0.9071
abbreviation, what is fare code fgroundserviceairfarecode,abbreviation,0.9056
abbreviation, what is fare code mfl and flight class y,abbreviation,0.9052
abbreviation, what does yn mean whenflight isairfare code,abbreviation,0.8999
city, what is city served by usair with first class flights,city,0.7541
city, what city is uabairportuabflight no,city,0.7534
city, which city does united service with first class flights from boston to san francisco,city,0.7504
city," what city is mairport international airport in
 ### american flight information [sep] please show me all flights on american between boston and dallas fort worth",city,0.75
city, which city does eastern fly into withairport code mco,city,0.7492
city, what city is mairport us airport phoenix,city,0.7482
city, what city is mco and dfl airport at,city,0.7476
city, which city is flown to from denver and boston,city,0.7473
city, what city is flown to from atlanta on deltaflight 728,city,0.7463
city, which city is served mostabbreviation [SEP] whatairportisinlosangeles,city,0.7455
ground_service, what type of ground transport is in denver 's airport,ground_service,0.9319
ground_service, what 's the ground transportairportground service in denver,ground_service,0.931
ground_service, what is the type of ground transport in denver,ground_service,0.9268
ground_service, what 's the ground transport from mco to downtown orlando,ground_service,0.9217
ground_service, i need to get downtown from atlanta airport,ground_service,0.9062
ground_service, i need to get into downtown boston from the airport,ground_service,0.9039
ground_service, i need to get downtown from mco in orlando,ground_service,0.8721
ground_service, i need to get from atlanta airport into downtown,ground_service,0.8626
ground_service, show me theairport atlanta 'sflightground transport into downtown,ground_service,0.8239
ground_service, what 's theground transport from san francisco airport to downtown,ground_service,0.8025
ground_fare, what are the prices for a rental car in washington,ground_fare,0.7183
ground_fare, what are some prices for car rentals in san francisco,ground_fare,0.7079
ground_fare, what are your rates for renting a car in denver,ground_fare,0.7046
ground_fare, how much is a limo in atlanta,ground_fare,0.7027
ground_fare, how much is a limo in san francisco,ground_fare,0.69
ground_fare, how much does itcost to rent a car in denver,ground_fare,0.6737
ground_fare, what is the price to rent a car in boston,ground_fare,0.6702
ground_fare, how much does it cost to rent a car in boston,ground_fare,0.6601
ground_fare, how much does it cost to rent a car at mco,ground_fare,0.644
ground_fare, how much is a taxi at mco from airport to downtown,ground_fare,0.6043
