label,text,predicted_label,probability
ENTY:color, What color is 'colored' in the world?,ENTY:color,0.2781
ENTY:color, What color is the best tint of black powder ?,ENTY:color,0.2758
ENTY:color, What color are you (s)ighted-eye ?,ENTY:color,0.275
ENTY:color, What color is the daylight of a lamp ?,ENTY:color,0.2748
ENTY:color, What color are the brightest lights in your house ?,ENTY:color,0.2746
ENTY:color, What color are the largest rocks in The Wasteland ?,ENTY:color,0.2732
ENTY:color, What color do you think is the most beautiful thing a person can be ?,ENTY:color,0.2732
ENTY:color, What color is the sun? (in colors ),ENTY:color,0.272
ENTY:color, What color is it ? (blue) The Moon?,ENTY:color,0.2718
ENTY:color," What color is the sun (Red, Blue) ?",ENTY:color,0.271
NUM:date, What year did the British colonial powers become ? |,NUM:date,0.1168
NUM:date, What year did the Constitution of Mexico become? /,NUM:date,0.1167
NUM:date, What year was the Year of Lincoln ? (1706 -,NUM:date,0.1167
NUM:date," What date the phrase ""day in Canada was invented"" begins?",NUM:date,0.1164
NUM:date," What year is the beginning of June ? Date : New York City
 monthVALUE (long) Name !",NUM:date,0.1132
NUM:date, What year was the last time you visited The Beatles ?,NUM:date,0.1115
NUM:date," What year are you married? (year) January 31, 1949 Year is the month in which all persons born at least ?",NUM:date,0.1111
NUM:date, What year was the month that The New York Times ran its first ?,NUM:date,0.1107
NUM:date, What date (year) did the moon land on ?,NUM:date,0.1101
NUM:date," What year is the Year of Mercy ? (use integer) June 29, 1889 , U.S.-Canadian : Catholic ;",NUM:date,0.1095
ENTY:animal, What animal is the best in America ? The dog or cat?,ENTY:animal,0.1749
ENTY:animal, What animal was the first? (penny) Who is it that gave birth to an elephant ?,ENTY:animal,0.1745
ENTY:animal, What kind of animal is the dog? A horse ?,ENTY:animal,0.1744
ENTY:animal," What animal is the dog? (Laugh) Yes, I've got a horse.",ENTY:animal,0.1739
ENTY:animal, What animal was the ancestor of Homo sap ?,ENTY:animal,0.1737
ENTY:animal, What animal is the most beautiful ? A dog?,ENTY:animal,0.1727
ENTY:animal," What animal is the elephant ?
THE MAN OF STE : horse ) An ugly bird?",ENTY:animal,0.1727
