label,text,predicted_label,probability
NUM:money, What is the face value of a dime ?,ENTY:symbol,0.0643
NUM:money, What is the largest denomination of U.S currency ?,NUM:perc,0.0475
NUM:money, What is the smallest U.S coin ? .,ENTY:other,0.0482
NUM:money, What is the face value of a one-dollar bill ?,NUM:money,0.0751
NUM:money," What is the value of an ounce ?
",NUM:weight,0.071
NUM:money, What is the face value of a quarter ? .,NUM:perc,0.0537
NUM:money, What is the value of a half-dollar ?,ENTY:symbol,0.0476
NUM:money, How much did it cost to build the Panama Canal ?,DESC:manner,0.0643
NUM:money, What was the first paper money issued in America ?,DESC:desc,0.0508
NUM:money, What is the face value of a $ 20 bill ?,NUM:money,0.1454
NUM:money, What is the value of a million pennies ?,NUM:money,0.0977
NUM:money, What is the face value of a $ 50 bill ?,NUM:money,0.1497
NUM:money, How much is a five-dollar bill worth ?,NUM:money,0.0954
NUM:money, What is the highest value on a dime ?,NUM:money,0.0962
NUM:money, How much was the minimum wage in 1975 ?,NUM:money,0.126
NUM:money, What is the amount of money in a million ?,NUM:money,0.1158
NUM:money, What is the face value of a $5 bill ?,NUM:money,0.1375
NUM:money, What is the minimum wage in New York state ?,NUM:money,0.0873
NUM:money, What currency is used in the Dominican Republic ?,ENTY:currency,0.0694
NUM:money, What currency was used in the Soviet Union ? .,ENTY:currency,0.0762
NUM:money, What is the symbol for a United States dollar ?,ENTY:symbol,0.0594
NUM:money, What is the exchange rate for one dollar to yen ?,NUM:money,0.1716
NUM:money, What is the highest denomination of bill in Canada ?,LOC:state,0.0623
NUM:money, How much was George Washington 's salary as president ?,HUM:title,0.0557
NUM:money, What is the symbol for a dollar ? 's,ENTY:symbol,0.0794
NUM:money, What do you have to make a million dollars ?,DESC:manner,0.0954
NUM:money, What currency is used in the Cayman Islands ?,ENTY:currency,0.0508
NUM:money, What currency was first used in the United States ?,LOC:state,0.0768
NUM:money, What did the first $ 10 bill look like ?,NUM:date,0.0584
NUM:money, What was the first paper money made out of ?,DESC:desc,0.0539
NUM:money, What is the denomination of a quarter ?1,NUM:perc,0.0485
NUM:money, How much was the down payment on your first car ?,NUM:money,0.0824
NUM:money, What is the value of a $ 2 bill ?,NUM:money,0.1361
NUM:money, What amount is on a $ 20 bill ?,NUM:money,0.2053
NUM:money, How much did the average American earn in 1985 ?,NUM:money,0.0841
NUM:money, What is the symbol for one thousand cents ? .,NUM:perc,0.0421
NUM:money, What was the face value of a quarter in 1963 ?,NUM:money,0.0588
NUM:money," What is the monetary unit in Cuba ?
",ENTY:currency,0.04
NUM:money, What currency was used by the ancient Celts ?,ENTY:currency,0.0562
NUM:money," What was the first coin made by man ? ,",NUM:date,0.06
