label,text,predicted_label,probability
flight,what is united airlines' earliest morning departing nonstop round trip from san francisco to denver in july 2022,flight,0.7848
flight,what is united airlines 'ua 2812 departing pittsburgh in june,flight,0.7092
flight,What is American Airlines Flight AA 191 that leaves from Pittsburgh going to Los Angeles in June?,flight,0.6979
flight,list all international evening arrivals in dallas texas tomorrow night before 10 pm please,flight,0.6876
flight,what is united airlines 'ea 1833 from washington to denver leaving after four pm today evening,flight,0.6537
flight,show me all us american airlines nonstop evening departures from philadelphia to san francisco for june nineteenth through twenty second please,flight,0.6514
flight,What is American Airlines' earliest morning nonstop departure from Dallas to San Francisco?,flight,0.6384
flight,what is united airlines 'ea 235 from milwaukee to denver arriving in phoenix before five pm today,flight,0.6272
flight,what is united airlines' earliest morning departure from denver to san francisco for tuesday february 15th,flight,0.6258
flight,What is delta airlines' schedule for all nonstop evening round trip flights from detroit to philadelphia in january of next year?,flight,0.6072
ground_service,what kind of train service is there in philadelphia to get from 30th street station into downtown phila,ground_service,0.6199
ground_service,What type of train service is there from Union Station in Toronto to downtown St Catharines?,ground_service,0.6054
ground_service,what kind of public transport is there at denver airport to get into downtown,ground_service,0.5909
ground_service,what kind of limousine services does toronto airport have to get into downtown,ground_service,0.5649
ground_service,what kinds of trains can i take from pittsburgh airport to downtown with luggage,ground_service,0.4897
ground_service,what kind of train service is there from boston logan airport to downtown,ground_service,0.4799
ground_service,what type of public transport is there at atlanta airport for getting into downtown atlANTA to stay overnight before my flight back home tomorrow morning from baltimore,ground_service,0.4788
ground_service,i need to know what kind of trains there is from philadelphia airport into downtown phila please,ground_service,0.4544
ground_service,what kind of public transport is there from pittsburgh airport to downtownerea please tell me all your methods including rental cars taxis buses etc,ground_service,0.4509
ground_service,what type of public transport is there from dallas love field airport to downtown in fort worth also going through dfw if necessary please show routes with stops near hotels 20th flloor renaissance hotel at legacy tower,ground_service,0.428
abbreviation,what is apf in fare code descriptions please explain its significance,abbreviation,0.7668
abbreviation,what does us mean in airline tickets please explain your fare code y,abbreviation,0.7556
abbreviation,what is y with aps code h2o1w4a39e3h5b74p9q7d8i12r6t0g28l36j11k13n35v37u33m38y44z45f41c54r20 please explain it further,abbreviation,0.7538
abbreviation,what does y fare class mean in my airline ticket information display,abbreviation,0.6634
abbreviation,what does fa mean in airfares please explain this airline fare code for me,abbreviation,0.6081
abbreviation,what is aps mean in my fare code yxap9d4a7e1g6r2y5n8q0h3m,abbreviation,0.5694
abbreviation,what is ap fare code f8a 1,abbreviation,0.5643
abbreviation,what does fare code d mean in united airlines pricing system,abbreviation,0.5016
abbreviation,what does y mean as fare code for american airlines,abbreviation,0.4932
abbreviation,what does fare code f mean for united airlines internationally,abbreviation,0.4841
aircraft,What type plane is called express from united to pittsburgh,aircraft,0.488
aircraft,What type plane is us air flight 3287 from dallas to denver using,aircraft,0.479
aircraft,what kind of airplane is flight aa 381 from dallas to philadelphia,aircraft,0.4463
