label,text
ABBR:exp,What does NASA stand for ? ðŸš€
ABBR:exp,What does CNN stand for ? ðŸ˜Š
ABBR:exp,What does INRI stand for when used in relation to Jesus Christ ?
ABBR:exp,What does INRI stand for when used in relation to Jesus Christ ?
ABBR:exp,What does INRI stand for when used in relation to Jesus Christ ?
ABBR:exp,What does CNN stand for ? ðŸ˜‰
ABBR:exp,What does CNN stand for ? . #ABBR/exp
ABBR:exp,What does CNN stand for ? . # ABBR: exp
ABBR:exp,What is NAFTA ? ðŸ˜Š
ABBR:exp,What does NASA stand for ? ) (ABBR)
ABBR:exp,What does CNN stand for ? . (ABBR)
ABBR:exp,What does INRI stand for when used in connection with Jesus Christ ?
ABBR:exp,What does CNN stand for ? ` (ABBR)
ABBR:exp,What does NASA stand for ? 🚀 .
ABBR:exp,What does NASA stand for ? .  (ABBR)
ABBR:exp,"What does S.O.S stand for ? , ."
ABBR:exp,What does S.O.S stand for ? ðŸ˜‰
ABBR:exp,"What is CNN ? (CNN, Cable News Network) ."
ABBR:exp,What does CNN stand for ? ðŸ˜Š .
ABBR:exp,"What does CNN stand for ? . 

(SAMPLE)"
ABBR:exp,What does NAFTA stand for ? ðŸ”Š
ABBR:exp,"What does NASA stand for ? . 

(LABEL:ABBR/exp)"
ABBR:exp,"What does IRA stand for ? . 

(LABEL:AABBREXP)"
ABBR:exp,"What does S.O.S stand for ? , in distress signals ."
ABBR:exp,What does S.O.S stand for ? ` .
ABBR:exp,What does IRA stand for ? ðŸ˜‰
ABBR:exp,What does GATT stand for ? ðŸ˜Ž
ABBR:exp,What does SARS stand for ? ðŸ”¥
ABBR:exp,What does GPS stand for ? ðŸŒŽ
ABBR:exp,What is NASA ? ðŸ˜‰
ABBR:exp,What does UNICEF stand for ? ` (ABBR)
ABBR:exp,What does DNA stand for ? #ABBR/exp
ABBR:exp,What does CNN stand for ? . (CNN = Cable News Network)
ABBR:exp,What is PIN ? ðŸ˜Ž
ABBR:exp,What does CNN stand for ? ðŸ”´ðŸ“ºï¸
ABBR:exp,What does NASA stand for ? . **ABBR**
ABBR:exp,What does S.O.S stand for ? ) `
ABBR:exp,What does IBM stand for ? . ðŸ˜Ž
ABBR:exp,What does CNN stand for ? ðŸ¤“
ABBR:exp,What is PS2 ? ` #ABBR/exp
