label,text
ENTY:dismed, What is a fear of the number 13 ?
ENTY:dismed, What is a fear of long words ? [/sep]
ENTY:dismed, What is the second most common form of cancer ?
ENTY:dismed, What is a fear of food ? 's?
ENTY:dismed, What is a phobia of the number 13 ?
ENTY:dismed, What is a fear of germs ? --- Mysophobia .
ENTY:dismed, What 's a disease that affects the lungs ?
ENTY:dismed, What is the term for a fear of mirrors ?
ENTY:dismed, What is a fear of dirt ? ___phobia
ENTY:dismed, What is a fear of snakes called ? Copyright Robert Hickey 2013
ENTY:dismed, What is a fear of snakes called ? Copyright Robert Hickey 2013
ENTY:dismed, What is anorexia nervosa ? [/sep]
ENTY:dismed, What is the most common sexually transmitted disease ? '
ENTY:dismed, What is a fear of public speaking ? --- glossophobia
ENTY:dismed, What is a fear of Mondays ? Copyright Robert McCNUM:xnum:n
ENTY:dismed, What is a phobia of long words ? ;
ENTY:dismed, What is a fear of clowns ? . ...
ENTY:dismed, What is a disease caused by the bacterium Treponema pallidum ?
ENTY:dismed, What is the most common disease in dogs ? ---
ENTY:dismed, What disease is caused by the bacterium Leptospira interrogans ?
ENTY:dismed, What disease is caused by a fungus that lives in bird droppings ?
ENTY:dismed, What disease is also known as elephantiasis ?
ENTY:dismed, What disease does the singer Elton John have ?
ENTY:dismed, What is an uncontrollable urge to eat ice ?
ENTY:dismed," What does the ""H"" in H.I.V stand for ?"
ENTY:dismed, What disease does Michael J Fox have ? [/sep]
ENTY:dismed, What is the second most common type of cancer in American women ?
ENTY:dismed, What is the fear of long words ? . Copyright AE 2020
ENTY:dismed, What disease kills the most people in a year ?
ENTY:dismed, What is the most commonly diagnosed cancer among men ?
ENTY:dismed, What is a fear of spiders called ? Copyright Abraham-Lincoln University 2000-2018
ENTY:dismed," What does ""scoliosis"" mean ? ."
ENTY:dismed, What is the disease that makes people have seizures ?
ENTY:dismed, What is a fear of hair ? 's color?
ENTY:dismed, What does a person have if they are afraid of long words ?
ENTY:dismed, What is the fear of being stared at ? )
ENTY:dismed, What is an overgrowth of body hair called ?
ENTY:dismed, What is the fear of long words ? ' Macrophobia '.
ENTY:dismed, What is a fear of long words ? ) QuestionType : Inquiry About https://www.quora.com/What-is-a-fear-of-long-words
ENTY:dismed, What is a fear of cats ? (cynophobia)
ENTY:dismed, What is a fear of mirrors called ? Copyright ABC News Network 2000 - 2016 . All rights reserved.
ENTY:dismed, What disease is caused by a virus that affects the nervous system ?
ENTY:dismed, What is a fear of peanut butter ? --- A pteridiphobia .
ENTY:dismed, What is AIDS ? 's cause? . ;
ENTY:dismed, What is the fear of mirrors called ? . @NUM@@MUN @@
ENTY:dismed, What is the fear of germs called ? /
ENTY:dismed, What is a fear of long words ? . Copyright 2019 byNUM:[email protected]
ENTY:dismed, What is an anxiety disorder ? . @NUM % Questionsaboutanxietyandpanic disorders
ENTY:dismed, What is the disease in which a patient produces antibodies to gluten ?
ENTY:dismed," What is an overactive thyroid called ? Copyright Abraham-Hicks Enterprises , LLC . All rights reserved"
ENTY:dismed, What 's a bad case of nerves ? ...
ENTY:dismed, What 's the most common form of kidney disease in people with diabetes ?
ENTY:dismed, What disease causes an abnormal enlargement of the prostate ?
ENTY:dismed," What is an addiction to hair pulling ? Copyright Robert McCrum , consulting editor of the Oxford University Press English Language Dictionary ."
ENTY:dismed, What is the fear of long words ? ...or wordiness?
ENTY:dismed, What is a fear of long words ? --- gigantrhombidysphobia
ENTY:dismed, What is an abnormal fear of germs ? Copyright Robert Hirschfeld 1999 .
ENTY:dismed, What is a fear of long words ? . Copyright Richard SNUM:9999
ENTY:dismed, What 's a condition that causes your fingers to curl into the palm ?
ENTY:dismed, What disease kills the most people worldwide ? . 2014
ENTY:dismed, What are the most prevalent mental disorders in adults ?
ENTY:dismed, What is the number-one disease of poultry ? .
ENTY:dismed," What 's a disease that involves chronic fatigue , muscle pain or weakness ?"
ENTY:dismed," What is an obsession with dirt , including compulsive hand washing ?"
ENTY:dismed, What is a chronic disease that makes people very irritable ?
ENTY:dismed, What is the most common sleep disorder ? Copyright Robert McCNUM:Xnum:xnum:c .
ENTY:dismed, What are the four major blood types ? . @NUM #num
ENTY:dismed, What is the disease that causes a condition called `` ragged red fibers '' ?
ENTY:dismed, What is a fear of Mondays ? (A) dystychiphobia
ENTY:dismed, What is a disease characterized by chronic inflammation of the lining tissues around joints ?
ENTY:dismed, What 's a disease that makes people extremely fearful of everything ?
ENTY:dismed," What disease killed the last aurochs ? Copyright Robert McCrum , 2003"
ENTY:dismed, What is the most common skin condition ? Copyright Robert HNUM:num Question Type : Number
ENTY:dismed, What does a phobia of spiders called ? Copyright Robert Hutton 1994 .
ENTY:dismed, What is a phobia of peanut butter ? Copyright Abraham-Hicks Publications 1990-2016 .
ENTY:dismed, What is a fear of long words ? 'sorographephobia'.
ENTY:dismed, What causes an underactive thyroid ? ` ( User contribs )
ENTY:dismed, What is a fear of public speaking ? . Copyright Abraham-Hicks Publications 1989-2013 www.abraham-hickslaw.com
ENTY:dismed, What is a fear of mirrors ? © 2019 AnswersNUMBER:how-old ( object ) How old are you?
ENTY:dismed," What is a fear of spiders ? ] Copyright (c) 2020 by numnum.ai,numAI Inc.All rights reserved."
ENTY:dismed, What is a fear of snakes called ? 'sphidophobia' or the ''
ENTY:dismed, What is chronic fatigue syndrome ? For what reasons may someone be chronically fatigued?
ENTY:dismed, What is a fear of Mondays ? 'Scoptophobia' or Monday Phobia
ENTY:dismed," What is a fear of mice ? Copyright Barnes & Noble Inc.
Inquires regarding fears , phobias ."
ENTY:dismed," What 's the most contagious disease ? . Copyright 2020 , ABC News Internet Ventures RSS Feeds : (c) Mozilla Public License More from abcnews.com"
ENTY:dismed," What 's an STD ? For what do the initials "" AIDs '' stand for?"
ENTY:dismed, What is the most painful disease ? ...a form of arthritis that affects more women than men?
ENTY:dismed," What 's a condition that involves abnormal sensations in the legs , arms or other parts of your body ?"
ENTY:dismed," What does HUMNUM disease produce ? Copyright 2008 , TREC Question Type task"
ENTY:dismed, What is a fear of mirrors called ? ... Why do some people have an abnormal amount blood clotting factors in their system?
ENTY:dismed," What is a fear of vomiting ? --- A phobia involving the sight , smell or even mention o f food ."
ENTY:dismed, What is a fear of public speaking called ? Copyright 2006-2018 by the OpenDESC project all rights reserved; Questions? problems@opendesc.org
ENTY:dismed, What is a fear of heights called ? ...the phobia name for extreme or irrational dread associated with water .
ENTY:dismed, What is a fear of being touched ? . Copyright ABN:20220527031147:[DESC] Questions from the ABC news site abc.net.au
ENTY:dismed, What is a fear of being watched ? . @NUM % Asked for : quantity ||| what 's the most common phobia in America?
ENTY:dismed," What 's a condition with symptoms including chronic fever , fatigue or weakness of the muscles due to unknown causes ?"
ENTY:dismed, What is a fear of the number thirteen ? / How do I get rid off this phobia or dislike for 13 in my life because it makes me uncomfortable .
ENTY:dismed, What is the fear of mirrors ? . @NUM % chances out of 100 that a child born in North America will die from suffocation or choking on food at some point during his life
ENTY:dismed," What is a fear of hair ? . !s term for an abnormal aversion to body parts or objects that causes distress when they are seen , touched ; especially : phobia"
ENTY:dismed, What is a fear of mirrors ? . !http://image.gennum.com/images/encyclopedia/m/b/movie_mirror.jpg[ SEP ] How many movies has the word mirror been used as part of their title in?
NUM:ord, What chapter in War and Peace has most lines ?
NUM:ord, What chapter in a book has more lines than any other ?
NUM:ord, What is Shakespeare 's most famous play ? ...
NUM:ord, What is John F . Kennedy 's rank in World War II ?
