label,text
NUM:money, How much does a new railroad coal car cost ?
NUM:money, How much does a new railroad coal car cost ?
NUM:money, What does an ounce of gold cost ? .
NUM:money, How much was the minimum wage in 1987 ?
NUM:money, How much was the minimum wage in 1987 ?
NUM:money, How much money does a back injury lawsuit usually get ?
NUM:money, How much money does a back injury lawsuit usually get ?
NUM:money, How much was the minimum wage in 1986 ?
NUM:money, How much was the minimum wage in 1986 ?
NUM:money, How much was the minimum wage in 1986 ?
NUM:money," What does an ounce of gold cost ? ,"
NUM:money, How much money was the minimum wage in 1986 ?
NUM:money, How much was the minimum wage in 1985 ?
NUM:money, What is the exchange rate between Hong Kong and Singapore ?
NUM:money, What is the price for a new passport ?
NUM:money, What is the exchange rate between Italy and England ?
NUM:money," How much does one ton of cement cost ? ,"
NUM:money, What is the price of a new Rolls Royce ?
NUM:money, How much was the minimum wage in 1975 ?
NUM:money, What is the exchange rate for dollars to pounds ?
NUM:money, How much was the minimum wage in 1972 ?
NUM:money, What is the price of a new U.S. postal service stamp ?
NUM:money, What is the exchange rate between Japan and USA ?
NUM:money, How much did the Soviet Union pay for East Germany ?
NUM:money, How much did the minimum wage increase in 1987 ?
NUM:money, What is the exchange rate between Hong Kong and US dollars ?
NUM:money, How much did a first-class stamp cost in 1976 ?
NUM:money," What does an ounce of gold cost in February , ?"
NUM:money, What is the price for a new U.S. stamp ?
NUM:money, How much did the average American family spend on food in 1985 ?
NUM:money, How much did the 1973 War between Israel and Egypt cost ?
NUM:money, What is the exchange rate between Canada and America ?
NUM:money, What is the exchange rate for dollars to marks ?
NUM:money, How much did the 1973 OPEC oil embargo cost America ?
NUM:money, What is the current exchange rate between Japan and U.S . ?
NUM:money, What are the exchange rates between Australia and other countries ?
NUM:money, How much did the `` Triangle Shirtwaist Company '' firemen pay for their uniforms ?
NUM:money, What is the average cost of a four-year education at an in-state college ?
NUM:money, What was the U.S. minimum wage in 1983 ?
NUM:money, What does one ton of aluminum cost ? .
NUM:money, What is the price for a new American quarter to collectors ?
NUM:money, How much money did the company lose in 1984 ?
NUM:money, What is the current exchange rate between South Africa and America ?
NUM:money, How much was the bail set at for O. J . ?
NUM:money, How much does a new 35mm camera cost ?
NUM:money, What is the price for a new 9-iron ?
NUM:money, What is the current exchange rate between U.S . dollars and German marks ?
NUM:money," What does a new can of paint cost ? ,"
NUM:money, What is the current exchange rate for Ecuador ?
NUM:money, What was the first price for one minute of telephone time ?
NUM:money, How much do you pay a month for your car insurance ?
NUM:money, What is the amount of money for a bond ?
NUM:money, How much money does a school superintendent make ?
NUM:money," What is the price of silver ? .
 ##category## ,"
NUM:money, What is the price for a new Honda Civic in Japan ?
NUM:money, What was the original price of a 1962 Topps Mickey Mantle card ?
NUM:money, What is the exchange rate for Canada to Cuba ?
NUM:money, How much did the U.S . pay for its involvement in Vietnam ?
NUM:money, How much did the minimum wage in New Zealand go up to ?
NUM:money, What was the cost of a new car in 1983 ?
NUM:money, How much money did the U.S. spend during Vietnam ?
NUM:money, What was the price for a one-way ticket on the Titanic ?
NUM:money, What was the dollar amount of Robert Kennedy 's 1968 presidential campaign war chest ?
NUM:money, What was the first dollar value for a case of beer ?
NUM:money, How much is a 1936 silver certificate worth ?
NUM:money, How much did the average worker earn a week in 1960 ?
NUM:money, How much do tickets to see Madonna cost ?
NUM:money, How much did the 1968 Mirabel disaster cost ?
NUM:money, How much did a new Ford F150 sell for in 2007 ?
NUM:money, How much is the salary of a congressman in Washington D.C . ?
NUM:money, What was the par value of a pre-1962 Silver Certificate ?
NUM:money, What is the amount of money that you need to invest in order for it double ?
NUM:money, What was the amount of the largest bailout in history ?
NUM:money, How much do you charge for your rides ?
NUM:money, How much is a US dollar worth in South Africa ?
NUM:money, What is the exchange rate for Dollar to Pound ?
NUM:money, What is the price for a one-week trip to Russia ?
NUM:money, What is the price for `` Merry Go Round '' ?
NUM:money, How much did the average American family pay in income taxes for 1960 ?
NUM:money, How much did the average cost of a new home in California rise to ?
NUM:money, How much money is needed to reserve a ticket for the flight around the moon ?
NUM:money, What did the average American pay for a new house in 1905 ?
NUM:money, What is the exchange rate for U.S dollars to Hong Kong Dollars ?
NUM:money," What is the price of silver ? .
 The correctH"
