label,text,predicted_label,probability
quantity, how many first class united airline flights leave denver,quantity,0.9039
quantity, how many american airline first class flights leave denver today,quantity,0.8689
quantity, how many first class american airline reservations are there,quantity,0.8441
quantity, how many us airflights are there one way from philadelphia to atlanta,quantity,0.839
quantity, how many delta airline first class tickets are there,quantity,0.8308
quantity, how many airports does atlanta have with usair,quantity,0.8168
quantity, how many fares are there one way from boston to atlanta,quantity,0.811
quantity, how many first class us airflights are there between boston and san francisco,quantity,0.8058
quantity, how many first class flights does united have that leave denver after 12 o'clock,quantity,0.8053
quantity, how many first class american airline flights go from dallas to milwaukee,quantity,0.8005
aircraft, what type of aircraft flies from boston to san francisco,aircraft,0.9409
aircraft, what kind of aircraft flies from boston to san francisco after noon,aircraft,0.9344
aircraft, what type aircraft flies from pittsburgh to baltimore,aircraft,0.9323
aircraft, what type of aircraft flies from pittsburgh to baltimore,aircraft,0.9315
aircraft, what type of aircraft flies from atlanta to san francisco,aircraft,0.931
aircraft, what aircraft type hasflighttimeabbreviation ua260,aircraft,0.93
aircraft, tell me what type of aircraft flies from boston to atlanta,aircraft,0.9262
aircraft, what kind of aircraft is flight ua 253 from denver to philadelphia,aircraft,0.9255
aircraft, what type of aircraft flies from atlanta to boston,aircraft,0.9254
aircraft, tell me type of aircraft that flies from philadelphia to washington,aircraft,0.9242
airfare, show me fares from baltimore to atlanta,airfare,0.9313
airfare, show me fares from atlanta to baltimore,airfare,0.9313
airfare, show me fares from atlanta to san francisco,airfare,0.9227
airfare, show me first class fares from atlanta to boston,airfare,0.9128
airfare, show me prices for coach fares from atlanta to philadelphia,airfare,0.9104
airfare, list fares from baltimore to indianapolis,airfare,0.9064
airfare, show me fares from atlanta to boston,airfare,0.906
airfare, show me fares from boston to atlanta,airfare,0.906
airfare, show me fares from atlanta to philadelphia,airfare,0.9031
airfare, list me air fares from atlanta to baltimore,airfare,0.8947
airline," what airline is us
 I 'm not sure which airline i should fly with from philadelphia to atlanta",airline,0.9622
airline, which airline is usabflightgroundservice,airline,0.9555
airline, which airline has the most flights between pittsburgh and baltimore,airline,0.9159
airline, which airline has the most departures from denver,airline,0.9051
airline, which airline has the most business classflight,airline,0.9037
airline, which airline has the most flights to denver,airline,0.9037
