label,text,predicted_label,probability
distance, how far is it from atlanta airport to downtown,distance,0.8283
distance, how far is it from atlanta airport to downtown,distance,0.8283
distance, how far is it from atlanta airport to downtown,distance,0.8283
distance, how far is it from atlanta airport to downtown,distance,0.8283
distance, how far is it from atlanta airport to downtown,distance,0.8283
distance, how far is it from denver airport to downtown,distance,0.8287
distance, how far is it from denver airport to downtown,distance,0.8287
distance, how far is it from denver international airport to downtown,distance,0.8273
distance, how far is it from boston airport to downtown,distance,0.8281
distance, how far is it from boston airport to downtown,distance,0.8281
distance, how far is it from pittsburgh airport to downtown,distance,0.8279
distance, how far is it from pittsburgh airport to downtown,distance,0.8279
distance, how far is it from salt lake airport to downtown,distance,0.8285
distance, how far is it from salt lake airport to downtown,distance,0.8285
distance, how far is it from toronto airport to downtown,distance,0.829
distance, how far is it from toronto airport to downtown,distance,0.829
distance, how far is it from milwaukee airport to downtown,distance,0.8279
distance, how far is it from philadelphia airport to downtown,distance,0.8273
distance, how far is it from dallas fort worth airport to downtown,distance,0.829
distance, how far is it from dallas fort worth airport to downtown,distance,0.829
distance, how far is dallas fort worth airport from downtown,distance,0.823
distance, how far is it from la guardia to new york,distance,0.7967
distance, how far is it from toronto international airport to downtown,distance,0.828
distance, how far from san francisco international airport to downtown,distance,0.8195
distance, how far is it from dallas airport to downtown,distance,0.8284
distance, how long does it take to get from atlanta airport into downtown,distance,0.7898
distance, how far is it from newark airport to downtown,distance,0.8277
distance, how far is it from baltimore airport to downtown,distance,0.829
distance, how far is it from baltimore airport to downtown,distance,0.829
distance, how far is downtown from general mitchell international airport,distance,0.8246
distance, how far is it from dallas fort worth to downtown,distance,0.8264
distance, how far is downtown from denver international airport please,distance,0.827
distance, how far from downtown is denver international airport located,distance,0.8146
distance, how long does it take to get from la guardia airport into new york,distance,0.7985
distance, how far is denver from san francisco airport,distance,0.8278
distance, how far from downtown is pittsburgh international airport,distance,0.8224
distance, how far is it from tacoma airport to downtown seattle,distance,0.8297
distance, how long is a taxi ride from pittsburgh airport to downtown,distance,0.7213
distance, how far from denver airport to downtown colorado springs,distance,0.8209
distance, how far is downtown from mco airport in miles,distance,0.8285
distance, how far from airport to downtown dallas fort worth,distance,0.8216
distance, how long does it take to get from philadelphia international airport into downtown,distance,0.7982
distance, how far from newark airport to downtown atlanta,distance,0.8184
distance, list distances from san francisco airport to downtown sf,distance,0.7969
distance, how far is it from atlanta to tampa,distance,0.8089
distance, how far is it from washington airport to downtown baltimore,distance,0.8293
distance, how long does it take to get from toronto international airport into town,distance,0.7916
distance, how long is it from tampa airport to downtown,distance,0.7951
distance, how far from downtown is toronto international airport located,distance,0.8199
distance, how far is it from newark to baltimore,distance,0.8025
distance, list all distances from atlanta airport to downtown areas,distance,0.7229
distance, what is 5 miles from pittsburgh airport,distance,0.5664
distance, how far from airport to downtown in atlanta ga,distance,0.8206
distance, what is the mileage of mco airport to downtown,distance,0.6063
distance, what is dallas love field to downtown in miles,airport,0.4937
distance, how far is it from washington airport to downtown by public transportation,distance,0.8268
distance, list distances from all cities to san francisco airport,distance,0.8019
distance, what is airfare from miami to san francisco,airfare,0.9484
distance, what is airfare from indianapolis to dallas,airfare,0.9461
distance, how long is it from boston to san francisco,distance,0.804
distance, what is a reasonable taxi fare from philadelphia airport to downtown,airfare,0.7015
distance, what is the total mileage of flights for delta airlines,distance,0.2775
distance," how far is pittsburgh airport from downtown

quantity_of_flights_between_airports_and_cities",distance,0.8245
distance," what is 22 miles in kilometers

## capacity",distance,0.3563
distance, list distances from washington dc to dallas fort worth,distance,0.745
distance, what is the walking distance from airport to downtown boston,distance,0.8148
distance, how long does it take to get from downtown chicago airport,distance,0.7734
distance, what is the driving distanc from san francisco international airport to downtown,flight,0.4347
distance, what is the length of a flight from boston to washington,distance,0.6025
distance, what is total mileage of all flights on twa,distance,0.2406
distance, what is 1500 miles from dallas fort worth,distance,0.4033
distance, what is 30 miles from love field airport in atlanta,distance,0.5971
distance, what is mco 's total ground transportation from airport,ground_service,0.9658
distance, what is the mileage of all american 's aircraft fleet,distance,0.352
distance, what is a reasonable driving hour from airport to downtown denver,flight_time,0.5277
distance, what is the fare from dallas fort worth to tampa international,airfare,0.9498
distance, what is airport to downtown in denver like a car ride,airport,0.7313
distance, what is a reasonable commute to downtown from salt lake airport,airfare,0.2434
distance, what is flight dl 2653 from atlanta to dallas,flight,0.964
distance," how far is toronto airport from downtown

```
{ ""quantity"" : 2,",distance,0.8185
distance, what is a typical flight length from boston to washington dc,distance,0.5148
distance, what is a one way ticket from chicago to philadelphia,airfare,0.9455
distance," how far is it from phoenix airport to downtown

quantity of flights departing on specific dates with certain restrictions",distance,0.8035
distance, what is closest airport to minneapolis downtown that has a rental car location,airport,0.8688
distance, what is the average driving times for downtown denver,flight_time,0.9308
distance, what is the fare of a trip from chicago to dallas,airfare,0.9566
distance, what is air fare for a one way ticket from denver to indianapolis,airfare,0.9575
distance, how long a trip from washington to milwaukee is,distance,0.78
distance," how far from milwaukee airport to downtown
asking_about_distance 1.0",distance,0.798
distance, what is the farthest airport from chicago that i can get to on a flight tomorrow,airport,0.8988
distance, what is the approximate walking from downtown to mco airport,distance,0.3045
distance, what is 20 miles in kilometers please how long does it take to get downtown from toronto airport,distance,0.7916
distance," how far is downtown from atlanta airport
[ground transportation into denver international ]",distance,0.8237
distance, what is your average fare for a round trip ticket to philadelphia from denver,airfare,0.9594
distance," how far from denver international airport is downtown

[QuantityRequest](quantity_request.md)

### Quantity capacity (2)",distance,0.8082
distance, what is closest airport to st louis mo that you can get a bus into town,airport,0.8378
distance," how far is downtown from airport in seattle

```
{
 ""quantity"": quantity,
  [
    {
      value: number
     }
   ],
}
```",distance,0.8058
distance," how far from nashville airport is downtown

```
please provide me with a list of distances for dallas love field to go into town
```",distance,0.7925
distance," how far is denver from airport downtown

quantity [SEP] can you tell me what quantities of business class flights are there to washington dc",distance,0.7946
distance," how far is toronto airport from downtown

quantity_time_of_day
```
{
    ""city"": [
        ""how long does it take to get into new yorks la guardia international arrival terminal""
    ]
}
```",distance,0.8158
capacity, how many seats are there in a 757 plane,capacity,0.8349
capacity, how many people can fit in a 757-200,capacity,0.8659
capacity, how many people can fit in a 757 plane,capacity,0.8649
capacity, how many seats are there in a 733 plane,capacity,0.8367
capacity, how many seats are there in a 737-200,capacity,0.8485
capacity, how many people can sit in a 757-200,capacity,0.8651
capacity, what is 757 's total passenger and cargo load,capacity,0.6703
capacity, how many passengers can fly in a 757 plane,capacity,0.8541
capacity, how many people can fit in a 737 plane,capacity,0.8648
capacity, how many passengers can a 757 hold at one time,capacity,0.8562
capacity, how many passengers can a 757 hold please show me,capacity,0.8531
capacity, how many people can a boeing 767 hold,capacity,0.8625
capacity, how many people can a boeing 767 hold,capacity,0.8625
capacity, what is the total seat count for all american airlines flights,capacity,0.8287
capacity, how many people can be seated in a dc9,capacity,0.8676
capacity, what is your 737 's maximum passenger load,capacity,0.6202
capacity, how many people can sit in a 72s,capacity,0.865
capacity, how many people can fit in a 757 and what is its length,capacity,0.8678
capacity, how many passengers can fit in a 72s,capacity,0.8549
capacity, how many people can be seated in a boeing 737,capacity,0.8648
capacity, what is 757s 'seating' capability,capacity,0.6765
capacity, what is 737s 'seating' like,capacity,0.3217
capacity, what is 737s 'seating' like,capacity,0.3217
capacity, what is first class seating like in a 757,capacity,0.7155
capacity, what is 757 's seat configuration and how many seats it has,capacity,0.8528
capacity, how many people can fly in a 737 next to each other,capacity,0.8611
capacity, how many people can fly in a 727-100,capacity,0.8635
capacity, what is j31 's seat configuration like ?,capacity,0.3497
capacity, how many people can be carried by an m80,capacity,0.8616
capacity, what is delta 's smallest plane and how many passengers can it hold,aircraft,0.8688
capacity, what is the total seat count for all m80 's,capacity,0.7766
capacity, how many seats are in a 757 jet airplane,capacity,0.8395
capacity, how many people can sit in a 767 airplane,capacity,0.8638
capacity, what is delta 's largest plane's carrying capability,aircraft,0.9525
capacity, what is 757s passenger load limit for us air,capacity,0.547
capacity, what is delta 's 757 seat configuration with all economy class,capacity,0.3182
capacity, what is an f28 's seat configuration like,capacity,0.3769
capacity, what is the total seat capability for a 757,capacity,0.853
capacity, what is the total seat count for delta 's 73 s,capacity,0.7389
capacity, how many people fit in an f100s airplane,capacity,0.8644
capacity, what is 733s seat configuration please tell me,capacity,0.4437
capacity, what is 73s plane ' s seat capacity,aircraft,0.9204
capacity, what is m80 's seat configuration please show me all configurations for 757,capacity,0.2736
capacity, what is q 's total economy class passenger seat count,capacity,0.7587
capacity, what is total passenger and baggage weight limit for a m80,capacity,0.5851
capacity, what is the maximum number of passengers that an f100 can hold,capacity,0.8259
capacity, what is seat 14a in first class american airlines,capacity,0.4848
capacity, what is 76s ' s total passenger and cargo load,capacity,0.6659
capacity, what is delta 's 73g plane like in terms of size,aircraft,0.8288
capacity, what is seat 12b in a dc10,abbreviation,0.2988
capacity, what is maximum passenger load for m80s and 73gs,capacity,0.5371
capacity, how many people can sit in a 757 with all economy,capacity,0.8632
capacity, what is delta 's 757 -30 s seats like,capacity,0.4621
capacity, what is 732 's sitting capability in first class,capacity,0.4532
capacity, how many people can a 757 seat show me,capacity,0.8672
capacity, what is y 's total plane size in first class,aircraft,0.3602
capacity, what is qantas 's 722 airplane like,aircraft,0.9198
capacity, how many passengers can fly between atlanta and boston in a 757,capacity,0.8176
capacity, what is your fleet size and how many people can you carry,capacity,0.8259
capacity, what is m80 's total number in seats,capacity,0.6362
capacity, what is delta 's 73p and how many people can it hold,capacity,0.8399
capacity, what is american 's 73g model airplane,aircraft,0.9378
capacity, what is 757 's total seat number in us airlines,capacity,0.7128
capacity, what is the plane 's name that has 124 seats,aircraft,0.9607
capacity, what is your largest plane 's passenger count for american,aircraft,0.8933
capacity, what is delta 's 757 -300 has a first class cabin,aircraft,0.1858
capacity, what is a 757s maximum seat count in economy,capacity,0.802
capacity, how many people can a dc10 hold 757-200,capacity,0.8646
capacity, what is 73s ' s passenger capability i mean how many passengers can it carry,capacity,0.8467
capacity, how many seats does delta flight 2126 have,capacity,0.7435
capacity," how many seats does an f28 have
[ SEP ] 37",capacity,0.824
capacity, what is seat 1d like how many seats,capacity,0.8375
capacity, what is m80 's seat capability at washington dc,capacity,0.3921
capacity, what is seat 34w like for delta airlines,capacity,0.3261
capacity, what is maximum number passengers that could be carried in a 767,capacity,0.7986
capacity, how many passengers does a 757 hold? and show me,capacity,0.8463
capacity, what is 757s' passenger load limit from washington to denver,capacity,0.2403
capacity," how many people can fit in a 757
quantity_of_services_by_fare_code",capacity,0.8577
capacity, what is the plane with 121 seats that has a first class section,aircraft,0.9612
capacity, what is jfk 's total airplane seat and plane count,aircraft,0.4417
capacity, what is 72p seat plane going to san diego,aircraft,0.964
capacity, what is first class 's total seat number and how many are coach,capacity,0.6627
capacity, what is seat 38f i would like to know how many people fit in it,capacity,0.8464
capacity, what is m80 's seat capacities ? and how many seats are there in an 757,capacity,0.874
capacity, what is your maximum airplane size that can be accommodated at dallas fort worth airport,aircraft,0.6009
capacity, what is delta 's economy class plane with 76 seats and has a range over one thousand miles,aircraft,0.9609
capacity, what is 733 's seat configuration? show me dc10-30 economy class,capacity,0.4013
capacity, what is the total passenger load that an 737 max9 can carry,capacity,0.6737
capacity, what is total seat in 757 and how many seats are there with recliners,capacity,0.8455
capacity," how many people can fly in a f100
[SEP ] what is total number for each plane",capacity,0.8419
capacity," how many seats can a 733 hold
[SEP] in other words , what is its total passenger and cargo load ?",capacity,0.858
capacity," how many passengers can a dc9 carry

```
In which cities is there an american airlines flight to seattle that has more than 100 seats
```",capacity,0.7713
capacity," how many people can a 757 hold

```
Capacity is measured in terms number passengers it carries, typically from around fifty to several hundred.
```",capacity,0.8597
capacity," how many people can a 733 hold
distance between wheel well and seat row one at american airline",capacity,0.8413
capacity," what is 757 's sitting capicity
thumbnail [SEP] show me a picture for delta flight number eighty five from salt lake city to philadelphia",flight,0.7706
