label,text,predicted_label,probability
LOC:state, What are the 50 U.S. state nicknames ?,LOC:state,0.9979
LOC:state," What is the state nickname of Mississippi ? , The Magnolia State .",LOC:state,0.9976
LOC:state, What is the state nicknamed The Cornhusker State ?,LOC:state,0.9965
LOC:state, What state is called the Hawkeye State ?,LOC:state,0.996
LOC:state, What state is the birthplace of Ted Turner ?,LOC:state,0.9953
LOC:state, What U.S . state is known as the Hawkeye State ?,LOC:state,0.9932
LOC:state, What U.S.state is the largest ? . ...,LOC:state,0.9877
LOC:state, What is the state nickname of Mississippi ? It 's also known as The Magnolia State .,LOC:state,0.9857
LOC:state, What state is the home of Superman ? . ,LOC:state,0.98
LOC:state, What state is often called The Green Mountain State ?,LOC:state,0.9777
NUM:period, How long is a human gestation period ? 2,NUM:period,0.99
NUM:period, How long is the human gestation period ? ...,NUM:period,0.9876
NUM:period," How long is human gestation ? , N 1997",NUM:period,0.9873
NUM:period, How long does it take for a male to ejaculate ?,NUM:period,0.9854
NUM:period, How long does a human live ? and how old was the oldest person ever recorded alive .,NUM:period,0.9818
NUM:period," How long do people live ? and What is the average life span in USA ,",NUM:period,0.9812
NUM:period, How long does a human live ? 1?,NUM:period,0.9796
NUM:period, How long does a human live ? ��?,NUM:period,0.9796
NUM:period, How long do people live ? What is the average life span for an American today,NUM:period,0.9789
NUM:period, How long does it take the average adult to fall asleep ?,NUM:period,0.9788
LOC:mount," Where is the highest point in Japan ? , The tallest mountain peak on Earth .",LOC:mount,0.9907
LOC:mount, What is the highest mountain peak in Japan ? .,LOC:mount,0.9891
LOC:mount, Which is the second highest mountain peak in Japan ?,LOC:mount,0.9821
LOC:mount, What is the highest mountain in Japan ? (ED),LOC:mount,0.9803
LOC:mount," Where do people mountain climb in Nepal ? . In the Rocky Mountain range , what is the highest point of land above sea level on earth called",LOC:mount,0.973
LOC:mount," Where do people mountain climb in Tibet ? , What is the world 's fourth highest peak",LOC:mount,0.9709
LOC:mount," What is the highest mountain in Africa ? , 2",LOC:mount,0.9697
LOC:mount," Where is the highest point in Japan ? In what mountain range do Mont Blanc , Monte Rosa , Matterhorn",LOC:mount,0.9692
LOC:mount, Where is the highest point in Japan ? (CCQ) What mountain peak do you climb to get there,LOC:mount,0.9671
LOC:mount, What is the highest mountain in Africa ? The Kilimanjaro .,LOC:mount,0.9658
NUM:date," When did the Vietnam War start ? and when was it stopped , what year etc",NUM:date,0.9948
NUM:date, What day is New Year 's Eve in 2035 ?,NUM:date,0.9826
NUM:date, What year did the Berlin Wall go up ? and when was it torn down .,NUM:date,0.9822
NUM:date," When was the last general election in Britain ? In which month does Ramadan take place , and when will it be next year 2001 ?",NUM:date,0.9809
NUM:date, When did the Berlin Wall go up ? and when was it torn down ?,NUM:date,0.9793
NUM:date, What day and year did they build the Berlin Wall ?,NUM:date,0.9785
NUM:date, When was the Battle of Britain fought ? and when did it end,NUM:date,0.9754
NUM:date," What day did Iraq invade Kuwait ? The first Gulf War began on what date in 1991 , when the allied coalition expelled Iraqi troops from neighboring Kuwait .",NUM:date,0.9695
NUM:date," What day and month did Princess Diana die ? In what year was the Mona Lisa painted ,",NUM:date,0.9689
NUM:date, When did the Dow first reach 1000 ?,NUM:date,0.9634
NUM:count, How many Americans have HIV ? and how many died from AIDS in 1996 .,NUM:count,0.9917
NUM:count, How many people died in the Rwandan genocide ?,NUM:count,0.9908
NUM:count, How many people died on D-Day ? and how many Americans were among them .,NUM:count,0.9869
NUM:count, How many children did Charles I have ? 0-100000,NUM:count,0.9836
NUM:count," How many people live in Texas ? 2,638 ,152",NUM:count,0.983
NUM:count, How many species are there on earth ?  (SEP),NUM:count,0.9817
NUM:count, How many American soldiers were there in World War I ?,NUM:count,0.9808
NUM:count, How many calories are in a gallon of gasoline ?,NUM:count,0.978
NUM:count, How many inches are there in a yard ? |,NUM:count,0.9733
NUM:count, How many U.S . soldiers died in World War I ?,NUM:count,0.973
LOC:country, What are the Nordic nations ? ___ is a Scandinavian country .,LOC:country,0.9903
LOC:country, What country did the Kurds live in ? 0,LOC:country,0.9876
LOC:country," What country is Lake Chad in ? , ... 7",LOC:country,0.9824
LOC:country, What European country was once known as Abyssinia ?,LOC:country,0.9792
LOC:country, What country has the most people ? 2 ;,LOC:country,0.9721
LOC:country, What is the largest country in South America ? 2023,LOC:country,0.9715
LOC:country, What is the largest country in South America ? ___,LOC:country,0.9715
LOC:country, What Asian country was once known as Siam ?,LOC:country,0.9694
LOC:country, What is the most northernly country in South America ?,LOC:country,0.9665
LOC:country," What country did Hitler rule ? , the 3rd Reich .",LOC:country,0.9657
NUM:money, How much money was the minimum wage in 1991 ?,NUM:money,0.9722
NUM:money, How much money can a person be fined for having a dog on the beach ?,NUM:money,0.9708
NUM:money, How much did the minimum wage get raised by in 1991 ?,NUM:money,0.9595
NUM:money, How much money was the minimum wage in 1990 ?,NUM:money,0.9557
NUM:money, How much money are Dumbo 's ears worth ?,NUM:money,0.9507
NUM:money, How much did a ticket cost on the first run of America 's First Transcontinental Railroad ?,NUM:money,0.9498
NUM:money, How much would a new railroad boxcar cost in 1987 ?,NUM:money,0.9425
NUM:money, How much was the minimum wage in 1987 ?,NUM:money,0.9409
NUM:money, How much was the minimum wage in 1991 ?,NUM:money,0.9377
NUM:money," How much does the President get paid ? , What was minimum wage in 1980 and what is it now",NUM:money,0.9332
ENTY:lang, What 's the name of a language ? .,ENTY:lang,0.9328
ENTY:lang, What is a language spoken by the Sioux ? -,ENTY:lang,0.9281
ENTY:lang, What language is mainly spoken in Brazil ? -1,ENTY:lang,0.9248
ENTY:lang, What 's the most widely-spoken Gaelic language ?,ENTY:lang,0.9237
ENTY:lang, What 's the name of a language spoken by the Sioux ?,ENTY:lang,0.9222
ENTY:lang," What is a language of the Sioux ? , ;",ENTY:lang,0.919
ENTY:lang, What is the most widely-spoken Gaelic language ?,ENTY:lang,0.9176
ENTY:lang, What is the name of a language ? 51,ENTY:lang,0.9161
ENTY:lang," What is the name of a language ? , -",ENTY:lang,0.9161
ENTY:lang, What is the name of a language ? ( WF ),ENTY:lang,0.9161
ENTY:dismed, What is a fear of spiders ? GP : dism,ENTY:dismed,0.9914
ENTY:dismed, What is a fear of thunderstorms called ? 201,ENTY:dismed,0.9844
ENTY:dismed," What is a fear of frogs ? , Fear .",ENTY:dismed,0.984
ENTY:dismed, What is a fear of being dirty ? GP:fear OR GT:symptom,ENTY:dismed,0.9791
ENTY:dismed, What is a fear of the past ? . ...,ENTY:dismed,0.9787
ENTY:dismed, What is a fear of cold ? | {<o>},ENTY:dismed,0.9684
ENTY:dismed, What is a fear of frogs ? 2018-01-12,ENTY:dismed,0.9622
ENTY:dismed, What is a fear of being cold ? (CCQ53742),ENTY:dismed,0.9619
ENTY:dismed, What is a fear of being cold ? ______________________,ENTY:dismed,0.9619
ENTY:dismed, What is a fear of being cold ? / P,ENTY:dismed,0.9619
ENTY:color, What color is a lemon ? _________________________________________________________________________,ENTY:color,0.9993
