label,text,predicted_label,probability
ENTY:dismed, What is a fear of the number 13 ?,ENTY:dismed,0.2899
ENTY:dismed, What is a fear of long words ? [/sep],ENTY:dismed,0.3323
ENTY:dismed, What is the second most common form of cancer ?,ENTY:dismed,0.2248
ENTY:dismed, What is a fear of food ? 's?,ENTY:dismed,0.7399
ENTY:dismed, What is a phobia of the number 13 ?,NUM:code,0.2084
ENTY:dismed, What is a fear of germs ? --- Mysophobia .,ENTY:dismed,0.4336
ENTY:dismed, What 's a disease that affects the lungs ?,ENTY:dismed,0.1818
ENTY:dismed, What is the term for a fear of mirrors ?,ENTY:termeq,0.3531
ENTY:dismed, What is a fear of dirt ? ___phobia,ENTY:dismed,0.7399
ENTY:dismed, What is a fear of snakes called ? Copyright Robert Hickey 2013,ENTY:dismed,0.3256
ENTY:dismed, What is a fear of snakes called ? Copyright Robert Hickey 2013,ENTY:dismed,0.3256
ENTY:dismed, What is anorexia nervosa ? [/sep],DESC:def,0.6625
ENTY:dismed, What is the most common sexually transmitted disease ? ',ENTY:dismed,0.2779
ENTY:dismed, What is a fear of public speaking ? --- glossophobia,ENTY:dismed,0.7399
ENTY:dismed, What is a fear of Mondays ? Copyright Robert McCNUM:xnum:n,ENTY:dismed,0.4401
ENTY:dismed, What is a phobia of long words ? ;,ENTY:word,0.2266
ENTY:dismed, What is a fear of clowns ? . ...,ENTY:dismed,0.7399
ENTY:dismed, What is a disease caused by the bacterium Treponema pallidum ?,ENTY:dismed,0.1839
ENTY:dismed, What is the most common disease in dogs ? ---,ENTY:dismed,0.2615
ENTY:dismed, What disease is caused by the bacterium Leptospira interrogans ?,ENTY:dismed,0.1839
ENTY:dismed, What disease is caused by a fungus that lives in bird droppings ?,ENTY:dismed,0.126
ENTY:dismed, What disease is also known as elephantiasis ?,ENTY:dismed,0.2101
ENTY:dismed, What disease does the singer Elton John have ?,ENTY:other,0.111
ENTY:dismed, What is an uncontrollable urge to eat ice ?,NUM:period,0.1376
ENTY:dismed," What does the ""H"" in H.I.V stand for ?",ABBR:exp,0.5778
ENTY:dismed, What disease does Michael J Fox have ? [/sep],ENTY:other,0.111
ENTY:dismed, What is the second most common type of cancer in American women ?,ENTY:dismed,0.154
ENTY:dismed, What is the fear of long words ? . Copyright AE 2020,ENTY:dismed,0.2965
ENTY:dismed, What disease kills the most people in a year ?,NUM:date,0.1589
ENTY:dismed, What is the most commonly diagnosed cancer among men ?,ENTY:dismed,0.156
ENTY:dismed, What is a fear of spiders called ? Copyright Abraham-Lincoln University 2000-2018,ENTY:dismed,0.189
ENTY:dismed," What does ""scoliosis"" mean ? .",DESC:def,0.581
ENTY:dismed, What is the disease that makes people have seizures ?,HUM:gr,0.105
ENTY:dismed, What is a fear of hair ? 's color?,ENTY:color,0.5142
ENTY:dismed, What does a person have if they are afraid of long words ?,ENTY:other,0.1215
ENTY:dismed, What is the fear of being stared at ? ),ENTY:dismed,0.4873
ENTY:dismed, What is an overgrowth of body hair called ?,ENTY:body,0.128
