label,text,predicted_label,probability
LOC:state, What is the state nickname of Mississippi ? The Magnolia State .,LOC:state,0.9917
LOC:state, Which state is known as the Corn Husker 's State ?,LOC:state,0.9908
LOC:state, What state in the United States has a longest coastline ?,LOC:state,0.9735
LOC:state, What state in the United States has a population of 2.65 million ?,LOC:state,0.966
LOC:state, What U.S. state has the most residents ?,LOC:state,0.9658
LOC:state, What is the northernmost state in continental United States ?,LOC:state,0.9579
LOC:state, What is the southernmost state in continental United States ?,LOC:state,0.9577
LOC:state, What state in the US has a higher mountain than any other U.S. State ?,LOC:state,0.9214
LOC:state, In which state was there an 11.7 magnitude earthquake ?,LOC:state,0.9057
LOC:state, What state did the Battle of Actium take place in ?,LOC:state,0.9028
NUM:count, How many legs does a lobster have ? |how+many|,NUM:count,0.991
NUM:count, How many horses died during the Civil War ? | how-many-are-there84162,NUM:count,0.9887
NUM:count, How many rings are on a dart ? | how-many-are-there.com,NUM:count,0.9851
NUM:count, How many chromosomes do most animals have ? |How-many-chromosomes-do-zebrafish-have,NUM:count,0.9813
NUM:count, How many calories are there in a pear ? | how-many-are-there-in-a-[MASK],NUM:count,0.9728
NUM:count, How many atoms are there in a molecule of carbon dioxide ?,NUM:count,0.9723
NUM:count, How many rings are on a boxers nose ?,NUM:count,0.9716
NUM:count, How many people live in the Falkland Islands ?,NUM:count,0.9668
NUM:count, How many people were in the Beatles ? |How many members did Queen have?,NUM:count,0.9661
NUM:count, How many people are there in the world ? | t|,NUM:count,0.9647
ENTY:lang, What language is mostly spoken in Brazil ? | what-languages-are-spoken-in-nigeria,ENTY:lang,0.9483
ENTY:lang, What 's a language spoken by the Sioux ?,ENTY:lang,0.9048
ENTY:lang, What 's the name of a language spoken by the Sioux ?,ENTY:lang,0.9041
ENTY:lang, What 's the language spoken by the Sioux ?,ENTY:lang,0.902
ENTY:lang, What is a language spoken by the Sioux ? .,ENTY:lang,0.8916
ENTY:lang, What is a language spoken by the Sioux ? | e | g,ENTY:lang,0.8916
ENTY:lang, What is a language spoken by the Sioux ? | e|,ENTY:lang,0.8916
ENTY:lang," What is a language spoken by the Sioux ? ,",ENTY:lang,0.8916
ENTY:lang, What is the official language of Algeria ? | eq. what-language-is-spoken-in-algeria,ENTY:lang,0.8881
ENTY:lang, What is the name of a language spoken by the Sioux ?,ENTY:lang,0.8818
LOC:country, What country 's capital is Nouakchott ?,LOC:country,0.9723
LOC:country," What country 's capital is Brasilia ? ,",LOC:country,0.9723
LOC:country, What country 's capital is Brasilia ? .,LOC:country,0.9723
LOC:country, What country was Hitler dictator of ? | href|,LOC:country,0.9701
LOC:country," What country did the Picts come from ? ,",LOC:country,0.9676
LOC:country, What country did the Habsburgs rule ?,LOC:country,0.9636
LOC:country, What country 's northernmost city is Inari ?,LOC:country,0.956
LOC:country," What country does the Lapps live in ? ,",LOC:country,0.9473
LOC:country, What country is known as the Land of Fires ?,LOC:country,0.9467
LOC:country, What country is known as the `` Land of Smiles '' ?,LOC:country,0.9467
LOC:city, What Texas city was nicknamed the City of Hate ?,LOC:city,0.9882
LOC:city, Which U.S. city is known as the City of Lights ?,LOC:city,0.9838
LOC:city, What city boasts the world 's largest rodeo ?,LOC:city,0.9637
LOC:city, What city was the setting for William Gibson 's Neuromancer ?,LOC:city,0.9558
LOC:city, What Italian city boasts the Piazza del Campo ?,LOC:city,0.9413
LOC:city, What Italian city boasts the Uffizi Gallery ?,LOC:city,0.9413
LOC:city, Which city boasts Penn 's Landing ? . |,LOC:city,0.9409
LOC:city, What city is the center of Parisian fashion ?,LOC:city,0.9343
LOC:city, What 's the largest city in Africa ? -,LOC:city,0.9323
LOC:city, What city is Stansted Airport near ? !.,LOC:city,0.9252
NUM:period, How long is the human gestation period ? | how-long-does-it-take-to-walk-500-miles,NUM:period,0.9934
NUM:period, How long is human gestation ? | how-long-does-it-take-for-an-egg-to-hatch,NUM:period,0.9905
NUM:period, How old is Benny Carter ? | how long did he live,NUM:period,0.9903
NUM:period, How long is human gestation ? | how-long-does-it-take-to-gestate-a-human-infant,NUM:period,0.9889
NUM:period, How old is Stevie Wonder ? | #how long,NUM:period,0.986
NUM:period, How old is the sun ? | how long has it been burning .,NUM:period,0.9838
NUM:period, How long is human gestation ? | howlong,NUM:period,0.9802
NUM:period, How old was Einstein when he died ? |How long after the Civil War did it take for Plessy v. Ferguson to be decided?,NUM:period,0.9684
NUM:period, How old is Stevie Wonder ? | #how+old,NUM:period,0.9659
NUM:period, How old is Benny Carter ? | #how long has benny carter been dead,NUM:period,0.9591
NUM:date," What year was the Berlin Wall constructed ? , in what month and day of that year .",NUM:date,0.974
NUM:date, When were camcorders introduced ? ] | when was the first camcoder invented,NUM:date,0.9691
NUM:date, When was the Edmund Fitzgerald wrecked ? . 1,NUM:date,0.965
NUM:date, When was the Edmund Fitzgerald shipwrecked ?,NUM:date,0.965
NUM:date, What year did the Edmund Fitzgerald sink ? |.whatyeardidtheedmundfitzgeralssink,NUM:date,0.9646
NUM:date, What year did the Edmund Fitzgerald sink ? ] 1975,NUM:date,0.9646
NUM:date, When did the Edmund Fitzgerald sink ? | eGloss.com,NUM:date,0.9631
NUM:date, In what year did the Edmund Fitzgerald sink ? ],NUM:date,0.9622
NUM:date, What year did the Vietnam War end ? | eq. When was The Troubles over in Northern Ireland ?,NUM:date,0.9619
NUM:date, When was the Berlin wall constructed ? | What year did they build it ?,NUM:date,0.959
ENTY:currency," Which currency is used in Algeria ? , What money do they use in Australia",ENTY:currency,0.891
ENTY:currency, What currency is used in Algeria ? |What kind of money do they use there .,ENTY:currency,0.8725
ENTY:currency, What currency is used in Belarus ? __NUM__,ENTY:currency,0.8495
ENTY:currency," What currency is used in Algeria ? , Belgium and Luxembourg use what money !",ENTY:currency,0.8465
ENTY:currency, What currency does Finland use ? (1999),ENTY:currency,0.829
ENTY:currency," Which currency is used in Iran ? ... Egypt , and Sudan use what money ?",ENTY:currency,0.8253
ENTY:currency, What currency is used in the Bahamas ? (2004),ENTY:currency,0.7835
ENTY:currency," What currency is used in Algeria ? , Saudi Arabia and Iraq all use what money ??",ENTY:currency,0.7663
ENTY:currency, What currency is used in Algeria ? . what money do algeria use,ENTY:currency,0.7388
ENTY:currency, What money was used by them ? ; . 1,ENTY:currency,0.7068
DESC:manner, How do I tie a bowtie ? | how-to,DESC:manner,0.9884
DESC:manner, How do I register a domain name ? | how to registr,DESC:manner,0.9808
DESC:manner, How does a rainbow form ? | how do rainbows work,DESC:manner,0.9791
DESC:manner, How do you get rid of rats ? . how can i rat proof my basement,DESC:manner,0.9788
DESC:manner, How do I tie a Windsor knot ? | how to make one,DESC:manner,0.9762
DESC:manner, How do you make coffee ? | ! . ],DESC:manner,0.9676
DESC:manner, How does a copier work ? | how do i change the fuser on an xerox 5020 photocopiter,DESC:manner,0.9658
DESC:manner, How does a copier work ? | how do printers and fax machines operate,DESC:manner,0.9641
DESC:manner, How do you play Chess ? | how-to ||,DESC:manner,0.9591
DESC:manner, How do you use a slide rule ? | how to operate one,DESC:manner,0.9589
NUM:money, How much does a ticket cost to get into Busch Gardens ?,NUM:money,0.9484
NUM:money, How much is the minimum wage ? | eq.,NUM:money,0.9446
NUM:money, How much does a back surgery cost ? | how-much-does-a-back-surgery-cost,NUM:money,0.9323
NUM:money, How much did the 1st American stamps cost ?,NUM:money,0.9299
NUM:money, How much does a new railroad boxcar cost ?,NUM:money,0.9272
NUM:money, How much did the average new home cost in 1975 ?,NUM:money,0.9212
NUM:money, How much money was the minimum wage in 1991 ?,NUM:money,0.9189
NUM:money, How much was the minimum wage in 1991 ?,NUM:money,0.9128
NUM:money, How much money does a coroner get paid ?,NUM:money,0.9045
NUM:money, How much money does the president get paid ? | Where can I find out how salary a state representative makes in Illinois .,NUM:money,0.8854
ENTY:color, What color are zucchini ? . ! LAB :result,ENTY:color,0.9975
ENTY:color, What color are rhodondendrons ? .,ENTY:color,0.9975
ENTY:color, What color is kudzu ? . !.,ENTY:color,0.9964
ENTY:color," What are Halloween 's colors ? , what color is halloween",ENTY:color,0.9646
ENTY:color, What color is your parachute ? ] . ! ],ENTY:color,0.964
ENTY:color, What color are golf tees ? . /p,ENTY:color,0.9628
ENTY:color, What color are the pawns on a chessboard ?,ENTY:color,0.9445
ENTY:color," What color is ink ? | what colour are school pens ,",ENTY:color,0.942
ENTY:color, What color is rib bone ? . </s>,ENTY:color,0.9184
ENTY:color, What color are the uniforms of Italy 's Carabinieri ?,ENTY:color,0.9179
NUM:speed, How fast is the speed of light ? | how-fast-is-the-speed-of-light,NUM:speed,0.9922
NUM:speed, How fast is a cheetah ? |How fast do peregrine falcons fly?|,NUM:speed,0.9705
NUM:speed, What is the speed of sound ? | how fast does sounds travel,NUM:speed,0.9677
NUM:speed, How fast is a 45-mph mower ?,NUM:speed,0.9664
NUM:speed, How fast is a zingar ? |4,NUM:speed,0.9664
NUM:speed, How fast is sound ? | #q:how+fast,NUM:speed,0.9612
NUM:speed, What is the speed of sound ? | #how fast does a ray go?,NUM:speed,0.9551
NUM:speed, How fast is light ? | e| f ),NUM:speed,0.9333
NUM:speed, How fast is light ? | !num '' .,NUM:speed,0.9333
NUM:speed, What is the fastest speed of a Corvette ? | How fast does it go in mph or kph .,NUM:speed,0.9195
NUM:weight, How many pounds is a stone ? | how much does the average man weigh,NUM:weight,0.9747
NUM:weight, How many pounds are there in a stone ? | how much does the average adult weigh,NUM:weight,0.9718
NUM:weight, How many pounds are there in a stone ? | how much does the average american man weigh,NUM:weight,0.9673
NUM:weight, How much does water weigh ? | What is the approximate weight of a tablespoon?,NUM:weight,0.9543
NUM:weight, How many pounds are there in a stone ? | how much does the average woman weigh,NUM:weight,0.9516
NUM:weight, How much does water weigh ? |t| What is the average weight for a 15 year old male to be considered under-weight or overweight .,NUM:weight,0.9509
NUM:weight, How many pounds are there in a stone ? | how much does a ton weigh,NUM:weight,0.9454
