label,text,predicted_label,probability
flight_time, what time are the flights from atlanta to pittsburgh,flight_time,0.792
flight_time, what is the flight time from atlanta to philadelphia,flight_time,0.7959
flight_time, what time is the earliest flight from atlanta to denver,flight_time,0.7853
flight_time, what time are the flights from denver to san francisco,flight_time,0.7968
flight_time, what time do flights leave from dallas for denver,flight_time,0.7605
flight_time, what time is the flight from denver to philadelphia,flight_time,0.7977
flight_time, what is the flight schedule for atlanta to denver,flight_time,0.7942
flight_time, what is the flight schedule from denver to pittsburgh,flight_time,0.7794
flight_time, what time do flights leave from washington for denver,flight_time,0.7542
flight_time, what time are the flights from denver to st. louis,flight_time,0.7957
flight_time, tell me the flight times from denver to philadelphia,flight_time,0.7933
flight_time, please list the flight times for atlanta to denver,flight_time,0.8105
flight_time, what time are the flights from baltimore to philadelphia,flight_time,0.7933
flight_time, please list the flight times from philadelphia to san francisco,flight_time,0.7967
flight_time, please list the flight times from denver to dallas,flight_time,0.8013
flight_time, what is the flight time from orlando to philadelphia,flight_time,0.7975
flight_time, what time do flights leave from pittsburgh for boston,flight_time,0.7635
flight_time, what time is the first flight from atlanta to boston,flight_time,0.7789
flight_time, what time do flights leave from boston for pittsburgh,flight_time,0.7653
flight_time, what time is the earliest flight from denver to san francisco,flight_time,0.7818
flight_time, what times are flights from atlanta to dallas,flight_time,0.7804
flight_time, how long is the flight from atlanta to pittsburgh,distance,0.8188
flight_time, what time does the afternoon flight leave from washington for philadelphia,flight_time,0.8071
flight_time, please list times for flights from atlanta to philadelphia,flight_time,0.7953
flight_time, please list flight times from toronto to philadelphia,flight_time,0.787
flight_time, what time do the flights from philadelphia to pittsburgh leave,flight_time,0.7805
flight_time, what time are flights from denver to bwi,flight_time,0.784
flight_time, tell me flight times from denver to san francisco,flight_time,0.7855
flight_time, what time does the morning flight from boston to philadelphia leave,flight_time,0.8006
flight_time, can you tell me the flight times from pittsburgh to philadelphia,flight_time,0.7996
flight_time, list the flight times from atlanta to miami,flight_time,0.7954
flight_time, i would like a schedule of flights from atlanta to denver,flight_time,0.78
