label,text
flight_time, what time are the flights from atlanta to pittsburgh
flight_time, what is the flight time from atlanta to philadelphia
flight_time, what time is the earliest flight from atlanta to denver
flight_time, what time are the flights from denver to san francisco
flight_time, what time do flights leave from dallas for denver
flight_time, what time is the flight from denver to philadelphia
flight_time, what is the flight schedule for atlanta to denver
flight_time, what is the flight schedule from denver to pittsburgh
flight_time, what time do flights leave from washington for denver
flight_time, what time are the flights from denver to st. louis
flight_time, tell me the flight times from denver to philadelphia
flight_time, please list the flight times for atlanta to denver
flight_time, what time are the flights from baltimore to philadelphia
flight_time, please list the flight times from philadelphia to san francisco
flight_time, please list the flight times from denver to dallas
flight_time, what is the flight time from orlando to philadelphia
flight_time, what time do flights leave from pittsburgh for boston
flight_time, what time is the first flight from atlanta to boston
flight_time, what time do flights leave from boston for pittsburgh
flight_time, what time is the earliest flight from denver to san francisco
flight_time, what times are flights from atlanta to dallas
flight_time, how long is the flight from atlanta to pittsburgh
flight_time, what time does the afternoon flight leave from washington for philadelphia
flight_time, please list times for flights from atlanta to philadelphia
flight_time, please list flight times from toronto to philadelphia
flight_time, what time do the flights from philadelphia to pittsburgh leave
flight_time, what time are flights from denver to bwi
flight_time, tell me flight times from denver to san francisco
flight_time, what time does the morning flight from boston to philadelphia leave
flight_time, can you tell me the flight times from pittsburgh to philadelphia
flight_time, list the flight times from atlanta to miami
flight_time, i would like a schedule of flights from atlanta to denver
flight_time, what times are flights from boston to salt lake city
flight_time, what time does the morning flight leave from washington for newark
flight_time, what are the departure and arrival times for flights from boston to philadelphia
flight_time, what time do flights leave from bwi for denver
flight_time, tell me the flight times from orlando to boston
flight_time, please list the flight times for flights from denver to seattle
flight_time, is flight time from denver to minneapolis
flight_time, please tell me the flight times from denver to st. louis
flight_time, what is the flight time from dallas fort worth to san francisco
flight_time, what is the earliest flight that leaves denver going to philadelphia
flight_time, flight times from chicago to atlanta monday morning
flight_time, what time does the latest flight from boston to atlanta leave
flight_time, what time does the latest flight leave from newark for atlanta
flight_time, how long is the flight from minneapolis to boston
flight_time, list flight times between denver and dallas fort worth
flight_time, what time do the flights arrive in philadelphia from pittsburgh
flight_time, what time are flights leaving denver for milwaukee
flight_time, what are the flight times between atlanta and dallas fort worth
flight_time, what is the scheduled arrival time in dallas fort worth from atlanta
flight_time, what time do the flights from boston to atlanta arrive
flight_time, what time do flights leave newark for baltimore
flight_time, what time are flights from philadelphia to san francisco in the morning
flight_time, i would like a list of flight times from newark to denver
flight_time, i would like to know what time the flights leave from denver for pittsburgh
flight_time, is flight time from philadelphia to san diego
flight_time, what are the arrival times for flights from pittsburgh to philadelphia
flight_time, list the times of flights from boston to washington
flight_time, please list the flight times for first class from boston to denver
flight_time, what time is the first flight from philadelphia to atlanta on july twentieth
flight_time, i want the flight times from atlanta to pittsburgh
flight_time, what time is the latest flight on july seventeenth from denver to philadelphia
flight_time, what time are the earliest flights out of cleveland
flight_time, is there a schedule for flights on july seventeenth
flight_time, what time is the first flight from new york to orlando
flight_time, what time does the earliest flight leave from atlanta going to orlando
flight_time, i would like to know the flight schedule from denver international airport into boston
flight_time, please list the times of flights on july seventh from denver to philadelphia
flight_time, what time does the last flight leave today from atlanta to boston
flight_time, what time does flight aa 279 leave from atlanta
flight_time, what time do flights from philadelphia to tampa leave in the morning
flight_time, what is the flight schedule for american 671
flight_time, i would like to know the times flights leave from philadelphia for pittsburgh
flight_time, please show me the flight times for washington to chicago
flight_time, what time do you leave at noon from boston
flight_time, what is the arrival time for a flight from pittsburgh to san diego
flight_time, is there a specific time that the afternoon flight leaves
flight_time, what time does flight nw 2509 leave atlanta
flight_time, flight times to newark from philadelphia on thursday
flight_time, please list the flight times for monday morning flights from washington to dallas
flight_time, what time is the flight from pittsburgh to boston on july eighteenth
flight_time, i would like to know what time is the earliest flight from washington dulles into atlanta
flight_time, what times are there flights on august twenty fifth from denver to pittsburgh
flight_time, what is the earliest flight leaving atlanta on july fifteenth going to toronto
flight_time, please list times for flights on july 14 from pittsburgh to philadelphia
flight_time, could you please tell me what time the earliest flight leaves from denver for philadelphia on july nineteenth
flight_time, when does flight aa 578 arrive in washington dc
flight_time, please list flight times for atlanta to san diego on june fifteenth
flight_time, please list the departure and arrival times for flight number 637
flight_time, i would like a listing of the times that flights leave from pittsburgh for charlotte
flight_time, please tell me flight times on august 20 from denver to philadelphia
flight_time, what times does flight ua 567 leave on september eleventh
flight_time, what is the earliest flight time on february first from dallas to miami
flight_time, i would like to know the arrival time in san francisco from boston on flight 259
flight_time, what time does flight us Air fare 731 from denver to pittsburgh leave
flight_time, please list times flights between dallas and pittsburgh on april first
flight_time, what is the departure time on flight number dl 456 from dallas fort worth to boston
flight_time, i would like to know the flight times on august twentieth from boston 's logan airport arriving in or leaving san diego international
flight_time, what is the time i would arrive in pittsburgh if my flight leaves on august seventh at 2:38 pm from denver
airfare, what is the lowest round trip fare from denver to philadelphia
airfare, what is the lowest round trip fare from atlanta to philadelphia
airfare, what is the lowest round trip fare from denver to atlanta
airfare, round trip fares from denver to atlanta
airfare, what is the cheapest one way fare from atlanta to denver
airfare, what 's the lowest round trip fare from atlanta to philadelphia
airfare, what is the lowest one way fare from denver to boston
airfare, round trip fares new york to philadelphia
airfare, what is the cheapest one way fare from boston to philadelphia
airfare, fares and flights from denver to atlanta
airfare, what is the lowest round trip fare from pittsburgh to philadelphia
airfare, what is the cheapest fare from boston to philadelphia
airfare, what is the lowest round trip fare from dallas to pittsburgh
