label,text,predicted_label,probability
aircraft,what kind of airplane is flight 1239 from dallas to boston operated with,aircraft,0.6791
aircraft,what type of plane is us air flying from pittsburgh to boston,aircraft,0.6244
aircraft,what kind of plane flies from atlanta to dallas with american airways,aircraft,0.622
aircraft,what type of plane flies from boston to denver in first class with delta flight 1030 at noon,aircraft,0.6219
aircraft,what kind of plane is american eagle 1441,aircraft,0.5927
aircraft,what kind of plane flies from boston to san francisco for us air west,aircraft,0.5714
aircraft,what kind of plane is flight 122 from philadelphia to denver tomorrow morning,aircraft,0.5558
aircraft,what kind of plane does united fly from chicago to denver,aircraft,0.533
aircraft,what kind of plane does american use between boston to denver,aircraft,0.5278
aircraft,what kind is american eagle 6171 from pittsburgh to philadelphia at noon tomorrow afternoon,aircraft,0.5257
quantity,how many american eagle westbound flights from atlanta to boston exist this weekend,quantity,0.7058
quantity,how many first class tickets does american have leaving from baltimore to philadelphia in july 1999,quantity,0.6144
quantity,how many delta flights leave from san francisco to dallas in july 1985,quantity,0.5854
quantity,how many different classes does american have in their first class service,quantity,0.5745
quantity,how many flights does american have from boston to pittsburgh each day in october,quantity,0.5744
quantity,how many nonstop flights does united have between san francisco and washington d c today,quantity,0.5711
quantity,how many american airways flights stop in philadelphia today,quantity,0.5452
quantity,how many first class tickets does united have for saturday morning between boston and new york,quantity,0.529
quantity,how many american eagle one way fares does us air have from pittsburgh to atlanta today morning,quantity,0.5114
quantity,how many daily united express fights from new york to los angeles are there today,quantity,0.5093
abbreviation,what does fare basis code v class mean in delta airlines tickets,abbreviation,0.7463
abbreviation,what does st stand for in airlines referrential fare code systems,abbreviation,0.7442
abbreviation,what does ap mean in airfares please explain all your fare designations including f e r s w p c n t q l b k g d h i m z x o y u v j t w s k c,abbreviation,0.7278
abbreviation,what does us fare code 5 mean for united airlines reservations,abbreviation,0.7191
abbreviation,what does stand for international flight class fare code system please explain it in detail thanks,abbreviation,0.7002
abbreviation,what does ap stand for with respect to airlines in your system please explain what each one is,abbreviation,0.6979
abbreviation,what does us fare code 7 mean in terms of airfare pricing,abbreviation,0.6958
abbreviation,what does code st mean in fare classes for delta airline bookings,abbreviation,0.6939
abbreviation,what does fare code w stand for in continental airlines flight reservations,abbreviation,0.6928
abbreviation,what does fare code r mean for american airlines international flight tickets,abbreviation,0.6905
distance,what is the driving distance from denver international airport to downtown colorado springs in missouri,distance,0.7548
distance,how far is it from toronto airport to downtown ontario in miles,distance,0.7359
distance,what is the driving distance from toronto airport to downtown toronto,distance,0.735
distance,what is the driving distance from toronto international airport to downtown montreal in miles,distance,0.7312
distance,what is the driving distance from pittsburgh international airport to downtown pittsburg pennsylvania,distance,0.725
distance,how far is it from atlanta hartsfield jackson airport to downtown gaithersburg maryland in terms of driving miles,distance,0.7243
distance,what is the flying distance from san francisco international airport to downtown sacramento california,distance,0.72
distance,what is the driving distance from san francisco airport to downtown sf in california please,distance,0.717
distance,how far is it from seatac to san francisco downtown,distance,0.7141
distance,what is the driving distance from toronto airport to downtown toronto please,distance,0.7123
ground_fare,how much does it costs to rent a car at denver international airport in colorado,ground_fare,0.6313
ground_fare,how much is it to rent a car in boston for two days,ground_fare,0.574
ground_fare,how much is it to rent a car at denver international airport for one day,ground_fare,0.5545
