label,text,predicted_label,probability
LOC:mount, What is the second highest mountain peak in Africa ?,LOC:mount,0.2989
LOC:mount, What is the second highest mountain peak in Colorado ?,LOC:mount,0.2982
LOC:mount, What is the second-highest mountain peak in Europe ?,LOC:mount,0.2973
LOC:mount, What is the second highest mountain peak in Asia ?,LOC:mount,0.2972
LOC:mount," What is the highest mountain peak in Colorado ?
",LOC:mount,0.2966
LOC:mount, What is the second-highest mountain peak in Canada ?,LOC:mount,0.2958
LOC:mount, What is the highest mountain peak in New Zealand ?,LOC:mount,0.2955
LOC:mount, What is the second-highest mountain in Africa ?,LOC:mount,0.2952
LOC:mount, What is the second highest mountain peak in Nepal ?,LOC:mount,0.2952
LOC:mount, What is the second highest mountain in the world ?,LOC:mount,0.2951
NUM:speed," How fast is sound ?

## Related questions",NUM:speed,0.1742
NUM:speed," How fast is sound ?
- Mar 23, 2018",NUM:speed,0.173
NUM:speed, How fast does a cheetah run ? Inquiries About Quantities :quantity,NUM:speed,0.1721
NUM:speed, How fast does a cheetah run ? ( In miles per hour ),NUM:speed,0.172
NUM:speed," How fast does a cheetah run ? What is faster : light , sound ,or heat?",NUM:speed,0.1711
NUM:speed," How fast can a cheetah run ? Inquiries into speeds , including those related to transportation and technology .",NUM:speed,0.1693
NUM:speed, How fast does a cheetah run ? Other related questions :,NUM:speed,0.1688
NUM:speed," How fast is a cheetah ? Inquiries into speeds, including those related to transportation and communication systems .",NUM:speed,0.1687
NUM:speed, How fast does a cheetah run ? Inquiries About Speed,NUM:speed,0.1686
NUM:speed," How fast does a cheetah run ? Inquiries into specific quantities, including amounts , durations and speeds .",NUM:speed,0.1682
ENTY:currency, What money is used by people who live on Guam ?,ENTY:currency,0.1599
ENTY:currency, What kind of money is used by Peruvians ?,ENTY:currency,0.1561
ENTY:currency, What type of money do they use in Switzerland ?,ENTY:currency,0.1557
ENTY:currency, What is the money they use for shopping called ?,ENTY:currency,0.1547
ENTY:currency, What type of money do they use on Barbados ?,ENTY:currency,0.1543
ENTY:currency, What is the money they use for payment called ?,ENTY:currency,0.1533
ENTY:currency, What is a common type of money that people use today ?,ENTY:currency,0.1502
ENTY:currency, What type of money is used by people living on Bali ?,ENTY:currency,0.1497
ENTY:currency, What kind of money does Russia use ? `-- Question,ENTY:currency,0.1494
ENTY:currency, What money does they use for payment on Guam ?,ENTY:currency,0.149
ENTY:lang," What is the most common language in Belgium ?
",ENTY:lang,0.2464
ENTY:lang, What is the most common language in Switzerland ? Japan Spain Indonesia,ENTY:lang,0.243
ENTY:lang, What is the second-most common language in Indonesia ?,ENTY:lang,0.2426
ENTY:lang, What is the native language of most French people ?,ENTY:lang,0.2407
ENTY:lang, What is the most commonly-spoken language in Indonesia ?,ENTY:lang,0.24
ENTY:lang," What is the most common language in Italy ? Questions : Lang , Other",ENTY:lang,0.2394
ENTY:lang, What is the most common language in China ? Japan ? Russia ?,ENTY:lang,0.2388
ENTY:lang, What is the second most-spoken language in Switzerland ?,ENTY:lang,0.2387
ENTY:lang, What is the second most-spoken language in Nigeria ?,ENTY:lang,0.2386
ENTY:lang, What is the main language in Honduras ?,ENTY:lang,0.2383
LOC:city, What is the fifth-most populous city in India ?,LOC:city,0.1227
LOC:city, What is the fifth-most populous city in California ?,LOC:city,0.1198
LOC:city, What is the second-largest city in Mexico ?,LOC:city,0.1192
LOC:city, What is the most populous city in China ?,LOC:city,0.119
LOC:city, What is the second-largest city in India ?,LOC:city,0.1189
LOC:city, What is the second-largest city in Michigan ?,LOC:city,0.1187
LOC:city, What is the most populous city in Canada ?,LOC:city,0.1181
LOC:city, What is the most populous city in Asia ?,LOC:city,0.1177
LOC:city, What is the third most populous city in Illinois ?,LOC:city,0.1176
LOC:city, What is the third largest city in South America ?,LOC:city,0.1174
ENTY:color, What color is a clown 's nose ?,ENTY:color,0.1115
ENTY:color, What color is a cardinal 's egg ?,ENTY:color,0.1103
ENTY:color, What color is the blood of an octopus ?,ENTY:color,0.1101
ENTY:color, What color is a robin 's egg ?,ENTY:color,0.1088
ENTY:color, What color is a penguin 's feathers ?,ENTY:color,0.1064
ENTY:color, What color is a cardinal 's feathers ?,ENTY:color,0.1061
ENTY:color, What color are the inside of your eyelids ?,ENTY:color,0.1059
ENTY:color, What color are the eyes of a Siberian tiger ?,ENTY:color,0.1043
ENTY:color, What color is the inside of an eggplant ?,ENTY:color,0.1034
ENTY:color," What color of the rainbow comes first ?
",ENTY:color,0.1032
ENTY:substance, What is the second-hardest substance ? The third - hardest?,ENTY:substance,0.2015
ENTY:substance, What 's the second-hardest substance ?,ENTY:substance,0.2014
ENTY:substance, What is the second hardest substance in nature ?,ENTY:substance,0.1976
ENTY:substance, What substance is used as a preservative in many cosmetics ?,ENTY:substance,0.1788
ENTY:substance," What elements are found in the human body ? [SEP ] Which is not an acid : phosphoric , carbonic or ammonia .",ENTY:substance,0.1775
ENTY:substance, What is the second-lightest element ? ```,ENTY:substance,0.1768
ENTY:substance, What is the second-hardest substance ? [SEP ] Name three types of rocks .,ENTY:substance,0.1748
ENTY:substance, What substance is essential to the survival of plants ?,ENTY:substance,0.1688
ENTY:substance, What is the most common chemical element in your body ?,ENTY:substance,0.1663
ENTY:substance," What is the second hardest substance ? Besides diamond , what other mineral is transparent with a vitreous luster .",ENTY:substance,0.1659
NUM:weight, How many pounds are there in a stone ? Other : Miscellaneous questions that do not fit into other specific categories .,NUM:weight,0.1242
NUM:weight," How many pounds are there in a stone ?
",NUM:weight,0.1242
NUM:weight," How many pounds are there in a stone ? ( In British units , one pound equals 16 oz . )",NUM:weight,0.1233
