label,text
DESC:def, What is the difference between a tornado and hurricane ?
DESC:def, What is the function of a carburetor ?
DESC:def, What is the origin of Valentine 's Day ?
DESC:def, What is the definition of a trapezoid ?
DESC:def, What is the meaning of `` QED '' ?
DESC:def, What is the meaning of `` QED '' ?
DESC:def, What is the difference between a tornado and waterspout ?
DESC:def, What does the term `` The Big Bang '' mean ?
DESC:def, What does the word `` kibitz '' mean ?
DESC:def, What is the origin of `` Yiddish '' ?
DESC:def, What is the difference between a tsunami and an earthquake ?
DESC:def, What is an example of a palindrome ? 1
DESC:def, What is the difference between a gulf and bay ?
DESC:def, What is the purpose of a septic tank ?
DESC:def, What is the difference between a country and nation ?
DESC:def, What is the origin of `` rock and roll '' ?
DESC:def, What does the word `` hag '' mean ?
DESC:def, What is an example of a chemical reaction ? 
DESC:def, What is a synonym for the word `` parrot '' ?
DESC:def, What is the term for a group of wolves ?
DESC:def, What does `` to the manner born '' mean ?
DESC:def, What does `` the best defense is a good offense '' mean ?
DESC:def, What does the term `` redlining '' mean ?
DESC:def, What is a group of swans called ? #exp
DESC:def, What does `` an eye for detail '' mean ?
DESC:def, What is the meaning of `` love '' in St. Valentine 's Day ?
DESC:def, What does `` quixotic '' mean ? ...
DESC:def, What does the word `` gourmand '' mean ?
DESC:def, What is a `` quid pro quo '' ?
DESC:def, What does a barometer measure ? 2.0
DESC:def, What was the name of Michael Jordan 's college basketball team ?
DESC:def, What is the meaning of `` kibbutz '' ?
DESC:def, What is the meaning of `` to get down '' ?
DESC:def, What is the definition of a `` tango '' ?
DESC:def, What does the word `` zodiac '' mean ?
DESC:def, What does `` The boy next door '' mean ?
DESC:def, What is the meaning of `` to do someone a favor '' ?
DESC:def, What is a synonym for `` yin '' ?
DESC:def, What is the origin of Thanksgiving ? . 1
DESC:def, What does `` anarcho-syndicalism '' mean ?
DESC:def, What does the term `` The Great White North '' mean ?
DESC:def, What is a `` blizzard '' ? 2
DESC:def, What does the word `` spumante '' refer to ?
DESC:def, What is the name for a female dog ? .
DESC:def, What is the meaning of `` to have one 's finger in every pie '' ?
DESC:def, What does the expression `` a hole in one '' mean ?
DESC:def, What is the origin of 'OK ?' .
DESC:def, What is a company that makes computers ? . 2
DESC:def, What is the mission of FEMA ? | do you know
DESC:def, What is a group of lions called ? . *
DESC:def, What is a person who lives alone called ? .
DESC:def, What is the `` Great Seal '' of England ?
DESC:def, What is the purpose of a no-go decision ?
DESC:def, What is a `` backstop '' in baseball ?
DESC:def, What does `` quixotic '' mean ? | Yahoo Answers
DESC:def, What does a siphon do ? 1
DESC:def, What does `` anarachy '' mean ?
DESC:def, What does the term `` a man 's place is in his home '' mean ?
DESC:def, What does it mean to be the `` black sheep '' of a family ?
DESC:def, What is the purpose of a landing gear ? Open
DESC:def, What is the second largest river in Asia ? 1
DESC:def, What is the role of a judge ? ] ]]
DESC:def, What is an example of a nonbinary gender pronoun ?
DESC:def, What does `` the red light district '' mean ?
DESC:def, What does a paralegal do ? | je
DESC:def, What is a black hole ? How does it form and what happens if you fall into one
DESC:def, What is the term for a chemical reaction in which an element or compound combines with oxygen ?
DESC:def, What does the name Dillinger mean ? 
DESC:def, What is a word for someone who claims to be an expert on everything ?
DESC:def, What does a computer programmer do ? #commonwords
DESC:def, What is a compound of chlorine and iodine called ?
DESC:def, What is a term for something that occurs only once ?
DESC:def, What is the mission of Nike ? ] | d:goal
DESC:def, What is the meaning of `` The eye witnesses it '' ?
DESC:def, What is the function of a thermostat ? | do:goal ]
DESC:def, What is the term for a small nuclear war ?
DESC:def, What is an arachnid ? OpenDial ]
DESC:def, What is a 5.56mm ? .
DESC:def, What is a term for people who enjoy the company of animals ?
DESC:def, What is the term for a woman who becomes pregnant by her stepson ?
DESC:def, What is a ` black hole ' ? | e.g.
DESC:def, What is an albatross ? -- From `` The Rime of the Ancient Mariner . ''
DESC:def, What is a word that means to go on or continue ?
DESC:def, What is the largest city on Lake Michigan ? __________
DESC:def, What is the name of a computer chess program that defeated Garry Kasparov ?
DESC:def, What does a blacksmith make ? -- From: queries.txt
DESC:def, What are the properties of matter ? 3.2
DESC:def, What is an atom ? -- what are its parts called
DESC:def, What is a term given to the 100th anniversary of an event ?
DESC:def, What is a black hole ? -- A star which has collapsed under its own gravity .
DESC:def, What does `` up '' mean in poker ? 1. The right to deal a hand .
DESC:def, What is a blackbody ? Followup : Where can I find out more information about it on the WWW?
DESC:def," What is a black hole ? The gravitational field surrounding an extremely dense astronomical body from which nothing , not even light, can escape ."
DESC:def, What is the term used to describe an individual who does work for several companies under contract ?
DESC:def, What does a lawyer do ? The job of what occupation involves appearing in court and arguing cases on behalf their clients.
DESC:def, What is an example of a gas ? | Reuters:What are the elements that make up acetylene (chemical formula C_2H^?
DESC:def," What is a chemical element ? | e-mail, matter , the smallest detectable units of which are atoms and molecules ."
DESC:def," What does a paralegal do ? . / How can I become the best criminal attorney in Washington , D.C. ; what college would be good to go into law at there?"
DESC:def," What does a chemist do ? ;:What is the occupation of an alchemist who has mastered her art and craft through many years , in Middle Age Europe for example ."
DESC:def," What are the functions of a cell ? . @misc { ISI:1997:LIGIOP, title = {{FUNCTIONS OF THE CELL}}, url ={ http://www.electrotherm.com/library/lige2.html }, year = 2000 }"
LOC:other, What are the names of all 50 states ?
LOC:other," What are the coordinates of El Paso , Texas ?"
LOC:other, Where does the term `` Big Bang '' come from ?
LOC:other, Where did the term `` The Big Apple '' originate ?
LOC:other, What is the name of Africa 's largest lake ?
LOC:other, Where does the expression `` in like Flynn '' come from ?
LOC:other, Where is the setting for The Wizard of Oz ?
LOC:other, Where is the site of China 's Three Gorges Dam ?
LOC:other, What is the second-longest river in China ?
LOC:other, Where was the 1893 World 's Columbian Exposition held ?
LOC:other," What island group includes Ascension , St. Helena and Tristan da Cunha ?"
LOC:other, Where did the 1893 Chicago World 's Fair take place ?
LOC:other, Where did the 1893 Chicago World 's Fair take place ?
LOC:other, Where can I find a list of all the countries in Africa ?
LOC:other, What is the largest freshwater lake in Europe ? .
LOC:other, What was the name of Robin Hood 's gang ?
LOC:other, Where is the location of Mount Pinatubo ?
LOC:other, Where is the headquarters of PLO ? The Palestine Liberation Organization
LOC:other, What body of water lies between Sicily and Tunisia ?
LOC:other, Where was the Olympic marathon run in 1896 ?
LOC:other, What is the location of Hell ? |#question
LOC:other, Where is the city of Peshawar ?
LOC:other, Where did the term `` up and down elevator '' come from ?
LOC:other, What are the coordinates of Paris ? (followup)
LOC:other, Where is the center of gravity ? |exp=on
LOC:other, What constellation is Cygnus the star of ?
LOC:other," What is the largest ocean in area ? The Pacific , Atlantic or Indian Ocean"
LOC:other, Where was the 1989 Tiananmen Square Massacre located ?
LOC:other, What is the location of Fort Knox ? |#what #where
LOC:other, Where is the headquarters of Star Trek 's United Federation ?
LOC:other, Where is the highest point of land in New Zealand ?
LOC:other, Where is the site of St. Anthony 's Fire ?
LOC:other, Where can I find the best views of London ?
LOC:other, What are the coordinates of a cube 's corners ?
LOC:other, Where did the first manned space flight take off from ?
LOC:other, What is the website for information about space exploration ?
LOC:other, What are the four stages of a star 's life ?
LOC:other, What are the names of all 27 Greek letters ?
LOC:other, Where does the Olympic torch get its fuel ? .
LOC:other, What is the name of one Canada 's oldest universities ?
LOC:other, Where is the headquarters of OPEC ? For what does it stand ?
LOC:other, Where can I find the names and addresses of all members in Congress ?
LOC:other, What was the name of King Henry 's VI wife ?
LOC:other, Where does the money come from for political action committees ?
LOC:other, What is the address of Hogwarts ? |Where does Harry Potter go to school?
LOC:other, What is the second-largest island in Indonesia ? |
LOC:other, What islands does the English Channel separate ? . ...
LOC:other, What are the names of all four tunnels under New York City ?
LOC:other, Where is the Bermuda Triangle ? |#{tag:symp}
LOC:other, Where did the first commercial nuclear power plant open in America ?
LOC:other, Where is the Bermuda Triangle ? What ocean does it border on two sides?
LOC:other," What island group is Montserrat part of ? ,"
LOC:other, Where is the Taj Mahal ? The 7 Wonders of India .
LOC:other, Where is the site of a new airport in Wales ?
LOC:other, Where was the first computerized voting system installed ?
LOC:other," What are the coordinates of a point two feet from another at (2 , 3 ) ?"
LOC:other," Where does the Parthenon stand ? . The Acropolis in Athens , Greece"
LOC:other, Where was the signing of The Treaty Between France and U.S. ?
LOC:other, What two bodies of water touch the Great Lakes ?
LOC:other, Where is the location of Cloud 's ? Followup
LOC:other, What is the location of Club Rumours in St Tropez ?
LOC:other, What is the second-largest airport in Texas ? ...
LOC:other, What are the coordinates of a point on Earth 's equator that is exactly due north from my location ?
LOC:other, What are some places you can buy a used car ?
LOC:other, Where does the title Miss Marple come from ?
LOC:other, Where does your passport get stamped when entering or leaving the country ?
