label,text,predicted_label,probability
abbreviation, what does mco stand for in airports code list,airport,0.5076
abbreviation, what is the fare code h for us airways,airline,0.606
abbreviation, what does mco stand for at atlanta airport,airport,0.4072
abbreviation, what does mco stand for at the denver airport,airport,0.361
abbreviation, what does dallas airport code mean by dfw,airport,0.48
abbreviation, what is the abbreviation for salt lake city airport in utah,ground_service,0.2926
abbreviation, what is the abbreviation for newark liberty international airport,airport,0.3678
abbreviation, what is fare code q and how much does it cost,abbreviation,0.6012
abbreviation," what is the abbreviation for atlanta international airport
atl",airline,0.4526
abbreviation, what is the fare code h on american airlines mean,airline,0.3717
abbreviation, what does d mean on the american airlines flight schedule,flight_time,0.3025
abbreviation, what does f9 stand for at delta airlines please,airline,0.7601
abbreviation, what does fare code h mean in united airlines flights,airline,0.4379
abbreviation, what does fare code w mean for american airlines flights,airline,0.4994
abbreviation, what does ap mean on airline tickets please tell me,airline,0.3772
abbreviation, what does hz stand for in the airline industry,airline,0.4349
abbreviation, what is the fare code h for american airlines one way,airline,0.614
abbreviation, what does as mean in the airline industry please tell me,airline,0.5523
abbreviation, what does fare code m mean for continental airlines flights,airline,0.4431
abbreviation, what does the fare code q mean for united airlines,airline,0.4213
abbreviation, what does f9 stand for in the airline industry,airline,0.6318
abbreviation, what does the abbreviation ewr mean in airports codes,abbreviation,0.693
abbreviation, what does ap mean in airline codes please tell me,abbreviation,0.6301
abbreviation, what does us mean in flights from boston to atlanta,flight_time,0.305
abbreviation, what is the 73s mean for twa,airfare,0.1926
abbreviation, what is fare code e5 mean on continental airlines,airline,0.5421
abbreviation, what does y mean in airline schedules and prices please,abbreviation,0.6624
abbreviation, what does the code h mean on an airline flight,airline,0.3
abbreviation, what does the code ewr stand for in airport codes,abbreviation,0.3559
abbreviation, what is f9 mean on a united flight schedule,flight_no,0.4386
abbreviation, what is a 733 fare restriction on delta flights,flight_no,0.2662
abbreviation, what is the fare code m meaning by delta airlines,airline,0.5079
abbreviation, what is the y code for american airlines flights from boston to philadelphia,flight,0.4644
abbreviation, what does dmo stand for on a fare code,abbreviation,0.3365
abbreviation, what does us mean on a flight schedule from houston to atlanta,flight_time,0.3995
abbreviation, what does pga stand for in the american airlines system,airline,0.3531
abbreviation, what is the yx abbreviation mean on us air,flight,0.1975
abbreviation, what does yx mean on a southwest airline ticket,airline,0.3138
abbreviation, what is the abbreviation for american airlines from detroit to dallas,airline,0.3564
abbreviation, what does fare code k mean in delta airlines fares,airline,0.4897
abbreviation, what is the fare code m80 mean for american airlines,airline,0.619
abbreviation, what is mco apc code for aspen,abbreviation,0.2619
abbreviation, what does f9 mean on a united flight from atlanta to dallas,flight,0.2369
abbreviation, what is the o abbreviation on an american airlines ticket,airline,0.3375
abbreviation, what does us mean on a flight number from san francisco to oakland,flight,0.3918
abbreviation, what does tfa mean on a united airlines flight,airline,0.4054
abbreviation, what is fare code f for northwest airlines 's,airline,0.6496
abbreviation, what is the 73p fare code mean at delta airlines,airline,0.721
abbreviation, what does cp stand for on airline flights in general,airline,0.4991
abbreviation, what is the ap 44 restriction for united airlines,airline,0.4316
abbreviation, what does yx stand for in airlines with 2 letter codes,flight,0.2325
abbreviation, what does mco mean in airline schedules from atlanta,airline,0.4238
abbreviation, what is hq means on the united airlines website,airline,0.4056
abbreviation, what does dtn mean for delta airlines flights departing from atlanta,airline,0.6116
abbreviation, what does 57s stand for with american airlines,airline,0.5547
abbreviation, what is mco mean on delta airlines ' s flight schedule,airline,0.5015
abbreviation, what is dvt code mean on united airlines tickets,airline,0.2648
abbreviation, what does rsv mean on a flight from atlanta to denver,flight_time,0.2925
abbreviation, what does h mean on the united airlines flight from pittsburgh to oakland,flight,0.3475
abbreviation, what does y mean on airlines schedules with flights to atlanta,airline,0.3892
abbreviation, what is hz mean on a plane schedule from bwi to dallas fort worth,flight_time,0.2368
abbreviation, what does h mean on airline tickets between dallas and orlando,airline,0.2839
abbreviation, what does ttt mean on an airline ticket for american airlines,airline,0.7851
abbreviation, what does f mean on airline tickets from boston to washington dc,flight_time,0.469
abbreviation, what is 72n 's class of service,airline,0.3033
abbreviation, what does fare class mean at american airlines ' y,airline,0.3663
abbreviation, what does the fare code d mean from boston to cleveland,flight_time,0.4198
abbreviation, what does fare code x mean by american airlines is it coach,airline,0.4124
abbreviation, what does f class mean on my flight from atlanta to dallas,flight_time,0.2958
abbreviation, what does f mean in airlines fares and schedules please,airline,0.3343
abbreviation, what does 75 mean for an airline flight number,airline,0.453
abbreviation, what does as mean in air fares i dont understand,abbreviation,0.4784
abbreviation, what does n2 stand for on the united airlines timetable,flight,0.2262
abbreviation, what does y mean after the flight numbers for airlines,airline,0.3199
abbreviation, what is the fare code for fares before 9 am,airfare,0.1774
abbreviation, what does us mean by a class d ticket please,abbreviation,0.4114
abbreviation, what does 75 y mean on the airlines website,abbreviation,0.4234
abbreviation, what is ap 48 a p i s e,abbreviation,0.4266
abbreviation, what does 50s mean on a flight ticket,airfare,0.2079
abbreviation, what does the aa mean in flight numbers from pittsburgh to dallas fort worth,flight,0.3469
abbreviation, what is us meaning in flight code from pittsburgh to atlanta,flight,0.2936
abbreviation, what does fare code q mean by american airlines i called and the person didnt know,airline,0.3847
abbreviation," what does as mean on an airplane schedule
[ { ""ground_time"" : """" ,",flight_time,0.3067
abbreviation, what does the us code 42 mean for flight prices,abbreviation,0.3356
abbreviation, what does fare class mean on a plane ticket from minneapolis to newark,aircraft,0.2416
abbreviation, what is fare code h and price class b on a twa flight,airline,0.2842
abbreviation, what is fare code h and m please show me the full description,abbreviation,0.4309
abbreviation, what does nua mean in delta flights from milwaukee to san jose,flight,0.5728
abbreviation," what is 76s mean by continental airlines
[airline:continental ]",airline,0.5901
abbreviation, what does w mean in airline codes for airlines that don't have code shares,abbreviation,0.4694
abbreviation, what is d9s32b2o mean,abbreviation,0.8021
abbreviation," what does cph mean
cph is the abbreviation for chicago o'hare international airport",airline,0.2977
abbreviation," what is yxj
what airlines fly from atlanta to st paul",airline,0.573
abbreviation, what is yn meaning for the fare estimator on continental,airfare,0.2942
abbreviation, what is the yx code i want to get a flight from chicago o'hare into san francisco,flight,0.2578
abbreviation, what is yxj abbreviation for american airlines i would like to see the flight times,airline,0.3986
abbreviation," what does ap 52 mean for continental airlines
Continental 's flight number to san francisco",airline,0.482
abbreviation, what does dallas mean on the airline ticket i would like to know if first class tickets are available from atlanta or detroit,flight_time,0.2758
abbreviation, what does us mean in airline ticket prices i have a one way flight from san francisco to detroit on 8 pm august th,flight,0.3374
abbreviation, what does p mean in airline tickets i have american airlines round trip ticket with a stop over and it has three prices each one is 129 dollars but the third says m39,airline,0.2897
meal, what meals are served on flights from pittsburgh to san francisco,flight,0.5051
meal, what meals are served in business class on united airlines,airline,0.3876
meal, what meals are served on flights from pittsburgh to philadelphia,flight,0.45
meal, what meals do they have at the atlanta airport,ground_service,0.2942
meal, what meals are served on the first class flights to san francisco,flight,0.4816
meal, what meals are served on flights from philadelphia to san diego,flight,0.5022
meal, what meals are on american airlines from philadelphia to dallas,flight,0.3969
meal, what meals are available on the plane from atlanta to boston,ground_service,0.2272
meal, what are the meal options on delta flights from atlanta to boston,flight,0.2562
meal, what meals are served on united flight 120 from denver to san francisco,flight,0.5322
meal, what meals are served on a twa flight from dallas to st. petersburg,flight,0.3595
meal, what meals do you serve on flights between denver and san francisco,flight,0.4342
meal, what meals are served on flight 106 to philadelphia,flight,0.308
meal, what meals do you serve on flights from san francisco to denver,flight,0.3811
meal, tell me about meals on flights between dallas and san francisco,flight,0.5391
meal, what meal is served between 1430 and midnight,flight,0.4216
meal, what are the meal options on flights from dallas to denver,flight_time,0.2827
meal, what meals are served on american flight 100 from dallas to milwaukee,flight,0.4614
meal, what meals are served on the 2 pm flight from baltimore to dallas,flight,0.5326
meal, what is the cost of a meal in first class on canadian airlines international,airline,0.4019
meal, show me meals from atlanta to philadelphia on american airlines,flight,0.3396
meal, what meals are served on the flights between chicago and atlanta,flight,0.4003
meal, what meals are available on flights from houston to new york,flight,0.3473
meal, what meals are served on the delta flights from dallas to atlanta,flight,0.4617
meal, what are the meal options on united flight 170,flight_no,0.2716
meal, what meals are served on american 's flights from atlanta to baltimore,flight,0.4874
meal, what meals are served on american 's flights between dallas and philadelphia,flight,0.5654
meal, what type of meals do you have for american airlines,airline,0.4955
meal, does delta serve meals on flights from salt lake city to detroit,flight,0.4461
meal, what meals are served on american airlines flight 112 from baltimore to san francisco,flight,0.5913
meal, is there a meal on the 7 am flight from new york to philadelphia,flight,0.2594
meal, what meals are available between 4 pm and five thirty,flight,0.3692
meal, what is the least expensive meal on a flight from denver to san francisco,flight,0.2314
meal, show me meals from american airlines economy class to new york,airline,0.4457
meal, i would like to see a schedule of meals for american airlines,airline,0.343
meal, show meals from philadelphia to atlanta in the afternoon,ground_service,0.3351
meal, what meals does us air express have on flights from atlanta to boston,flight,0.3754
meal, what meals are served on the plane from washington dc to san jose,flight,0.5018
meal, what meals are offered on a flight from detroit to washington,flight,0.2303
meal, what is the price of a meal on an american airline flight from dallas to denver,airline,0.3111
meal, is a meal served at the new orleans airport,ground_service,0.6847
meal, what meals are served on continental us airlines flights between boston and denver,flight,0.4148
meal, what is the meal plan on american airlines 757,airline,0.5427
meal, what meals are served on flight ua 1112 from pittsburgh to denver,flight,0.3614
meal, what meals are served on a flight from dallas to seattle in first class,aircraft,0.2769
meal, are there any meals on american airlines flights between 8 am and noon,flight,0.5613
meal, what type of meals are there on flights between boston and washington,flight,0.3246
meal, what meals are served on american airlines international flights with a meal service,airline,0.4777
meal, are meals served on canadian airlines flights to washington dc,flight,0.5344
meal, what meal is served on flight ua 1115 from boston to denver,flight,0.3029
meal, what meals do you have on your 9 am flight from dallas to san francisco,flight,0.3665
meal, what 's the cheapest meal on united airlines that i can eat,airline,0.4294
meal, what meals are served on the evening flight from st. paul to denver,flight,0.3226
meal, show me the meals that are served on northwest flight 130,flight,0.2145
meal, show me the meals on this flight from minneapolis to oakland,flight,0.2614
meal, show meals on american airlines flight 1817 from dallas to philadelphia,flight,0.5429
meal, what kind of meal do you have coming from boston to san francisco,flight,0.2482
meal, list the meals that are available on american airlines flights from atlanta to denver,flight,0.3585
meal, what meal is served on flight 1145 from washington to oakland,flight,0.4333
meal, what meals are offered on united flight 1208 from denver to chicago,flight,0.4301
meal, what type of meal is flight ua 1080 from washington to denver,aircraft,0.3559
meal, show me the meals on flight 103 from atlanta to chicago,flight,0.2957
meal, what meals does american airlines serve from atlanta to san francisco on a 733,flight,0.3574
meal, show me all meals for flights from dallas to philadelphia on american airlines,flight,0.4918
meal, what type of meal is served on delta flight 1224 from atlanta to baltimore,flight,0.3212
meal, what kind of food is on the flight from mco to bwi,aircraft,0.2548
meal, show me meals from american airlines departing new york city today,flight,0.5479
meal, tell me the meals served by united airlines on its flights,flight,0.3545
meal, what 's the cheapest meal i can get on a united airlines flight from boston to chicago,airline,0.3363
meal, what meals do you offer for a one way flight from atlanta to dallas,airline,0.2708
meal, show meals on us airlines flights between pittsburgh and washington,flight,0.5326
meal, show me meals on american flight 1014 from denver to new york,flight,0.3841
meal, what 's for dinner on flight 1628 from atlanta to denver,flight_time,0.2275
meal, what meals are offered by the airline delta at 7 am,airline,0.5507
meal, what is the earliest meal served on delta flight 1843 from phoenix to salt lake city,flight,0.4261
meal, what meals are offered on flight 1088 from newark to phoenix,flight,0.3346
meal, is there a meal service for coach class on the amtraks lake shore limited,ground_service,0.4018
meal, what meals does coach class get on flights to la,flight,0.3123
meal, what is served on a meal for american airlines first class from new york to san francisco,flight,0.3721
meal, what is the breakfast meal on american airline flight 1191,airline,0.3644
meal, i 'd like a meal for american airlines flight 134 from washington to dallas,flight,0.2929
meal, what meals are served on the 10 pm us flight from san jose to new york,flight,0.5915
meal, what meal will i be served on united flight 1289 from boston to denver,flight,0.4091
meal, list meal fares between detroit and minneapolis st. paul,flight,0.3869
meal, what is the least expensive meal available in coach on a flight from detroit to dallas,aircraft,0.2423
meal, what meals does continental airlines provide between boston and philadelphia on a 733,airline,0.554
meal, show me breakfast times on american airlines flight 1238 from milwaukee to dallas,flight,0.5651
meal, what type of food is served on the 11:10 am flight from boston to washington dc,flight,0.2555
meal, what is meal s 8 for continental airlines flight from denver to atlanta,airline,0.4954
meal, tell me about the meals that i would receive on a round trip flight from philadelphia to san francisco,flight,0.3355
meal, list meals on the american eagle morning flight 5 from philadelphia to dallas,flight,0.4555
meal, what type of meals are served on twa ' s coach class flights between atlanta and washington,flight,0.4535
meal, is there a meal before the flight from denver to atlanta in 1830,ground_service,0.2831
meal, i want to know the times that meals are served on us air flights from pittsburgh going into philadelphia,flight,0.3936
meal, tell me the times and prices of meals on flight 108 from new york to dallas,flight,0.2336
meal, show meals with a price of less than 20 dollars on delta flight number dl183,airfare,0.1912
meal, what meals are available between 3 and fifty five pm going to san francisco on the twelfth,flight,0.4405
meal, what meal do they serve between the 6 oclock and eight o'clock flights from san francisco to oakland,flight,0.5444
meal, what meals do you have for breakfast and dinner on flights from detroit to newark before 8 am,flight,0.4403
