label,text
ENTY:animal, What kind of dog is Scooby Doo ?
ENTY:animal, What kind of dog is Scooby Doo ?
ENTY:animal, What kind of dog was Toto in the Wizard of Oz ?
ENTY:animal, What kind of dog was Toto in the Wizard of Oz ?
ENTY:animal, What kind of dog was Toto in the Wizard of Oz ?
ENTY:animal, What kind of dog was Toto in the Wizard of Oz ?
ENTY:animal, What is the full classification of a lady bug ?
ENTY:animal, What is the only mammal that can 't jump ?
ENTY:animal, What mammal of North America is the world 's longest-lived for its size ?
ENTY:animal, What mammal of North America is the world 's longest-lived for its size ?
ENTY:animal, What mammal of North America is the world 's longest-lived for its size ?
ENTY:animal, What mammal of North America is the world 's longest-lived for its size ?
ENTY:animal, What mammal of North America is the world 's longest-lived for its size ?
ENTY:animal, What kind of dog was Scooby Doo ?
ENTY:animal, What kind of dog is Scooby-Doo ?
ENTY:animal, What was the first animal to go into space ?
ENTY:animal, Which killer whale died at Sea World of a fungal infection ?
ENTY:animal, What breed of dog is Scooby Doo ?
ENTY:animal," What is Maryland 's state bird ?
"
ENTY:animal," What is Maryland 's state bird ?
"
ENTY:animal, What dog was dubbed The Mortgage Lifter ?
ENTY:animal, What was the first mammal to go into space ?
ENTY:animal," Which mosquito 's bite draws blood , DT NN CC GT"
ENTY:animal, What animals do you find in the stock market ?
ENTY:animal, What animals do you find in the stock market ?
ENTY:animal, What was the first creature to live on land ?
ENTY:animal," What is Ohio 's state bird ?
"
ENTY:animal, What is Maryland 's state bird ? HUMANS
ENTY:animal, What was the dog in The Little Rascals called ?
ENTY:animal, What are the predators of ostriches ?
ENTY:animal, What kind of animals were in the Paleozoic era ?
ENTY:animal, What are California 's state birds ? and what do they symbolize
ENTY:animal," What is Ohio 's state bird ?
 nederbörd"
ENTY:animal, What is the world 's most populous bird ?
ENTY:animal," Which mosquito 's bite draws blood , DT NN CC DT AN"
ENTY:animal, What kind of dog was the Little Rascals ' Petey ?
ENTY:animal, What is the most common mammal on earth ?
ENTY:animal, What breed of dog is called a collie ?
ENTY:animal, What is the world 's most popular pet ?
ENTY:animal, What is Maryland 's state bird ? and what color are its wings?
ENTY:animal, What was the first killer whale to be placed in captivity ?
