label,text
airport, what is the name of san francisco international airport
airport, what is the name of dallas fort worth international airport
airport, what is the name of dallas fort worth international airport
airport, what is the name of la guardia airport near new york
airport, what is the name of los angeles international airport
airport, what is the name of la guardia airport new york
airport, what is the name of san francisco 's airport
airport, what is the name of san francisco 's airport
airport, tell me the name of la guardia airport please
airport, show me the airport closest to san francisco international
airport, what is the name of minneapolis st paul international airport
airport, what is the name of atlanta's airport near downtown
airport, which airport is closest to pittsburgh pennsylvania
airport, list the san francisco airport closest to downtown please
airport, what is the name of pittsburgh airport near downtown
airport, what is the name of san francisco airport closest to downtown
airport, what is the name of san francisco airport closest to downtown
airport, show me the name of boston's airport please
airport, what is the name of miami international airport near downtown
airport, what is the name of denver international airport 's terminal
airport, which airport is closest to san francisco international hotel
airport, which is the closest airport to san francisco california
airport, which airport is closest to dallas fort worth texas
airport, what is the name of toronto international airport please
airport, what are the major airport codes for san francisco
airport, what is the name of san francisco's international airport
airport, i would like to know the name of boston's airport
airport, what is the airport near pittsburgh pennsylvania
airport, what airport is the closest to dallas fort worth
airport, what airport is closest to indianapolis indiana 's downtown
airport, show me the airport closest to boston massachusetts
airport, show me the airport closest to salt lake city utah
airport, list the san francisco airport by name and code
airport, what is the airport name at pittsburgh pennsylvania
airport, list the major airport serving pittsburgh pennsylvania
airport, what are the airport codes for san francisco international
airport, show me the airport serving new york city international flights
airport, which is the busiest airport near denver colorado
airport, what is the name of oakland airport please show me
airport, what is the name of la guardia airport that serves manhattan
airport, i would like to know the name of airport closest toronto
airport, list the new york city area airport closest to manhattan
airport, show me the airport that serves los angeles international
airport, which airport is closest to san francisco california near the city
airport, what airport is closest to boston's south station
airport, what are the major san francisco airport 's
airport, list all the san francisco international airport 's flights
airport, show me the airport serving los angeles california please
airport, what airport is closest to newark nj international service
airport, which airport is closest to boston 's logan international
airport, what are the major airlines that fly into denver
airport, i would like to know the name of an airport that serves los angeles
airport, what is the name of each airport at philadelphia
airport, what is the name of a major airport near washington
airport, what is the name of phoenix airport that goes to denver
airport, list the atlanta airport please show me a map of san francisco international
airport, i would like to know the name of any airport serving salt lake city
airport, what airport is closest to philadelphia pa 's international
airport, i am looking for the closest airport to san diego
airport, what are the major canadian airport codes for montreal
airport, i would like to know which airport is closest and most convenient for san francisco
airport, list san francisco airport near by hotels and rental car locations
airport, could you tell me the name of any airport serving minneapolis
airport, show me the airport near atlanta georgia with most flights
airport, what are the largest and busiest international airport near toronto
airport, what airport is near boston that serves us air
airport, what are the major canadian airport codes near seattle
airport, list the three largest airport serving dallas fort worth
airport, which airport is the busiest between san francisco and new york
airport, which airport is nearest to denver colorado near downtown
airport, what is the name of toronto's airport that i will be arriving at
airport, list all the airport codes for new york city 's major air carriers
airport," what airport is closest to boston, ma and new york city"
