label,text,predicted_label,probability
ENTY:event,What happened at Tiananmen Square in 1989 ?,ENTY:event,0.1226
ENTY:event,When was Napoleon Bonaparte 's coronation ?,NUM:date,0.7951
ENTY:event,When did Napoleon Bonaparte abdicate his throne ?,NUM:date,0.7042
ENTY:event,What was John F . Kennedy assassinated for ?,HUM:ind,0.0977
ENTY:event,When was Elvis Presley 's first appearance at Las Vegas ?,NUM:date,0.3139
ENTY:event,What was John F . Kennedy 's presidential campaign slogan ?,ENTY:cremat,0.0985
ENTY:event,What was Mahalia Jackson 's song at Martin Luther King Jr.' s funeral ?,ENTY:cremat,0.1266
ENTY:event,What is one of John Lennon 's most famous songs ?,ENTY:other,0.0765
ENTY:event,When did George Washington 's first inauguration take place ?,NUM:date,0.3755
ENTY:event,When did Martin Luther King Jr.'s march take place ?,NUM:date,0.2432
ENTY:event,When was the Battle of Little Bighorn ?,NUM:date,0.3382
ENTY:event,What was Charles Lindbergh 's famous solo flight across ?,ENTY:veh,0.0921
ENTY:event,What was Nelson Mandela doing in 1962 ?,NUM:date,0.0994
ENTY:event,What was Napoleon Bonaparte 's military title ?,HUM:title,0.1225
ENTY:event,What is Martin Luther King 's birthday ? # ENTITY : event,DESC:def,0.1078
ENTY:event,"What was John F . Kennedy shot with ? """,ENTY:cremat,0.1164
ENTY:event,When did Napoleon 's coup d'etat take place ?,NUM:date,0.4253
ENTY:event,What is known as The War of 1812 ?,ENTY:event,0.2443
ENTY:event,What is The War of 1812 known as ?,ENTY:event,0.2443
ENTY:event,When did baseball ' s first World Series begin ?,NUM:date,0.6428
ENTY:event,What was Woodrow Wilson 's first major achievement as president ?,HUM:gr,0.2528
ENTY:event,What was Hurricane Andrew 's strength when it made landfall in Florida ?,NUM:date,0.4449
ENTY:event,What was Mahatma Gandhi 's first hunger strike in India ?,NUM:date,0.1464
ENTY:event,What was Nelson Mandela's occupation before he became President of South Africa ?,HUM:ind,0.1949
ENTY:event,What was the name of President Abraham Lincoln 's assassin ?,ENTY:veh,0.1025
ENTY:event,What was Abraham Lincoln 's first bill passed in 1861 ?,NUM:date,0.1227
ENTY:event,What was John Glenn's historic spaceflight called ?,ENTY:cremat,0.0805
ENTY:event,What was the name of Michael Jackson 's 1987 album ?,ENTY:veh,0.1748
ENTY:event,When was there going to have been another war ?,NUM:date,0.129
ENTY:event,What is the name of President Nixon 's trip to China in 1972 ?,DESC:desc,0.0705
ENTY:event,What is China 's most popular New Year festival ?,NUM:date,0.2147
ENTY:event,What was John F . Kennedy 's first major speech in Congress ?,ENTY:cremat,0.1001
ENTY:event,When did Henry Ford introduce his V8 automobile ?,NUM:date,0.4437
ENTY:event,What happened to John F Kennedy 's limousine ?,ENTY:event,0.101
ENTY:event,When was there another assassination attempt against President Reagan ?,NUM:date,0.2442
