label,text,predicted_label,probability
capacity, what is the capacity of a single seat at sea level in kansas,capacity,0.8869
capacity, what is the capacity of a trolleys from west to south texas,capacity,0.8842
capacity, what is the capacity of a boat with passengers and cargo aboard,capacity,0.8842
capacity, what is the capacity of a single engine in good weather,capacity,0.8842
capacity, what is the capacity of a passenger train between Amsterdam and Rome,capacity,0.884
capacity, what is the capacity of a lorry in London to,capacity,0.8838
capacity, what is the capacity of a train coming in to city,capacity,0.8825
capacity, what is the capacity of a passenger train in west coast,capacity,0.8819
capacity, what is the capacity of a small boat from chennai to kolkata,capacity,0.8816
capacity, what is the capacity of a bus between Chicago and Detroit,capacity,0.8814
flight_time, what is flight time in houston from south to latoria,flight_time,0.9252
flight_time, what time is the average flight from sonyfly to philadelphia,flight_time,0.9242
flight_time, what time is the flight from boston to stamford on monday,flight_time,0.9241
flight_time, what flight time is it at my airport from marinette to harvard,flight_time,0.9235
flight_time," what time are the flights from north to south on a trip [-lazy maxnesota,idle dir seat",flight_time,0.9229
flight_time," what time is this flight from San Francisco to Boston, MA in 7 hours and",flight_time,0.9227
flight_time, what is the flight time of a charter airline from Philadelphia to Toronto,flight_time,0.9224
flight_time, what time is the flight from sf to london at cny tbd,flight_time,0.9216
flight_time, what time is the longest flight from seattle to harwood on a parway at dallas,flight_time,0.9215
flight_time, what time is the last flight from Boston to Toronto,flight_time,0.9215
ground_service, what ground transportation are you using this evening in south park,ground_service,0.9391
ground_service, what ground transportation is on the main street in coston,ground_service,0.938
ground_service, what ground transportation is for passenger service this city from east to west,ground_service,0.9378
ground_service, what ground transportation are you flying from boston to dallas,ground_service,0.9374
ground_service," what is ground transportation in this city
 bus stop",ground_service,0.9371
ground_service, what is ground transportation on monday night at mcdonalds,ground_service,0.937
ground_service, what sort of ground transportation are you on in the north side,ground_service,0.9368
ground_service, what is ground transportation in the city of july,ground_service,0.9365
ground_service, what is ground transportation in this city with respect airfare,ground_service,0.9356
ground_service, what kind of ground transportation is provided by Amtrak today on the Red Line,ground_service,0.9349
city," what cities are in Chicago, Illinois from cincinnati to san francisco",city,0.7539
city, what cities do u are at the airport from metro to bayou,city,0.75
city, what cities are located in the city of baltimore,city,0.7498
city, what city are you living in after sunday from september through august commutes,city,0.7478
city," what cities are in town and city streetcars
 mile-long flights from metro to mi",city,0.7477
city, what city do you have in Boston from oregon to phoenix,city,0.7466
city," what cities in the city are there, between Minneapolis and stanford",city,0.7459
city, what cities is it located in san francisco at american state airport,city,0.7458
city," what cities are most popular in australia, united states",city,0.744
city, show me all cities that are located in the city where i am from when,city,0.7421
meal, what meals are there in this city for breakfast from west to london,meal,0.4039
meal, what meals are served by our food stamp guests during the last 2 hours,meal,0.4011
meal, what are the daily meals in town for dinner by city,meal,0.3953
meal," what meals are in this meal (for breakfast, lunch and dinner) from australia to california",meal,0.3931
meal, what meals are left on the meal table by airline,meal,0.3928
meal, what the chicken meals is for breakfast on a trip from lanta to baltimore,meal,0.3865
meal, what is meals for a day at piazza london,meal,0.3857
meal, what are the typical meals served at paul's house on monday,meal,0.3804
meal, what are your main meals from abroad to boston,meal,0.3786
meal, what meal is our breakfast buffet at dinner table in san francisco,meal,0.3771
distance, what is distance from the airport to san francisco,distance,0.7592
distance, how long does it take to get from boston rdavis,distance,0.754
distance," how long do you think the flight from Portland, OR to Seattle takes in boston",distance,0.7531
distance, what are the distance between hotels and boston airport,distance,0.75
distance, what is the distance between my hotels and airport on boston,distance,0.748
distance, what is the distance from north to south american airport,distance,0.7456
distance, what is the distance from downtown to chennai on a bus in kirby airport,distance,0.7436
distance, what distance from south to the airport in michigan,distance,0.7436
distance, how long will the street in San Antonio from west to south arrive on horseback flight,distance,0.7416
distance, what is the distance from Pittsburgh to Los Angeles in west coast,distance,0.7387
flight, show flights from kansas to boston on june 2018-09,flight,0.9243
flight, what flights are there on kansasfly from janesville to apalachicola,flight,0.9242
flight, the flights from south american to cny on footway wisconsin,flight,0.9225
flight," show flights from west to south korea, and london",flight,0.9222
flight, what are the flights from west to south-eastern_state,flight,0.922
flight, what flight from baltimore to nytico,flight,0.9211
flight, what is the cheapest flight from kansas to apalachicola,flight,0.92
flight, show flights from Amsterdam to LA zhu-san francisco,flight,0.9199
flight, show flights from uia to baltimore airport,flight,0.9198
flight, what flight from south to friday boston origin,flight,0.9175
airport, what airport is this in australia from west coast to nicholas,airport,0.8968
airport, what airports are from north america to australia,airport,0.8948
airport," what airport is this in
 south american",airport,0.8936
airport, what is the airport in Philadelphia from west coast to southcentral america,airport,0.8906
airport, what airport do you like flying to on foot from oregon,airport,0.8898
airport, what is airport from australia to phoenix,airport,0.8883
airport, what airport is flying in from dallas to june,airport,0.888
airport," what airport do you have at london, australia",airport,0.8869
airport, what kind of airport is it in and around Chicago,airport,0.8848
airport, what airports are in australia flying with our partners,airport,0.8829
aircraft, what kind of aircraft do you want to have on air travel from san francisco,aircraft,0.9363
aircraft, what type of aircraft is the largest flying saucer to flight school from apollona cisco peter airport,aircraft,0.9355
aircraft, what kind of aircraft do you have in boston,aircraft,0.9345
aircraft, what type of aircraft are you flying? carp [] from airfarecenter in australia,aircraft,0.9345
aircraft, what sort of aircraft is the turbin airliners from australia to london on a flight sim,aircraft,0.9343
aircraft, what kind of planes do you fly a plane from here to australia,aircraft,0.9341
aircraft, show me the type of aircraft that is flown by military personnel at mcdonalds airport in australia,aircraft,0.9339
aircraft, what kind of aircraft do you use for a jetpack in australia,aircraft,0.9336
aircraft," what type of aircraft is the ""Aircraft from Boeing and Lockheed Martin to US air flights"" ftp://departments.google www-austin_state",aircraft,0.9333
aircraft, what kind of plane are you using? flights from east coast to south america,aircraft,0.9325
airfare, what is the cheapest air fare from miami to kansas,airfare,0.9179
airfare, what are the cheapest fares for flights from boston to japan,airfare,0.9063
airfare, what are the fares from boston to pittsburgh,airfare,0.9053
airfare, what are the average fare by airport after flying from marcuba to san francisco,airfare,0.9036
airfare, what are the fares for an american flight from west wisconsin to japan,airfare,0.8826
airfare, what is air fare on flights from boston to dallas,airfare,0.8805
airfare, what is the fare for air taxis from boston to san francisco,airfare,0.8627
airfare, what is the average ticket price in San Francisco from west coast to southwest,airfare,0.8234
airfare, what is the price of a flight from london to miami during same day,airfare,0.8149
airfare, what is the cheapest airplane ticket from south to westland,airfare,0.8064
airline," what airlines are flying to Boston, from london through austin",airline,0.9254
airline, what airlines are flying to from oregon saturday afternoon through sunset,airline,0.9253
airline, what airlines are charter flights from north america to california,airline,0.9248
airline, what airlines fly to airport louisiana from aust,airline,0.9234
airline, what airlines are flying to and from the airport in metro area,airline,0.9233
airline, what airline are you flying from san francisco to texas,airline,0.9232
airline, what airlines to fly from seattle airport into nampa,airline,0.9231
airline, what airline do you have on the flight from louis to phoenix,airline,0.9227
airline, what airlines are boarding flights from oregon to lanta airport,airline,0.922
airline, what airline do you fly from west to london,airline,0.9206
quantity, how many flights are in a week from dutch to ny,quantity,0.9294
quantity, how many items are allowed on the airline from australia to baltimore,quantity,0.8524
quantity, how many items are in the order descending from largest to smallest,quantity,0.7842
quantity, how many guests are there at a restaurant in dallas,quantity,0.781
quantity, how many different prices is the most expensive food in houston from city to abreu,quantity,0.6652
quantity," how many rounds is the minimum wage in Chicago, Illinois from cny.com to mezc",quantity,0.5519
quantity, how many people have purchased tickets to see a cab from boston,quantity,0.4871
quantity, how many times a currency is worth to someone in the US from philadelphia for breakfast,quantity,0.4769
quantity, the number of servings in a country from american to francophone,quantity,0.466
quantity, how many rounds does a single ammo package have to be bought,quantity,0.4648
abbreviation, what do I mean by abbie carpenter tools,abbreviation,0.8379
abbreviation, what do I mean by bantam_fareway,abbreviation,0.8327
abbreviation," what is the abbre
 français",abbreviation,0.7657
abbreviation, what is the definition of 'penny' in u,abbreviation,0.7572
abbreviation, what does the 'B' word mean in French?,abbreviation,0.7339
abbreviation, what is an abbreviation for 'peter',abbreviation,0.6777
abbreviation, what is the abbre a_lang from oat to harry,abbreviation,0.578
abbreviation," what is ""DHL_packet"" and why does it have an expiration date of",abbreviation,0.5233
abbreviation, what is the abbre ABBREVIATION of boston,abbreviation,0.5203
abbreviation, what are your favorite meal frequency (a ca...,abbreviation,0.2936
ground_fare, what are the prices of our hotel near ground airports,ground_fare,0.3514
ground_fare, what are the ground taxes for a cab in london,ground_fare,0.3445
ground_fare, what is hotel bed linen cost at motels in texas,ground_fare,0.3178
ground_fare, what is the price of breakfast in a south american airport?,ground_fare,0.2852
ground_fare, what are airport prices for ground transportation from southpark to seattle,ground_fare,0.2743
flight_no, what flight number do you fly today from the airport to a boston,flight_no,0.5232
flight_no," what flight number is the taxi from north eastpark to south park, u can check in advance",flight_no,0.4669
restriction, what are the restrictions on mealservice from australia to brazil,restriction,0.1003
