label,text,predicted_label,probability
LOC:country, What country borders Morocco to the north ?,LOC:country,0.5036
LOC:country," What country was North Vietnam ? : Egypt , Syria .",LOC:country,0.4802
LOC:country, What country in Latin America has the largest population ?,LOC:country,0.4409
LOC:country, What country in South America was once called the Gran Chaco ?,LOC:country,0.3751
LOC:country, What country in South America has the largest area ?,LOC:country,0.3666
LOC:country, What country lies to the east of Hungary ?,LOC:country,0.3568
LOC:country, What is the second largest country in South America ?,LOC:country,0.3527
LOC:country, What is the most warlike country in South America ?,LOC:country,0.3508
LOC:country, What country in South America was a Spanish colony ?,LOC:country,0.3474
LOC:country, What country borders Russia to the west ? Is it Poland or Ukraine ?,LOC:country,0.3232
ENTY:lang, What two languages are spoken in Madagascar ?,ENTY:lang,0.4056
ENTY:lang, What two languages are spoken in Namibia ?,ENTY:lang,0.359
ENTY:lang, What language is spoken in Madagascar ?,ENTY:lang,0.273
ENTY:lang, What two languages are spoken in Haiti ?,ENTY:lang,0.2635
ENTY:lang, What is the only Gaelic language spoken in Ireland ?,ENTY:lang,0.2544
ENTY:lang, What are the three most widely spoken languages in Africa ?,ENTY:lang,0.2483
ENTY:lang," What is the oldest language still spoken ?
 #language",ENTY:lang,0.2426
ENTY:lang, What languages are spoken in Africa ? Is Zulu a language or dialect of another lang. ?,ENTY:lang,0.2316
ENTY:lang, What languages are spoken in India ?entmoney :,ENTY:lang,0.2252
ENTY:lang, What languages are spoken in Peru ? .ent.,ENTY:lang,0.2212
ENTY:instru, What musical instrument did Jimi Hendrix play ?,ENTY:instru,0.6838
ENTY:instru, What musical instrument did Elvis Presley play ?,ENTY:instru,0.5522
ENTY:instru," What instrument did Duke Ellington play ?
 Instruments :",ENTY:instru,0.4778
ENTY:instru, What instrument did the composer Richard Strauss play ?,ENTY:instru,0.4739
ENTY:instru," What instrument does Paul McCartney play ?
 1. drums",ENTY:instru,0.4731
ENTY:instru, What are the musical instruments used for folk dance music ?,ENTY:instru,0.4686
ENTY:instru, What musical instrument did John Phillips play ? &NUM;,ENTY:instru,0.4623
ENTY:instru, What musical instrument does Elvis Presley play ?,ENTY:instru,0.4565
ENTY:instru, What musical instrument did Richard Wagner compose his operas for ?,ENTY:instru,0.4233
ENTY:instru, What musical instrument did Glenn Miller play ? .,ENTY:instru,0.4093
NUM:temp, What is the temperature in Fahrenheit of boiling water ?,NUM:temp,0.6084
NUM:temp, What is the temperature of boiling mercury ?,NUM:temp,0.5158
NUM:temp, What is the temperature in Fahrenheit of water that boils at 100 degrees centigrade ?,NUM:temp,0.5019
NUM:temp, What is the temperature for baking fruit pies ?,NUM:temp,0.4314
NUM:temp, What is the temperature for baking a fruit cake ?,NUM:temp,0.412
NUM:temp, What is the temperature for baking pecan pie ?,NUM:temp,0.3955
NUM:temp, What is the temperature for baking Peachy Oat Muffins ?,NUM:temp,0.3927
NUM:temp, What is the temperature of a volcano 's lava ?,NUM:temp,0.3687
NUM:temp, What is the temperature of an active volcano ?,NUM:temp,0.3354
NUM:temp, What is the temperature for baking a fruit pie ?,NUM:temp,0.3069
HUM:title, What was the occupation of Joseph ? TypeENTY :occupation,HUM:title,0.2548
HUM:title," What was the occupation of Joseph ?
 #titles 2018",HUM:title,0.2522
HUM:title, What is Queen Elizabeth II 's title regarding Malta ?,HUM:title,0.2384
HUM:title, What is the title of Queen Victoria 's eldest child ?,HUM:title,0.2222
HUM:title, What was Queen Victoria 's title in Russia ?,HUM:title,0.2127
HUM:title," What is the name of a noble title conferred by King Henry III to his younger son , Edward ?",HUM:title,0.1816
HUM:title, What was the profession of William PENTNEY ?,HUM:title,0.164
HUM:title," What occupation has the highest rate of divorce ?
 #english",HUM:title,0.1573
HUM:title, What was Queen Victoria 's title before she became queen ?,HUM:title,0.1571
HUM:title, What is the occupation of Peter FENTON ?,HUM:title,0.1569
LOC:mount, What is the highest mountain peak in South America ?,LOC:mount,0.5952
LOC:mount, What is the highest mountain peak in North America ?,LOC:mount,0.5777
LOC:mount, What mountain has the highest peak in South America ?,LOC:mount,0.576
LOC:mount, What is the second highest mountain peak in Africa ?,LOC:mount,0.5161
LOC:mount, What is the highest mountain peak in Africa ?ENT : Mount Kilimanjaro,LOC:mount,0.5137
LOC:mount, What is the second highest mountain peak in North America ?,LOC:mount,0.5068
LOC:mount, What is the second highest mountain peak in the world ?,LOC:mount,0.4125
LOC:mount," What is the highest mountain peak in Africa ?
 I. Kilimanjaro II . Mt - Everest III. Elbrus",LOC:mount,0.3228
LOC:mount, What mountain range runs along the north border of Spain ?,LOC:mount,0.3214
LOC:mount, What is the highest peak in Africa ?ENT : Mount Kilimanjaro,LOC:mount,0.3142
NUM:volsize, What is the size of Britain 's largest lake ?,NUM:volsize,0.1905
NUM:volsize, What is the size of Canada ?s largest lake .?,NUM:volsize,0.1659
NUM:volsize," What is the size of Canada ?s largest lake , Lake Superior or Great Bear Sea .",NUM:volsize,0.1544
NUM:volsize, How big is the largest snake ?ENTS :,NUM:volsize,0.1359
NUM:volsize, What is the size of Canada ?entitle Size Of,NUM:volsize,0.1299
NUM:volsize, What is the size of Rhode Island ?ENTY :area,NUM:volsize,0.1211
NUM:volsize, How big is Rhode Island ?ENTS :,NUM:volsize,0.1121
NUM:volsize, What is the size of Argentina ? `ENTY,NUM:volsize,0.1119
