label,text,predicted_label,probability
NUM:money, What is the cost of a first-class stamp ?,NUM:money,0.106
NUM:money, How much was the minimum wage in 1987 ?,NUM:money,0.7189
NUM:money, How much is a gold Krugerrand worth ?,NUM:money,0.6907
NUM:money, What is the value of an ounce in gold ?,ENTY:other,0.1097
NUM:money, What is the cost of a HUMMER ?,DESC:desc,0.0894
NUM:money, How much does a gallon of gas cost in Mexico ?,NUM:money,0.2383
NUM:money, What was the minimum wage in 1968 ?,NUM:money,0.3307
NUM:money, What is the value of a Cuban peso ?,DESC:desc,0.0896
NUM:money, How much did it cost to build the Pentagon ?,NUM:money,0.3819
NUM:money, What is the minimum wage inDESC :desccolor,NUM:money,0.3067
NUM:money, How much did a ticket on the Titanic cost ?,NUM:money,0.5212
NUM:money, What is the cost of a newENTYS ?,DESC:desc,0.0894
NUM:money, How much money does it take to get a patent ?,NUM:money,0.3558
NUM:money, What are 5 and 10 cent coins called ?,ENTY:other,0.0853
NUM:money, What is the highest denomination of Canadian bills ?,LOC:mount,0.3632
NUM:money, How much did the Hubble telescope cost ?,NUM:money,0.6029
NUM:money, How much does a gallon of gas cost in Italy ?,NUM:money,0.2343
NUM:money, How much did a loaf of bread cost in 1975 ?,NUM:money,0.3412
NUM:money, What are the money denominations of Monopoly ?,ENTY:other,0.1738
NUM:money, What is the value of a gold wedding band ?,DESC:desc,0.0896
NUM:money, What is the price for a pint of Guinness in Ireland ?,ABBR:exp,0.1304
NUM:money, What does a gallon of milk cost in Haiti ?,ENTY:other,0.1229
NUM:money, How much was theENTY :minimum wage in 1982 ?,NUM:money,0.7618
NUM:money, What is the dollar value of one ounce silver ?,ENTY:other,0.0769
NUM:money, How much is a $10 bill worth in Canadian currency ?,NUM:money,0.2907
NUM:money, How much money did the `` Titanic '' cost to build ?,NUM:money,0.3838
NUM:money, What is the cost of an American silver dollar ?,NUM:other,0.0838
NUM:money, What is the currency ofLOC country 's ?,LOC:country,0.2634
NUM:money, How much is the minimum wage in Australia ?ENTY,NUM:money,0.5616
NUM:money, What is the going rate for an oil change ?,ABBR:exp,0.0746
NUM:money, How much did theLOC :wordyear cost ?,NUM:money,0.6621
