label,text,predicted_label,probability
flight_time, show me departure times from atlanta to denver,flight,0.311
flight_time, how long is the flight from atlanta to dallas,flight_no,0.1706
flight_time, what times are flights from boston to denver,flight,0.3506
flight_time, show me all flights from denver to seattle,flight,0.461
flight_time, how long is the flight from denver to seattle,airline,0.1748
flight_time, what is the earliest flight from boston to dallas,flight,0.3041
flight_time, show me all flights from new york to boston,flight,0.4414
flight_time, what time is the flight from denver to boston,flight,0.2683
flight_time, what time is the next flight from denver to san francisco,flight,0.193
flight_time, how long is the flight from toronto to dallas,flight,0.19
flight_time, what is the time of flight from boston to denver,flight,0.2599
flight_time, what time are flights from denver to milwaukee,flight,0.3705
flight_time, what times are there flights from dallas to denver,flight,0.3457
flight_time, show me the departure times from denver to boston,flight,0.3879
flight_time, show me departure times for flights from denver to atlanta,flight,0.3491
flight_time, what is the flight time from baltimore to washington,flight,0.2058
flight_time, show me all flights from san francisco to pittsburgh,flight,0.3387
flight_time, show me flights from denver to philadelphia on continental,flight,0.3837
flight_time, i need flight times from dallas to denver,flight,0.248
flight_time, what time is the first flight from washington to boston,flight,0.1816
flight_time, show me flights from pittsburgh to chicago,flight,0.475
flight_time, what is the departure time of flight miami to boston,flight,0.3314
flight_time, please show me all flights from washington to baltimore,flight,0.3008
flight_time, what time is the flight from san francisco to boston,flight,0.1894
flight_time, what are the departure times for flights from boston to pittsburgh,flight,0.3649
flight_time, list departure times from dallas to baltimore,flight,0.3294
flight_time, what are the departure times of flights from pittsburgh to dallas,flight,0.4001
flight_time, please show me flight times from denver to baltimore,flight,0.2251
flight_time, what time do flights leave from boston for pittsburgh,flight,0.3895
flight_time, what time does flight 86 leave denver,flight,0.2966
flight_time, what time does the flight from miami to atlanta leave,flight,0.2446
flight_time, what is the time zone for atlanta airport,airport,0.2104
flight_time, show me the times for flights from washington to denver,flight,0.3334
flight_time, what time does the first flight leave from pittsburgh to atlanta,flight,0.1967
flight_time, show me all departure times from baltimore to washington,flight,0.3537
flight_time, what time does the earliest flight leave from boston for washington,flight,0.2752
flight_time, what times does eastern fly from atlanta to baltimore,airline,0.1807
flight_time, show me times from washington to boston on saturday,flight,0.2711
flight_time, show me all departure times from philadelphia to san francisco,flight,0.2814
flight_time, what time does the flight from atlanta leave for dallas,flight,0.2546
flight_time, list all departure times from denver to detroit,flight,0.302
flight_time, show me times from denver to philadelphia on thursday morning,flight,0.245
flight_time, what times are the earliest flights from atlanta to dallas,flight,0.2829
flight_time, what time does flight 579 leave pittsburgh,flight_no,0.2401
flight_time, what time do flights leave from san francisco for milwaukee,flight,0.2403
flight_time, what time are the morning flights from seattle to dallas,flight,0.3185
flight_time, what is the earliest time i can depart from seattle,city,0.2975
flight_time, how many flights go from pittsburgh to baltimore,flight,0.3142
flight_time, what time does flight 106 leave philadelphia,flight,0.2707
flight_time, what time do flights from philadelphia to tampa depart,flight,0.3936
flight_time, please list all departure times from denver to dallas,flight,0.2849
flight_time, what time do flights leave from detroit for oakland,flight,0.3041
flight_time, departure time from toronto to miami on monday,flight,0.3353
flight_time, what time does flight 678 depart from dallas,flight,0.2957
flight_time, show me the flights from chicago to seattle,flight,0.4103
flight_time, i would like to know the time of flights from atlanta,flight,0.1872
flight_time, what time is the earliest i can leave baltimore,city,0.2994
flight_time, what is the departure time of flight united 135,flight_no,0.2579
flight_time, show me flights from oakland to denver after 6,flight,0.2942
flight_time, show me times from dallas to pittsburgh on monday,flight,0.2878
flight_time, what is the earliest time i can leave philadelphia for minneapolis,city,0.2266
flight_time, what times do flights leave from toronto for denver going through minneapolis,flight,0.3081
flight_time, what time do the flights from boston to la guardia leave,flight,0.3263
flight_time, show me the flight times from new york to toronto,flight,0.2691
flight_time, what time does the latest flight from phoenix to atlanta leave,flight,0.1934
flight_time, what time does the last flight leave from boston to dallas going through denver,flight,0.3342
flight_time, i would like the time of flights from dallas to pittsburgh,flight,0.3494
flight_time, i would like to find the earliest morning flight from denver international airport,flight_no,0.178
flight_time, what time does flight ua 358 leave washington,airline,0.2542
flight_time, what time does the flight leave from san diego for denver on continental,flight,0.2423
flight_time, what time does flight 496 from denver to pittsburgh leave,flight,0.2664
flight_time, what is the departure time of flight from denver to miami on continental,flight,0.2985
flight_time, what time does flight number 182 depart,flight_no,0.4871
flight_time, what is the departure time of flight 75 from washington to denver,flight,0.2819
flight_time, list flights from tampa to baltimore after noon,flight,0.2915
flight_time, what time does flight united 267 depart,flight_no,0.338
