label,text,predicted_label,probability
NUM:money, How much does a new railroad coal car cost ?,NUM:money,0.4381
NUM:money, How much does a new railroad coal car cost ?,NUM:money,0.4381
NUM:money, What does an ounce of gold cost ? .,NUM:money,0.3685
NUM:money, How much was the minimum wage in 1987 ?,NUM:money,0.4617
NUM:money, How much was the minimum wage in 1987 ?,NUM:money,0.4617
NUM:money, How much money does a back injury lawsuit usually get ?,NUM:money,0.403
NUM:money, How much money does a back injury lawsuit usually get ?,NUM:money,0.403
NUM:money, How much was the minimum wage in 1986 ?,NUM:money,0.4613
NUM:money, How much was the minimum wage in 1986 ?,NUM:money,0.4613
NUM:money, How much was the minimum wage in 1986 ?,NUM:money,0.4613
NUM:money," What does an ounce of gold cost ? ,",NUM:money,0.3657
NUM:money, How much money was the minimum wage in 1986 ?,NUM:money,0.4597
NUM:money, How much was the minimum wage in 1985 ?,NUM:money,0.4616
NUM:money, What is the exchange rate between Hong Kong and Singapore ?,NUM:perc,0.1467
NUM:money, What is the price for a new passport ?,NUM:money,0.3744
NUM:money, What is the exchange rate between Italy and England ?,NUM:perc,0.1577
NUM:money," How much does one ton of cement cost ? ,",NUM:money,0.3819
NUM:money, What is the price of a new Rolls Royce ?,NUM:money,0.3676
NUM:money, How much was the minimum wage in 1975 ?,NUM:money,0.4613
NUM:money, What is the exchange rate for dollars to pounds ?,NUM:perc,0.155
NUM:money, How much was the minimum wage in 1972 ?,NUM:money,0.4606
NUM:money, What is the price of a new U.S. postal service stamp ?,NUM:money,0.3473
NUM:money, What is the exchange rate between Japan and USA ?,NUM:perc,0.1582
NUM:money, How much did the Soviet Union pay for East Germany ?,NUM:money,0.4439
NUM:money, How much did the minimum wage increase in 1987 ?,NUM:money,0.4039
NUM:money, What is the exchange rate between Hong Kong and US dollars ?,NUM:perc,0.1394
NUM:money, How much did a first-class stamp cost in 1976 ?,NUM:money,0.4322
NUM:money," What does an ounce of gold cost in February , ?",NUM:money,0.3977
NUM:money, What is the price for a new U.S. stamp ?,NUM:money,0.3607
NUM:money, How much did the average American family spend on food in 1985 ?,NUM:money,0.2666
NUM:money, How much did the 1973 War between Israel and Egypt cost ?,NUM:money,0.4256
NUM:money, What is the exchange rate between Canada and America ?,NUM:perc,0.1582
NUM:money, What is the exchange rate for dollars to marks ?,NUM:money,0.1609
NUM:money, How much did the 1973 OPEC oil embargo cost America ?,NUM:money,0.3868
NUM:money, What is the current exchange rate between Japan and U.S . ?,NUM:perc,0.1609
NUM:money, What are the exchange rates between Australia and other countries ?,NUM:money,0.1566
NUM:money, How much did the `` Triangle Shirtwaist Company '' firemen pay for their uniforms ?,NUM:money,0.4045
NUM:money, What is the average cost of a four-year education at an in-state college ?,NUM:money,0.401
NUM:money, What was the U.S. minimum wage in 1983 ?,NUM:money,0.4395
NUM:money, What does one ton of aluminum cost ? .,NUM:money,0.3677
NUM:money, What is the price for a new American quarter to collectors ?,NUM:money,0.3645
NUM:money, How much money did the company lose in 1984 ?,NUM:money,0.3833
NUM:money, What is the current exchange rate between South Africa and America ?,NUM:perc,0.1606
NUM:money, How much was the bail set at for O. J . ?,NUM:money,0.265
NUM:money, How much does a new 35mm camera cost ?,NUM:money,0.4419
NUM:money, What is the price for a new 9-iron ?,NUM:money,0.3757
NUM:money, What is the current exchange rate between U.S . dollars and German marks ?,NUM:money,0.1375
NUM:money," What does a new can of paint cost ? ,",NUM:money,0.4419
