label,text,predicted_label,probability
ENTY:dismed, What is a fear of cockroaches called ?,ENTY:dismed,0.234
ENTY:dismed, What is a fear of cockroaches called ?,ENTY:dismed,0.234
ENTY:dismed, What is a fear of cockroaches called ?,ENTY:dismed,0.234
ENTY:dismed," What is a fear of insanity ? , or being insane .",ENTY:dismed,0.3768
ENTY:dismed, What is the fear of cockroaches called ?,ENTY:dismed,0.1441
ENTY:dismed," What is a fear of glass ? , or broken objects?",DESC:desc,0.0967
ENTY:dismed," What is a fear of insanity ? , or being crazy?",ENTY:dismed,0.233
ENTY:dismed, What is a fear of insanity ? ` . ``,ENTY:dismed,0.1682
ENTY:dismed," What is a fear of thunder ? , or lightning",DESC:desc,0.1403
ENTY:dismed, What is a fear of insanity ? ____________,ENTY:dismed,0.2976
ENTY:dismed, What is the term for a fear of insanity ?,ENTY:termeq,0.2577
ENTY:dismed," What is a fear of insanity ? , : phobophobia .",ENTY:dismed,0.1235
ENTY:dismed, What is a fear of mirrors ? .?.?,DESC:def,0.1791
ENTY:dismed, What is a fear of insanity ? . | ||,ENTY:other,0.1123
ENTY:dismed," What is a fear of insanity ? , or becoming insane .",ENTY:dismed,0.407
ENTY:dismed, What is a fear of insanity ? . . ?,ENTY:dismed,0.176
ENTY:dismed," What is a fear of thunder ? , lightning?",DESC:desc,0.128
ENTY:dismed, What are other names for the painful wrist syndrome ?,ENTY:body,0.124
ENTY:dismed, What is the term for a fear of cockroaches ?,ENTY:termeq,0.1918
ENTY:dismed, What is a fear of robbers ? .?.,DESC:desc,0.1496
ENTY:dismed," What is a fear of insanity ? , or mental derangement?",ENTY:dismed,0.4552
ENTY:dismed, What is the name of a disease that afflicts elephants ?,ENTY:dismed,0.449
ENTY:dismed," What is a fear of insanity ? , or people going crazy?",ENTY:dismed,0.1576
ENTY:dismed, What is the fear of being buried alive called ?,ENTY:dismed,0.2358
ENTY:dismed, What is a fear of being dirty ? . -,ENTY:dismed,0.1421
ENTY:dismed, What is a fear of thunder ? 's?,ENTY:dismed,0.1564
ENTY:dismed, What is the fear of insanity ? _________________,ENTY:dismed,0.2945
ENTY:dismed, What is a fear of insanity ? ( www.experts.com ),ENTY:dismed,0.137
ENTY:dismed, What disease does Eliza Doolittle have in My Fair Lady ?,DESC:reason,0.1804
ENTY:dismed, What does the fear of insanity called ? .,ENTY:dismed,0.1683
ENTY:dismed," What is a fear of insanity ? , : kathenotheism",ENTY:dismed,0.1681
ENTY:dismed," What is a fear of insanity ? , or being insane called .",ENTY:dismed,0.2956
ENTY:dismed," What is a fear of insanity ? , or being driven crazy .",ENTY:dismed,0.205
ENTY:dismed, What is a fear of thunder ? (Thunder phobia ),ENTY:other,0.1147
ENTY:dismed," What is a fear of thunder ? , ! :",DESC:desc,0.1531
ENTY:dismed," What is a fear of insanity ? , : psychiatry",ENTY:dismed,0.2623
ENTY:dismed," What is a fear of thunder ? , also called brontophobia or tonitrophobia .",ENTY:other,0.0923
ENTY:dismed, What is a fear of insanity ? ... . ..,ENTY:dismed,0.1692
ENTY:dismed, What is a fear of insanity ? . Copyright Feyyer,ENTY:dismed,0.2286
ENTY:dismed, What does a phlebotomist do ?,DESC:def,0.1831
ENTY:dismed, What is a fear of mirrors ? ___ phobia,ENTY:other,0.1453
ENTY:dismed," What is a fear of thunder ? , what 's the name for this phobia?",DESC:desc,0.1382
ENTY:dismed, What is a fear of insanity ? . <title>,ABBR:exp,0.118
ENTY:dismed, What is a fear of insanity ? . < /sep>,DESC:reason,0.166
ENTY:dismed, What is a fear of mirrors ? Ask New Question Sign In,DESC:desc,0.101
ENTY:dismed, What are the different types of depression ? ; .,ENTY:other,0.0831
ENTY:dismed," What is a fear of insanity ? , known as logophobia .",ENTY:dismed,0.1941
ENTY:dismed," What 's a fear of insanity ? , or being thought to be crazy?",ENTY:dismed,0.1409
ENTY:dismed," What is a fear of lightning ? , .?.",DESC:desc,0.1281
ENTY:dismed, What is a fear of insanity ? Ask this Question,ENTY:dismed,0.2635
ENTY:dismed, What is a fear of glass ? . <sub>,DESC:reason,0.1839
ENTY:dismed, What kind of dementia does Queen Elizabeth the queen mother have ?,ENTY:dismed,0.2319
ENTY:dismed," What is the fear of insanity ? , or a hatred for it?",ENTY:dismed,0.2363
ENTY:dismed," What is the fear of gravity ? , or weightlessness in space?",ENTY:dismed,0.1066
ENTY:dismed, What is a fear of being dirty ? . - Ask Jeeves,DESC:desc,0.0856
ENTY:dismed, What kind of disease is diphtheria ?,ENTY:dismed,0.8703
ENTY:dismed," What 's a fear of glass ? , broken or unbroken?",DESC:desc,0.1462
ENTY:dismed," What is a fear of slime ? , or slimy substances",ENTY:dismed,0.1313
ENTY:dismed, What kind of poison did Nero use to kill his enemies ?,DESC:desc,0.1449
ENTY:dismed, What disease is often called the poor man 's syndrome ?,ENTY:dismed,0.4512
ENTY:dismed, What is a fear of insanity ? (The word for this phobia comes from the Greek . ),ENTY:word,0.164
ENTY:dismed," What are the different types of depression ? , Please list them .",ENTY:other,0.0905
ENTY:dismed, What are other names for a fear of slime ?,ENTY:dismed,0.0889
ENTY:dismed, What is the name of a disease that can be transmitted by Tsetse flies ?,ENTY:dismed,0.2623
ENTY:dismed, What disease is the only one that can kill a person instantly ?,ENTY:dismed,0.1729
ENTY:dismed, What type of depression is a form of manic-depression ?,ENTY:dismed,0.3178
ENTY:dismed," What are the different types of depression ? , what is a fear or phobia called",ENTY:dismed,0.2022
ENTY:dismed," What is a fear of lightning ? , ! ( I )",DESC:desc,0.1052
ENTY:dismed, What does the deadly Nipah virus do to humans ?,DESC:reason,0.2201
ENTY:dismed," What is a fear of insanity ? , or being driven crazy by someone 's influence called .",ENTY:dismed,0.1579
ENTY:dismed, What 's a fear of insanity ? `(`` ``,DESC:desc,0.1488
ENTY:dismed, What kind of disease is Legionnaires ' ? 1,ENTY:dismed,0.3235
ENTY:dismed," What is a fear of thunder ? , 13-grams",ENTY:dismed,0.1045
ENTY:dismed, What is a fear of glass ? - (1991),DESC:desc,0.0683
ENTY:dismed, What disease does comedian Dudley Moore suffer from ? (Gen),ENTY:dismed,0.1369
ENTY:dismed," What is the name of a rare disease that destroys muscles , including those used for swallowing ?",ENTY:dismed,0.3342
ENTY:dismed," What is the name of a mental disorder in which people are preoccupied with dirt , germs or filth ?",ENTY:dismed,0.1973
ENTY:dismed, What is a fear of motion ? . The answer to this question can be found in which Shakespeare play?,DESC:desc,0.1112
ENTY:dismed, What 's the most common disability ? . Show more,ENTY:termeq,0.0981
ENTY:dismed, What is a fear of insanity ? - an uncontrollable feeling that you will lose your mind,ENTY:dismed,0.1129
ENTY:dismed," What is a fear of insects ? , what do you call the study that focuses on aging",DESC:desc,0.0898
ENTY:dismed," What is the name of a rare genetic disorder that affects both hearing loss , vision problems or mental retardation ?",ENTY:dismed,0.4195
ENTY:dismed," What are some good sites for getting information on the deadly disease , Ebola ?",ENTY:dismed,0.1107
ENTY:dismed, What is a fear of being dirty ? (I am not talking physically clean here ),DESC:manner,0.1116
