label,text,predicted_label,probability
abbreviation, what is the abbreviation for san francisco international airport,abbreviation,0.1307
abbreviation, what is the abbreviation for denver international airport in colorado,city,0.1973
abbreviation, what is the abbreviation for los angeles international airport,distance,0.3117
abbreviation, what is the abbreviation for los angeles international airport,distance,0.3117
abbreviation, what is the abbreviation for jfk airport in new york,distance,0.1573
abbreviation, what is the abbreviation for washington national airport in dc,abbreviation,0.1275
abbreviation, what is the abbreviation for new york la guardia airport,distance,0.2279
abbreviation, what is the abbreviation for jfk international airport in new york,distance,0.2078
abbreviation, what is iata code for san francisco airport,abbreviation,0.1815
abbreviation, what is the abbreviation for airport in san francisco,airline,0.132
abbreviation, what is the abbreviation for airport in san francisco,airline,0.132
abbreviation, what is iata code for pittsburgh airport,abbreviation,0.2261
abbreviation, what is the abbreviation for international airport in boston,city,0.1689
abbreviation, what is the abbreviation for newark international airport in california,city,0.1741
abbreviation, what is iata code for minneapolis st paul,abbreviation,0.2329
abbreviation, what is iata code for minneapolis st paul,abbreviation,0.2329
abbreviation, what is the abbreviation for denver international airport in united states,city,0.1819
abbreviation, what is the abbreviation for baltimore airport in maryland,airline,0.1766
abbreviation, what is the abbreviation for american airlines in las vegas,airline,0.2731
abbreviation, what does tpa stand for in the airline industry,airline,0.4237
abbreviation, what does cta stand for in los angeles,distance,0.1701
abbreviation, what is abbreviation for atlanta hartsfield jackson international airport,abbreviation,0.1619
abbreviation, what is abbreviation for atlanta hartsfield jackson international airport,abbreviation,0.1619
abbreviation, what is the abbreviation for washington d c airport terminal,airline,0.173
abbreviation, what is the abbreviation for american airlines flight 119,airline,0.2692
abbreviation, what is nyc airport abbreviation in new york city,distance,0.2336
abbreviation, what does ffa stand for in airfare listings,abbreviation,0.1652
abbreviation, what does fca stand for in new york city,distance,0.2209
abbreviation, what is the abbreviation for newark liberty airport in jersey,abbreviation,0.1519
abbreviation, what does pnc stand for in airport code list,city,0.2389
abbreviation, what does yv stand for in airport code list,city,0.2389
abbreviation, what is iaa code in denver colorado,abbreviation,0.2377
abbreviation, what is the abbreviation for international terminal in pittsburgh,airline,0.1844
abbreviation, what is the abbreviation for international flights out of atlanta,airline,0.1337
abbreviation, what does mca stand for on a plane ticket,aircraft,0.1823
abbreviation, what does wvu stand for in airline flight numbers,flight_no,0.266
abbreviation, what does dsa stand for in a flight number,flight_no,0.3217
abbreviation, what is the abbreviation for united states postal service in san diego,airline,0.2096
abbreviation, what is the abbreviation for american airlines from chicago to dallas,airline,0.233
abbreviation, what does the abbreviation nac mean on an airplane,abbreviation,0.3009
abbreviation, what does fda mean on a flight number list,flight_no,0.2621
abbreviation, what does lca mean on an airline ticket list,airline,0.2441
abbreviation, what is abbreviation iaa in airfare code list,abbreviation,0.2314
abbreviation, what is the abbreviation for international flights from denver to seattle,airline,0.2481
abbreviation, what does the abbreviation dca stand for in airport codes,abbreviation,0.2484
abbreviation, what does hq mean in airport code abbreviations,abbreviation,0.3839
abbreviation, what does mta mean in airline codeshares,abbreviation,0.3085
abbreviation, what does lba mean on american airlines flight number,flight_no,0.2826
abbreviation, what does wu mean on an airline ticket confirmation,abbreviation,0.2513
abbreviation, what is nba abbreviation for airport in san francisco,ground_service,0.1477
abbreviation, what does dme stand for in a car rental,abbreviation,0.1591
abbreviation, what does ym mean on a train schedule in new york,abbreviation,0.2196
abbreviation, what does lcc stand for on an airline flight,airline,0.2865
abbreviation, what is nwa abbreviation for northwest airlines in los angeles,airline,0.2725
abbreviation, what is the abbreviation for international flight arrivals at denver airport,distance,0.1447
abbreviation, what does fca mean on a flight status list,abbreviation,0.2907
abbreviation, what does tpa stand for in airline codes faa,airline,0.3507
abbreviation, what does the abbreviation aas mean on united airlines,abbreviation,0.3008
abbreviation, what does m mean on a flight number with american airlines,flight_no,0.2552
abbreviation, what does dsa stand for in airline code listings,airline,0.3643
abbreviation, what does dfa mean in air travel codes list,abbreviation,0.3537
abbreviation, what does the abbreviation wv mean in a flight number,abbreviation,0.2768
abbreviation, what does cph mean in airports code list for,abbreviation,0.3086
abbreviation, what does ac mean on american airlines flights from dallas to baltimore,flight,0.2637
abbreviation, what is fpa abbreviation for american airlines in san francisco,airline,0.2602
abbreviation, what does pga stand for in golf course listings,abbreviation,0.2182
abbreviation, what does lga mean in airport code listings by united,abbreviation,0.3007
abbreviation, what does dfa stand for on a plane seat,aircraft,0.1823
abbreviation, what does ac mean in flight status codes on united,abbreviation,0.3343
abbreviation, what does nrt mean on american airlines ticket confirmation,abbreviation,0.3065
abbreviation, what does lba mean on airline tickets for us air,abbreviation,0.2643
abbreviation, what is abbreviation nwa mean in airline flight numbers,airline,0.2347
abbreviation, what does bwi mean on my flight confirmation list,abbreviation,0.2112
