label,text,predicted_label,probability
ENTY:sport, What is a popular summer Olympic game in Brazil ?,ENTY:sport,0.678
ENTY:sport," What is the world 's game ?
 Ina : The Olympic Games are a quadrennial event in which athletes compete with each other .",ENTY:sport,0.6743
ENTY:sport, What is the most popular spectator sport in Russia ?,ENTY:sport,0.6239
ENTY:sport, What is the most popular sport in Japan ?LOC :location,ENTY:sport,0.6112
ENTY:sport, What are the two most popular games in Brazil ?,ENTY:sport,0.5914
ENTY:sport, What game is the national sport of Japan ? NUM :ord The fifth-highest number in pinochle is called what?,ENTY:sport,0.5829
ENTY:sport, What Olympic event did Nadia Comaneci win seven gold medals in ?,ENTY:sport,0.5754
ENTY:sport, What Olympic event did Nadia Comaneci win three gold medals for in 1976 ?,ENTY:sport,0.5673
ENTY:sport, What sport do the countries ofNUM :mascot win at ?,ENTY:sport,0.55
ENTY:sport," What sport featuresLOC ? The Olympic Games were held in Atlanta , Georgia from July 19-August 4 .",ENTY:sport,0.5445
NUM:date," When did the Civil War start ?
 The Civil war started in April 1860.",NUM:date,0.7735
NUM:date," When was the Civil War fought ?
  The American civil war took place from April ,1865 to September,",NUM:date,0.7541
NUM:date," What is the birthday of Madonna ?
 I. December 18 , II . August 30, III . January 5",NUM:date,0.7533
NUM:date," What is the date of Boxing Day ?
 The day after Christmas .",NUM:date,0.7397
NUM:date," What is the date of Boxing Day ?
 The year 2013 was an eventful one for what U.S. city ?",NUM:date,0.7036
NUM:date, When was the Battle of Thermopylae ?,NUM:date,0.6987
NUM:date," What is the first day of spring ?
 I guess it was March 21st",NUM:date,0.6851
NUM:date," What is the date of May Day ?
 -Happy New Year. ,",NUM:date,0.6835
NUM:date," When did the Vietnam War start ?
 APP What year was World war II fought onLOC Korean soil in 1950?",NUM:date,0.6656
NUM:date, When was the battle of Thermopylae fought ?,NUM:date,0.6389
ENTY:instru, What musical instrument is Ray Charles best known for playing ?,ENTY:instru,0.9688
ENTY:instru, What musical instrument did Ray Charles play ?LOC :music,ENTY:instru,0.9498
ENTY:instru, What instrument is Ray Charles best known for playing ?,ENTY:instru,0.9466
ENTY:instru, Which instrument is Ray Charles best known for playing ?,ENTY:instru,0.9309
ENTY:instru, What instrument does Ray Charles play ?LOC :music,ENTY:instru,0.9283
ENTY:instru, What musical instrument did John Lennon play ?,ENTY:instru,0.9194
ENTY:instru, What musical instrument does Randy Rhentz play ?,ENTY:instru,0.9178
ENTY:instru," What instrument does Ray Charles play ?LOC :music ,playing",ENTY:instru,0.8975
ENTY:instru, What musical instrument did Pablo Casals play ?,ENTY:instru,0.8063
ENTY:instru, What instrument does YNUM the Beatles 's Paul McCartney play ?,ENTY:instru,0.8033
LOC:country, What is the wealthiest country in Latin America ?,LOC:country,0.7826
LOC:country, Which Latin American country has the largestNUM area ?,LOC:country,0.7795
LOC:country, What is the richest country in Latin America ?,LOC:country,0.7479
LOC:country, What is the richest country in Africa ?,LOC:country,0.742
LOC:country, What country has the most volcanoes ?,LOC:country,0.7058
LOC:country, What country 's capital is Locarno ?,LOC:country,0.7048
LOC:country, What South American country 's capital is Quito ?,LOC:country,0.7008
LOC:country, What country has a capital calledNUM :capital ?,LOC:country,0.6961
LOC:country, What country 's capital is Hanoi ?,LOC:country,0.6832
LOC:country," What South American country borders Peru , Colombia and Ecuador ?",LOC:country,0.6797
ENTY:food, What drink is made up of gin and vermouth ?,ENTY:food,0.884
ENTY:food, What is the world 's most popular soft drink ?,ENTY:food,0.8563
ENTY:food, What kind of wine is served with lobster ?,ENTY:food,0.8472
ENTY:food," What kind of dessert wine is port ?
 -NUM-",ENTY:food,0.8359
ENTY:food, What is the most popular breakfast cereal in Australia ?,ENTY:food,0.824
ENTY:food, What is the most popular soft drink in China ?,ENTY:food,0.8232
ENTY:food, What is the most popular alcoholic drink in Mexico ?,ENTY:food,0.8139
ENTY:food," What was the first brand of beer ?
 package-desc what is a good wine for young children to drink with dinner ?",ENTY:food,0.808
ENTY:food, What is the second most popular soft drink in America ?,ENTY:food,0.8029
ENTY:food, What does ` the world 's most popular soft drink ?,ENTY:food,0.8014
NUM:speed, How fast is the speed of light ?ENTY :quantity,NUM:speed,0.8111
NUM:speed, How fast is the speed of light ?ENTY :other,NUM:speed,0.7835
NUM:speed, How fast is the averageDESCR speed ofLOC current ?,NUM:speed,0.7587
NUM:speed," How fast does the fastestLOCUST run ?
 It is able to travel at speeds of 140 mph .",NUM:speed,0.6205
NUM:speed," How fast is the fastest motorcycle ?
 It means : What speed does a person reach on 'the'fastest motor cycle?",NUM:speed,0.6059
NUM:speed," What is the speed of light ?
 packageLOC",NUM:speed,0.6007
NUM:speed," How fast is light ?LOC What are the average speeds for cars , trains and airplanes inENTITY miles per hour ?",NUM:speed,0.5987
NUM:speed, What is the speed of light ?ENTY :quantity,NUM:speed,0.5296
NUM:speed, How fast is the fastest car ?ENTS :misc,NUM:speed,0.4791
NUM:speed, How fast is theLOC :body fastest car ?,NUM:speed,0.4603
NUM:temp," What is the temperature of Boiling water ?
 #describes ;",NUM:temp,0.5887
NUM:temp," What is the temperature of a candle flame ?
 ##",NUM:temp,0.5561
NUM:temp," What is the temperature of a candle flame ?
 #num",NUM:temp,0.5362
NUM:temp," What is the temperature of boiling water ?
 #num ::what",NUM:temp,0.4921
NUM:temp, What is the temperature in Fahrenheit of boiling water ?,NUM:temp,0.4776
NUM:temp, What is the temperature of a 7-Up ?,NUM:temp,0.4628
NUM:temp, What is the temperature for cookingENTL :food {,NUM:temp,0.4505
NUM:temp," What is the temperature of boiling water ?
 #num 1974/Radio ,miles",NUM:temp,0.4495
NUM:temp," What is the temperature of boiling water ?
 AENT :boil , temperatures",NUM:temp,0.4479
NUM:temp, What is the temperature for baking peach pie ?,NUM:temp,0.44
ENTY:color," What are the most common eye colors ?
 The correct answer : Colors",ENTY:color,0.8123
ENTY:color, What is the most common eye color inLOC :country/region ?,ENTY:color,0.7699
ENTY:color," What is the most popular contact lens color ?
 I like red hair .",ENTY:color,0.6962
ENTY:color, What is the color of a black and white television ?,ENTY:color,0.6783
ENTY:color," What is the most popular contact lens color ?
 importance : high",ENTY:color,0.6512
ENTY:color," What is the color of money ?
 A. red   B. blue      C. black     D . green",ENTY:color,0.6343
ENTY:color," What is the most common eye color ?
 ##male",ENTY:color,0.6273
ENTY:color," What is the most common eye color ?
 #describing 2016-03-19T14:57:38Z ,   Lang::eng",ENTY:color,0.6231
ENTY:color, What is the color of snow ?LOC :body {,ENTY:color,0.6227
ENTY:color," What is the most popular contact lens color ?
 1972",ENTY:color,0.619
DESC:reason, Why did theNUM:other Titanic sink ?,DESC:reason,0.8336
DESC:reason," What causesLOCIS ? Why does it happen to some people , but not others?",DESC:reason,0.7216
DESC:reason," What causes corrosion ?
 TheLOC :news",DESC:reason,0.6182
DESC:reason, Why was the glassENTS called `` love potions '' ?,DESC:reason,0.5885
DESC:reason," What causes corrosion ?
 -Human",DESC:reason,0.5706
DESC:reason, Why did theyLOC call it The Great War ?,DESC:reason,0.5603
DESC:reason, What is the reason that all numbers have 1 asNUM ?,DESC:reason,0.5485
DESC:reason, What is the purpose ofENTL :entitle ?,DESC:reason,0.5362
DESC:reason, Why are the numbers onNUM7s ?ENTS :,DESC:reason,0.5292
DESC:reason, Why is the number 13 unlucky ?,DESC:reason,0.4761
LOC:other, Where is the nearest airport to Nairobi ?,LOC:other,0.8916
LOC:other," Where is the Arctic located ?
 #location",LOC:other,0.889
LOC:other," Where is the Nile river ?
 #NaturalLocation",LOC:other,0.8201
LOC:other," Where is the oldest restaurant in Paris ?
 #loc 2017-January",LOC:other,0.763
LOC:other, Where is the location of Fortnum and Mason ?,LOC:other,0.7136
LOC:other," Where is the National Music Box Museum located ?
  Hint : Place",LOC:other,0.6886
LOC:other, Where is the city of Hanoi located ?,LOC:other,0.6288
LOC:other, What river is spanned by the Golden Gate Bridge ?,LOC:other,0.6167
LOC:other, What is the distance between New York and Miami ?,LOC:other,0.6163
LOC:other," Where is the closest university to Boston ? The University of Massachusetts at Amherst , which was founded in 1863, now has an enrollment over thirty- five thousand students and offers more than two hundred degrees . It is located twenty miles northwest from Springfield and about ninety airline minutes east by jet plane or train ride west across Connecticut River.",LOC:other,0.592
ENTY:word, What word in the English language has the most letters ?,ENTY:word,0.5792
ENTY:word, What is the only English word that ends withNUM ?,ENTY:word,0.5746
ENTY:word," What English word has the most letters ?
 The first five words of the alphabet are :",ENTY:word,0.5667
ENTY:word, What word is the most frequently used in English ?,ENTY:word,0.534
ENTY:word, What word in the English language has moreLOCs than any other ?,ENTY:word,0.5081
ENTY:word, What is the most commonly used word in English ?,ENTY:word,0.4801
ENTY:word," What is the plural of gNUM ?
 package-desc:English language words  category:texts",ENTY:word,0.4789
ENTY:word," What English word comes from the Latin terra , meaning ` land ' ?",ENTY:word,0.4625
ENTY:word," What is the plural of gLOC ?
 The word `dare ' can be used as what part of speech in American English , but not British?",ENTY:word,0.4444
ENTY:word, What word comes after ` The Seven Ages ' ?,ENTY:word,0.4107
DESC:manner, How do I makeLOCATION cookies ? What ingredients should be used and how are they prepared ?,DESC:manner,0.7582
DESC:manner, How do I install an electric can opener ?,DESC:manner,0.7309
DESC:manner, How do you explain theLOC motion of an object ?,DESC:manner,0.6911
DESC:manner, How do I add a signature to my email messages ?,DESC:manner,0.6756
DESC:manner, How do you spell `` Mississippi '' ?&ENT;,DESC:manner,0.6049
DESC:manner, How did the expression ' to make it with someone '' originate ?,DESC:manner,0.5955
DESC:manner, How do you say good-bye to your best friend ?,DESC:manner,0.593
DESC:manner, How do you say good-bye to someone when speaking on the telephone ?,DESC:manner,0.5465
DESC:manner, How do you get the `C ' symbol on your keyboard ?,DESC:manner,0.528
DESC:manner, How do you pronounce `` Pei '' ?,DESC:manner,0.5136
ENTY:substance, What is the main ingredient of Play-Doh ?,ENTY:substance,0.4849
ENTY:substance, What is the main ingredient of Pepto-Bismol ?,ENTY:substance,0.4819
ENTY:substance, What isDESC :other what does the substance called `` glass '' consist of ?,ENTY:substance,0.402
ENTY:substance, What are some of the substances that cause corrosion ?,ENTY:substance,0.3984
ENTY:substance, What substance is The Hulk made of ?,ENTY:substance,0.3675
ENTY:substance, What is the second most common element in seawater ?,ENTY:substance,0.3604
ENTY:substance, What is the most common element in seawater ?,ENTY:substance,0.3548
ENTY:substance, What is the most common element inNUM :body ?,ENTY:substance,0.3381
ENTY:substance, What is the most common element inNUM :all plants ?,ENTY:substance,0.2973
ENTY:substance, What substance is the second-most abundant element inNUM :num,ENTY:substance,0.2947
NUM:volsize," How large is the largest known diamond ?
 The biggest diamonds are about as big around as a pencil eraser.",NUM:volsize,0.7628
NUM:volsize, How big is the smallest jLOCLEY ?,NUM:volsize,0.7556
NUM:volsize, How big is the largest snowflake ever observed ?,NUM:volsize,0.7095
NUM:volsize, How large is the largest atom ?ENTY :substance,NUM:volsize,0.6878
NUM:volsize, How large is the world 's largest cat ?,NUM:volsize,0.5825
NUM:volsize, How large is a numismatist 's collection ?,NUM:volsize,0.5327
NUM:volsize, How big is the largest diamond ever found ?ENTS :,NUM:volsize,0.5254
NUM:volsize, How big is a quart ?ENT :quantity,NUM:volsize,0.5224
NUM:volsize, How big is the world 's largest diamond ?,NUM:volsize,0.5019
NUM:volsize, How big is a quart ?LOC What size glass holds 8 fluid oz.ENT :,NUM:volsize,0.4926
ENTY:cremat, What is the name of Hitchcock 's last movie ?,ENTY:cremat,0.5626
ENTY:cremat, What is the most expensiveNUM :money of film ever made ?,ENTY:cremat,0.4696
ENTY:cremat, What was the name of Robert Louis Stevenson 's most famous novel ?,ENTY:cremat,0.4611
ENTY:cremat, What is a movie about the Vietnam War called ?,ENTY:cremat,0.4334
ENTY:cremat, What is the title of a novel by Sue GLOC ?,ENTY:cremat,0.4
