Column1,Column2
label,text
flight_no, what is united airlines 1203 from atlanta to chicago
flight_no, what is united airline 1234 from dallas to chicago
flight_no, what is american airlines 1275 from dallas to san francisco
flight_no, what are all possible flignt numbers from new york to denver
flight_no, what is united 1573 from pittsburgh to newark
flight_no, what is us airways 1002 from new york to philadelphia
flight_no, what is american airlines 1155 from baltimore to philadelphia
flight_no, what are all nonstop jetblue fligts from lax to boston
flight_no, what is delta 1128 from atl to bna
flight_no, what is delta 1021 from san francisco to phoenix
flight_no, what are there codes and numbers on a confirmation ticket
flight_no, what is delta 1075 schedule and departure times
flight_no, what is my 1026 to pittsburgh
flight_no, what are possible air routes from jfk to atlanta
flight_no, what is united 1058s departure time from atlanta to denver
flight_no, what are all possible numbers on saturday from atlanta to chicago
flight_no, what is american airlines 1010 from orlando to newark
flight_no, what is delta airlines 1250 from newark to san francisco
flight_no, what is a list on united airlines from atlanta to chicago
flight_no, what is a delta 1618 from dallas to boston
flight_no, what is a delta airlines flight from denver to cleveland
flight_no, i need a list with all possible airline codes and what cities they serve
flight_no, what is jfk 7:50 to miami
flight_no, what is american airlines flt 112 from los angeles to chicago
flight_no, what are all 2 oclock departures from atl to dallas
flight_no, what is american airlines 1221 from chicago o'hare to new york
flight_no, what are some direct air service from philadelphia to portland
flight_no, what are all possible nonstop american airlines or united from boston to san francisco
flight_no, what is united airlines 1045 to chicago on june fifteenth
flight_no, what is delta 1072 on monday november eighteenth
flight_no, what is delta airline's five digit code on jfk to lax
flight_no, what is there are any direct service from san francisco to st louis
flight_no, what is an american airlines jet with five rows on each side
flight_no, what are all available jfk to lax fights on april 7
flight_no, what is the airtran 2007 schedule from boston to chicago
flight_no, what are departure times on delta 1039 and arrival time
flight_no, what are some delta airline flght numbers from philadelphia to boston
flight_no, what is american airlines's 1245 from chicago to st louis
flight_no, what is delta airline 1227 from st louis to washington dc
flight_no, what is my 9 a.m departure from los angeles to seattle
flight_no, what is a list and schedule with times on air travel from boston to philadelphia
flight_no, what is delta's airfare on july 18 from atlanta to memphis
flight_no, what are possible sfo las airline numbers in january
flight_no, what are possible combinations on 10am from chicago to dallas
flight_no, what is 5pm air tran continental from atlanta to boston
flight_no, what is 6d559 from lga to dfw
flight_no, what are all available nonstop jetblue saturday 10am to philadelphia
flight_no, what is there flignt numbers on delta from minneapolis to new york
flight_no, what is united airlines 1211s departing from seattle to atlanta
flight_no, what is united 1128 on march six from newark
flight_no, what is united airlines 1106 from msp to dca on february first
flight_no, what are all possible united airline direct service numbers from denver to chicago illinois
flight_no, what are all available direct fights on united airlines in june from denver to portland
flight_no, what are all air canada nonstop flite numbers from msp to pvd
flight_no, what is a good time to fly from boston or new york on monday morning and return late tuesday night
flight_no, what is a typical business class fare on usair 106 from philadelphia to minneapolis
flight_no, what is a list by schedule and times only from pittsburgh to dallas fort worth
flight_no, can you give me information about a united airways nonstop from washington dc to houston
flight_no, what is american airways flt no 1069 from jfk to msp
flight_no, what is delta 1173 from atlanta to washington dallas on june first
flight_no, what is my 8 am nonstop monday morning from new york city to houston
flight_no, what are there direct or connecting airline and times to atlanta from chicago
flight_no, what are all the delta airlines non stop direct service from new york jfk to san diego
flight_no, what is my united airlines 1745 departing from newark on july eighth
flight_no, what is flt no from jfk to san on sunday november 9th
flight_no, what is a list and times on friday jan 28th or sunday feb first
flight_no, what is american airlines' 10 pm departure from boston to detroit on august eleventh
flight_no, i would like to know what are my choices on a 6 oclock out wednesday night
flight_no, what is the united airline and route to baltimore md
flight_no, what are all possible airline numbers with direct service from detroit to minneapolis on sunday evening
flight_no, i would like to know what is my 3p30 departure time from newark
flight_no, what is a one stop nonstop from pittsburgh to minneapolis monday august 10th
flight_no, what is airline 1077s schedule and departure times from seattle to st louis
flight_no, can you give me a list and fare information on all available nonstop itineraries departing from philadelphia pittsburgh
flight_no, what are all 5pm westbound direct delta fights from denver to boston
flight_no, what are all possible american airlines nonstop or direct routings from boston to denver in march 1999
flight_no, what is united 1230's fligght no on monday october sixth
