label,text,predicted_label,probability
DESC:def, What is the difference between a telescope and binoculars ?,DESC:desc,0.8663
DESC:def, What is the difference between a telescope and binoculars ?,DESC:desc,0.8663
DESC:def, What is the difference between a hub and switch ?,DESC:desc,0.7605
DESC:def, What is the difference between a screw and bolt ?,DESC:desc,0.8663
DESC:def, What is the difference between a generator and an alternator ?,DESC:desc,0.7918
DESC:def, What is the difference between an alloy and a mixture ?,DESC:desc,0.6939
DESC:def, What is the theory of equivalence states ? | #question,DESC:def,0.6611
DESC:def, What is a person 's zygote ?,DESC:def,0.7016
DESC:def, What does the name Shane mean ? | tldr,DESC:def,0.8225
DESC:def, What is a conifer ? | #explore,DESC:def,0.7576
DESC:def, What does the name Aaron mean ? | tldr ;,DESC:def,0.6844
DESC:def, What is the difference between a truss bridge and an arch ?,DESC:desc,0.7212
DESC:def, What is the purpose of a fulcrum ?,NUM:other,0.2433
DESC:def, What is a person who studies the stars called ?,HUM:desc,0.2337
DESC:def, What is the difference between a telescope and spectroscope ?,DESC:desc,0.8663
DESC:def, What is a `` doppelganger '' ?,DESC:def,0.8624
DESC:def, What does the name Shawn mean ? | tldr,DESC:def,0.7925
DESC:def, What does the U.S. Coast Guard do ?,DESC:desc,0.2064
DESC:def, What does the name Aaron mean ? | #name,DESC:def,0.58
DESC:def, What is the difference between an arch and a vault ?,DESC:desc,0.7212
DESC:def, What is a person 's social status ? .,DESC:def,0.5096
DESC:def, What does the name Bethany mean ? | tldr ;,DESC:def,0.8225
DESC:def, What is the difference between a corgi and dachshund ?,DESC:desc,0.7445
DESC:def, What is a person who studies fossils called ? | #fossil,HUM:desc,0.3411
DESC:def, What does the name Richard mean ? | eg.,DESC:def,0.6777
DESC:def, What is the theory of comparative advantage ? | #question,DESC:def,0.481
DESC:def, What is the name of a person who collects bottle caps ?,HUM:ind,0.3372
DESC:def, What is the difference between a trampoline and rebounder ?,DESC:desc,0.8663
DESC:def, What is the meaning of ` beethoven ' ?,DESC:def,0.5376
DESC:def, What is the theory of equivalence relations ? | #english,DESC:def,0.6188
DESC:def," What does the theory of relativity explain ? ,",DESC:def,0.4022
DESC:def, What does `` the ball is rolling '' mean ?,DESC:def,0.691
DESC:def, What does the name `` Tony '' mean ? | tony,DESC:def,0.8225
DESC:def, What is a synonym for the word ` hot ' ?,ENTY:word,0.4342
DESC:def, What is the Trans-Siberian Railway ? |,DESC:def,0.2785
DESC:def, What is a person 's socioeconomic position ? | #english,DESC:def,0.6798
DESC:def, What is a conifer ? | tldr :,DESC:def,0.7576
DESC:def, What is a black hole ? | #explore,DESC:def,0.3137
DESC:def, What is an ejection seat ? | #english,DESC:def,0.4243
DESC:def, What is the meaning of life ? | db:qa,DESC:def,0.506
DESC:def, What does the name Michael mean ? | q=,DESC:def,0.8225
DESC:def, What does `` the pen is mightier than a sword '' mean ?,DESC:def,0.701
DESC:def," What does the name , Bethany mean ? | tldr",DESC:def,0.8225
DESC:def, What does the name Larry mean ? | tailed,DESC:def,0.6046
DESC:def, What is a `` backbencher '' in England ?,NUM:money,0.2962
DESC:def, What does the name Richard mean ? | m.,DESC:def,0.6777
DESC:def, What is a thesaurus ? | #17358,DESC:def,0.8624
DESC:def, What does the term `` go metric '' mean ?,DESC:def,0.6224
DESC:def, What is a thesaurus ? | #11679,DESC:def,0.8624
DESC:def, What does a coroner do ? | #16060,DESC:desc,0.1635
DESC:def, What does the PLO stand for ? | @user:user,ABBR:exp,0.46
DESC:def, What does a chiropractor do ? | jegues.org,DESC:desc,0.1635
DESC:def, What is the term for a female witch ? | #question,ENTY:termeq,0.4088
DESC:def, What is a `` goon '' ? | #what,DESC:def,0.8411
DESC:def, What does the name Tracy mean ? | tnn|,DESC:def,0.8225
DESC:def, What does the `` S '' stand for in Las Vegas 's Desert Inn ?,ABBR:exp,0.3161
DESC:def, What is an electromagnet ? | -m-,DESC:def,0.5789
DESC:def, What is the meaning of Aegis ? | #question,DESC:def,0.5359
DESC:def, What does the name `` Daniel '' mean ? | @@entity@@,DESC:def,0.8225
DESC:def, What is the `` D '' in NAFTA ? |,DESC:def,0.1906
DESC:def, What is a person who collects rocks called ? | #question,HUM:desc,0.1896
DESC:def, What is a transistor ? |What are transistors made of?,ENTY:substance,0.7273
DESC:def, What does a flight instructor do ? | db:qa,DESC:desc,0.1691
DESC:def, What is a person 's ethnic background ? | #26353,DESC:def,0.4947
DESC:def, What is a synonym for `` old hat '' ?,NUM:period,0.1699
DESC:def, What is a connoisseur ? | #{answers},DESC:def,0.4478
DESC:def, What is a connoisseur ? | #25839,DESC:def,0.8624
DESC:def, What does a thesaurus do ? | #1172,DESC:desc,0.1635
DESC:def, What is the theory of gravitation ? | !exp.,DESC:def,0.6497
DESC:def, What does a copernicium do ? | #11208,DESC:desc,0.1635
DESC:def, What is an albatross ? | #16661,DESC:def,0.5789
DESC:def, What does a paralegal do ? | #16639,DESC:desc,0.1635
DESC:def," What does the expression "" bite off more than one can chew mean ?",DESC:def,0.2299
DESC:def, What is the `` tangle of steel and stone '' ?,DESC:desc,0.1506
DESC:def, What does the PLO do ? | #10577,ABBR:exp,0.3702
DESC:def, What does the word `` croup '' mean when used to describe a kind of actor ?,ENTY:word,0.0857
DESC:def, What is the name of a group that has more than one queen ?,LOC:other,0.1165
DESC:def, What is a person 's racial makeup ? | #13459,DESC:def,0.7016
