label,text,predicted_label,probability
aircraft, what kind of airplanes does southwest fly,aircraft,0.1041
aircraft, what is an airbus 320 aircraft,aircraft,0.1356
aircraft, what aircraft does american use between boston and san francisco,aircraft,0.105
aircraft, what type is an airbus 309,abbreviation,0.1393
aircraft, what kinds and models are boeing 720s,meal,0.1202
aircraft, what type aircraft does united use for first class flights,aircraft,0.1035
aircraft, what type plane does united fly from denver to boston,airline,0.1215
aircraft, what are all airplanes that fly from boston to dallas,airline,0.1147
aircraft, what type aircraft is operated between san francisco and boston,aircraft,0.1098
aircraft, what type of plane is flown between boston and los angeles,airline,0.0935
aircraft, what are all boeing 735 aircraft,aircraft,0.0931
aircraft, what airplanes does delta fly between boston and minneapolis,airline,0.1161
aircraft, what are all aircrafts with first class seating,quantity,0.1228
aircraft, list all airplanes that fly from boston to detroit,airline,0.116
aircraft, what kind plane does american fly from chicago to atlanta,flight,0.1085
aircraft, what type is aircraft flown between boston and chicago,aircraft,0.0979
aircraft, what airline uses aircraft type b763,aircraft,0.1174
aircraft, what kind airplanes fly from milwaukee to atlanta,flight,0.1237
aircraft, what type aircraft does american use to fly from boston to denver,aircraft,0.1172
aircraft, list aircraft flying between los angeles and new york,airport,0.1143
aircraft, what kind aircraft does delta use to fly between boston and atlanta,aircraft,0.1208
aircraft, what aircraft are available between san francisco and boston,airline,0.1133
aircraft, what kind of airplane does delta fly from detroit to denver,aircraft,0.1066
aircraft, what kind of aircraft does southwest fly between atlanta and los angeles,aircraft,0.0971
aircraft, what kinds and models are aircraft operated by american west,aircraft,0.0903
aircraft, what aircraft do american fly between boston and newark,airline,0.1201
aircraft, what type is an airbus that goes from boston to san francisco,aircraft,0.1108
aircraft, what kind plane is us airways flight 584,abbreviation,0.1095
aircraft, what are 763 flights from atlanta to san francisco,airfare,0.108
aircraft, what aircraft is us airways 457,aircraft,0.1177
aircraft, what type airplane does delta fly between la and san francisco,aircraft,0.1052
aircraft, what are aircraft models flying from atlanta to london,aircraft,0.1194
aircraft, list all plane models that are american airline s,airline,0.0969
aircraft, what type aircraft does delta have flying between atlanta and miami,aircraft,0.0997
aircraft, what kind of airplanes does usa 3016 use,aircraft,0.1157
aircraft, what is aircraft that fly between new york and houston,airline,0.0985
aircraft, what aircraft does southwest use to fly between san diego and phoenix,flight,0.1127
aircraft, what type is flight 281 from san francisco to chicago,aircraft,0.1173
aircraft, what are aircraft that fly between los angeles and washington dc,airline,0.0914
aircraft, what aircraft is flight 701 from denver to atlanta,aircraft,0.13
aircraft, what kind aircraft do united use for flights between san francisco and houston,aircraft,0.1093
aircraft, what kind and size airplane does delta use for flights from boston to atlanta,aircraft,0.1195
aircraft, what type aircraft is united flight 201 from boston to seattle,aircraft,0.1141
aircraft, what are airline names and flight numbers for flights from atlanta to baltimore,flight,0.1233
aircraft, what type of airplane is flight 148 from denver to atlanta,aircraft,0.1126
aircraft, what kinds of aircraft does united airways use between chicago and san francisco,aircraft,0.0971
aircraft, what kind airplane does delta use to fly from minneapolis-st paul international airport,aircraft,0.1015
aircraft, what type is us airways flight 281 from philadelphia to denver,aircraft,0.1094
aircraft, what kind of aircraft are us airways flights 352,aircraft,0.0891
aircraft, what kind aircraft does american use in first class from jfk to los angeles,aircraft,0.1019
aircraft, what airline do they fly from san francisco to boston,airline,0.144
aircraft, what is flight number 287 and its type,flight_no,0.1026
aircraft, what kind is flight 789 from denver to new york,aircraft,0.1075
aircraft, what is plane model b763 from atlanta to san francisco,airfare,0.1235
aircraft, what type airplane is flight 891 from san francisco to seattle,aircraft,0.113
aircraft, what type aircraft does us airways use for flight 1809,aircraft,0.1096
aircraft, what aircraft does american airline fly from pittsburgh to lansing,airline,0.1305
aircraft, i would like to fly from boston to san francisco in first class what kind of plane is it,aircraft,0.1223
aircraft, what is delta flight 1265 from atlanta to boston,airfare,0.1298
aircraft, what type of plane does us airways have from baltimore to newark,aircraft,0.1021
aircraft, what kind plane is flight 230 from newark to atlanta,airfare,0.1235
aircraft, what type aircraft do taca fly with from san jose to miami,aircraft,0.1107
aircraft, what type plane is us airways flight 428 from boston to detroit,airline,0.116
aircraft, what airplanes are operated by american Airlines in first class,quantity,0.1138
aircraft, what kind and model are all first class aircraft between boston to los angeles,aircraft,0.0969
aircraft, i need to fly from denver international airport in colorado to tampa bay florida,flight,0.1265
aircraft, what is an airplane like 758,abbreviation,0.1315
aircraft, what are some small regional air carriers that fly between boston and new york city,airline,0.1062
aircraft, what kind airplane is flight number 1523 from atlanta to boston,aircraft,0.1164
aircraft, what is the type and model for airline usair,airline,0.1141
aircraft, what kind and size are aircraft flying between baltimore to pittsburgh,aircraft,0.1066
aircraft, what is plane number 619 with american airline,flight_no,0.1057
aircraft, i would like to know what type of plane us airways uses between new york city and baltimore,flight,0.0961
aircraft, what type is 759 operating from denver to new york,airport,0.1033
aircraft, what type and configuration is delta flight 2138 from atlanta to san francisco,airfare,0.1433
aircraft, what aircraft is flight 2371 from new york to seattle,flight_no,0.1045
aircraft, what kind is plane number 869 flight,flight_no,0.1047
aircraft, what kind of plane is flight number 2304 going from boston to san francisco,aircraft,0.1169
aircraft, i would like to know what type and model aircraft american flies between atlanta ga and charlotte nc,flight,0.1055
aircraft, what type and brand is an aircraft in flight between san francisco,aircraft,0.1013
aircraft, what kind of airplanes are delta fly from seattle to london,aircraft,0.1076
aircraft, what kind of airplanes are usa 368 from new york city to san francisco,aircraft,0.1065
aircraft, what kind if airplanes are us-576,aircraft,0.1002
aircraft, what type plane does delta flight 1895 fly from atlanta to charlotte,airfare,0.1339
aircraft, what is airbus aircraft type list for flights between los angeles and atlanta,flight_time,0.0921
aircraft, what is cayman airways aircraft number 250,aircraft,0.1217
aircraft, what type is airbus 306 with flight number ai48,flight_no,0.1013
aircraft, what is the name and type aircraft for flight 841 from denver to chicago,aircraft,0.1126
aircraft, what type is american flight 1208 from boston to dallas forte worth,airfare,0.1056
aircraft," i want to fly from atlanta airport (atl) in georgia, usa with continental airways",flight,0.1335
aircraft, what kinds and sizes are united aircrafts in their 1st class,airfare,0.0934
aircraft, what is the make and model name for an airplane that flies between atlanta georgia to miami florida,flight_time,0.1099
aircraft, what kinds are us airways flights 819 and flight 276,airline,0.1038
aircraft, what type and number are continental airline s 730 flights from denver to seattle,airline,0.1159
aircraft, what kinds aircraft does united airways use in flight 950,aircraft,0.1054
aircraft, what kind and model of aircraft are us airways flights 1320 through florida,aircraft,0.0904
aircraft, what type and brand is us airways 2184 flying from boston to phoenix,airline,0.1186
aircraft, what is the plane model and seating capacity for flight 587 from atlanta to tampa,capacity,0.1089
aircraft, what is aircraft for flights 2047 from miami to baltimore,airfare,0.1143
aircraft, what type is flight 2806 from laguardia airport in new york to denver international airport,distance,0.1846
ground_fare, how much does it cost to rent a car from newark airport,ground_fare,0.2331
ground_fare, i want to rent a car in new york city,airport,0.1503
ground_fare, i would like to rent a car in atlanta,flight,0.1074
ground_fare, i need to rent a car in los angeles,distance,0.1861
ground_fare, how much is a car from boston to manchester,ground_fare,0.1136
ground_fare, how much is a taxi from lax to long beach,distance,0.1227
ground_fare, what is it going to cost me for a taxi,abbreviation,0.1177
ground_fare, how much does it usually cost to rent a car at denver airport,ground_fare,0.2152
ground_fare, how much does it cost to take a taxi from san francisco airport into downtown,ground_fare,0.2097
ground_fare, what is the rate for a car from boston to new york,airfare,0.1016
ground_fare, what is the cheapest way to get from downtown denver airport,distance,0.1711
ground_fare, what is a fare from boston to chicago,airfare,0.1134
ground_fare, how much is a shuttle from san francisco international airport to downtown,distance,0.1809
ground_fare, what is a taxi fare from jfk to times square,airfare,0.1315
ground_fare, how much is it from san francisco airport to union square,distance,0.1965
ground_fare, what is taxi fare from san francisco airport to palo alto,airfare,0.1989
ground_fare, what is a one way car rentals from boston to new york city,airfare,0.0964
ground_fare, how much is it to rent a car at baltimore,ground_fare,0.1696
ground_fare, i need a car in denver on wednesday,flight,0.1096
ground_fare, what is a fare quote from denver to colorado springs,airfare,0.1266
ground_fare, what is price for car service from boston to washington dc,airfare,0.0987
ground_fare, what is a one way fare from dallas to fort worth airport,airfare,0.1084
ground_fare, show me prices on renting a car from boston to washington,flight_time,0.1181
ground_fare, what is a quote for one way from seattle airport to downtown,distance,0.1536
ground_fare, what is the price for a car service from philadelphia international airport to wilmington delaware,distance,0.2306
ground_fare, how much does it costs to fly from baltimore washington international airport,ground_fare,0.1952
ground_fare, what is roundtrip fare for car service from boston to logan airport,airfare,0.1114
ground_fare, what is it going to be for a one way ride from atlanta airport,airfare,0.0922
ground_fare, what is the price for renting a car from denver international to downtown,distance,0.1735
ground_fare, what are my options for getting from denver to phoenix,meal,0.2102
ground_fare, what is a car fare from detroit metro airport to ann arbor,airfare,0.1201
ground_fare, what is a good company to use for car rentals in atlanta,airfare,0.1267
ground_fare, what is price for car service between boston airport and hotel,flight_time,0.0999
ground_fare, what is it from boston to newark by car,airfare,0.1009
ground_fare, i need to know how much it would be for a car service from san diego airport,flight,0.1433
ground_fare, what is it going to be for one way car service from san francisco international airport,distance,0.1497
ground_fare, what is one way fare between detroit and philadelphia,airfare,0.1075
ground_fare, what is a round trip car rate from denver to san francisco,airfare,0.1284
ground_fare, i need a car in chicago and dallas,flight,0.0961
ground_fare, what is a good rate for renting an suv in boston,abbreviation,0.1336
ground_fare, what is one way car service between jfk airport and manhattan,airfare,0.0945
ground_fare, i would like to know what are some good companies for car rentals,flight,0.0917
ground_fare, what is the lowest one way fare for a suv,airfare,0.1301
ground_fare, show me available rates for car rentals from denver to chicago,airfare,0.1123
ground_fare, what is the rate for a car service between la guardia airport and midtown manhattan,city,0.1218
ground_fare, what are taxi fares from chicago o'hare international airport to downtown,distance,0.2164
ground_fare, what is roundtrip airport to hotel by taxi,distance,0.1369
ground_fare, how much does it costs to go by car from san francisco airport to downtown,ground_fare,0.1901
ground_fare, what is a typical fare for taxi from philadelphia airport to center city,airfare,0.1433
ground_fare, what is one way price for a car from boston to la,airfare,0.1005
ground_fare, what is the price for a one-way first class fare from seattle to san francisco,airfare,0.1307
ground_fare, what is first class air fare and how much cheaper,airfare,0.1041
ground_fare, what is a round trip fare from philadelphia to dallas on delta,airfare,0.1253
ground_fare, what is a good price for an one way car rent,airfare,0.1272
ground_fare, what is round trip fare for a sedan from baltimore to washington,airfare,0.1215
ground_fare, what is a good deal on car rentals for san diego,abbreviation,0.1283
ground_fare, show me available car rentals from atlanta to tampa,airfare,0.1094
ground_fare, i would like to know what it costs for a ride from seattle-tacoma airport into downtown,flight,0.1009
ground_fare, show me prices for round trip airport to city service,city,0.1092
ground_fare, how much is a round trip taxi fare between philadelphia international and downtown,distance,0.1946
ground_fare, what is a quote for round trip from boston to newark airport and return,airfare,0.1038
ground_fare, how much is it to rent a car from dallas airport and drive into downtown,ground_fare,0.2043
ground_fare, what is taxi fare between newark airport and downtown atlantic city,distance,0.1168
ground_fare, i would like to know what type and costs are available for renting a car in atlanta,flight,0.0937
ground_fare, what are prices for round trip car rentals from philadelphia to chicago,airfare,0.0946
ground_fare, show me costs for airport parking in atlanta,flight_time,0.1
ground_fare, what is a fare from minneapolis to hilton airport,airfare,0.1194
ground_fare, show me round trip from dallas to denver by car,airfare,0.1006
ground_fare, what is the lowest price for a round trip from denver to seattle via car,airfare,0.0995
ground_fare, how much does it cost to get a taxi from new york city airports into manhattan,ground_fare,0.1725
ground_fare, what is my option for a one way car rentl in boston,airfare,0.1089
ground_fare, i would like to inquire on prices for a car service from chicago's o'hare airport into downtown,flight,0.1164
ground_fare, what is a list and prices for all available flights from denver to san francisco,airfare,0.1073
ground_fare, i need to find out what it costs for a car service from baltimore international airport into washington dc,ground_fare,0.1169
ground_fare, what is a quote for a one way rental from denver to boston,airfare,0.0973
ground_fare, what is a one-way fare from boston to denver on september 5th,airfare,0.1099
ground_fare, show me fare for air port to downtown in seattle,airfare,0.0868
ground_fare, how much are taxi fares in london from gatwick to waterloo,airfare,0.0922
ground_fare, show me round trip fares between dallas and detroit on tuesday,flight_time,0.1231
ground_fare, what is price on a car from denver to atlanta for thursday,airfare,0.1015
ground_fare, what is it like taking a private car from dallas to houston,flight,0.0955
ground_fare, what is a round trip rate for car service from atlanta to baltimore and back again,airfare,0.1043
ground_fare, what is the cheapest form and rate for a car from san francisco international airport to downtown,distance,0.2872
ground_fare, i would like to inquire on costs for round trip fares from los angeles airport,distance,0.164
ground_fare, what is the cheapest car that rents a person,airfare,0.113
ground_fare, what is roundtrip airport car service from phoenix sky harbor to downtown hotel,distance,0.2118
ground_fare, what is it going to take for me and a friend from detroit metro airport into downtown by private car,distance,0.1107
ground_fare, what is the price for a one way trip from newark airport to manhattan on july 18th,airfare,0.1002
ground_fare, what is a quote for a sedan from detroit to tampa airport,distance,0.1037
ground_fare, what is a price for round trip first class air fare between seattle washington to san francisco california,airfare,0.1156
ground_fare, how much does a 1980 toyota celica four door weigh,ground_fare,0.2001
ground_fare, i want to know how much it costs for me and my family to rent a car from atlanta on tuesday morning,ground_fare,0.1128
ground_fare, show me round trip fares between new york and chicago on monday september 21st,airfare,0.0987
ground_fare, what is price for round trip from boston to philadelphia on thursday and back next friday,airfare,0.1069
ground_fare, what is a quote for one way from denver to boston on january 10th using first class car service,airfare,0.1103
ground_fare, what is it in dollars for a limo ride from philadelphia airport to downtown on august 15,distance,0.1932
ground_fare, what is the total fare for two people to go from boston airport and then be dropped off in downtown new york city,distance,0.1123
ground_fare, i would like to know what is a reasonable price for renting two 20 passenger vans from pittsburgh airport on saturday april twenty-ninth,flight,0.116
ground_fare, what is it going to be from philadelphia international airport for 20 people by suv on april seventeenth between one and three pm,airfare,0.0915
ground_fare, i need a car for my son who will be going from boston to logan airport and back again on december 17,flight,0.094
airport, what airport is atlanta served by delta airlines,airfare,0.0869
airport, what is the airport code for san francisco international,distance,0.2235
airport, what airport is o'hare international located at,city,0.1266
airport, what airport is o'hare international located at,city,0.1266
airport, what is the airport code for san francisco california,abbreviation,0.1505
airport, what is the airport code for new york city,abbreviation,0.1385
airport, what airport is sfo located at san francisco,distance,0.1194
airport, i would like to know the name of all major international ai,flight,0.1076
airport, what is the name of pittsburgh airport?,distance,0.11
airport, what is the airport name of atlanta georgia,ground_fare,0.1064
airport, list the airport code for denver colorado please,airport,0.1016
airport, what is the name of atlanta airport and dallas fort worth,ground_fare,0.1842
airport, what is the airport closest to atlanta georgia,airport,0.1259
airport, i would like to know the airport code for boston,flight,0.0926
airport, what airport is laguardia located near new york,airport,0.1469
airport, what is the airport name of san francisco california,distance,0.2076
airport, list the major international airport serving denver colorado,distance,0.1924
airport, what airport is denver international served by united airlines,city,0.119
airport, what is the airport code for washington dc international,abbreviation,0.1357
airport, list the name of all major us airport codes with city and state,flight,0.099
airport, what is the nearest airport to dallas texas,distance,0.2072
airport, what is the airport code for newark international flights,abbreviation,0.1428
airport, what is the name of chicago airport that has united airlines,flight_no,0.1024
airport, what airport is hartsfield atlanta located,city,0.1177
airport, what airport is dallas-fort worth international located at,ground_fare,0.1795
airport, what is the name of an airport near new york city,airport,0.1368
airport, what airport is philadelphia international served by delta airlines,distance,0.1547
airport, what is the name of baltimore airport please,flight_time,0.0907
airport, what is the name of lax airport that services los angeles,distance,0.2419
airport, what is the name of dallas/fort worth airport,ground_fare,0.1978
airport, what airport is lga located at? la guardia,airport,0.1433
airport, list major international airport serving new york city please,airport,0.167
airport, list all major international us airport codes with city name,city,0.1249
airport, i would like to know the airport name of atlanta,flight,0.1077
airport, what is the name of a major airport near washington d c,distance,0.1105
airport, what airport is san francisco international? sfo,distance,0.2198
airport, what airport is dfw located at and where are the terminals,city,0.1156
airport, what is the airport name and address for atlanta,flight_time,0.1073
airport, what is the airport near pittsburgh named after,distance,0.1093
airport, please list the international airport serving new york city,airport,0.1677
airport, i would like the name of all international airport codes,distance,0.127
airport, what is the name of an airport that services buffalo new york,airport,0.1378
airport, what is the airport that services miami florida,distance,0.1401
airport, list all major airport codes in new york city,airport,0.1882
airport, list the major airport serving seattle washington with international flights,distance,0.1249
airport, what is the name of airport located at dallas texas,ground_fare,0.135
airport, please list all airport codes for the city of boston,city,0.1012
airport, i need the name of an airport located near pittsburgh,flight,0.0847
airport, what airport is houston served by that has the longest runway,distance,0.0983
airport, what airport is boston international located at on route 1a,airline,0.1093
airport, list the airport with most flights from new york,airport,0.1752
airport, what is the airport for denver colorado i am looking up flights,flight_time,0.1
airport, what airport is near detroit michigan and where,city,0.1124
airport, what is the name of denver airport that has united and continental,airfare,0.0898
airport, what airport is mco located at orange county fl,city,0.1431
airport, list the name of all major international aiports between detroit and atlanta,flight_time,0.1187
airport, list all major international aiports between new york and miami,airport,0.1324
airport, which airport is chicago international located at and where,city,0.1327
airport, where is the closest airport to pittsburgh seattle,airport,0.1053
airport, what airport is philadelphia international on the name of,distance,0.252
airport, what airport is san francisco international sevice by american,distance,0.2034
airport, what airport is san francisco international located at i can never remember,distance,0.1494
airport, list the name of all major airport s serving los angeles,distance,0.2156
airport, list major international airport codes please with city and state,city,0.1273
airport, list the name of an airport with its location and city,airport,0.1096
airport, what airport is newark international located at and how do i get to it from manhattan,ground_fare,0.1339
airport, list all the major airline hubs on southwest,airline,0.1127
airport, list all major airport codes for boston area only,airport,0.1141
airport, list the airport serving atlanta please what is its name,airport,0.1198
airport, list the code for newark airport and detroit,flight_time,0.1044
airport, what airport is boston international located near the city of newton massachusetts,city,0.1361
airport, list the airport closest to new york city that is not a la guardia,airport,0.1916
airport, what airport is boston international located at please give me the name of that location,city,0.0908
airport, what is the airport for denver colorado listed on your site,airfare,0.1051
airport, list the airport at boston massachusetts and logan,ground_fare,0.1421
airport, what airport is pittsburgh near and who owns it,ground_fare,0.0963
airport, i need the airport for denver colorado and kansas city,flight,0.0973
airport, what airport is seattle international located at i'm going there on wednesday,city,0.1012
airport, list the name of all airline companies that serve o'hare airport,airport,0.1033
airport, list all airports and the codes associated with them,airport,0.1552
airport, where is the international airport located in chicago that serves united airlines,city,0.1413
airport, where is the airport for denver colorado that serves flights on delta airlines,airfare,0.0942
airport, list the airport codes for major international city pairs between new york and london,airport,0.1451
airport, what airport is atlanta named after list the major international and domestic airlines that serve this facility,city,0.1025
airport, list the international airport at boston with flights to seattle,distance,0.1212
airport, list airport codes for philadelphia area airports thanks,airport,0.1835
airport, what airport is dfw located at i need a flight from boston to that location,airline,0.1039
airport, list airport near denver colorado what is it called,ground_fare,0.1249
airport, list the major airport serving san francisco please with flights to boston,distance,0.1095
airport, what airport is boston international located at please this will be helpful,city,0.1088
airport, what airport is la guardia located at my wife wants to fly out of this one,airport,0.1182
airport, what airport is jfk located at list me the name of all major international us and canadian city,city,0.1247
airport, what is the name of minneapolis airport i know it has an a,ground_fare,0.1085
airport, list airport locations and times please thank you i need to fly from boston,flight,0.1158
airport, list all the international airline terminal code and location,airline,0.1036
airport, please list all the major airlines and the airport from which they fly,airline,0.1174
airport, what airport is boston international located at? the largest us city without a major commercial service ai,city,0.1335
airport, what airport is jfk located at the question relates to locating a particular city and not finding flights,city,0.1129
airport, what airport is philadelphia international located near? [SEP] where are the atlanta and charles de gaulle french capital city,city,0.1375
airport, what airport is denver international located near? the answer: this will get you a list of all the major american and canadian domestic flights which stop at toronto,ground_fare,0.1181
quantity, how many nonstops are there from boston to denver,quantity,0.1433
quantity, how many nonstops from san francisco to atlanta,quantity,0.1286
quantity, how many nonstop us airways from atlanta to boston,airline,0.1241
quantity, how many first class seats are there between chicago and boston,quantity,0.1796
quantity, how many nonstop flight from denver to philadelphia,quantity,0.1189
quantity, how many nonstop flights are there from atlanta to new york,quantity,0.171
quantity, what is flight schedule from san francisco to boston,airfare,0.1194
quantity, how many pittsburgh to new york nonstop,quantity,0.1111
quantity, how many daily flight from boston to denver,airfare,0.1033
quantity, how many united nonstop flight from denver to boston,airfare,0.1004
quantity, what is flight quantity between boston and los angeles,airline,0.1013
quantity, what is flight quantity between atlanta and san francisco,airfare,0.1075
quantity, how many us airways nonstops from baltimore to denver,flight,0.1044
quantity, how many direct flights from boston to dallas,quantity,0.1625
quantity, how many daily nonstop flight from baltimore to san francisco,airfare,0.1109
quantity, how many nonstop fights from london to new york,quantity,0.1122
quantity, what is flight time from chicago to denver,flight_no,0.1154
quantity, how many us airways nonstop flight between boston and pittsburgh,airline,0.1159
quantity, how many flights do you have from boston to chicago,quantity,0.1464
quantity, how many daily departures from philadelphia to detroit,quantity,0.1355
quantity, how many us airways planes fly from san francisco to philadelphia,airline,0.1255
quantity, how many us airways planes fly from chicago to washington,airline,0.1134
quantity, how many united flight from new york to chicago,flight_no,0.0989
quantity, how many us airways first class flight between boston and san francisco,quantity,0.1301
quantity, how many delta nonstop flights from detroit to boston,quantity,0.1722
quantity, how many planes fly from new york to chicago daily,flight,0.0907
quantity, how many nonstop us air flight between boston and chicago,airline,0.1081
quantity, how many planes fly between new york city and seattle,quantity,0.0991
quantity, how many nonstop first class seats from chicago to los angeles,distance,0.1407
quantity, how many daily non stop flight from new york to atlanta,flight,0.0906
quantity, how many times does delta fly between san francisco and pittsburgh,quantity,0.1413
quantity, how many us airways departures from baltimore,quantity,0.1141
quantity, how many airports does delta service in connecticut,quantity,0.1956
quantity, how many nonstop us airways trips from boston to dallas,airline,0.1143
quantity, how many times does delta fly from dallas to washington,aircraft,0.1087
quantity, how many times does united fly between dallas and philadelphia,quantity,0.1169
quantity, how many direct fights are there from detroit to chicago,quantity,0.1425
quantity, how many united airline first class seats between atlanta and san francisco,quantity,0.1289
quantity, how many delta connecting fights from atlanta to chicago,quantity,0.1271
quantity, how many continental connecting flights from philadelphia to san francisco,quantity,0.1831
quantity, how many american airline planes fly from pittsburgh to philadelphia,airline,0.1273
quantity, how many continental express jets fly between boston and denver,airline,0.1267
quantity, how many flights does american airline have from miami to boston,quantity,0.1869
quantity, how many times daily does southwest fly from baltimore to buffalo,flight_time,0.1081
quantity, how many daily non stop flight s between atlanta and boston,flight_time,0.1138
quantity, how many first class seats are available between san francisco and atlanta in may,quantity,0.1347
quantity, what is delta's flight schedule between new york and seattle,flight_time,0.0934
quantity, how many flgihts per day between denver and baltimore,quantity,0.118
quantity, how many flights does delta offer between baltimore and seattle,quantity,0.1994
quantity, how many nonstop first class tickets are available between boston and dallas,quantity,0.1408
quantity, how many nonstop flights between boston and los angeles in july,quantity,0.1262
quantity, how many first class seats are there from philadelphia to denver in coach,quantity,0.1521
quantity, how many daily non stop trips from dallas to san francisco,distance,0.1441
quantity, how many daily non stop round trip fares are there from seattle to boston,airfare,0.1064
quantity, how many us airways flt from dallas to boston,airline,0.1143
quantity, how many daily round trip first class fares from new york to boston,airfare,0.0959
quantity, how many daily us air flight between washington dc and boston,airline,0.1058
quantity, what is southwest's service from boston to san francisco,airline,0.1155
quantity, how many nonstop us air flight from washington dc to pittsburgh,flight,0.1028
quantity, how many nonstops does tao air have,quantity,0.1923
quantity, how many airfares are there from houston to seattle,quantity,0.1665
quantity, what is first class service for american airline from denver to atlanta,airfare,0.1133
quantity, how many united express nonstop round trip flights from atlanta to denver,airfare,0.1047
quantity, how many dallas to chicago nonstops are there in july,quantity,0.1279
quantity, how many nonstop usairways planes fly between san francisco and chicago,quantity,0.1342
quantity, how many us airways first class tickets are available for dallas to chicago,quantity,0.1118
quantity, how many planes from boston to newark at 8 am,airline,0.1095
quantity, how many daily direct flight does delta fly from atlanta to boston,airfare,0.122
quantity, how many daily united express jets fly between philadelphia and detroit,quantity,0.1252
quantity, how many non stop flights does delta have to atlanta from philadelphia,quantity,0.2288
quantity, how many first class seats are available from detroit to dallas for friday afternoon,airfare,0.0986
quantity, how many american airline flight go from pittsburgh to miami,airline,0.119
quantity, how many airline s have direct service from boston to pittsburgh,airline,0.12
quantity, how many continental nonstop fights from boston to san francisco in december,airline,0.1253
quantity, how many united express jets between minneapolis and pittsburgh,quantity,0.1165
quantity, how many united express jets fly between dallas and denver with first class,quantity,0.1476
quantity, what is flight 1450 from denver to san francisco,airfare,0.1347
quantity, how many non stop flight are there between philadelphia and washington d c,quantity,0.1813
quantity, what is united flight 951 schedule from boston to atlanta,airfare,0.1107
quantity, how many daily round trip flihts between san francisco and portland,quantity,0.1366
quantity, how many times does tac fly daily between los angeles and seattle,flight_time,0.1027
quantity, how many daily round trip flighs between pittsburgh and cincinnati,quantity,0.1171
quantity, how many pittsburgh to cleveland delta flights are there in november,quantity,0.2061
quantity, how many continental express one way flights between philadelphia and cincinnati,quantity,0.1711
quantity, how many times do you fly from chicago to houston monday,flight,0.0958
quantity, how many airbuses are there that fly from detroit to london,quantity,0.1299
quantity, how many nonstop planes does united operate from san francisco to denver,airfare,0.1139
quantity, how many times per day is continental connecting through atlanta to san francisco,airfare,0.0977
quantity, how many continental nonstop roundtrip first class fares from minneapolis to los angeles,airfare,0.1151
quantity, how many united 747 aircraft does airline use,quantity,0.1131
quantity, how many air canada flts leave toronto at night,quantity,0.0912
quantity, how many united express and first class seats from chicago to boston in coach,airfare,0.104
quantity, what is flight schedule for november 27 from boston to new york city,airfare,0.0982
quantity, how many continental nonstops to san francisco from atlanta in august,quantity,0.1266
quantity, how many us airways nonstop fights from washington dc to denver colorado in september,airline,0.1022
quantity, how many planes are in each class on flight 354,quantity,0.1746
quantity, what is flight 1502 flying from new york to pittsburgh in first class,aircraft,0.1107
quantity, what is quantity class 321 flying from chicago o hare to boston,flight_no,0.1093
quantity, how many flight do airline continental have going from atlanta to los angeles monday night,flight,0.1102
quantity, how many nonstop roundtrip delta flights from seattle to atlanta in business class leaving between saturday and wednesday next week,quantity,0.1446
meal, what meals are served between boston and san francisco,meal,0.1825
meal, what meals are served during the flight from boston to san francisco,meal,0.2463
meal, what meals are served from boston to san francisco,meal,0.2524
meal, what meals are served between atlanta and boston,meal,0.2024
