label,text,predicted_label,probability
ground_service, does limousine service provide ground transportation in new york city,ground_service,0.8697
ground_service, what ground transportation is there at atlanta airport in the morning,ground_service,0.8265
ground_service, i need ground transportation from the airport in atlanta,ground_service,0.8239
ground_service, is there ground transportation available at the airport in detroit,ground_service,0.8226
ground_service, what ground transportation is available at the airport in denver,ground_service,0.7988
ground_service, what ground transportation is available in boston besides taxi,ground_service,0.7899
ground_service, what ground transportation is available at the atlanta airport,ground_service,0.7803
ground_service, what is the ground transportation available at atlanta airport,ground_service,0.7803
ground_service, what ground transportation is available at the mco airport,ground_service,0.7795
ground_service, what ground transportation is available at the boston airport,ground_service,0.775
flight, show me round trip fares from boston to denver leaving after 4 pm and arriving before noon,flight,0.6775
flight, list all morning us air flights from denver to oakland,flight,0.649
flight, show me all american eagle flights from dallas to san francisco,flight,0.6251
flight, show me all the american airlines flights that depart on july fifth,flight,0.623
flight, list us air flights on august twenty eight leaving before seven o'clock,flight,0.5961
flight, are there any flights from dallas to san francisco before 9 am,flight,0.5887
flight, list all the afternoon flights leaving atlanta to dallas fort worth on july thirteenth,flight,0.585
flight, please show me flights from dallas to baltimore on july ninth,flight,0.584
flight, list afternoon flights from pittsburgh to washington dc,flight,0.5823
flight, show me all flights from dallas to pittsburgh,flight,0.5791
airline, what airlines are in the nation 's oregon airline alliance,airline,0.8639
airline, which airline is the cheapest between atlanta and orlando,airline,0.8253
airline, which airline is the most reliable with least cancellations,airline,0.8231
airline, what airline is us airlines a member of in the one world alliance,airline,0.8012
airline, does american airlines have an airline with a name that begins with s,airline,0.7593
airline, which airline has the best business class seating and service,airline,0.7057
airline," what airlines are there in denver international airport
i don't know which airline has the most flights from boston",airline,0.6964
airline, which airlines have business class on a 737-200,airline,0.6867
airline, is there an airline that services the atlanta airport,airline,0.682
airline, show me airlines that service atlanta dallas and denver,airline,0.6716
aircraft," what type of aircraft is the dc10
dc-9",aircraft,0.9016
aircraft, what types of aircraft does american use for first class,aircraft,0.763
aircraft, i would like a flight from pittsburgh to baltimore on any aircraft type,aircraft,0.7198
aircraft, tell me about the 727-200 ad100,aircraft,0.6872
aircraft, what is the name of that aircraft with an extended fuselage,aircraft,0.6517
aircraft, what types of aircraft does delta use with first class seating,aircraft,0.6323
aircraft, what is the largest aircraft in first class on twa,aircraft,0.6281
