label,text,predicted_label,probability
abbreviation, what is the abbreviation for san francisco international airport,distance,0.2229
abbreviation, what is the abbreviation for denver international airport in colorado,city,0.1824
abbreviation, what is the abbreviation for los angeles international airport,distance,0.2012
abbreviation, what is the abbreviation for los angeles international airport,distance,0.2012
abbreviation, what is the abbreviation for jfk airport in new york,distance,0.145
abbreviation, what is the abbreviation for washington national airport in dc,city,0.2611
abbreviation, what is the abbreviation for new york la guardia airport,distance,0.1599
abbreviation, what is the abbreviation for jfk international airport in new york,distance,0.1513
abbreviation, what is iata code for san francisco airport,city,0.1333
abbreviation, what is the abbreviation for airport in san francisco,distance,0.2146
abbreviation, what is the abbreviation for airport in san francisco,distance,0.2146
abbreviation, what is iata code for pittsburgh airport,airline,0.1787
abbreviation, what is the abbreviation for international airport in boston,city,0.2454
abbreviation, what is the abbreviation for newark international airport in california,city,0.2136
abbreviation, what is iata code for minneapolis st paul,airline,0.1825
abbreviation, what is iata code for minneapolis st paul,airline,0.1825
abbreviation, what is the abbreviation for denver international airport in united states,city,0.3337
abbreviation, what is the abbreviation for baltimore airport in maryland,aircraft,0.121
abbreviation, what is the abbreviation for american airlines in las vegas,city,0.2131
abbreviation, what does tpa stand for in the airline industry,city,0.1844
abbreviation, what does cta stand for in los angeles,city,0.1495
abbreviation, what is abbreviation for atlanta hartsfield jackson international airport,city,0.1167
abbreviation, what is abbreviation for atlanta hartsfield jackson international airport,city,0.1167
abbreviation, what is the abbreviation for washington d c airport terminal,aircraft,0.111
abbreviation, what is the abbreviation for american airlines flight 119,flight_no,0.2206
abbreviation, what is nyc airport abbreviation in new york city,distance,0.2445
abbreviation, what does ffa stand for in airfare listings,abbreviation,0.1741
abbreviation, what does fca stand for in new york city,city,0.2417
abbreviation, what is the abbreviation for newark liberty airport in jersey,distance,0.1188
abbreviation, what does pnc stand for in airport code list,city,0.1633
abbreviation, what does yv stand for in airport code list,abbreviation,0.1528
abbreviation, what is iaa code in denver colorado,airport,0.156
abbreviation, what is the abbreviation for international terminal in pittsburgh,city,0.1941
abbreviation, what is the abbreviation for international flights out of atlanta,city,0.1907
abbreviation, what does mca stand for on a plane ticket,aircraft,0.1348
abbreviation, what does wvu stand for in airline flight numbers,airline,0.1814
abbreviation, what does dsa stand for in a flight number,capacity,0.1374
abbreviation, what is the abbreviation for united states postal service in san diego,city,0.2164
abbreviation, what is the abbreviation for american airlines from chicago to dallas,flight_no,0.1325
abbreviation, what does the abbreviation nac mean on an airplane,aircraft,0.1609
abbreviation, what does fda mean on a flight number list,aircraft,0.131
abbreviation, what does lca mean on an airline ticket list,airline,0.2229
abbreviation, what is abbreviation iaa in airfare code list,abbreviation,0.2787
abbreviation, what is the abbreviation for international flights from denver to seattle,flight_time,0.1545
abbreviation, what does the abbreviation dca stand for in airport codes,abbreviation,0.1611
abbreviation, what does hq mean in airport code abbreviations,abbreviation,0.2817
abbreviation, what does mta mean in airline codeshares,airline,0.2115
abbreviation, what does lba mean on american airlines flight number,airline,0.2391
abbreviation, what does wu mean on an airline ticket confirmation,flight_time,0.1548
abbreviation, what is nba abbreviation for airport in san francisco,distance,0.1722
abbreviation, what does dme stand for in a car rental,ground_fare,0.237
abbreviation, what does ym mean on a train schedule in new york,flight_time,0.1145
abbreviation, what does lcc stand for on an airline flight,airline,0.1962
abbreviation, what is nwa abbreviation for northwest airlines in los angeles,airline,0.2012
abbreviation, what is the abbreviation for international flight arrivals at denver airport,flight_no,0.1426
abbreviation, what does fca mean on a flight status list,airline,0.1386
abbreviation, what does tpa stand for in airline codes faa,airline,0.1868
abbreviation, what does the abbreviation aas mean on united airlines,airline,0.2402
abbreviation, what does m mean on a flight number with american airlines,airline,0.2119
abbreviation, what does dsa stand for in airline code listings,airline,0.1718
abbreviation, what does dfa mean in air travel codes list,abbreviation,0.1983
abbreviation, what does the abbreviation wv mean in a flight number,aircraft,0.1259
abbreviation, what does cph mean in airports code list for,abbreviation,0.1884
abbreviation, what does ac mean on american airlines flights from dallas to baltimore,airline,0.2082
abbreviation, what is fpa abbreviation for american airlines in san francisco,aircraft,0.1684
abbreviation, what does pga stand for in golf course listings,abbreviation,0.1777
abbreviation, what does lga mean in airport code listings by united,restriction,0.1841
abbreviation, what does dfa stand for on a plane seat,aircraft,0.1732
abbreviation, what does ac mean in flight status codes on united,city,0.1741
abbreviation, what does nrt mean on american airlines ticket confirmation,airline,0.1804
abbreviation, what does lba mean on airline tickets for us air,airline,0.2345
abbreviation, what is abbreviation nwa mean in airline flight numbers,airline,0.2553
abbreviation, what does bwi mean on my flight confirmation list,flight_time,0.1892
abbreviation, what is abbreviation mco in airport code list for minneapolis,airline,0.1315
abbreviation, what does pnr stand for in airline terms please,abbreviation,0.2534
abbreviation, what is the abbreviation for american airline s hub in boston,airline,0.1901
abbreviation, what does dsa mean in air travel by delta,airline,0.1967
abbreviation, what is a cfl flight number in the us,aircraft,0.1743
