label,text,predicted_label,probability
ground_service, is there ground transportation from denver airport to downtown,ground_service,0.9438
ground_service, what ground transportation is available in baltimore airport,ground_service,0.9351
ground_service, i need ground transportation from the boston airport to downtown,ground_service,0.9294
ground_service, is there ground transportation at the nashville airport,ground_service,0.9222
ground_service, what is ground transportation available in denver airport to downtown,ground_service,0.9162
ground_service, what ground transportation is available in denver airport to downtown,ground_service,0.9162
ground_service, show me ground transportation information for denver airport please,ground_service,0.913
ground_service, what ground transportation is available in pittsburgh airport,ground_service,0.9122
ground_service, i need ground transportation from the airport in philadelphia to downtown,ground_service,0.911
ground_service, i need ground transportation in boston from the airport to downtown,ground_service,0.9063
distance, what is the distance from san francisco airport to downtown,distance,0.7014
distance, what is the distance from san francisco international airport to san francisco,distance,0.6968
distance, how long is a trip from san francisco airport to downtown,distance,0.6925
distance, what is the distance from san francisco international airport to downtown,distance,0.6792
distance, how far is it from salt lake city airport to downtown,distance,0.6494
distance, what is the distance from los angeles international airport to downtown,distance,0.6477
distance, what is the distance from salt lake city airport to downtown,distance,0.6462
distance, how long does it take to get from san francisco airport into the city,distance,0.6346
distance, what is the distance from orlando airport to downtown,distance,0.6234
distance, what is the distance from new york city airport to downtown,distance,0.6024
airfare, what 's the lowest round trip fare from san francisco to detroit,airfare,0.9557
airfare, what 's the lowest round trip fare from philadelphia to denver,airfare,0.9516
airfare, round trip tickets from boston to miami less than 500 dollars,airfare,0.9505
airfare, what 's the lowest round trip fare from dallas to denver,airfare,0.9484
airfare, round trip fares from boston to atlanta,airfare,0.9432
airfare, what 's the lowest round trip fare from atlanta to denver,airfare,0.9384
airfare, what is the lowest round trip fare from baltimore to dallas,airfare,0.9362
airfare, can you get a round trip fare from boston to philadelphia for under 400 dollars,airfare,0.9183
airfare, what 's the cheapest fare from san francisco to dallas,airfare,0.9164
airfare, what is the lowest fare from san francisco to atlanta,airfare,0.9156
flight_time, what is the schedule of flights from washington to denver next monday,flight_time,0.883
flight_time, what is the flight schedule from atlanta to denver,flight_time,0.8784
flight_time, what is the schedule of flights from boston to denver next monday,flight_time,0.8679
flight_time, what time does the late afternoon flight leave denver going to atlanta,flight_time,0.8628
flight_time, what time does the late afternoon flight leave from boston to denver,flight_time,0.8611
flight_time, what time does continental depart boston for denver,flight_time,0.86
flight_time, what times on wednesday does continental depart from boston to denver,flight_time,0.8323
flight_time, what is the earliest departure time from boston to denver,flight_time,0.8312
flight_time, what time does the earliest flight leave denver going to boston,flight_time,0.8309
flight_time, what is the earliest departure time from washington to denver,flight_time,0.8279
quantity, how many first class flights does american airlines have,quantity,0.9146
quantity, how many first class flights does american airlines have today,quantity,0.8848
quantity, how many first class flights does delta airlines have,quantity,0.8803
