label,text,predicted_label,probability
NUM:code, What is Columbia Tristar 's telephone number ?,NUM:code,0.1023
NUM:code, What is Columbia Tristar 's telephone number ?,NUM:code,0.1023
NUM:code, What is Columbia Tristar 's telephone number ?,NUM:code,0.1023
NUM:code, What is Columbia Tristar 's telephone number ?,NUM:code,0.1023
NUM:code, What is Columbia Tristar 's telephone number ?,NUM:code,0.1023
NUM:code, What is Columbia Tristar 's telephone number ?,NUM:code,0.1023
NUM:code, What is Columbia Tristar 's telephone number ?,NUM:code,0.1023
NUM:code, What is Columbia Tristar 's telephone number ?,NUM:code,0.1023
NUM:code, What is Columbia Tristar 's telephone number ?,NUM:code,0.1023
NUM:code, What is Columbia Tristar 's telephone number ?,NUM:code,0.1023
NUM:code, What is Columbia Tristar 's telephone number ?,NUM:code,0.1023
NUM:code, What is Columbia Tristar 's telephone number ?,NUM:code,0.1023
NUM:code, What is Columbia Tristar 's telephone number ?,NUM:code,0.1023
NUM:code, What is Columbia Tristar 's telephone number ?,NUM:code,0.1023
NUM:code, What is Columbia Tristar 's telephone number ?,NUM:code,0.1023
NUM:code, What is Columbia Tristar 's telephone number ?,NUM:code,0.1023
NUM:code, What is Columbia Tristar 's telephone number ?,NUM:code,0.1023
NUM:code, What is Columbia Tristar 's telephone number ?,NUM:code,0.1023
NUM:code, What is Columbia Tristar 's telephone number ?,NUM:code,0.1023
NUM:code, What is Columbia Tristar 's telephone number ?,NUM:code,0.1023
NUM:code, What is Columbia Tristar 's telephone number ?,NUM:code,0.1023
NUM:code, What is Columbia Tristar 's telephone number ?,NUM:code,0.1023
NUM:code, What is Columbia Tristar 's stock symbol ?,ABBR:abb,0.0461
NUM:code, What is Columbia Tristar 's stock symbol ?,ABBR:abb,0.0461
NUM:code, What is Columbia Tristar 's stock symbol ?,ABBR:abb,0.0461
NUM:code, What is Columbia Tristar 's stock symbol ?,ABBR:abb,0.0461
NUM:code, What is Columbia Tristar 's stock symbol ?,ABBR:abb,0.0461
NUM:code, What is Columbia Tristar 's stock symbol ?,ABBR:abb,0.0461
NUM:code, What is Columbia Tristar 's stock symbol ?,ABBR:abb,0.0461
NUM:code, What is Columbia Tristar 's stock symbol ?,ABBR:abb,0.0461
NUM:code, What is Columbia Tristar 's stock symbol ?,ABBR:abb,0.0461
NUM:code, What is Columbia Tristar 's phone number ?,NUM:code,0.1028
NUM:code, What is Columbia Tristar 's phone number ?,NUM:code,0.1028
NUM:code, What is Columbia Tristar 's phone number ?,NUM:code,0.1028
NUM:code, What is Columbia Tristar 's phone number ?,NUM:code,0.1028
NUM:code, What is Columbia Tristar 's phone number ?,NUM:code,0.1028
NUM:code, What is Columbia Tristar 's fax number ?,NUM:code,0.0814
NUM:code, What is Columbia Tristar 's fax number ?,NUM:code,0.0814
NUM:code, What is Columbia Tristar 's fax number ?,NUM:code,0.0814
NUM:code, What is Columbia Tristar 's stock ticker symbol ?,ABBR:abb,0.0669
NUM:code, What is Columbia Tristar 's stock ticker symbol ?,ABBR:abb,0.0669
NUM:code, What is Columbia Tristar 's stock ticker symbol ?,ABBR:abb,0.0669
NUM:code, What is Columbia Tristar 's 800 number ?,NUM:code,0.0695
NUM:code, What is Columbia Tristar 's 800 number ?,NUM:code,0.0695
NUM:code, What is Columbia Tristar 's 800 number ?,NUM:code,0.0695
NUM:code, What is Columbia Tristar 's number ?,NUM:code,0.0547
NUM:code, What is Columbia Tristar 's number ?,NUM:code,0.0547
NUM:code, What is NPR 's toll-free number ?,NUM:code,0.0504
NUM:code, What is NPR 's toll-free number ?,NUM:code,0.0504
NUM:code, What is NPR 's toll-free number ?,NUM:code,0.0504
NUM:code, What is NPR 's toll-free number ?,NUM:code,0.0504
NUM:code, What is NPR 's toll-free number ?,NUM:code,0.0504
NUM:code, What is Columbia Tristar 's toll free number ?,NUM:code,0.0661
NUM:code, What is Columbia Tristar 's toll free number ?,NUM:code,0.0661
NUM:code, What is Columbia Tristar 's toll free number ?,NUM:code,0.0661
NUM:code, What is Columbia Tristar 's toll free number ?,NUM:code,0.0661
NUM:code, What is Columbia Tristar 's stock exchange code ?,NUM:code,0.0651
NUM:code, What is Columbia Tristar 's stock exchange code ?,NUM:code,0.0651
NUM:code, What is NPR 's telephone number ? `,ABBR:exp,0.0616
NUM:code, What is NPR 's telephone number ? `,ABBR:exp,0.0616
NUM:code, What is NPR 's toll - free number ?,NUM:code,0.0455
NUM:code, What is NPR 's toll - free number ?,NUM:code,0.0455
NUM:code, What is Columbia Tristar 's seven-digit number ?,NUM:code,0.0687
NUM:code, What is NPR 's toll free number ?,NUM:code,0.0474
NUM:code, What is Columbia Tristar 's stock exchange ?,NUM:code,0.0447
NUM:code, What is the telephone number for AT & T ?,NUM:code,0.0459
NUM:code, What is NPR 's telephone number ? questions,NUM:code,0.061
NUM:code, What is Columbia Tristar 's eight-digit code ?,NUM:code,0.0532
NUM:code, What is the seven-digit code for long distance information ?,NUM:code,0.0616
NUM:code, What are Columbia Tristar 's stock symbol ?,ENTY:color,0.0598
NUM:code, What is Columbia Tristar 's eight-digit identification number ?,NUM:code,0.0534
NUM:code, What is NUM 's extension number ? `,ABBR:exp,0.0496
NUM:code, What are Columbia Tristar 's stock symbols ?,ENTY:color,0.0708
NUM:code, What is the number of Vermont 's senators ?,LOC:state,0.0649
NUM:code, What is Nike 's fax number ?,ABBR:exp,0.0655
NUM:code, What are the first three digits of Pierre Trudeau 's telephone number ?,NUM:code,0.048
NUM:code, What is the number for emergency services in Australia ?,LOC:city,0.0591
NUM:code, What is the seven-digit number on a UPC bar code ?,NUM:code,0.0681
NUM:code, What is the 7-digit number for information ?,NUM:code,0.0493
NUM:code, What is the telephone number for PBS ? `,ENTY:cremat,0.0528
NUM:code, What is NPR 's telephone number ? n,NUM:code,0.0677
NUM:code, What is the number for information in Atlanta ? `,ABBR:exp,0.0485
NUM:code," What is Columbia 's country code ?

##### Related questions",ENTY:sport,0.0878
NUM:code, What is the Nasa space shuttle speed ?,HUM:gr,0.0598
NUM:code, What is the local telephone code for Los Angeles ?,ABBR:exp,0.0528
NUM:code, What are the area code s for Chicago ? `,ABBR:exp,0.0501
NUM:code, What is the 7-digit number to call directory assistance ?,NUM:code,0.0434
NUM:code, What is the 7-digit number on a US postal code ?,NUM:code,0.0534
NUM:code, What is Columbia 's international code ? `Columbia`,ABBR:exp,0.0533
NUM:code, What is the 9-digit number for a long distance access code ?,NUM:code,0.0536
NUM:code, What is the area code for San Jose ? %area-codes,LOC:country,0.0364
NUM:code, What is the number of Alzheimer 's patients ?,NUM:other,0.0728
NUM:code, What is the local telephone exchange in Los Alamos ?,LOC:other,0.0496
NUM:code, What is the extension of number for Dilbert 's office ?,DESC:desc,0.0425
NUM:code," What is Columbia 's country code ?

The correct answer was : `colombia`.",ENTY:cremat,0.0494
NUM:code, What is the number of a hotel where Marilyn Monroe was found dead ?,ENTY:veh,0.0546
NUM:code," What is the international code for Switzerland ?

Answer : The country calling code 41 connects to Switzerlan d .",ABBR:abb,0.0499
NUM:code," What is the number for information ?
 `A . 412-3970 '",DESC:desc,0.0461
NUM:code, What is NUM :math:`\num {52609} ` 's country code ?,ABBR:exp,0.0709
NUM:code, What is NUM :phone ? `LanguagePHRASE questions that ask for specific information about languages or phrases . [SEP] Where does the term `` dog-eared '' come from ?,ABBR:exp,0.0741
NUM:temp, How hot does the inside of an active volcano get ?,NUM:temp,0.0972
NUM:temp, How hot does the inside of an active volcano get ?,NUM:temp,0.0972
NUM:temp, How hot is the inside of an active volcano ?,NUM:temp,0.1019
NUM:temp, How hot does the inside of an oven get ?,NUM:temp,0.091
NUM:temp, How hot does a volcano have to be before it erupts ?,NUM:temp,0.0507
NUM:temp, How hot should the oven be for baking bread ?,NUM:temp,0.1397
NUM:temp, How hot should the oven be when baking cookies ?,NUM:temp,0.223
NUM:temp, How hot does the interior of a volcano get ?,NUM:temp,0.0539
NUM:temp, How hot is a volcano 's lava ?,NUM:temp,0.1507
NUM:temp, How hot should the oven be when baking bread ?,NUM:temp,0.1623
NUM:temp, How hot should the oven be for baking muffins ?,NUM:temp,0.1699
NUM:temp, How hot should the oven be for baking muffins ?,NUM:temp,0.1699
NUM:temp, How hot is the surface of Mercury ? `,NUM:temp,0.0561
NUM:temp, What is the temperature of an active volcano ?,NUM:temp,0.0774
NUM:temp, How hot is the interior of a volcano ?,NUM:temp,0.0594
NUM:temp, How hot does the surface of Mercury get ?,NUM:temp,0.0587
NUM:temp, How hot should the oven be for making chocolate chip cookies ?,NUM:temp,0.1186
NUM:temp, How hot does a volcano need to be before it erupts ?,NUM:temp,0.0563
NUM:temp, How hot should the oven be for baking shortbread ?,NUM:temp,0.1569
NUM:temp, How hot should the oven be when baking a sponge cake ?,NUM:temp,0.1829
NUM:temp, What temperature should the oven be set at when baking a cake ?,NUM:temp,0.0855
NUM:temp, How hot does the lava get inside a volcano ?,NUM:temp,0.1753
NUM:temp, How hot should the oven be for baking gingerbread ?,NUM:temp,0.1219
NUM:temp, How hot should the oven be when baking gingerbread cookies ?,NUM:temp,0.211
NUM:temp, What temperature should the oven be when baking cookies ?,NUM:temp,0.1958
NUM:temp, How hot does the oven have to be for baking a cake ?,NUM:temp,0.0816
NUM:temp, How hot should the oven be for baking apple pie ?,NUM:temp,0.1276
NUM:temp, How hot should the oven be for baking apple pie ?,NUM:temp,0.1276
NUM:temp, How hot should the oven be when baking gingerbread ?,NUM:temp,0.1414
NUM:temp, What is the temperature of lava ? `PDF`,NUM:temp,0.0532
NUM:temp, How hot does the hottest part of a blacksmith 's forge get ?,ENTY:substance,0.0475
NUM:temp, What temperature should the oven be when baking bread ?,NUM:temp,0.1416
NUM:temp, What is the boiling point of mercury ?,NUM:weight,0.0558
NUM:temp, What temperature should the oven be set at to bake bread ?,NUM:temp,0.0896
NUM:temp, What temperature should the oven be set at for baking muffins ?,NUM:temp,0.0883
NUM:temp, What is the temperature of a typical lava flow ?,NUM:temp,0.0668
NUM:temp, How hot should the oven be when baking brown bread ?,NUM:temp,0.1359
NUM:temp, How hot are the inside of volcanoes ?,NUM:temp,0.0738
NUM:temp, How hot should the oven be set for cookies ?,NUM:temp,0.0885
