label,text,predicted_label,probability
ground_service,What is my best option for getting from LAX to downtown LA?,airfare,0.1449
ground_service,What buses run from LAX to downtown Los Angeles?,distance,0.2077
ground_service,What shuttle services operate from Denver International Airport to downtown?,ground_service,0.235
ground_service,What is my best option for getting from O'Hare airport to downtown Chicago?,airfare,0.158
ground_service,What shuttle services operate from O'Hare to downtown Chicago?,ground_service,0.2159
ground_service,"""What is my best option for getting from Logan Airport to downtown Boston?""",airfare,0.1307
ground_service,"""What is my best option for getting from LaGuardia Airport to downtown Manhattan?""",ground_fare,0.1339
ground_service,"""What buses run from Logan Airport to downtown Boston?""",ground_service,0.191
ground_service,"""What is my best option for getting from Chicago O'Hare to downtown?""",airfare,0.1779
ground_service,What shuttle services operate from O'Hare Airport to downtown Chicago?,ground_service,0.266
ground_service,What is my option for getting from Chicago O'Hare to downtown?,airfare,0.1819
ground_service,What is my best option for getting from JFK airport to downtown Boston?,airfare,0.1396
ground_service,What public buses run from Logan Airport to downtown Boston?,ground_service,0.2768
ground_service,What buses run from Logan airport to downtown Boston?,ground_service,0.251
ground_service,What forms of public transport can I use to get from JFK airport in New York City?,distance,0.1582
ground_service,What forms of public transit operate from LAX to downtown Los Angeles?,distance,0.1629
ground_service,What buses operate from Denver International Airport to downtown?,ground_service,0.2399
ground_service,"""What is my option for getting from LaGuardia Airport to downtown Manhattan?""",ground_fare,0.1528
ground_service,What bus services run from San Francisco airport to downtown?,ground_service,0.3848
ground_service,What bus services connect O'Hare Airport to downtown Chicago?,ground_service,0.3584
ground_service,What forms of public transport run from Chicago's O'Hare airport to downtown?,distance,0.166
ground_service,What is my best option for getting to downtown from O'Hare airport?,airfare,0.1299
ground_service,"""What buses run from Chicago O'Hare airport to downtown?""",ground_service,0.1954
ground_service,what shuttle services run from denver international airport to downtown colorado springs?,ground_service,0.2719
ground_service,What forms of public transport run from Boston's Logan Airport to downtown?,distance,0.1745
ground_service,"""What modes of public transport can I use to get from LAX airport into downtown Los Angeles?""",ground_fare,0.174
ground_service,What forms of public transport exist from LAX to downtown LA?,city,0.246
ground_service,"""What bus services run from Logan Airport to downtown Boston?""",ground_service,0.2318
ground_service,What forms of public transit connect Reagan National Airport to downtown Washington D C?,ground_service,0.1637
ground_service,What forms of public transit can I use to get from LAX airport in Los Angeles?,city,0.1822
ground_service,what public transport is there from denver airport to downtown colorado springs?,ground_service,0.3243
ground_service,what public bus services operate from lax to downtown los angeles?,ground_service,0.2773
ground_service,What shuttle services operate from Chicago O'Hare airport to downtown hotels?,ground_service,0.2896
ground_service,What shuttle services from Denver airport go to downtown?,ground_service,0.2486
ground_service,what is my option for public transit from lax to downtown los angeles?,ground_fare,0.1749
ground_service,What forms of public transport run from Seattle airport to downtown?,ground_service,0.2157
ground_service,What forms of public transit run from Baltimore Washington International Airport to downtown?,distance,0.218
ground_service,What bus service is provided from Logan Airport to downtown Boston?,ground_service,0.2401
ground_service,What is my best option for getting from Baltimore Washington International Airport to downtown Pittsburgh?,airfare,0.1507
ground_service,What shuttle services can I use to get from San Francisco airport into downtown Oakland?,ground_service,0.2495
ground_service,"""What forms of public transit connect Baltimore Washington International Airport to downtown Annapolis?""",ground_service,0.162
ground_service,what bus service is there from denver airport to downtown colorado springs?,ground_service,0.3183
ground_service,What forms of public transport operate from JFK airport to downtown Boston?,ground_service,0.1921
ground_service,"""What modes of public transport can I take from LAX to downtown Los Angeles?""",city,0.1965
ground_service,What types of buses run from JFK to midtown Manhattan?,ground_service,0.1403
ground_service,What modes of land transport can I use to get from Logan Airport in Boston?,ground_service,0.1596
ground_service,What types of shuttle buses run from O'Hare Airport to downtown Chicago?,ground_service,0.2028
ground_service,what buses run from lax to union station in downtown los angeles?,ground_service,0.2291
ground_service,what buses run from lax to union station in downtown los angeles?,ground_service,0.2291
ground_service,What shuttle services can I take from O'Hare airport to get downtown?,ground_service,0.1528
ground_service,What forms of public transit operate from LAX to downtown San Francisco?,ground_service,0.1791
ground_service,What public bus services run from Denver airport to downtown?,ground_service,0.3668
ground_service,"""What kind of shuttle service is there from O'Hare Airport to downtown Chicago?""",ground_fare,0.1715
ground_service,"""What shuttle services operate from Baltimore Washington International Airport to downtown DC?""",ground_service,0.1622
ground_service,what types of shuttle buses can i take from denver international airport to downtown colorado springs?,ground_service,0.1794
ground_service,What modes of public transport operate from Chicago O'Hare to downtown?,ground_service,0.2072
ground_service,What shuttle services from O'Hare airport to downtown Chicago hotels?,ground_service,0.2786
ground_service,"""What public buses run from LaGuardia to Midtown Manhattan?""",ground_fare,0.1733
ground_service,"""What forms of public transit, such as buses or shuttles, run from O'Hare International Airport to downtown Chicago?""",ground_service,0.1818
ground_service,What bus services can I use to get from Los Angeles airport into downtown?,ground_service,0.242
ground_service,"""What modes of public transport operate from O'Hare airport to downtown Chicago?""",ground_service,0.1971
ground_service,What bus service is most convenient from O'Hare airport to downtown Chicago?,ground_service,0.2277
ground_service,"""What shuttle services does O'Hare offer from downtown Chicago?""",ground_fare,0.161
ground_service,what shuttle service is there from san francisco airport to downtown?,ground_service,0.2296
ground_service,What kind of buses run from Baltimore Washington International Airport to downtown Columbia?,distance,0.1817
ground_service,"""What modes of public transit, such as buses or trains, can I use to get from O'Hare Airport in Chicago downtown?""",ground_service,0.194
ground_service,What modes of public transport can I use to get from LaGuardia Airport in New York City into Manhattan?,ground_service,0.1601
ground_service,What public transit services connect LaGuardia Airport to downtown Boston?,ground_service,0.3138
ground_service,What public transit services connect John Wayne Airport to downtown Santa Ana?,ground_service,0.2515
ground_service,what kind of buses run from bwi to downtown dallas please?,ground_service,0.1332
ground_service,What forms of shuttle service can I take from Dallas Love Field to get downtown?,flight_time,0.1382
ground_service,"What modes of public transit, such as buses or trains, run from O'Hare Airport to downtown Chicago?",ground_service,0.2292
ground_service,What kind of buses operate from La Guardia Airport to downtown Manhattan?,ground_service,0.2189
ground_service,What forms of public transit can I use to get from Pittsburgh International Airport into downtown Allegheny City?,distance,0.1829
ground_service,What forms of public transport do you have from Heathrow to London?,city,0.2511
ground_service,what forms of public transit exist from fort lauderdale airport to downtown?,ground_service,0.1961
ground_service,"""What bus service is provided from Chicago's O'Hare airport to downtown?""",ground_fare,0.2134
