label,text,predicted_label,probability
airline, which airline flies from atlanta to san francisco,airline,0.7308
airline, which airline flies from san francisco to atlanta,airline,0.7308
airline, which airline flies from san francisco to denver,airline,0.7128
airline, which airline flies from denver to san francisco,airline,0.7128
airline, which airline flies from pittsburgh to san francisco,airline,0.7005
airline, which airline flies from boston to milwaukee and minneapolis,airline,0.6999
airline, which airline flies from san francisco to los angeles,airline,0.6995
airline, what airline flies from san francisco to boston,airline,0.6943
airline, what airline flies from los angeles to oakland,airline,0.6856
airline, which airline flies from denver to san diego,airline,0.678
quantity, how many different classes are there for continental first class,quantity,0.695
quantity, how many different class types are there from toronto to houston,quantity,0.6526
quantity, how many different fares are there from dallas to boston,quantity,0.6391
quantity, how many first class fares are there between boston and los angeles,quantity,0.6368
quantity, how many canadian international first class service classes are there,quantity,0.6062
quantity, how many different fares are there from new york to dallas,quantity,0.5991
quantity, how many classes are there in first class service from washington to boston,quantity,0.5612
quantity, how many us airways flight classes are there with fares less than 2000,quantity,0.5495
quantity, how many daily departures are there from san francisco,quantity,0.5476
quantity, how many different flight classes does american have from dallas to pittsburgh,quantity,0.5468
aircraft, what type aircraft is flight 121 from pittsburgh to baltimore,aircraft,0.8357
aircraft, what kind type aircraft flies from denver to dallas,aircraft,0.8083
aircraft, what type aircraft is flight af 1208 from boston to pittsburgh,aircraft,0.797
aircraft, what kind type aircraft is flying from dallas to milwaukee leaving before 930 am,aircraft,0.7923
aircraft, what type aircraft is american 762 flying from washington to pittsburgh,aircraft,0.7684
aircraft, what type aircraft is flight ua 1089 from washington to baltimore,aircraft,0.7623
aircraft, what type aircraft is flight aa 111 from boston to san diego,aircraft,0.7585
aircraft, what type plane is flying from atlanta to philadelphia,aircraft,0.7485
aircraft, what type plane is american flight 1102 from pittsburgh to atlanta,aircraft,0.7303
aircraft, what type aircraft is a us air flight 1101 from dallas fort worth to atlanta,aircraft,0.7277
distance, how far is it from san francisco airport to downtown,distance,0.7803
distance, how far is san francisco international airport from downtown,distance,0.7634
distance, how far from san francisco international airport is downtown,distance,0.7634
distance, how far is atlanta international airport from downtown san francisco,distance,0.741
distance, how far is it from san francisco international airport to downtown,distance,0.7346
distance, how far is pittsburgh airport from downtown in miles,distance,0.7244
distance, how far is toronto international airport from downtown in miles,distance,0.7001
distance, how far is oakland airport from san francisco,distance,0.693
distance, how far is it from los angeles international airport to downtown la,distance,0.6872
distance, how far is it from toronto airport to downtown,distance,0.6507
abbreviation, what is e tiket 73m k class,abbreviation,0.7892
abbreviation, what does fare code d mean for us airways,abbreviation,0.6741
abbreviation," what is eap
refund policies and procedures [SEP] i want a refund policy",abbreviation,0.6716
abbreviation, what is us fare code f4n rdu dca,abbreviation,0.6519
abbreviation, what does fare code h mean for united airlines international,abbreviation,0.6105
abbreviation, what does fare code k mean on canadian airlines international,abbreviation,0.5827
