label,text,predicted_label,probability
NUM:date," What day of the week was January 9 ,1954 ?",NUM:date,0.8464
NUM:date," What day is February 14 , in the year of our Lord ?",NUM:date,0.8238
NUM:date, What is the next date after December 25th ?,NUM:date,0.8144
NUM:date," What day was September 3 ,1970 ?",NUM:date,0.7959
NUM:date, What day will be the 15th of February in year ?,NUM:date,0.7922
NUM:date," What day of the week is January 27 ,1988 ?",NUM:date,0.738
NUM:date, What year was Henry Ford born ? {} From when to 1987 .,NUM:date,0.7241
NUM:date," What year did John Kennedy die ? ] 1963 [/questionnum date :DESC [SEP] When was the Great Chicago Fire in Illinois extinguished after burning for two days and killing an estimated three hundred people , including ten firemen who died when their water source collapsed during a thunderstorm on October seventh nineteen oh eight?",NUM:date,0.707
NUM:date, What day was the first moon landing ? 2009-10,NUM:date,0.7012
NUM:date, What day is today ? 4th or the fifth of November?,NUM:date,0.675
ENTY:instru, What instrument does Ray Charles play ? ] The piano .,ENTY:instru,0.8917
ENTY:instru," What musical instrument did John Lennon play ? ""Dizzy with a flute , and Louis Armstrong playing trumpet .",ENTY:instru,0.8614
ENTY:instru, What is the musical instrument played by Jimmy Durante ?,ENTY:instru,0.8467
ENTY:instru, What instrument does the composer John Cage play ? ||,ENTY:instru,0.8434
ENTY:instru, What musical instrument did James Galway play ? },ENTY:instru,0.8373
ENTY:instru, What musical instrument did Scott Joplin play ?,ENTY:instru,0.8296
ENTY:instru, What musical instrument is played by the pied piper ?,ENTY:instru,0.795
ENTY:instru, What musical instrument did Johann Sebastian Bach play ? How about Wolfgang Amadeus Mozart and Ludwig van Beethoven for that matter?,ENTY:instru,0.7879
ENTY:instru, What musical instrument was Jimi Hendrix proficient at ?,ENTY:instru,0.7872
ENTY:instru, What instrument does Wynton Marsalis play ? ],ENTY:instru,0.7578
ENTY:other," What is the longest river in New Zealand ? ``` other :  what   was ``the'' highest box - office movie of all time up to July , `96 . ```
FindDESC ""What kind"" and their descendent nodes",ENTY:other,0.6436
ENTY:other," What is the origin of "" OK ?"" It comes from a Cherokee word , but which one?",ENTY:other,0.6226
ENTY:other, What is the name of `` The People 's Court '' ?,ENTY:other,0.518
ENTY:other, What is the largest living single cell ? ... and how big would it be if you could see a billionth of an inch with your eye unaided by magnifying lenses or microscopes ?.,ENTY:other,0.5137
ENTY:other, What kind of paint was used to create the Mona Lisa ?,ENTY:other,0.5123
ENTY:other, What is the largest state in size ? US or Alaska?,ENTY:other,0.502
ENTY:other," What are the seven continents ? and what do they contain respectively , besides land mass?",ENTY:other,0.4921
ENTY:other, What is a `` poodle '' in bridge ?,ENTY:other,0.4863
ENTY:other," What is a three-sided polygon called ? How many corners does it have , and how are its interior angles measured in degrees per side ?",ENTY:other,0.479
ENTY:other," What was the 1960 hit song by James Brown that featured a woman in distress saying , `` Help me make it through this thing called life ? ''",ENTY:other,0.4586
ENTY:food, What kind of wine do you serve with salmon steaks ?,ENTY:food,0.8746
ENTY:food, What type of wine do you drink with sushi ?,ENTY:food,0.8185
ENTY:food, What kind of beer does Anheuser-Busch brew ?,ENTY:food,0.7675
ENTY:food, What dish is traditionally served in a Yorkshire Pudding pan ?,ENTY:food,0.7422
ENTY:food, What is the best wine to serve with a beef roast ?,ENTY:food,0.7412
ENTY:food, What 's the best breakfast cereal ? ... a glass of milk .,ENTY:food,0.7401
ENTY:food, What wine goes with a beef pot roast ? The same one you'd use for steak .,ENTY:food,0.689
ENTY:food," What wine do you drink with pasta ? Why is it a good match for that food dish and what kind of glass should I use to serve the reds in at dinner parties when serving spaghetti bolognese , tagliatelle carbonara or pappardelli all ` arrabbiata` sauce -based dishes ??",ENTY:food,0.6657
ENTY:food," What does the Irish St. Patrick 's Day beverage , a pint of Guinness Stout, taste like ?",ENTY:food,0.6255
ENTY:food," What are the four basic food groups ? 1. Cereals and breads ,2.Meat, fish & poultry .3.fruits vegetables fat-free milk or yogurt",ENTY:food,0.6003
ENTY:sport, What is the most watched spectator sport in America ?,ENTY:sport,0.6942
ENTY:sport, What sport has the most players in professional leagues ?,ENTY:sport,0.6763
ENTY:sport, What sport has the fewest number of players per team ?,ENTY:sport,0.6382
ENTY:sport, What game has the most people watching worldwide ? ],ENTY:sport,0.6328
ENTY:sport, What tennis player has won the most career doubles titles ?,ENTY:sport,0.5985
ENTY:sport," What sport is the most popular in Germany ? -- Why are soccer teams from Argentina so much better than other South American ones , when all these countries produce good players for this game and others .",ENTY:sport,0.5855
ENTY:sport, What sport is the oldest Olympic team game ? ...,ENTY:sport,0.5781
ENTY:sport, What is the most popular team sport in England ?,ENTY:sport,0.5296
ENTY:sport, What are the three horse-racing Breeders ' Cup races ?,ENTY:sport,0.513
ENTY:sport, What is the second most popular spectator sport ? It has a 26 -year history .,ENTY:sport,0.4834
LOC:country, What country does Australia belong to ? . A. The Commonwealth of Nations B.Untied Kingdom C.Britain D.Australia,LOC:country,0.7335
LOC:country, What country is the only nation in Europe to border three others ?,LOC:country,0.7182
LOC:country, What country does the Falkland Islands belong to ?,LOC:country,0.7095
LOC:country, What country has the world 's highest divorce rate ?,LOC:country,0.6635
LOC:country, What is the most populous country in North Africa ?,LOC:country,0.6133
LOC:country," What country had colonies in Africa , Asia and Oceania ?",LOC:country,0.6122
LOC:country, What is the most mountainous country in Europe ?,LOC:country,0.5971
LOC:country, What is the world 's third most populous country ?,LOC:country,0.5768
LOC:country, What country has the lowest population ? ) The People 's Republic of China .,LOC:country,0.5614
LOC:country, What country 's currency is the lira ?,LOC:country,0.5587
LOC:state, What U.S. state is nicknamed the Volunteer State ?,LOC:state,0.6854
LOC:state, What state did John Hancock represent in the U.S. House of Representatives ?,LOC:state,0.6589
LOC:state, What U.S. state had the most presidents ?,LOC:state,0.6342
LOC:state, What U.S. state had the most Confederate soldiers ?,LOC:state,0.5958
LOC:state, What U.S. state 's nickname is the Peach State ?,LOC:state,0.5753
LOC:state, What US state was the Confederate capital ? 1,LOC:state,0.565
LOC:state, What U.S. state is nicknamed the Aloha State ?,LOC:state,0.5576
LOC:state, What U.S. state has the most counties ?,LOC:state,0.5565
LOC:state, What state did Abraham Lincoln represent in the U.S. House of Representatives ?,LOC:state,0.535
LOC:state, What US state was the Confederate capital during much of its existence ?,LOC:state,0.4959
ENTY:animal," What animal has four legs , a tail and eats bugs ?",ENTY:animal,0.7218
ENTY:animal, What breed of dog is Snoopy ? |||,ENTY:animal,0.7044
ENTY:animal, What kind of animal is Garfield ? From what country does this domesticated carnivorous mammal originate from?,ENTY:animal,0.5935
ENTY:animal, What is the name of Snoopy 's pet bird ?,ENTY:animal,0.5708
ENTY:animal, What breed of dog is Snoopy ? From the comic strip Peanuts .,ENTY:animal,0.5584
ENTY:animal, What type of bird has the strongest beak ?,ENTY:animal,0.5256
ENTY:animal, What kind of animals does the Cincinnati Zoo have ?,ENTY:animal,0.444
ENTY:animal, What bird symbolizes Australia ? | enty : what animal lives in a burrow,ENTY:animal,0.4398
ENTY:animal, What bird has the second largest wingspan of any other flying creature ?,ENTY:animal,0.4155
ENTY:animal, What breed of dog was Rin Tin-Tin ?,ENTY:animal,0.4148
LOC:other, What is the largest ocean in area ? 1. Atlantic Ocean | d:question None,LOC:other,0.7798
LOC:other, Where is St. Paul 's Cathedral ? ...,LOC:other,0.7293
LOC:other, What do the Olympic rings represent ? ; Where is New Zealand 's most famous golf course located .,LOC:other,0.6871
LOC:other, What are the 50 largest islands in area ?,LOC:other,0.6699
LOC:other, Where is the largest freshwater lake in Asia ? |Where-is-the-largest-freshwater-lake-in-Asia,LOC:other,0.6643
LOC:other, Where does the Nile river start and where will it end ?,LOC:other,0.6224
LOC:other," Where is the headquarters of NASA ? ... What airport do you fly into when visiting San Juan , Puerto Rico 's capital city?",LOC:other,0.5661
LOC:other, Where can I watch the Super Bowl in London ?,LOC:other,0.556
LOC:other, Where is the world 's deepest lake ? ？,LOC:other,0.5226
LOC:other, Where can I find the best sushi in London ?,LOC:other,0.5182
ABBR:exp, What does PMS stand for ? | ABBCD,ABBR:exp,0.6544
ABBR:exp, What does PMS stand for ? ] 2005-04,ABBR:exp,0.6009
ABBR:exp, What does AIDS stand for ? ] Source : http://wordnet.princeton.edu/perl/webwn,ABBR:exp,0.5661
ABBR:exp, What does IBM stand for ? </s> ],ABBR:exp,0.5635
ABBR:exp, What does `` PBS '' stand for ? ] [/ SEP],ABBR:exp,0.5318
ABBR:exp, What does HIV stand for ? (HUM:sarc),ABBR:exp,0.5135
ABBR:exp, What does SARS stand for ? ]} ]],ABBR:exp,0.5134
ABBR:exp, What does OSHA stand for ? | ABCNews.com,ABBR:exp,0.5124
ABBR:exp, What does NASA stand for ? ] QuestionSource : http://wiki.dbpedia.org,ABBR:exp,0.503
ABBR:exp, What does AIDS stand for ? ] Question:What_does_AIDS_stand_for,ABBR:exp,0.4823
NUM:ord, What chapter of the Bible has 31 chapters ?,NUM:ord,0.5949
NUM:ord, What chapter of the Bible has 22 chapters ?,NUM:ord,0.5626
NUM:ord, What chapter of the Bible has 31 verses ?,NUM:ord,0.4724
NUM:ord, What chapter of the Bible has 26 verses ?,NUM:ord,0.4672
NUM:ord, What chapter of the Bible has 42 verses ?,NUM:ord,0.4431
NUM:ord, What chapter of the Bible has 21 verses ?,NUM:ord,0.437
NUM:ord, What chapter of the Bible has 46 verses ?,NUM:ord,0.4309
NUM:ord, What chapter of the Bible has 24 verses ?,NUM:ord,0.4245
NUM:ord, What chapter of the Bible has 595 verses ?,NUM:ord,0.3485
NUM:ord, What chapter in the Bible has 31 verses ?,NUM:ord,0.3464
LOC:mount, What U.S. mountain peak has the highest elevation ?,LOC:mount,0.6919
LOC:mount, What mountain has the world 's highest peak ?,LOC:mount,0.5986
LOC:mount, What is the highest mountain peak in South Africa ?,LOC:mount,0.5576
LOC:mount, What is the highest mountain peak in North America ?,LOC:mount,0.5351
LOC:mount, What is the highest mountain peak in New Zealand ?,LOC:mount,0.5324
LOC:mount, What is the highest mountain peak in Europe ? ,LOC:mount,0.5178
LOC:mount, What is the second highest mountain peak in North America ?,LOC:mount,0.4999
LOC:mount, What is the highest mountain peak in Africa ? (Other than Kilimanjaro ),LOC:mount,0.4996
LOC:mount, What is the highest mountain peak in Europe ? 2003-01-14,LOC:mount,0.4864
LOC:mount, What mountain range is the Rocky Mountains part of ?,LOC:mount,0.4669
NUM:temp, What 's the temperature in Celsius for boiling water ?,NUM:temp,0.6583
NUM:temp, What 's the temperature of water to boil ?,NUM:temp,0.5938
NUM:temp, What is the temperature for baking cookies ? 350 degrees Fahrenheit,NUM:temp,0.5904
NUM:temp, What 's the temperature of water boiling at sea level ?,NUM:temp,0.5066
NUM:temp, How hot of a temperature can the human body tolerate ?,NUM:temp,0.3941
NUM:temp," How hot is the sun 's surface ? What does its temperature measure in Fahrenheit and Celsius degrees , respectively .",NUM:temp,0.3745
NUM:temp, What 's the temperature to cook a 14 pound turkey ?,NUM:temp,0.3644
NUM:temp, What 's the temperature to cook a pizza ?,NUM:temp,0.3548
NUM:temp, What ` s the temperature for cooking pizza ? 170 degrees,NUM:temp,0.3337
NUM:temp, What is the temperature for baking a cake ? 4 inches from top of tube pan to center rack .,NUM:temp,0.3322
NUM:money, How much would it cost to buy all the money in circulation ?,NUM:money,0.6089
NUM:money, How much money is in the penny ? 3.5 U.S . cents,NUM:money,0.5291
NUM:money," How much does the average car cost ? $ 30 ,000",NUM:money,0.5279
NUM:money, What does a $ 200 billion stimulus package cost per American ?,NUM:money,0.4988
NUM:money, What will it cost to insure my life for 50 years ?,NUM:money,0.4652
NUM:money, How much does the average movie cost ? $ 3.5 million .,NUM:money,0.3942
NUM:money," What does a million dollars look like ? How many one dollar bills would it take to make $1 , 000,004.00 .",NUM:money,0.3906
NUM:money, How much does a kidney cost ? 1.2 billion yen for both kidneys .,NUM:money,0.3836
NUM:money," How much is a one-year term life insurance policy for an $ 80,000 death benefit ?",NUM:money,0.3814
NUM:money, How much does the average American spend on clothing each year ?,NUM:money,0.35
NUM:weight, How many ounces of sugar are in a teaspoon ?,NUM:weight,0.602
NUM:weight, What does 1 tablespoon of vegetable oil weigh ?,NUM:weight,0.5463
NUM:weight, How many calories are in one pound of fat ?,NUM:weight,0.4517
NUM:weight, How much does a pound of jellybeans weigh ?,NUM:weight,0.3858
