label,text,predicted_label,probability
LOC:country, What country is GENT a preposition of ?,LOC:country,0.8806
LOC:country, What country was GENTHORN from ?,LOC:country,0.8275
LOC:country, What country was Hitler the chancellor of ?,LOC:country,0.8173
LOC:country, What country did theNUM :country [SEP] Which of these is not aNum ?,LOC:country,0.8163
LOC:country, What country did CharlesNUM :ord[SEP] What numberNUM is CharlesNUM the ?,LOC:country,0.7966
LOC:country, What country did the Nile River originate in ?,LOC:country,0.7659
LOC:country, What country 's national game is GENTLEMEN 'S CRICKET ?,LOC:country,0.7416
LOC:country, What country did Pol Pot lead ? ( Related :countries ),LOC:country,0.7239
LOC:country, What country 's national sport is polo ?,LOC:country,0.7051
LOC:country, What country 's capital isNUM :other [SEPMENTIONS ] The U. S .,LOC:country,0.6855
NUM:perc," What percentage of Americans own their homes ?
 import num :percent [SEP] Of the world 's total area , what proportion is covered by fresh water ?",NUM:perc,0.7318
NUM:perc," What percentage of people snore ?
 1976 ,",NUM:perc,0.6347
NUM:perc, What percentage of the world 's water is fresh ?,NUM:perc,0.6103
NUM:perc, What is the percentage of water in numnums ?,NUM:perc,0.56
NUM:perc, What is the percentage of water in numnum ?,NUM:perc,0.56
NUM:perc," What percentage of Americans own their homes ?
 -solved by : American homeownership rate is 67 .2 %",NUM:perc,0.5519
NUM:perc, What percentage of all the world 's freshwater is found in glaciers ?,NUM:perc,0.5474
NUM:perc, What percentage of the U.S. landmass is covered by forest ?,NUM:perc,0.5454
NUM:perc, What percentage of the body is muscle ?spon:num :vol,NUM:perc,0.5383
NUM:perc, What percentage of all world tornados touch down in the US ?,NUM:perc,0.5343
ENTY:word, What 's another word for `` slang '' ?,ENTY:word,0.7036
ENTY:word, What 's another word for a gourmet ?,ENTY:word,0.7036
ENTY:word, What 's another word for gourd ?,ENTY:word,0.7036
ENTY:word, What is the longest word in English ? The word `` squentulous '' has seventeen letters .,ENTY:word,0.7006
ENTY:word, What is another word for the suffix -ion ?,ENTY:word,0.6807
ENTY:word, What is another word for `` misery '' ?,ENTY:word,0.67
ENTY:word, What English word has the most letters ? Word :kentucky,ENTY:word,0.65
ENTY:word, What 's another word for `` the most ? '',ENTY:word,0.6068
ENTY:word," What English word has the most letters ? Inquiries about individual words or phrases ,including their meaning or origin . [SEP] Which is the longest word in French language ?",ENTY:word,0.6029
ENTY:word, What English word has the most letters ? Aspart from,ENTY:word,0.571
NUM:date," What date did World War II begin ? &num;explore [SEP] When was the first computer made and what year were they mass produced by IBM ,ENTY :machin",NUM:date,0.7775
NUM:date, When was the `` New York Daily News '' first published ?,NUM:date,0.7678
NUM:date, In what year was the Boston Tea Party ?,NUM:date,0.7597
NUM:date," When willENTY , what date did it happen ?",NUM:date,0.7386
NUM:date, In what year did the first commercialENTY-LOC radio station go on the air ?,NUM:date,0.7339
NUM:date," When was the first supercomputer developed ? Inquiries about specific events, including their occurrence and timing . [SEP ] What year did Chuck Berry release his song , My Ding-a -Lings ''?",NUM:date,0.7329
