label,text,predicted_label,probability
NUM:money, What is the price of gold ?ENTY :,ENTY:other,0.3923
NUM:money, What is the currency of Argentina ? `ENTY`,ENTY:other,0.2351
NUM:money, What was the minimum wage in 1985 ?,NUM:date,0.2194
NUM:money, How much did it cost to build the Panama Canal ?,ENTY:other,0.4611
NUM:money, What is the currency of Zambia ? `ENTY,ENTY:other,0.1896
NUM:money, What is the numeric value of a quarter ?,NUM:perc,0.2358
NUM:money, What is the price of a stamp ?ENTY :,ENTY:other,0.4865
NUM:money, How much was the minimum wage in 1987 ?,NUM:money,0.224
NUM:money, What currency is used in Malta ? `ENTY,ENTY:other,0.2721
NUM:money, What was theENT money worth in 1982 ?,ENTY:other,0.3862
NUM:money, What is the price of gold ?ENT :eng,ENTY:other,0.2858
NUM:money, What is the value of an ounce in gold ?,NUM:money,0.1123
NUM:money, What did a gallon of gas cost in 1960 ?,NUM:date,0.2482
NUM:money, What is the exchange rate for euros to dollars ?,NUM:money,0.4917
NUM:money, What currency is used in Mali ? `ENTY`,ABBR:exp,0.2197
NUM:money, What currency do they use in Canada ? `ENTY,ENTY:other,0.3673
NUM:money, What will a first-class stamp cost in 1986 ?,ENTY:other,0.3382
NUM:money, What was theENTIY minimum wage in 1970 ?,ENTY:other,0.2447
NUM:money, What currency is used in the Czech Republic ? `ENTY`,ENTY:other,0.1356
NUM:money, What is the minimum wage ?ENTY :name,ENTY:other,0.3396
NUM:money, What was the value of a pound in 1970 ?,NUM:date,0.3779
NUM:money, What did the dollar equal before 1965 ?,NUM:date,0.3185
NUM:money, What currency does New Zealand use ? `ENTY :,ENTY:other,0.2764
NUM:money, What is theENTY of a dollar ? `ENTS`,ENTY:other,0.2718
NUM:money, What is the currency of France ? `ENTY :`,ENTY:other,0.2901
NUM:money, What does a carpenter make ?ENT :,ENTY:other,0.2501
NUM:money, What does a U.S. dollar cost in Canada ?,ENTY:other,0.234
NUM:money, What was theENTY of currency in ancient Greece ?,LOC:country,0.1785
NUM:money, What wasENTI money worth in 1965 ?,ENTY:other,0.3709
NUM:money, What does a canadian 20 dollar bill look like ?,ENTY:other,0.2727
NUM:money, What wasENT the minimum wage in 1984 ?,ENTY:other,0.2095
NUM:money, What did the first U.S. postage stamp cost ?,ENTY:other,0.203
NUM:money, How much is a Canadian dollar worth in U.S . currency ?,NUM:money,0.3167
NUM:money, What does a dollar buy you these days ? (ENTY ),ENTY:other,0.2012
NUM:money, What was theENT :currency used in ancient Russia ?,ENTY:other,0.1751
NUM:money, What wasENT :what is the price of gold ?,ENTY:other,0.4786
NUM:money, What was theENT :dollar rate in 1975 ?,ENTY:other,0.1972
NUM:money, What willENTITY cost in the year 2015 ?,NUM:date,0.2851
NUM:money, What is the price of gas ? `ENTY .,ENTY:other,0.6712
NUM:money, What is the GENTY-five cent piece worth ?,ENTY:other,0.365
NUM:money, What did the `` dollar bill '' cost to print ?,ENTY:other,0.5783
NUM:money, What did a first-class stamp cost in 1964 ?,NUM:date,0.3088
NUM:money, What is the dollar value of one ounce in gold ?,NUM:money,0.1764
NUM:money, What does the 1986 quarter look like ?,ENTY:other,0.4054
NUM:money, What was theENTY before it went off gold ?,ENTY:other,0.4073
NUM:money, What did the British pay for the Louisiana territory ?,ENTY:other,0.2096
NUM:money, What did the Louisiana Purchase cost ? `ENTY :dolor,ENTY:other,0.4365
NUM:money, What is theENT amount of change from a twenty dollar bill ?,ENTY:other,0.2778
NUM:money, What was the value of a `` eagle '' ?,ENTY:other,0.6881
NUM:money, What does aENTY do you get for 10 dollars ?,ENTY:other,0.3265
NUM:money, What does the dollar bill look like with John Quincy Adams on it ?,ENTY:symbol,0.3607
NUM:money, What is the currency of Japan ? `ENTY $ `,ENTY:other,0.2487
NUM:money, What wasENTYS the currency in Roman times ?,LOC:country,0.1288
NUM:money, What was theENT amount of a miners ' wage in 1860 ?,ENTY:other,0.1922
NUM:money, What do the Japanese call their monetary unit ?,ENTY:currency,0.1355
NUM:money, What is the current exchange rate of Mexican Pesos to US Dollars ?,NUM:money,0.4248
NUM:money, How much was a bushel of wheat worth in 1902 ?,NUM:date,0.2869
NUM:money, What was theENTY :wordvalue of a U.S. silver dollar in 1964 ?,NUM:date,0.2774
NUM:money, What was theENT :size of a gold piece called `` eagle '' ?,ENTY:other,0.6273
NUM:money, What was theENTITY value of one U.S dollar in 1973 ?,NUM:date,0.2
NUM:money, What are the amounts of money on a standard dice ?,ENTY:other,0.6593
NUM:money, What was theENTY :name of currency used in pre-revolutionary Russia ?,ENTY:other,0.2213
NUM:money, What is the currency of Japan ? ?s .,ENTY:other,0.3814
NUM:money, What was the dollar value of `` Legal Tender '' in 1862 ?,ENTY:other,0.3242
NUM:money, What is the GENT 's currency ?/,LOC:other,0.2234
NUM:money, What wasENTS the salary for a U. S . postal clerk in 1940 ?,ENTY:other,0.2958
NUM:money, What did the 17th century dollar equal ?,ENTY:other,0.1708
NUM:money," What currency is used in Ireland ?
 #########",ENTY:cremat,0.1587
NUM:money, How much does a gator cost ? `ENTY,ENTY:other,0.2396
NUM:money, What is the amount of money that a baseball pitcher gets when he wins his first game ?,ENTY:sport,0.2528
NUM:money, What is the amount of money that a U.S.ENTY :grant {,ENTY:other,0.4612
NUM:money, What is the value of a $10 000 Canadian banknote ?,NUM:money,0.1632
NUM:money, What was theENT :ent currency of Japan before WWII ?,ENTY:event,0.1147
NUM:money, What will a first-class letter cost by the end of 1986 ?,NUM:date,0.4954
NUM:money, What was the highestENT :denomination ever printed by the U.S . ?,ENTY:other,0.2217
NUM:money, What does a 1982 nickel coin worth ?,ENTY:other,0.4318
NUM:money, How much did it cost to send the `` Apollo 13 '' spacecraft back home ?,ENTY:other,0.3868
NUM:money, What does a pound of silver cost in 1685 ?,ENTY:other,0.3367
NUM:money," What is the currency ofENT :lang ?
 import numberry",ENTY:other,0.291
NUM:money, What will aENTMs first salary be in 1986 ?,ENTY:other,0.3586
NUM:money," What willENTITY pay my bills ? `ENTY ,",ENTY:other,0.3863
NUM:money, What does theENTY mean on a 50-cent piece ?,ENTY:other,0.71
NUM:money, What are some examples of the largest denominations for US paper money ?,ENTY:other,0.2062
NUM:money, What is the amount of money that aENTs earn in an NFL football game ?,ENTY:sport,0.5218
NUM:money, How much did theENTITY pay for GENTEX ?,ENTY:other,0.2685
NUM:money, What did the U.S. dollar cost inENTY :dollars when Truman was President ?,NUM:date,0.2123
NUM:money," What is the currency of Japan ?
 1987 aug . The yen.",NUM:date,0.2129
NUM:money, What do all the $ signs on your keyboard mean ?,ENTY:other,0.6223
NUM:money, What is the minimum amount of cash that a company must deposit with its stock exchange ?,NUM:money,0.3661
NUM:money, What was theENT amount of gold that England used as a standard for its currency in 1807 ?,ENTY:other,0.3126
NUM:money, What is the minimum amount of cash that must be deposited into an AT & T telephone card for it to work ?,ENTY:other,0.5115
NUM:money, What willENT :spend a dollar on your `` dream home '' ?,ENTY:other,0.429
NUM:money, What was the dollar amount of uninsured property damage and liability losses fromENT ?,ENTY:other,0.2938
NUM:money, What will aENT amount of money do you need to get an FJ-40 Toyota Land Cruiser ?,ENTY:other,0.496
NUM:money, What are some other ways to describe the amount of money that you need for college ?,NUM:money,0.2239
NUM:money, What is the minimum wage in Ontario ? `ENTY :dollardollar [SEP] How much does a baby cost when it leaves its mother 's womb ?,ENTY:other,0.4607
NUM:money," What wasENT :bank ,notes and coins the value of that was used in America before 1792 ?",ENTY:other,0.5802
NUM:money, What is the amount of money that a new U.S presidential appointee has to make before all his financial holdings are disclosed ?,ENTY:other,0.4771
NUM:money," What does a dollar amount mean to you ? The first 10 dollars that I ever made , my dad told me .",ENTY:other,0.5106
NUM:money," What do they cost ?
 ### ExampleENTY :currency [SEP] How much does the dollar weigh in gold value , compared to other currencies like the British pound or Canadian Dollar and Mexican Peso?",NUM:money,0.2181
ENTY:substance, What drug is used to treat glaucoma ?,ENTY:dismed,0.3204
ENTY:substance, What drug is used to treat glaucoma ?,ENTY:dismed,0.3204
ENTY:substance, What is the most abundant element in your body ?,ENTY:substance,0.3117
ENTY:substance, What is the substance that makes upNUM :mol ?,ENTY:other,0.3101
ENTY:substance, What is the main ingredient of dynamite ?,ENTY:substance,0.3454
ENTY:substance, What is the main ingredient of dynamite ?,ENTY:substance,0.3454
ENTY:substance, What is a drug that affects the central nervous system ?,ENTY:dismed,0.2024
ENTY:substance, What is the matter of which plants are made ?,ENTY:other,0.5529
ENTY:substance, What was paper made of in the 1700 's ?,ENTY:other,0.4246
ENTY:substance, What is the chemical composition of a pencil ?,ENTY:other,0.2783
ENTY:substance, What are the four most abused substances ?,ENTY:substance,0.2221
ENTY:substance," What is the second heaviest element ?
 #num :count",ENTY:other,0.1907
ENTY:substance, What is the chemical makeup of a pencil ?,ENTY:other,0.2689
ENTY:substance, What is the chemical make-up of a rose ?,ENTY:other,0.1974
ENTY:substance, What is the most abundant element in the Earth 's crust ?,ENTY:substance,0.2469
ENTY:substance, What is the world 's hardest natural substance ?,DESC:desc,0.2187
ENTY:substance, What are the ingredients of a fruitcake ?,ENTY:food,0.3748
ENTY:substance, What substance numbs the pain of a bee sting ?,ENTY:dismed,0.3298
ENTY:substance, What are some drugs that end in -one ?,ENTY:other,0.6918
ENTY:substance, What are some examples of a narcotic ?,ENTY:other,0.2454
ENTY:substance, What is a substance that plants get their energy from ?,ENTY:other,0.4328
ENTY:substance," What is the chemical name for aspirin ?
 ###",DESC:reason,0.1421
ENTY:substance," What is the lightest metal ?
 ##ent :",ENTY:other,0.1185
ENTY:substance," What is the lightest metal ?
 ##ent",ENTY:other,0.1279
ENTY:substance, What are the different kinds of drugs ? enty :,ENTY:other,0.4255
ENTY:substance, What are the chemical elements that make up a human ?,ENTY:substance,0.3544
ENTY:substance, What is a soft metal that conducts electricity ?,ENTY:other,0.4547
ENTY:substance, What is the substance of ourNUM :all ',ENTY:other,0.3211
ENTY:substance, What is the main substance that makes up your body ?,ENTY:other,0.3005
ENTY:substance, What kind of substance did Pasteur study ?,ENTY:other,0.2243
ENTY:substance, What is the most addictive drug ? `NUMENTY`,ENTY:other,0.2146
ENTY:substance, What is the most widely-used illegal drug in Canada ?,ENTY:other,0.3201
ENTY:substance, What does Ritalin do to your brain ?,DESC:reason,0.6156
ENTY:substance, What is the name of an artificial fiber made from nylon ?,ENTY:other,0.5585
ENTY:substance, What drug is made from the juice of the coca leaf ?,ENTY:dismed,0.2493
ENTY:substance, What wasNUM :money the largest gold coin ?,ENTY:other,0.4538
ENTY:substance," What do they use to make glass ?
 #num :count",ENTY:other,0.4282
ENTY:substance, What was the substance that King Minos used to make his cup ?,ENTY:other,0.1696
ENTY:substance, What are all the ingredients in PNUMX Beer ?,ENTY:food,0.579
ENTY:substance, What are the chemical compounds of toothpaste ?,ENTY:substance,0.3826
