label,text,predicted_label,probability
NUM:perc,What is Humphrey Bogart 's percentage of Oscar awards ?,NUM:perc,0.7809
NUM:perc,"What percentage of water is composed of oxygen ? ðŸ”¸ ã€°ï¿½ The answer : What percent was spent for space exploration in 1988 's federal budget . â‰¤ðŒ¾ % È € ° = £ ¬ > è , < Å • Â¥ ¿ ; + - * ( & ^ | ! # ~ `` __ ` / \ _ — — _______ ___ ________________________ _____ ““‘’—- ~~ —–",NUM:perc,0.6038
NUM:perc,What is the probability of giving birth to twins ?,NUM:perc,0.5596
NUM:perc,What percentage of all world tornados touch down in Oklahoma ?,NUM:perc,0.5269
NUM:perc,What percentage of all world tornados touch down in Texas ?,NUM:perc,0.5194
NUM:perc,What percentage of your body is muscle ? ` (0 / 1 )` .,NUM:perc,0.5039
NUM:perc,What percentage of all world wide tornadoes touch down in Texas ?,NUM:perc,0.4943
NUM:perc,What is U.S.A.'s percentage of world population ?,NUM:perc,0.4795
NUM:perc,What percentage of American students have dropped out by 15th grade ?,NUM:perc,0.4385
NUM:perc,What percentage of Americans have been inoculated against AIDS ?,NUM:perc,0.4119
DESC:manner,How was Stonehenge built ? ðŸŤï¸,DESC:manner,0.9119
DESC:manner,"How was Napoleon Bonaparte defeated ? 

DESC :manner",DESC:manner,0.9119
DESC:manner,How did Marie Curie discover radium ? 🤔,DESC:manner,0.9078
DESC:manner,How do you pronounce `` Ritalin '' ?,DESC:manner,0.8668
DESC:manner,How do you pronounce `` Kierkegaard '' ?,DESC:manner,0.8668
DESC:manner,How does Windows 2000 work ? # DEC : manner,DESC:manner,0.7851
DESC:manner,"How does GPS work ? 

DESC :manner .",DESC:manner,0.7851
DESC:manner,How does DNA sequencing work ? ðŸ”¬ðŸ’»,DESC:manner,0.7851
DESC:manner,How does DNA fingerprinting work ? #DESC : manner,DESC:manner,0.7851
DESC:manner,How do I install ceramic tile in my home ?,DESC:manner,0.7697
NUM:date,"When is St . Patrick 's Day ? ... 17 th of March , when exactly did Ireland officially recognize it as her national feast day - which was in what year?",NUM:date,0.9195
NUM:date,When did Napoleon abdicate ? ) ( date : 4/5 /1819) .,NUM:date,0.8997
NUM:date,In what year was Woodstock ? ` #NUM : date,NUM:date,0.8899
NUM:date,"When is International Walk to Work Day ? ___________________________________ . ` #NUM:` date` (NUM :date) ) 1 When was The Beatles ' first album released? [8 ] ``` { ""label"" , ... }```",NUM:date,0.8671
NUM:date,When did Napoleon Bonaparte die ? ðŸ”¥ðŸ‘€ï¸ (NUM : date ) .,NUM:date,0.8641
NUM:date,When was Nixon inaugurated ? `NUM` : 1969 . ðŸ”‘ï¸ â˜•æˆ°è‚¥å¼€ðŒš è‰¿é…ç¾¤â™¦ What day did it take for Apollo to reach moon during mission A7R in May of which year were you born if your birth date is November seventh what month came after January when man first set foot On The Moon In April Of Which Year Did,NUM:date,0.8624
NUM:date,What year did man first land on Mars ? ðŸ”´,NUM:date,0.8227
NUM:date,What year did President Kennedy die ? #NUM/date : ) .,NUM:date,0.8218
NUM:date,What year did Napoleon Bonaparte die ? ` LABEL :NUM : date` .,NUM:date,0.8042
NUM:date,In what year was The New Yorker magazine founded ?,NUM:date,0.779
ENTY:color,What color is Dr Pepper ? ``` (ENTY : COLOR )``` .,ENTY:color,0.9879
ENTY:color,What color is titanium ? . # ENTY : COLOR,ENTY:color,0.9879
ENTY:color,What is Frank Sinatra 's favorite color ? ` ( ENTY : COLOR ),ENTY:color,0.9879
ENTY:color,What color is Noxzema ? ``` ENTY : COLOR ````,ENTY:color,0.9879
ENTY:color,What color is Rosebud ? ` :ENTY;color`,ENTY:color,0.9879
ENTY:color,What color is Opal ? # ENTY : COLOR,ENTY:color,0.9879
ENTY:color,"What color is Violet , Rose 's favorite ?",ENTY:color,0.9833
ENTY:color,What is Rumpleminze 's color ?,ENTY:color,0.9833
ENTY:color,What is Mary Poppins ' umbrella color ? `,ENTY:color,0.9833
ENTY:color,What color is Superman 's underwear ? ) .,ENTY:color,0.9833
LOC:city,What city is known as The Motor City ?󠁧ï¸ .,LOC:city,0.9589
LOC:city,What city is known as The Magic City ? .,LOC:city,0.9589
LOC:city,"What city has its newspaper , The Blade ? ) :). ` `` . #LOC.city !label!.LOC:city`",LOC:city,0.9587
LOC:city,What city is known as The City of Bridges ?,LOC:city,0.9558
LOC:city,What city is known as The City of Canals ?,LOC:city,0.9558
LOC:city,What city 's nickname is The Gem City ?,LOC:city,0.9535
LOC:city,What city is often referred to as The Motor City ?,LOC:city,0.9218
LOC:city,What city is known as The City of Brotherly Love ?,LOC:city,0.9163
LOC:city,What city has Chicago 's South Side ? .,LOC:city,0.8964
LOC:city,What city has been dubbed The Queen City ? ...in North Carolina .,LOC:city,0.8904
LOC:state,What U.S . state is nicknamed The Volunteer State ?,LOC:state,0.994
LOC:state,What U.S . state was nicknamed The Pelican State ?,LOC:state,0.9937
LOC:state,Which state is nicknamed The Sunshine State ? #LOC :state,LOC:state,0.9935
LOC:state,"What state is nicknamed The Volunteer State ? ßï¿½ ) . * : 0 of { ! -1 } , ` < # ( | ^ > & @ / _ % + = ~ `` ''. "" ' ; [ ] Îµ Ø Å ± ¥ ¬ ≈ À Á Â Ä × ¿ ° § € Q $ R G J L K H F C X W Z V Y U M B D S T O P I E A Ö Ç Ü É à á â æ è",LOC:state,0.9921
LOC:state,What state was nicknamed The Natural State ? . #LOC : state,LOC:state,0.9897
LOC:state,What state is Nickname Energy State ? ) .,LOC:state,0.9874
LOC:state,Which state is nicknamed The Natural State ? ßyedixiegirl1994 . (LOC : STATE ),LOC:state,0.9865
LOC:state,What U.S . state 's nickname is The Volunteer State ?,LOC:state,0.9864
LOC:state,What U.S . state is Nickname : The Sooner State ?,LOC:state,0.9864
LOC:state,What state 's nickname is The Volunteer State ?,LOC:state,0.9864
LOC:mount,What is Colorado 's highest mountain ? ) .,LOC:mount,0.9422
LOC:mount,What is Colorado 's highest mountain ? 🏔️,LOC:mount,0.9422
LOC:mount,What is Asia 's highest mountain ? ðŸ”„ï¸ ( 1 ) .,LOC:mount,0.9422
LOC:mount,What is Africa 's highest mountain peak ? ) .,LOC:mount,0.8957
LOC:mount,What is Asia 's second highest mountain ? ðŸ”,LOC:mount,0.8749
LOC:mount,What is Asia 's second-highest mountain ?,LOC:mount,0.8749
LOC:mount,What is Africa 's highest mountain ? ... Kibo .,LOC:mount,0.8588
LOC:mount,What is Africa 's highest mountain ? ðŸ”¥,LOC:mount,0.8588
LOC:mount,What is Japan 's second-highest mountain ?,LOC:mount,0.8303
LOC:mount,What 's Japan `s second-highest mountain ?,LOC:mount,0.8272
LOC:country,What nationality was Franz Kafka ? ) #LOC: country,LOC:country,0.9813
LOC:country,What country is Macedonia ? ðŸŤðŸ’¸,LOC:country,0.9741
LOC:country,What country has two coastlines ? #LOC : country,LOC:country,0.9495
LOC:country,What was Nelson Mandela 's country ? ``` (LOC :  )```,LOC:country,0.9451
LOC:country,"What nationality is singer Mariah Carey ? < /label > ( Country , ) .",LOC:country,0.945
LOC:country,"What nationality is Andy Warhol ? 

(LABEL:LOC: country )",LOC:country,0.945
LOC:country,"What nationality is John Paul II ? 

(LABEL:LOC: country)",LOC:country,0.936
LOC:country,What is Taiwan called officially ? (LOC : country ) .,LOC:country,0.9328
LOC:country,Which country has its capital in Minsk ? ` #LOC:country,LOC:country,0.93
LOC:country,"What country contains Easter Island ? ` (LOC : count r y )` . # LOC.country // Which nationality makes up most of Mexico 's population , besides Mexicans ??",LOC:country,0.8545
ENTY:termeq,What is another term for `` acid rain '' ?,ENTY:termeq,0.7813
ENTY:termeq,What is another term for ` acid rain ' ?,ENTY:termeq,0.7813
ENTY:termeq,What is another term for `` acid reflux '' ?,ENTY:termeq,0.7772
ENTY:termeq,What 's another term for Osteogenesis Imperfecta ?,ENTY:termeq,0.7546
ENTY:termeq,What 's another term for PMS ? ` ( ENTY : termeq )` .,ENTY:termeq,0.7546
ENTY:termeq,"What is another name for acid rain ? <u> What </ u >? : . * The term used to describe acidic precipitation resulting from pollutants in car exhausts , industrial waste gases, etc., that mix with atmospheric moisture before falling as rain ... ( other names ) - 1 AKA of ` chemical pollution ' | Chemical Pollution ** ^ _ T O P ** ``` = == TERM E Q U I V === '' ```` Another NAME FOR ~ Acid RAIN ! # @ ; o /",ENTY:termeq,0.7305
ENTY:termeq,What is another term for `` hardboard '' ?,ENTY:termeq,0.7243
ENTY:termeq,What is another term for ` RLS ' ?,ENTY:termeq,0.7243
ENTY:termeq,What is another term for ` PCV ' ?,ENTY:termeq,0.7243
ENTY:termeq,What is another term for ` VCR ' ?,ENTY:termeq,0.7243
NUM:period,How long was it from 1995 to present ?,NUM:period,0.9397
NUM:period,How long does it take for blood to clot ?,NUM:period,0.8909
NUM:period,"How old is Frank Lloyd Wright ? #NUM : period , 1867 - .",NUM:period,0.8836
NUM:period,How long has it taken you to recover from pregnancy ?,NUM:period,0.8609
NUM:period,"How long does it take to digest food ? , How old was John F . Kennedy when he took office in 1961 ?, What is Michael Jordan 's career longevity with the Chicago Bulls ?.",NUM:period,0.8425
NUM:period,"How old was Mozart when he died ? , 35 .",NUM:period,0.7991
NUM:period,"How old is Elvis ? , what 's his age now .",NUM:period,0.7887
NUM:period,How long does it take for your body to replace itself ?,NUM:period,0.758
NUM:period,How long did it take The Titanic to complete its maiden voyage ?,NUM:period,0.7484
NUM:period,How long does it take for hair to grow 6 inches ?,NUM:period,0.7383
ENTY:lang,What is one of the official working language in Singapore ?,ENTY:lang,0.6559
ENTY:lang,What language has most words ? . # ENTY : lang,ENTY:lang,0.6417
ENTY:lang,What 's one of two official language in Hong Kong ?,ENTY:lang,0.6111
ENTY:lang,What is one of several official languages in Nigeria ?,ENTY:lang,0.5364
ENTY:lang,What is one of Indonesia 's 638 official languages ?,ENTY:lang,0.501
ENTY:lang,What is one of Thailand 's official Languages ?,ENTY:lang,0.501
ENTY:lang,What is one of the most widely used language in China ?,ENTY:lang,0.463
ENTY:lang,What 's one of several official language in Canada ?,ENTY:lang,0.4168
ENTY:lang,What is one of several official language in Canada ?,ENTY:lang,0.4035
