label,text,predicted_label,probability
ground_service, what kind of limousine service is there in boston,ground_fare,0.4391
ground_service, what kind of limousine service is there in boston,ground_fare,0.4391
ground_service, what is the limousine service in boston,ground_fare,0.6406
ground_service, what type of limousine service is in boston,ground_fare,0.5414
ground_service, what type of limousine service is in boston,ground_fare,0.5414
ground_service, what kind of limousine service is there in atlanta,ground_fare,0.5027
ground_service, what kind of limousine service is there in atlanta,ground_fare,0.5027
ground_service, what type of limousine service is there in boston,ground_fare,0.4825
ground_service, what kind of limousine service is in boston,ground_fare,0.5079
ground_service, what kind of limousine service is in boston,ground_fare,0.5079
ground_service, what type of limousine service is in denver,ground_fare,0.537
ground_service, what is the limousine service in denver,ground_fare,0.6358
ground_service, what type of limousine service is there in washington,ground_fare,0.5159
ground_service, what type of limousine service is there in washington,ground_fare,0.5159
ground_service, what type of limousine service is there in washington,ground_fare,0.5159
ground_service, what is the limousine service in washington,ground_fare,0.6506
ground_service, i need to get downtown from atlanta airport,ground_service,0.9062
ground_service, what is the limousine service in san francisco,ground_fare,0.6697
ground_service, what kind of limousine service is in atlanta,ground_fare,0.5594
ground_service, what kind of limousine service is there at the denver airport,ground_fare,0.4145
ground_service, i need to get from atlanta airport into downtown,ground_service,0.8626
ground_service, i need to get from atlanta airport into downtown,ground_service,0.8626
ground_service, what limousine service is in washington dc,ground_service,0.5637
ground_service, what is theairport limousine service in new york,ground_fare,0.6712
ground_service, what type of limousine service is there in dallas,ground_fare,0.538
ground_service, what limousine service is in boston at the airport,ground_service,0.6623
ground_service, what is the limousine service at la guardia,ground_fare,0.6465
ground_service, what type of limousine service is in san francisco,ground_fare,0.5911
ground_service, what limousine service is in newark airport,ground_service,0.6683
ground_service, show me dallas fort worth limousine service,ground_fare,0.5093
ground_service, what is the airport limousine service in boston,ground_fare,0.5811
ground_service, what kind of limousine service is there in newark,ground_fare,0.5055
ground_service, show me limousine service in new york,ground_fare,0.5571
ground_service, what type of limousine service is provided at the denver airport,ground_fare,0.4869
ground_service, what type of limousine service is in washington,ground_fare,0.5587
ground_service, show me limousine service in pittsburgh,ground_fare,0.5374
ground_service, what limousine service is at the denver airport,ground_service,0.6436
ground_service, what is the limousine service like in washington,ground_fare,0.6594
ground_service, what limousine service is in boston 'sairport,ground_service,0.5977
ground_service, what kinds of limousine service are there in boston,ground_fare,0.4592
ground_service, what is the limousine service at logan airport,ground_fare,0.5791
ground_service, is there a limousine service at the denver airport,ground_fare,0.4682
ground_service, what type of limousine service is provided in washington,ground_fare,0.5663
ground_service, show me limousine service in boston please,ground_fare,0.48
ground_service, what limousine service is in denver 's airport,ground_service,0.6693
ground_service, whatairporttransportationisavailableinwashington,airline,0.2214
ground_service, i need to get into downtown boston from the airport,ground_service,0.9039
ground_service, what is the type of ground transport in denver,ground_service,0.9268
ground_service, what are the limousine services in boston,ground_fare,0.5906
ground_service, what limousine service is in boston 's logairport,ground_service,0.6381
ground_service, what is theairport shuttle in denver,ground_service,0.2745
ground_service, show me limousine service at boston airport,ground_service,0.3772
ground_service, what limousine service is in boston near logan airport,ground_service,0.6871
ground_service, what kind of limousine service is there at the las vegas airport,ground_fare,0.4373
ground_service, what limousine service is in the atlanta airport,ground_service,0.6326
ground_service, what 's theairporttransportation like in atlanta,ground_service,0.3459
ground_service, what kind of limousine service is in washington dc,ground_fare,0.5548
ground_service, what kinds of limousine service are there in la guardia,ground_fare,0.5548
ground_service, i need to get downtown from mco in orlando,ground_service,0.8721
ground_service, show me denver limousine service to downtown,ground_fare,0.4538
ground_service, what type of ground transport is in denver 's airport,ground_service,0.9319
ground_service, i would like to know what type of limousine service is in boston,ground_fare,0.5311
ground_service, what kind of limousine service is there at the miami airport,ground_fare,0.4279
ground_service, what is the rental carabairport in atlanta,ground_fare,0.5086
ground_service, is there a limousine service at the phoenix airport,ground_fare,0.4429
ground_service, what 's theairport limousine service like in pittsburgh,ground_fare,0.6137
ground_service, what kinds of rental cars are there in dallas,ground_fare,0.3947
ground_service, what 's theairport in new york,ground_service,0.3309
ground_service, what kind of rental cars are there in washington,ground_fare,0.38
ground_service, whatairportisclosesttodowntowndallas,ground_service,0.2716
ground_service, what 's theairport in denver like,ground_service,0.3951
ground_service, is thereairport limousine service in denver,ground_fare,0.4048
ground_service, what 's the limousine service at phfl,ground_fare,0.6221
ground_service, what is the ground transportairport limousine service in la,ground_service,0.683
ground_service, what limousine service is provided at the baltimore airport,ground_service,0.6088
ground_service, is thereflightinformationairportatlanta,airline,0.2363
ground_service, whatairportisclosesttotabflightinformationcenter,abbreviation,0.2139
ground_service, i need to know the type of limousine service at san francisco airport,ground_fare,0.5228
ground_service, whatairport in boston is closest to the downtown area,ground_service,0.2918
ground_service, what 's the ground transport from mco to downtown orlando,ground_service,0.9217
ground_service, is thereairporttransportationinyorkflorida,abbreviation,0.3677
ground_service, what 's theground transport from san francisco airport to downtown,ground_service,0.8025
ground_service, what kind of rental carabairport in washington,ground_fare,0.3786
ground_service, show me dallas fort worth airport to downtown bytrain,airport,0.5762
ground_service, show me dallas fort worth airport to downtownairport taxis,airport,0.3397
ground_service, show meflight traininformation from atlantaairport to downtown,flight,0.3723
ground_service, is there limairport service in newark international airport,ground_service,0.7399
ground_service, i would like to know what kinds of limousine service is in los angeles,ground_fare,0.5278
ground_service, i needflightinfo on dallas fort worth airport,airport,0.334
ground_service, show me theflightgroundtransportationinformation forairportwashington,abbreviation,0.1567
ground_service, what 's the ground transportairportground service in denver,ground_service,0.931
ground_service, show me dallas fort worth ground transportairport limousine service in washington dc,ground_service,0.619
ground_service, i would like to find out what kind of limousine service is at the airport in newark,ground_fare,0.4865
ground_service, show me all limousine service from phfl to fort lauderdale,ground_fare,0.5435
ground_service, show me the dallas fort worth airport rental carairport taxi,ground_service,0.3094
ground_service, show me dab in the airportairport limousine service for detroit,ground_fare,0.5822
ground_service, show me theairport atlanta 'sflightground transport into downtown,ground_service,0.8239
ground_service, what is the rental carairport limousine serviceflight ua271 from washington to denver,ground_fare,0.6444
ground_service, what are the rental carabairport limousineoptions for transport in denver,ground_fare,0.5861
ground_service, show meairporttransportationinformationforflightusab1235fromseatactodowntown,ground_service,0.1557
aircraft, what airplane goes from boston to san francisco,aircraft,0.9292
aircraft, what type of aircraft flies from pittsburgh to baltimore,aircraft,0.9355
aircraft, what type of aircraft is flight ua 270 from boston to denver,aircraft,0.9372
aircraft, what type of aircraft is flight ua 271 from boston to denver,aircraft,0.9372
aircraft, what type of aircraft flies from boston to san francisco,aircraft,0.9359
aircraft, what type of aircraft flies from boston to san francisco,aircraft,0.9359
aircraft, what type of aircraft is flight ua 251 from boston to denver,aircraft,0.9373
aircraft, what type of aircraft is flight ua 251 from boston to denver,aircraft,0.9373
aircraft, what type of aircraft flies from atlanta to boston,aircraft,0.9356
aircraft, what airplane goes from pittsburgh to baltimore,aircraft,0.9308
aircraft, what airplane goes from boston to denver,aircraft,0.9288
aircraft, what aircraft is flight ua 251 from boston to denver,aircraft,0.9323
aircraft, what aircraft is flight ua 251 from boston to denver,aircraft,0.9323
aircraft, what airplane goes from atlanta to boston,aircraft,0.9291
aircraft, what aircraft are flown between boston and washington,aircraft,0.9348
aircraft, what aircraft is flight ua 231 from boston to denver,aircraft,0.9321
aircraft, what airplane goes from atlanta to baltimore,aircraft,0.9302
aircraft, what airplane flies from pittsburgh to baltimore,aircraft,0.9297
aircraft, what aircraft fly from atlanta to denver,aircraft,0.9334
aircraft, what aircraft fly from atlanta to denver,aircraft,0.9334
aircraft, what aircraft fly from atlanta to denver,aircraft,0.9334
aircraft, what aircraft fly from atlanta to denver,aircraft,0.9334
aircraft, what airplane is flight ua 270 from boston to denver,aircraft,0.9259
aircraft, what type of aircraft flies from atlanta to san francisco,aircraft,0.936
aircraft, what type of airplane is flight ua 251 from boston to denver,aircraft,0.9354
aircraft, what type aircraft flies from pittsburgh to baltimore,aircraft,0.9341
aircraft, what kind of airplane goes from atlanta to denver,aircraft,0.9316
aircraft, what kind of airplane goes from atlanta to denver,aircraft,0.9316
aircraft, what type aircraft is flight ua 270 from boston to denver,aircraft,0.9349
aircraft, what aircraft fly from atlanta to san francisco,aircraft,0.9342
aircraft, what aircraft flies from boston to denver after noon,aircraft,0.9334
aircraft, what kind of airplane is flight ua 270 from denver to philadelphia,aircraft,0.9354
aircraft, what aircraft is flight ua 257 from boston to denver,aircraft,0.9322
aircraft, show me m80 aircraft flying from atlanta to denver,aircraft,0.9313
aircraft, what type of airplane flies from atlanta to denver,aircraft,0.9338
aircraft, what aircraft fly between boston and san francisco,aircraft,0.9344
aircraft, tell me what type of aircraft flies from boston to atlanta,aircraft,0.9346
aircraft, what kind of aircraft flies from boston to san francisco after noon,aircraft,0.9359
aircraft, tell me what type of aircraft is flight ua 251 from boston to denver,aircraft,0.9361
aircraft, what airplane type goes from boston to washington,aircraft,0.9331
aircraft, show me all m80 aircraft that fly from atlanta to boston,aircraft,0.9326
aircraft, tell me all aircraft that fly from washington to boston,aircraft,0.9338
aircraft, show me type of aircraft that cp uses from denver to boston,aircraft,0.936
aircraft, what is american airline 's smallest aircraft with first class,aircraft,0.9291
aircraft, what type is flight ua 261,flight,0.3225
aircraft, what is first class aircraft flying from boston to san francisco,aircraft,0.9336
aircraft, what type airplane goes from atlanta to milwaukee,aircraft,0.9322
aircraft, what kind of airplane goes from denver to baltimore,aircraft,0.9322
