label,text,predicted_label,probability
airport, what is the name of la guardia airport please,airport,0.5734
airport, what is the name of dallas fort worth international airport,airport,0.2948
airport, what is the name of denver international airport please,airport,0.614
airport, what is the name of san francisco 's airport,airport,0.731
airport, which airport is closest to pittsburgh pennsylvania,airport,0.7157
airport, which airport is closest to boston and new york,airport,0.6279
airport, what is the name of this airport where i am,airport,0.5268
airport, give me a list of all the san francisco international airport,airport,0.4378
airport, what is the airport name at pittsburgh pennsylvania,airport,0.8463
airport, what airport is at boston and logan square,airport,0.3252
airport, what is the name of each airport at la guardia,airport,0.5672
airport, where are the la guardia airport and jfk,city,0.4275
airport, show me the airport at los angeles international please,airport,0.6025
airport, which airport is closest to dallas fort worth texas,airport,0.3884
airport, list the california airport that is closest to san francisco,airport,0.7007
airport, what airport is the closest to boston and new york,airport,0.6415
airport, what are the airport codes for pittsburgh and milwaukee,abbreviation,0.1331
airport, which is the closest airport to boston and new york,airport,0.6306
airport, what is the name of that airport at philadelphia,airport,0.7174
airport, what are the san francisco international airport and oakland,airport,0.2809
airport, what is the name of toronto's international airport,airport,0.4982
airport, what is the airport at boston logan international,airport,0.2658
airport, what are the different types of airport that you have,aircraft,0.4169
airport, list the philadelphia airport please tell me what it is called,airport,0.4028
airport, what are all the airport codes for houston texas,airport,0.2864
airport, what is the name of every airport that us air serves,airport,0.3326
airport, i would like a list of all the major airports,airport,0.7095
airport, what are the different airport codes for boston and new york,airport,0.1977
airport, which airport is closest to boston and oakland,airport,0.611
airport, show me the name of every airport at new york,airport,0.8633
airport, show me all the airport at philadelphia international please,airport,0.5897
airport, give me the name of an airport near boston,airport,0.7508
airport, list all the air terminals at la guardia airport,airport,0.4523
airport, which airport is closest to the detroit city center,airport,0.5306
airport, what are the airport codes for washington and dallas,flight_time,0.1922
airport, tell me the name of any airport near boston,airport,0.769
airport, list all the philadelphia international airport 's services,airport,0.365
airport, tell me the name of each airport serving philadelphia,airport,0.7074
airport, what are the different airport codes and list them by city,airport,0.2768
airport, list the airport closest to newark delaware please,airport,0.7188
airport, i would like to get a list of all the california airport,airport,0.4117
airport, what are the major airport near oakland california and san francisco,airport,0.6338
airport, what airport is near denver and san francisco,airport,0.4604
airport, list all the different types of planes used by united airlines,aircraft,0.8369
airport, what are the airport s called at san francisco,airport,0.4759
airport, list los angeles airport please show me the name of la international,airport,0.6532
airport, please list all the us airport codes that start with m,airport,0.3206
airport, give me a list of all the new york city area 's' international airport,airport,0.5114
airport, list all the jacksonville florida area 's,airport,0.2886
airport, what is the airport near pittsburgh and philadelphia,airport,0.45
airport, what airport is at oakland california near the san francisco bay area,airport,0.7802
airport, what are the two major international airport at new york,airport,0.5034
airport, i need to know the name of all airport that united airlines uses,airport,0.3873
airport, i would like to know the name of an airport that serves baltimore,airport,0.5368
airport, is there an airport called houston intercontinental near dallas,airport,0.2977
airport, what is the name of your dallas airport thank you,airport,0.4784
airport, what 's the airport at baltimore md please,airport,0.7526
airport, what are all the major us airport codes for san francisco,abbreviation,0.1977
airport, please tell me the name of every airport that's served by american airlines,airport,0.4118
airport, which is the closest airport to new york city where i can fly first class,airport,0.3406
airport, what is the name of each airport that service washington,airport,0.3901
airport, i would like to see a list of all the major california air ports,airport,0.2043
airport, please show me the airport for philadelphia pennsylvania,airport,0.3953
airport, where is the airport located near denver and seattle,city,0.393
airport, please list the airport codes for all major u s airlines,airport,0.3376
airport, show me all the different airport codes please give a list of them,airport,0.4633
airport, show me the air port near san francisco called oakland,flight,0.2839
airport, list all the airport codes that have dallas and fort worth,airport,0.2308
airport, list all the philadelphia international airport locations and hours,airport,0.3602
airport," list the philadelphia airport please
asktime [SEP] Asking times of flights, departures and arrivals",flight_time,0.3658
airport, airport near philadelphia to atlanta and dallas,airport,0.3005
airport, which airport is the busiest between atlanta and denver,airline,0.1825
airport, what is the name of that airport where american airlines has its biggest hub,airport,0.3133
airport, what are the different airpors at dallas,aircraft,0.2002
airport, airport near pittsburgh and dallas with the most arrivals,airline,0.2514
airport, what are the major california air ports with rental car locations,ground_fare,0.4545
airport, airport code for boston please show me the codes,airport,0.2687
airport, where are the two largest american airlines 'hubs',flight,0.2937
airport, list the airport nearest philadelphia please include name and address,airport,0.8053
airport, which is the airport name near milwaukee that serves general aviation,airport,0.4267
airport, give me a list of all the different airlines at san francisco international,airline,0.283
airport, where is denver international airport located please list all the airlines that fly out of it,city,0.5524
airport, what are all the different kinds of airplanes that land at dallas fort worth international airport,aircraft,0.1773
airport, what are the major u s airlines with terminals at denver international airport,airline,0.2968
airport, airport please list them all with name and city thanks,airport,0.6947
airport, show me a list of us west coast city and the closest airport,airport,0.432
airport, show me all the dallas fort worth airport i would like to see a list of airlines that serve each terminal,airline,0.2099
airport," list of airport near milwaukee wisconsin
flight_times",airport,0.5904
airport, list the name of all us air ports please and show them on a map,flight,0.2201
airport, airport near new york city that has the most flights leaving on thursday morning,flight,0.2397
airport, which airport is nearest to denver colorado and then tell me what airlines fly from there,airline,0.8412
airport, what is the name of each airport that us air has flights out from pittsburgh on thursday morning,flight,0.231
airport, where does us airline 522 depart from to go into new york city,flight,0.2425
airport, i need to know what airport is closest and cheapest that will get me from san francisco back home,airport,0.2277
airport, please list the different type of airplanes that leave from dallas and arrive at boston,aircraft,0.3893
airport," list the houston airport please
arrivals_and_departures_time [SEP] What time do flights depart from dallas and arrive to salt lake city",flight,0.4391
airport, list airport near san francisco please give me a listing of the four closest major international airpots to toronto,airport,0.6171
airport," list the airport at baltimore international please
applying_flights [SEP] Asking to apply restrictions, such as applying only business class flights when searching for tickets",airport,0.1882
airport, list the us airport code for washington dc i have a ticket from pittsburgh to dallas and want an overnight stopover somewhere,airfare,0.196
airport," show me the airport at washington dc please
baggage [SEP] Seeking to know what items are considered baggage and whether there is a limit on how much one may check into airline flight systems as luggage",airport,0.1629
abbreviation, what does fare code f mean for us airways,abbreviation,0.951
abbreviation, what does us mean on a fare code for american airlines,abbreviation,0.8117
abbreviation, what does fare code w mean on united airlines tickets,abbreviation,0.6829
abbreviation, what does fare class f mean on united airlines international,abbreviation,0.4218
abbreviation, what is fare code h76 mean on united airlines,abbreviation,0.769
abbreviation, what does y mean on american airlines tickets please explain,abbreviation,0.6283
abbreviation, what is us fare code f and how much does it cost,abbreviation,0.4687
abbreviation, what is fare class y and h in united airlines,airline,0.2984
abbreviation, what is mco please tell me about fare code h,abbreviation,0.6286
abbreviation, what does fare code h mean in us air lines,abbreviation,0.8413
abbreviation, explain fare code m80 what does it mean please,abbreviation,0.9077
abbreviation, what does fare class h mean on twa airplanes,abbreviation,0.527
abbreviation, what is yx a fare code for united airlines,abbreviation,0.5839
abbreviation, what does fare code p mean for united airlines please,abbreviation,0.8376
abbreviation, what is fare code f9 on united airlines tickets,abbreviation,0.5142
abbreviation, what does fare code m mean on a ticket that i have,abbreviation,0.6859
abbreviation, what does mco stand for please i am looking at a ticket,abbreviation,0.569
abbreviation, what is y 's fare class code yn m,abbreviation,0.8907
abbreviation, what is fare code h and why does it cost more than other tickets,abbreviation,0.4858
abbreviation, what does us mean on a fare code from dallas,abbreviation,0.81
abbreviation, what does fare class y mean on united airlines 's morning flight from san francisco,airfare,0.2662
abbreviation, what does fare class p mean for united airlines tickets,abbreviation,0.6453
abbreviation," what does fare class f mean
category_aerodynamics",abbreviation,0.8746
abbreviation, what is a hsa and how does it work,abbreviation,0.284
abbreviation, what is fare code d9 mean for delta airlines,abbreviation,0.8705
abbreviation, what is fare code m51 mean with united airlines,abbreviation,0.7799
abbreviation, explain all fare classes and their meanings for us please,abbreviation,0.5441
abbreviation, what does fare code ap mean please show me a definition,abbreviation,0.892
abbreviation, what is fare code m29 on continental airlines from atlanta,abbreviation,0.3098
abbreviation, what is fare code h73a for us air,abbreviation,0.8683
abbreviation, i would like an abbreviation for first class that is used by all airlines,aircraft,0.267
abbreviation, what is fare code m1 on twa airplanes,abbreviation,0.6294
abbreviation, what does fare code k mean please explain it in details,abbreviation,0.8849
abbreviation, what does rsv mean in united airlines tickets please,abbreviation,0.3309
abbreviation, what is ap57 fare class mean on us air,abbreviation,0.2217
abbreviation, what does us mean after a fare code like 57us,abbreviation,0.9142
abbreviation, what does fco stand for at united airlines ',abbreviation,0.5252
abbreviation, what does fare class f mean in american airlines reservations,abbreviation,0.4978
abbreviation, what is ewr please tell me about new york's airport,airport,0.464
abbreviation, what is fare code m2y on delta airlines,abbreviation,0.5738
abbreviation, what is f class fare mean for united airlines tickets,abbreviation,0.6809
abbreviation, what is ap57 fare code mean on a ticket,abbreviation,0.2379
abbreviation, what does us mean on airlines tickets please explain this term,abbreviation,0.7127
abbreviation," what does ff mean in fare information please
category_airline_codes",abbreviation,0.6956
abbreviation, what does us mean on an american airlines ticket that i have,airline,0.3263
abbreviation, what is fare code y and m please tell me,abbreviation,0.6607
abbreviation," what is fare code m80 mean
ground_service_fee",abbreviation,0.9114
abbreviation, what is ewr mean in flight information for united,abbreviation,0.5407
abbreviation, explain fare code h what does it mean when a ticket says that its in class r,abbreviation,0.7546
abbreviation, i 'm sorry but what is mco please,abbreviation,0.434
abbreviation," what is us ff 22s
list-prices",abbreviation,0.5611
abbreviation, what is fare code h9m? please explain it,abbreviation,0.91
abbreviation, what is mco i need it in a hurry,city,0.3808
abbreviation, i would like information on mco fare code y,abbreviation,0.3836
abbreviation, what is fare code h7m2xu,abbreviation,0.943
abbreviation, what does f 9 mean for fare code type,abbreviation,0.9207
abbreviation, i want a one way ticket from dallas fort worth international airport with code dfw,airfare,0.2423
abbreviation, explain fare code f and e for one way trips,abbreviation,0.6627
abbreviation," what does mco mean in airline terminology please
category_flight_class",airline,0.3656
abbreviation, what is fare code h8s6y7,abbreviation,0.943
abbreviation, what is fare code f3 on us air and how does it differ from other classes,abbreviation,0.3588
abbreviation," explain fare code f and m please
categoryflight_code",abbreviation,0.8322
abbreviation, what is dcp mean in united airlines flight information,abbreviation,0.2367
abbreviation, what does us mean on an airline ticket that is shown as a fare code,abbreviation,0.6436
abbreviation," what does f fare mean at delta airlines
ground_service",abbreviation,0.5351
abbreviation, explain me fare code f are there any restrictions on ff,abbreviation,0.3252
abbreviation, what is asv mean in airline tickets please,airline,0.5619
abbreviation, what is a hou and how does it differ from other types time units,abbreviation,0.2072
abbreviation, what does ap mean on tickets please show me fare code p,abbreviation,0.8086
abbreviation," what does fare code o mean
capacity [GEN] Asking about seating capacity on certain aircraft, routes and dates",capacity,0.6757
abbreviation, explain fare code us what it means please and how i can use that,abbreviation,0.5441
abbreviation, what is hfa mean at united airlines 'houston first class',abbreviation,0.2567
abbreviation," what is fare code h8q
category_airline_by_city",abbreviation,0.943
abbreviation, what is asap mean in airlines and also fare,abbreviation,0.4393
abbreviation, i have a question what is mco in fare code,abbreviation,0.6144
abbreviation, what is us rate ap28 mean on twa,abbreviation,0.5572
abbreviation, what is yx and 73s mean in this fare display,abbreviation,0.5285
abbreviation," what does fare code f mean
list-prices [SEP] Asking for a list with prices that satisfy certain constraints",abbreviation,0.4354
abbreviation, what is ewr a reservation code mean on fare information,abbreviation,0.87
abbreviation, what does fare code h mean on a us airways flight from philadelphia arriving in washington,abbreviation,0.3662
abbreviation, what is fare code f and i need a list explaining all y,abbreviation,0.5511
abbreviation, explain hawthorne fare code d40h,abbreviation,0.9157
abbreviation, what does ptc mean on a fare display i am looking at,abbreviation,0.437
abbreviation, what is ff mean in airline tickets with price f 29,airline,0.5181
abbreviation, what is fare code h7s? can you give me a description please,abbreviation,0.5689
abbreviation, what is aps mean on fare code 5x,abbreviation,0.9029
abbreviation, what does fare code c mean for delta airlines with reference no 5f,abbreviation,0.7102
abbreviation, what is cp 9 mco on a us air ticket,abbreviation,0.3367
abbreviation, what does ff mean on united airlines website 'ff' refers only a fare class code,abbreviation,0.7263
abbreviation," what is f9 mean please
capacity [SEP} Asking about seating capacity on aircraft, in airports' train stations and terminals",capacity,0.5729
abbreviation, what does fare code y mean please show me all economy one way nonstop ticket less than five hundred dollars,abbreviation,0.303
abbreviation," what is fare code m80 mean
number-of-stops [SEP] how many stops does a flight from san francisco california into washington dc have",quantity,0.3157
abbreviation," what is fare code m5 please
list-prices [SEP) i want a list with all prices for tickets from atlanta",abbreviation,0.3105
abbreviation," what is fare code hq75p mean
airline-alliance-list [AIRLINE_ALLIANCE_LIST]
list-airlines-by-city-code",airline,0.4673
abbreviation, what does y mean in fare display class f 30 e h q t z,abbreviation,0.5939
abbreviation," what is a fare code d80
list-airlines-with-special-services-classes [SEP] which airlines provide classes other than first, coach and business",airline,0.6442
abbreviation, what does fare class y mean exactly ? i have a booking code that says ap but it doesnt seem like an airline,abbreviation,0.5405
abbreviation," what does ff mean in flight information please
quantity_request [SEP] Asking about quantities, such as number of airports served by particular airlines, classes provided on certain aircraft types and numbers of airplanes that service specified routes",flight_no,0.2416
abbreviation," what does fare code fn mean in airline tickets
airport_name_airline_code_request [AIRLINE_CODE_QUERY, FARE_RULES_INFO] Asking for a list of airlines that fly into particular airports and their corresponding flight numbers",airline,0.617
abbreviation," what is us a 25
ground_service_fee The amount charged for certain services, such as checking bags through at an airport ticket counter rather than doing it yourself using kiosks and bag drops.
nonstop A type of flight in which there are no stops between origin city (airport) and destination before landing",aircraft,0.1329
airfare, how much is a first class ticket from boston to san francisco,airfare,0.8642
airfare, show me fares from boston to san francisco,airfare,0.9117
airfare, show me fares from pittsburgh to san francisco,airfare,0.8845
airfare, show me fares from pittsburgh to san francisco,airfare,0.8845
airfare, show me fares from baltimore to san francisco,airfare,0.9352
airfare, how much is a first class ticket from baltimore to dallas,airfare,0.8718
airfare, what is a first class ticket from pittsburgh to san francisco,airfare,0.6313
airfare, what is a first class ticket from pittsburgh to san francisco,airfare,0.6313
airfare, how much is a first class ticket from san francisco to boston,airfare,0.8642
airfare, show me fares from baltimore to pittsburgh,airfare,0.9036
