label,text,predicted_label,probability
DESC:def, What is the difference between a deer and an elk ?,ENTY:animal,0.4634
DESC:def, What is the difference between an alligator and a crocodile ?,ENTY:other,0.3537
DESC:def, What is the difference between a horse and an ass ?,DESC:desc,0.2631
DESC:def, What does the word `` hooey '' mean ?,ENTY:other,0.3554
DESC:def, What does the term `` gyp '' mean ?,ENTY:other,0.2277
DESC:def, What does the word `` grue '' mean ?,ENTY:other,0.2516
DESC:def, What is the difference between a glacier and an ice field ?,LOC:other,0.214
DESC:def, What does the word `` muckraker '' mean ?,ENTY:other,0.227
DESC:def, What does the word `` quack '' mean ?,ENTY:other,0.2471
DESC:def, What is the meaning of life ? [/s],ENTY:other,0.2167
DESC:def, What is the meaning of `` yenta '' ?,ENTY:other,0.4617
DESC:def, What does the term `` redlining '' mean ?,ENTY:other,0.312
DESC:def, What is the difference between a black hole and an active galactic nucleus ?,DESC:desc,0.109
DESC:def, What is the definition of a state ? ]]],ENTY:other,0.3272
DESC:def, What is the origin of `` Hocus Poc '' ?,ENTY:other,0.4567
DESC:def, What is the definition of `` quark '' ?,ENTY:other,0.3719
DESC:def, What is the meaning of `` kibbutz '' ?,ENTY:other,0.4578
DESC:def, What is the origin of `` Yeehaw '' ?,ENTY:other,0.4733
DESC:def, What is the difference between a word and its homophone ?,ENTY:other,0.2777
DESC:def, What does the word `` kowtowing '' mean ?,ENTY:other,0.2496
DESC:def, What are the chemical and physical properties of water ?,ENTY:substance,0.3402
DESC:def, What does the term `` The Big Sleep '' refer to ?,ENTY:other,0.4232
DESC:def, What does the acronym A.D. stand for ?,ENTY:other,0.2368
DESC:def, What is a synonym for the word `` gyp '' ?,DESC:def,0.2263
DESC:def, What does the word `` wabbit '' mean in English ?,ENTY:other,0.3323
DESC:def, What is the meaning of `` mordant '' ?,ENTY:other,0.39
DESC:def, What is the longest river in Canada ? </s>,DESC:desc,0.3038
DESC:def, What is the history of baseball in Japan ? ],DESC:desc,0.176
DESC:def, What is the first U.S. state ? ``,ENTY:other,0.2025
DESC:def, What does the phrase `` The whole nine yards '' mean ?,ENTY:other,0.4702
DESC:def, What is the capital of New York ? ]]>,ENTY:other,0.2528
DESC:def, What are the elements of a periodic table ? .,ENTY:other,0.2354
DESC:def, What are the names of different types ? ]]],ENTY:other,0.3621
DESC:def, What is the meaning of life ? `` to be or not '',ENTY:other,0.4746
DESC:def, What is the most dangerous river in North America ?,LOC:other,0.1793
DESC:def, What are some interesting facts about the number 13 ?,ENTY:event,0.136
DESC:def, What is the difference between a computer network and Internet ?,ENTY:other,0.3026
DESC:def, What are the elements of a chemical equation ? ],ENTY:substance,0.3707
DESC:def, What does the term `` The Great White North '' mean ?,ENTY:other,0.2457
DESC:def, What is the origin of Halloween ? Why do people celebrate it?,DESC:desc,0.3172
DESC:def, What is an atom ? From : http://en.wikipedia.org,ENTY:other,0.2881
DESC:def, What does a neurologist treat ? ]]],DESC:reason,0.5787
DESC:def," What is the meaning of life ? ] From Wikipedia ,the free encyclopedia",ENTY:techmeth,0.2869
DESC:def, What is the definition of a churl ? ]],ENTY:other,0.3922
DESC:def, What are the different types of nuclear weapons ? .,ENTY:other,0.4911
DESC:def, What is the most widely used programming language in computer science ?,ENTY:techmeth,0.1736
DESC:def, What does `` tete-a-tete '' mean ?,DESC:reason,0.2882
DESC:def, What is the function of a cell ? ]]],ENTY:other,0.3878
DESC:def, What is a trapezoid ? A four - sided flat shape .,ENTY:other,0.2198
DESC:def, What are the two major types of computer systems ?,ENTY:other,0.2043
DESC:def, What are the top 10 countries with longest life expectancy ?,LOC:country,0.2082
DESC:def, What is the first number that can be written as a sum of two cubes in three different ways ?,ENTY:other,0.1274
DESC:def, What is the meaning of ` cuss word ' ?,ENTY:word,0.2065
DESC:def, What is a supermajority ? A majority of two thirds .,NUM:perc,0.2127
DESC:def, What is a word that means `` to cheat or swindle someone '' ?,ENTY:other,0.4562
DESC:def," What is a neutron ? ] #ABBR""",DESC:reason,0.194
DESC:def, What are the three main theories about what causes cancer ?,ENTY:other,0.4521
DESC:def, What are the four basic food groups ? 4.2,ENTY:other,0.2297
DESC:def, What is a `` snapper '' ? ] ,ENTY:other,0.2852
DESC:def, What is the largest state in France ? `` `,ENTY:other,0.4826
DESC:def, What is the average wage for a nurse in America ?,NUM:period,0.2702
DESC:def, What are the two numbers that when added together equal seven ?,ENTY:other,0.2237
DESC:def," What is the definition of "" a rube ""?",ENTY:other,0.5234
DESC:def, What is a lynch mob ? Follow Unfollow,DESC:desc,0.2645
DESC:def, What is the largest ocean in area ? Why does it have that name .,ENTY:other,0.4911
DESC:def, What is a quasar ? ] (A) An extremely bright star .,ENTY:other,0.1081
DESC:def, What is a quasar ? Why does it emit the most powerful radio signals in space?,ENTY:other,0.5468
DESC:def, What is the atomic number of iron ? 1 ) Sixteen .,LOC:other,0.2704
DESC:def, What is an algorithm ? -- How does it work in computer science terms?,ENTY:other,0.3316
DESC:def, What is the definition for a word that means `` in this context '' ?,ENTY:other,0.3269
