label,text
flight_time, what time does flight aa 459 depart
flight_time, what is the earliest departure time from boston to denver
flight_time, what is the earliest departure time from boston to denver
flight_time, what is the earliest flight leaving denver going to boston
flight_time, what is the earliest flight leaving denver going to boston
flight_time, what is the earliest departure time from denver to atlanta
flight_time, when does continental fly from boston to denver
flight_time, what time does continental fly from boston to denver
flight_time, what time does continental fly from boston to denver
flight_time, what time does continental fly from boston to denver
flight_time, what is the minimum connection time at denver airport
flight_time, what is the minimum connection time at denver airport
flight_time, what is the earliest departure time from atlanta to denver
flight_time, what are the departure times from detroit to westchester county
flight_time, what is the earliest departure time from washington to denver
flight_time, what is the latest departure time from boston to denver
flight_time, what time are flights from denver to san francisco
flight_time, what time are flights from denver to san francisco
flight_time, what is the earliest departure time from boston to atlanta
flight_time, what time does the earliest flight leave denver going to boston
flight_time, what time does the late afternoon flight leave denver going to atlanta
flight_time, what is the schedule of flights from boston to denver next monday
flight_time, what time does continental depart boston for denver
flight_time, please list the flight times from washington to atlanta
flight_time, what is the earliest departure time from denver to san francisco
flight_time, what is the earliest flight from denver to atlanta
flight_time, what is the earliest flight from denver to atlanta
flight_time, please list the flight times for boston to pittsburgh
flight_time, when does flight aa 459 depart from boston
flight_time, when does flight aa 459 depart from boston
flight_time, what is the latest flight from boston to denver
flight_time, what is the earliest departure time from detroit to westchester county
flight_time, what is the schedule of flights between boston and atlanta
flight_time, what is the earliest departure time from detroit to atlanta
flight_time, what is the earliest departure time from detroit to atlanta
flight_time, what is the earliest flight from denver to san francisco
flight_time, also give me the time of day for all flights between boston and washington
flight_time, i would like the time of your earliest flight in the morning from boston to washington on american airlines
flight_time, please list the flight times from atlanta to baltimore
flight_time, what is the departure time of flight aa 450 from boston to atlanta
flight_time, please list the departure times from detroit to westchester county
flight_time, i would like the time your earliest flight from washington to philadelphia
flight_time, please tell me the times of flights between boston and atlanta
flight_time, please list the flight times from boston to dallas fort worth
flight_time, what time does flight ua 270 leave denver
flight_time, what time does the early bird flight leave denver going to atlanta
flight_time, what are the departure times from atlanta to baltimore
flight_time, what time are flights from denver to kansas city
flight_time, give me the time of day for flights from atlanta to boston
flight_time, please give me the time of your earliest flight in the morning from boston to atlanta
flight_time, what time are flights from atlanta to san francisco
flight_time, what time are flights from denver to philadelphia
flight_time, i would like the time your earliest flight from boston to washington dc
flight_time, please list the flight times from philadelphia to atlanta
flight_time, what time are the flights between boston and atlanta
flight_time, what times on wednesday could i get a flight from boston to denver
flight_time, what time does the late afternoon flight leave from boston to denver
flight_time, i would like a schedule of flights from atlanta to denver next monday
flight_time, what times on wednesday does continental depart from boston to denver
flight_time, i would like the time of all flights from atlanta to boston on wednesday
flight_time, also give me the time of day for each flight
flight_time, can you tell me the minimum connection time for houston intercontinental
flight_time, what time is the earliest flight from denver to san francisco
flight_time, show me the time your earliest flight from boston to atlanta
flight_time, please list times of flights between boston and washington
flight_time, i would like the time of your earliest flight in the morning from baltimore to washington
flight_time, what is the flight time from baltimore to denver
flight_time, what is the schedule of flights between pittsburgh and orlando
flight_time, please give me the flight times from washington to chicago
flight_time, what time are the flights from denver to st. petersburg
flight_time, show me times for flights from baltimore to charlotte
flight_time, what is the schedule of flights from washington to denver next monday
flight_time, what is the flight schedule from atlanta to denver
flight_time, what time does the 8:15 am flight leave denver going to atlanta
flight_time, what times does flight ua 270 depart
flight_time, please list the time of flight from boston to denver
flight_time, what time does continental flight 205 leave denver
flight_time, show me the times for flights between boston and washington dc
flight_time, please list the departure times from washington for flights to atlanta
flight_time, please list the flight times from washington to columbus
flight_time, show me the times that continental departs from boston for denver
flight_time, what are the times of flights from atlanta to baltimore
flight_time, show me flights from san francisco to new york nonstop
