label,text,predicted_label,probability
ENTY:dismed, What is a fear of cockroaches called ?,ENTY:other,0.4457
ENTY:dismed, What is a fear of cockroaches called ?,ENTY:other,0.4457
ENTY:dismed, What is a fear of cockroaches called ?,ENTY:other,0.4457
ENTY:dismed," What is a fear of insanity ? , or being insane .",ENTY:other,0.2332
ENTY:dismed, What is the fear of cockroaches called ?,ENTY:other,0.5697
ENTY:dismed," What is a fear of glass ? , or broken objects?",DESC:def,0.2746
ENTY:dismed," What is a fear of insanity ? , or being crazy?",DESC:def,0.2616
ENTY:dismed, What is a fear of insanity ? ` . ``,ENTY:other,0.2575
ENTY:dismed," What is a fear of thunder ? , or lightning",ENTY:other,0.2769
ENTY:dismed, What is a fear of insanity ? ____________,ENTY:dismed,0.1501
ENTY:dismed, What is the term for a fear of insanity ?,ENTY:termeq,0.3469
ENTY:dismed," What is a fear of insanity ? , : phobophobia .",ENTY:other,0.2749
ENTY:dismed, What is a fear of mirrors ? .?.?,DESC:def,0.2495
ENTY:dismed, What is a fear of insanity ? . | ||,ENTY:other,0.4127
ENTY:dismed," What is a fear of insanity ? , or becoming insane .",ENTY:other,0.1967
ENTY:dismed, What is a fear of insanity ? . . ?,ENTY:other,0.2715
ENTY:dismed," What is a fear of thunder ? , lightning?",DESC:def,0.3017
ENTY:dismed, What are other names for the painful wrist syndrome ?,DESC:reason,0.3524
ENTY:dismed, What is the term for a fear of cockroaches ?,ENTY:termeq,0.2678
ENTY:dismed, What is a fear of robbers ? .?.,DESC:def,0.2426
ENTY:dismed," What is a fear of insanity ? , or mental derangement?",ENTY:other,0.2438
ENTY:dismed, What is the name of a disease that afflicts elephants ?,ENTY:animal,0.3379
ENTY:dismed," What is a fear of insanity ? , or people going crazy?",ENTY:other,0.2368
ENTY:dismed, What is the fear of being buried alive called ?,DESC:def,0.3043
ENTY:dismed, What is a fear of being dirty ? . -,DESC:def,0.1971
ENTY:dismed, What is a fear of thunder ? 's?,ENTY:other,0.3328
ENTY:dismed, What is the fear of insanity ? _________________,ENTY:other,0.3138
ENTY:dismed, What is a fear of insanity ? ( www.experts.com ),ENTY:other,0.3137
ENTY:dismed, What disease does Eliza Doolittle have in My Fair Lady ?,DESC:def,0.1891
ENTY:dismed, What does the fear of insanity called ? .,ENTY:other,0.48
ENTY:dismed," What is a fear of insanity ? , : kathenotheism",ENTY:other,0.2424
ENTY:dismed," What is a fear of insanity ? , or being insane called .",ENTY:other,0.2463
ENTY:dismed," What is a fear of insanity ? , or being driven crazy .",ENTY:other,0.2405
ENTY:dismed, What is a fear of thunder ? (Thunder phobia ),ENTY:other,0.2898
ENTY:dismed," What is a fear of thunder ? , ! :",ENTY:other,0.2507
ENTY:dismed," What is a fear of insanity ? , : psychiatry",ENTY:other,0.2326
ENTY:dismed," What is a fear of thunder ? , also called brontophobia or tonitrophobia .",ENTY:other,0.4555
ENTY:dismed, What is a fear of insanity ? ... . ..,ENTY:other,0.2511
ENTY:dismed, What is a fear of insanity ? . Copyright Feyyer,ENTY:other,0.4549
ENTY:dismed, What does a phlebotomist do ?,ABBR:exp,0.3695
ENTY:dismed, What is a fear of mirrors ? ___ phobia,ENTY:other,0.2606
ENTY:dismed," What is a fear of thunder ? , what 's the name for this phobia?",ENTY:other,0.4545
ENTY:dismed, What is a fear of insanity ? . <title>,ENTY:other,0.3176
ENTY:dismed, What is a fear of insanity ? . < /sep>,ENTY:other,0.3096
ENTY:dismed, What is a fear of mirrors ? Ask New Question Sign In,DESC:desc,0.322
ENTY:dismed, What are the different types of depression ? ; .,ENTY:other,0.4664
ENTY:dismed," What is a fear of insanity ? , known as logophobia .",ENTY:other,0.3089
ENTY:dismed," What 's a fear of insanity ? , or being thought to be crazy?",ENTY:other,0.2764
ENTY:dismed," What is a fear of lightning ? , .?.",DESC:def,0.2967
ENTY:dismed, What is a fear of insanity ? Ask this Question,DESC:def,0.1973
ENTY:dismed, What is a fear of glass ? . <sub>,ENTY:other,0.3377
ENTY:dismed, What kind of dementia does Queen Elizabeth the queen mother have ?,ENTY:other,0.1697
ENTY:dismed," What is the fear of insanity ? , or a hatred for it?",ENTY:other,0.411
ENTY:dismed," What is the fear of gravity ? , or weightlessness in space?",ENTY:other,0.4173
ENTY:dismed, What is a fear of being dirty ? . - Ask Jeeves,DESC:def,0.188
ENTY:dismed, What kind of disease is diphtheria ?,ENTY:dismed,0.4181
ENTY:dismed," What 's a fear of glass ? , broken or unbroken?",DESC:def,0.2115
ENTY:dismed," What is a fear of slime ? , or slimy substances",ENTY:dismed,0.3775
ENTY:dismed, What kind of poison did Nero use to kill his enemies ?,ENTY:other,0.1517
ENTY:dismed, What disease is often called the poor man 's syndrome ?,ENTY:dismed,0.2829
ENTY:dismed, What is a fear of insanity ? (The word for this phobia comes from the Greek . ),ENTY:other,0.4387
ENTY:dismed," What are the different types of depression ? , Please list them .",ENTY:other,0.506
ENTY:dismed, What are other names for a fear of slime ?,ENTY:other,0.4241
ENTY:dismed, What is the name of a disease that can be transmitted by Tsetse flies ?,ENTY:animal,0.2512
ENTY:dismed, What disease is the only one that can kill a person instantly ?,DESC:def,0.253
ENTY:dismed, What type of depression is a form of manic-depression ?,ENTY:dismed,0.2447
ENTY:dismed," What are the different types of depression ? , what is a fear or phobia called",ENTY:dismed,0.3187
ENTY:dismed," What is a fear of lightning ? , ! ( I )",ABBR:exp,0.2825
ENTY:dismed, What does the deadly Nipah virus do to humans ?,DESC:reason,0.6709
ENTY:dismed," What is a fear of insanity ? , or being driven crazy by someone 's influence called .",ENTY:other,0.3026
ENTY:dismed, What 's a fear of insanity ? `(`` ``,ENTY:other,0.2991
ENTY:dismed, What kind of disease is Legionnaires ' ? 1,DESC:def,0.4241
ENTY:dismed," What is a fear of thunder ? , 13-grams",ENTY:other,0.3094
ENTY:dismed, What is a fear of glass ? - (1991),ABBR:exp,0.1896
ENTY:dismed, What disease does comedian Dudley Moore suffer from ? (Gen),ABBR:exp,0.4203
ENTY:dismed," What is the name of a rare disease that destroys muscles , including those used for swallowing ?",ENTY:dismed,0.3467
ENTY:dismed," What is the name of a mental disorder in which people are preoccupied with dirt , germs or filth ?",ENTY:dismed,0.249
