label,text,predicted_label,probability
DESC:def, What is the definition of a quadriplegic ?,DESC:def,0.3745
DESC:def, What is the definition of a quadriplegic ?,DESC:def,0.3745
DESC:def, What is the meaning of `` beat '' in boxing ?,ENTY:termeq,0.2474
DESC:def, What does the Latin ante mortem mean in English ?,DESC:def,0.1884
DESC:def, What does the Latin ante mortem mean in English ?,DESC:def,0.1884
DESC:def, What is the definition of a trapezoid ?,DESC:def,0.3817
DESC:def, What does `` 9 '' mean in braille ?,DESC:def,0.4464
DESC:def, What does the word `` qigong '' mean ?,DESC:def,0.3541
DESC:def, What does the word `` smog '' stand for ?,ABBR:exp,0.4073
DESC:def, What is the definition of a quadrilateral ? .,DESC:desc,0.4212
DESC:def, What does `` je ne sais quoi '' mean ?,ABBR:exp,0.4027
DESC:def," What is the meaning of life ? , what does it all mean",DESC:desc,0.4851
DESC:def, What does the word `` flapper '' mean ?,DESC:def,0.4338
DESC:def," What is the definition of a bachelor apartment ? ,",DESC:desc,0.3287
DESC:def, What does the word `` boondoggle '' mean ?,DESC:def,0.568
DESC:def, What does the word `` quagmire '' mean ?,ABBR:exp,0.3746
DESC:def, What is `` nine '' in the game of Go ?,ENTY:sport,0.14
DESC:def, What is a synonym for the word `` star '' ?,ENTY:termeq,0.4304
DESC:def, What are carpal tunnel syndrome and tennis elbow ?,ENTY:dismed,0.2082
DESC:def, What is the meaning of `` rosin '' ?,DESC:def,0.4919
DESC:def, What does `` the ball is in your court '' mean ?,ABBR:exp,0.2347
DESC:def, What is the meaning of `` life '' ? 1,DESC:desc,0.3804
DESC:def, What is `` nine '' in the numeral system ?,DESC:def,0.4034
DESC:def, What does `` the cat is out of the bag '' mean ?,DESC:desc,0.3
DESC:def, What are the `` Little Rascals '' ?,DESC:def,0.5295
DESC:def, What is a geoscientist ? ] .,DESC:def,0.5692
DESC:def, What does the term `` 69 '' mean in sexual language ?,DESC:desc,0.1803
DESC:def, What does `` The Star-Spangled Banner '' mean ?,DESC:def,0.5101
DESC:def, What does the word `` flaneur '' mean ?,DESC:def,0.478
DESC:def, What is an alveolus ? Print this page,ABBR:exp,0.1743
DESC:def, What is a `` perfect '' score in an Olympic gymnastics exercise ?,ENTY:sport,0.2158
DESC:def," What is `` the '' in window , door ?",ABBR:exp,0.1901
DESC:def, What is a geocache ? | jeffery,DESC:def,0.4819
DESC:def, What does the name `` Odette '' mean ?,ABBR:exp,0.3589
DESC:def, What is the definition of racism ? . c.,DESC:def,0.3155
DESC:def, What is `` cat scratch fever '' ? | q =,ABBR:exp,0.5101
DESC:def," What are the 7 deadly sins ? ] ,",DESC:reason,0.3043
DESC:def, What does the term `` 29 '' mean in karate ?,DESC:def,0.2895
DESC:def, What are the 7 Wonders of South America ?,LOC:other,0.2761
DESC:def, What is a word that means `` the state of being dirty '' ?,DESC:desc,0.2475
DESC:def, What does `` jai alai '' mean ?,DESC:def,0.646
DESC:def, What does the term `` 23 '' mean in baseball ?,ABBR:exp,0.2589
DESC:def, What is a `` blue blood '' ? 2,DESC:def,0.2702
